t,open,high,low,close,volume,date_vn,Ticker,Date,ret_1d_pct,ret_5d_pct,ret_20d_pct,ret_60d_pct,ret_120d_pct,ret_252d_pct,sma_20,sma_50,sma_200,ema_20,ema_50,dist_sma20_pct,dist_sma50_pct,dist_sma200_pct,dist_ema20_pct,range_pct,body_pct,gap_pct,close_location_pct,traded_value,adv20_shares,adv60_shares,avg_value_20,avg_value_60,volume_ratio_20,value_ratio_20,atr14,atr14_pct,realized_vol_20d_pct,realized_vol_60d_pct,downside_vol_20d_pct,rsi14,high_52w,low_52w,pos_52w_pct,drawdown_60d_pct,drawdown_252d_pct,excess_ret_20d_vs_vnindex_pct,excess_ret_60d_vs_vnindex_pct,beta_60d_vs_vnindex,corr_60d_vs_vnindex,excess_ret_20d_vs_vn30_pct,excess_ret_60d_vs_vn30_pct,beta_60d_vs_vn30,corr_60d_vs_vn30
1754524800,99.381,99.458,96.765,98.227,2219800,2025-08-07,VJC,2025-08-07,-1.0077902183881382,5.363253134821466,33.02141028939778,40.330299869994434,32.05748702643112,21.851585371904946,86.03885,75.67084000000001,74.81741,88.03800040491524,79.58245323463869,14.165868093309019,29.808259033466513,31.288960684418242,11.573410968243557,2.7139790581192593,-1.16298991201991,0.1551996936317801,54.2888971407354,218044294.6,2349515.0,1322598.3333333333,206735351.57,106104658.325,0.9447907334066818,1.0547025119028606,5.510857142857143,5.610328262959413,60.630927052562825,40.609476338281105,25.086966911660625,79.25224966282693,101.457,59.305,92.3372556462327,-1.0077902183881382,-1.0077902183881382,23.602052773003667,19.87568518830087,1.4262324478035016,0.5328920542932405,22.47493852419713,16.544186519203507,1.108506294685566,0.46875475559112595
1754611200,98.304,98.304,93.458,93.458,2177500,2025-08-08,VJC,2025-08-08,-4.855080578659643,2.100835745889551,21.500260010400417,35.00028890044491,24.615651292718365,21.622008510859803,86.86575,76.2016,74.8751,88.55419084254235,80.12659232347639,7.589009477268083,22.645718725066132,24.818531127170452,5.537636458309558,4.93347043073697,-4.93347043073697,0.07838985207733185,0.0,203504795.0,2357820.0,1348468.3333333333,209174746.92000002,108774933.76833335,0.923522575938791,0.9728937072783048,5.692142857142858,6.090589202789336,63.75526832301088,41.986138085093614,28.631005116077613,70.88638841462159,101.457,59.305,81.02343898272917,-5.813941769881181,-5.813941769881181,12.775229827105505,13.211278688287152,1.4406820030199368,0.5134363953200975,13.026661977765741,10.106469016592953,1.1593428109158128,0.46718058470789564
1754870400,96.15,96.15,93.458,95.381,2038500,2025-08-11,VJC,2025-08-11,2.0576087654347486,-2.591938234663338,25.25245893028325,40.90855370069435,27.310464495461815,23.38270487031886,87.82725,76.73236,74.945865,89.2043631432526,80.72480438922241,8.600690560162128,24.30348812417604,27.26652764632178,6.924142092498742,2.8804382717370447,-0.8228295063023021,2.8804382717370514,71.4338781575036,194434168.5,2403080.0,1370620.0,214581358.93,111215181.81,0.8482863658305175,0.906109316622548,5.521785714285715,5.789188322921458,63.37138561790897,41.70091357926132,28.882679032794172,68.86645108779338,101.457,59.305,85.58550009489468,-3.875961179920795,-3.875961179920795,16.65355521569831,17.721612506979987,1.4232491745727267,0.5088715642716901,16.76747456248433,14.661045094062693,1.1438420796284785,0.4627051320553163
1754956800,96.15,99.611,94.381,97.688,3151000,2025-08-12,VJC,2025-08-12,2.418720709575295,-0.23590927194926392,30.255876901742738,43.82803297997644,30.389749065670046,27.89400644130815,88.9618,77.30464,75.03354999999999,90.01232855818094,81.39002774650781,9.808929225802544,26.367576383513324,30.192427254208297,8.527355713120755,5.48327234983907,1.6124804730501845,0.8062402365250909,63.23135755258126,307814888.0,2504920.0,1408158.3333333333,225794020.45999998,115328101.54333334,1.2579244047714098,1.3632552685536252,5.505285714285717,5.63558033155118,62.664426812753064,41.86143492937362,29.038901783169756,66.54532561162982,101.457,59.305,91.05855000948948,-1.5509891460993463,-1.5509891460993463,20.152840582295916,21.543882883029333,1.4728978869402656,0.5190523358068952,20.12876251133968,19.1228778134424,1.2064466130960563,0.47692975779030944
1755043200,98.073,98.073,94.689,97.996,3060400,2025-08-13,VJC,2025-08-13,0.31528949307999543,-1.2405897588358084,32.70858442912665,44.281507656065955,31.476487556181667,28.297242805896673,90.16945000000001,77.8523,75.12201,90.77267821930656,82.04124234468398,8.67982448600937,25.8742516277618,30.449118707020737,7.957594644549215,3.4640897551388097,-0.07882237327000059,0.39411186635001094,97.72458628841612,299906958.4,2580675.0,1447678.3333333333,235083888.98499998,119546376.45,1.185891288131981,1.275744414876241,5.329428571428573,5.438414395922867,61.850028928398984,41.845789526795876,29.13508765768823,63.34654132028072,101.457,59.305,91.7892389447713,-1.2405897588358084,-1.2405897588358084,23.482371764687528,22.472052231100914,1.4786026978966733,0.5209836000098622,24.080718074646402,20.725116042944535,1.2139102300414375,0.47998702866692483
1755129600,99.15,104.842,98.458,104.842,4476000,2025-08-14,VJC,2025-08-14,6.9859994285481175,6.734400928461626,44.53788463659425,56.30795837433282,41.09683063050937,35.08478070401484,91.78475,78.54458,75.24546500000001,92.11261362699165,82.93538970371597,14.22594712084524,33.48088435892076,39.333313974470066,13.819373777141708,6.514551614351608,5.80840034287113,1.1775990856769836,100.0,469272792.0,2718835.0,1508318.3333333333,252335545.545,126431236.60999998,1.6462933572651521,1.8597173497156498,5.285500000000002,5.04139562389119,63.50388192111107,43.61891678342345,29.08569357990541,64.0631744661402,104.842,59.305,100.0,0.0,0.0,34.425200829103034,31.430499931904496,1.5856818924368539,0.5412428556879862,34.8064354410232,29.049806894438387,1.3165131137017787,0.5088995854628569
1755216000,110.073,112.149,102.996,111.996,3441800,2025-08-15,VJC,2025-08-15,6.823601228515286,19.835648098611138,56.05718585402557,65.83155650319827,50.72471569880894,44.01666538075764,93.79625,79.39994,75.40469,94.00626947204006,84.07502148004083,19.403494276157083,41.05300331461208,48.5265704295051,19.136734846509952,8.73027984967857,1.8341885885427611,4.989412639972524,98.32841691248765,385467832.8,2760310.0,1556158.3333333333,262235221.09499997,132212532.65,1.2468889363875797,1.4699315797108603,5.510714285714288,4.920456342828572,64.72656504728808,45.33989375165273,29.1930435513186,66.78791007650065,112.149,59.305,99.71046854893648,0.0,0.0,47.19311233404267,41.826261553180785,1.4408915829405435,0.47741287151861533,47.581052732382666,39.306084671213036,1.211769485074889,0.45336106140748095
1755475200,111.996,111.996,107.688,109.534,2043900,2025-08-18,VJC,2025-08-18,-2.198292796171286,14.838385003302545,49.73684570272452,62.186093342809755,48.17911255411256,38.52087917646762,95.6154,80.22452,75.553915,95.48510095089338,85.07341279454904,14.556860087391787,36.53431644090861,44.974618456237515,14.713184475064622,3.846565948783879,-2.198292796171282,0.0,42.850510677808884,223876542.60000002,2784460.0,1580643.3333333333,267719978.43,135296813.48,0.734038197711585,0.8362339781770766,5.285428571428573,4.82537711708563,66.69268689046089,45.745378244178255,29.508717144642993,74.14808253438933,112.149,59.305,95.05147225796685,-2.198292796171286,-2.198292796171286,39.54728979551601,39.38251213141173,1.484621153357875,0.4827453672798999,40.013002601118934,36.72554623461719,1.2362964123216706,0.45722852924157653
1755561600,116.841,117.149,110.996,112.303,2386000,2025-08-19,VJC,2025-08-19,2.527982179049415,14.960895913520588,43.55857237817662,65.15875700398546,50.36082957329728,42.43877072156057,97.31915000000001,81.1014,75.71583,97.08680562223687,86.1412397437824,15.396610019713485,38.47233216689232,48.32169177832431,15.672772711226157,5.617433856154259,-4.14300582467544,6.670988003724854,21.24167072972535,267954958.0,2757960.0,1608130.0,269712083.93,138927726.2866667,0.8651321991616993,0.9934851790680018,5.477714285714287,4.8776206207441355,64.25942252546841,45.87280454342339,29.508717144642993,75.70571673399436,117.149,59.305,91.62229444713367,0.0,0.0,33.9755205875649,41.69348954068841,1.494404734372679,0.48693732484398505,34.229957298284354,38.32699407008235,1.2430661479746645,0.4614973682727764
1755648000,112.303,112.303,104.996,110.611,2404800,2025-08-20,VJC,2025-08-20,-1.506638291051876,12.872974407118676,32.169102271505224,63.408184369921706,48.40142215066749,39.88289450388245,98.66524999999999,81.96598,75.869285,98.37482413440479,87.1008381852027,12.107352892735811,34.94745014944005,45.79154133322858,12.438320447594919,6.506504723827504,-1.5066382910518803,0.0,76.84412207472296,265997332.8,2792345.0,1637670.0,275826831.475,142647562.56666666,0.8612116339492434,0.9643635152445605,5.5875714285714295,5.051551318197493,62.39693742355591,46.05423215271777,29.426887909658,71.40148717191117,117.149,59.305,88.69718553350391,-1.506638291051876,-1.506638291051876,22.114946708161742,39.37530488085048,1.4770176233559233,0.4794764329273175,21.55513139413605,35.73936947804284,1.215018822731397,0.4504233831666386
1755734400,110.534,112.303,107.765,112.149,2763800,2025-08-21,VJC,2025-08-21,1.3904584534991882,6.9695351099750225,27.894034599550686,66.62803655003341,51.874923824871686,38.856697125027836,99.88825,82.84132,76.0262,99.68665040731861,88.08311904068495,12.274466716555743,35.378093927040275,47.5136203045792,12.501523064282294,4.102666100116622,1.460071783095709,-0.06961332959650735,96.60643455266646,309957406.2,2785945.0,1675005.0,278645749.275,147226058.86166668,0.9920511711465948,1.1123708400593544,5.680928571428572,5.065518704070988,61.16544496258628,45.96911994684766,29.426887909658,75.4745427582798,117.149,59.305,91.35606112993568,-0.1371290170342654,-0.1371290170342654,16.915875206511807,40.83249901258538,1.4505021141488927,0.4759998585653467,15.031276281918558,35.65924005387883,1.1498381501569102,0.4400029477513782
1755820800,108.073,111.534,106.15,107.688,2398900,2025-08-22,VJC,2025-08-22,-3.977743894283492,-3.8465659487838755,14.848824188129894,60.9205020920502,44.47977460253574,33.33333333333333,100.5844,83.64128000000001,76.161965,100.4486837018597,88.85193790183456,7.062327756590481,28.74982305387961,41.39341073986209,7.206979754585152,4.800756136924984,-0.3432932973098208,-3.6344505969736707,28.566121842496223,258332743.20000002,2741850.0,1706130.0,276181175.835,150938916.44833332,0.8749202181009172,0.9353741884071664,5.4995714285714286,5.10694917592622,60.11437748758499,46.95274117258615,31.13055316439879,62.67483197965593,117.149,59.305,83.64393887006432,-4.109418270215393,-4.109418270215393,7.381136924474951,37.44233910240588,1.4833484211362988,0.5079081420644235,6.1812749318414415,33.50282396213338,1.1727489905575998,0.4760040265313726
1756080000,108.073,111.149,107.688,109.611,2427600,2025-08-25,VJC,2025-08-25,1.7857142857142794,0.07029780707359379,12.205183850626478,59.218802202112045,47.209873890328915,35.198707353775575,101.18055,84.48278,76.31003500000001,101.32128525406353,89.66601876842928,8.33208556387568,29.743599819986976,43.639037775307,8.181612308953623,3.2139142708565474,1.4281999851422729,0.35751430057200384,55.561976307425674,266091663.60000002,2746120.0,1727633.3333333333,278045517.33500004,154068743.70499998,0.88401089537238,0.9570075653455058,5.093000000000001,4.6464314712939405,58.89437662018976,46.80403243270331,31.13055316439879,64.44883835887298,117.149,59.305,86.96839775949105,-2.397086453612096,-2.397086453612096,8.57032620143745,38.43529550451419,1.3380439799674981,0.47843025625900515,7.045449710513374,33.915226757992414,1.1049324341895295,0.46093066165656105
1756166400,109.996,111.149,108.611,110.765,2017200,2025-08-26,VJC,2025-08-26,1.052814042386263,-1.3695092740176107,21.725130774979128,60.357008425746315,49.37762134023818,37.27397786563225,102.16900000000001,85.3489,76.4658,102.22068665843842,90.49342979711834,8.413510947547675,29.779059835569054,44.85560865118785,8.358692962131675,2.3154610394942083,0.7015719225260288,0.3512421198602178,84.86997635933803,223435158.0,2692325.0,1748565.0,275144288.855,156916229.06833333,0.749240897737086,0.8120654036826092,5.043571428571428,4.553398120860766,51.81437495628053,46.79538792774671,22.74607175147571,64.31300550786484,117.149,59.305,88.96341885070188,-1.3695092740176107,-1.3695092740176107,10.05921183778171,36.57671523591517,1.194391146492736,0.45443986804521425,7.6770579440852185,31.760542820371683,0.9999559050451741,0.44091513085819833
1756252800,111.149,111.611,109.073,110.842,2022600,2025-08-27,VJC,2025-08-27,0.06951654403466456,0.20883998878953314,21.398843424165428,56.971095973829186,49.326399741337504,37.89577138876101,103.14590000000001,86.21656000000002,76.616565,103.04176411953952,91.29141294232939,7.461372676955635,28.562308679446247,44.671064279637186,7.569975094187398,2.291337516363482,-0.27716336387848345,0.34667990791314995,69.70055161544515,224189029.2,2687400.0,1759335.0,276670494.595,159032850.66833335,0.7526233534271043,0.8103105809247052,5.032500000000001,4.540246476967215,51.87127358373701,46.729428121328844,22.74607175147571,66.01579361653506,117.149,59.305,89.09653550930088,-1.300944765500478,-1.300944765500478,10.444564191197127,32.66922488431709,1.207734487402994,0.45946661037631836,8.04511085447486,28.177411117912563,1.0136776155428502,0.44722969142831315
1756339200,111.149,113.995,110.765,111.534,1972700,2025-08-28,VJC,2025-08-28,0.624312083867129,-0.5483776047936151,19.637015027835282,58.81699606994364,49.485337479225876,38.75667135268286,104.06125,87.08576,76.773095,103.85054848910718,92.08523988576745,7.181107280567933,28.07375166732198,45.27745690075411,7.398566134389495,2.914057848108121,0.34734126053301556,0.2769708233341106,23.808049535603853,220023121.8,2647640.0,1780571.6666666667,274769500.02000004,161882331.73166665,0.7450786360683477,0.8007552577123184,4.91707142857143,4.408585210403491,51.727814602947205,46.64742486141585,22.74607175147571,75.59904832039884,117.149,59.305,90.29285664891779,-0.6847546370087998,-0.6847546370087998,7.767622274327836,33.575022729854666,1.2022704647131002,0.4569300537366999,4.408843188530655,28.87940967527185,1.0080747767680638,0.4447563497645395
