Ticker,FetchedAt,PriceboardTime,FloorCode,BasicPrice,FloorPrice,CeilingPrice,HighestPrice,LowestPrice,AccumulatedValue,AccumulatedVolume,MatchPrice,MatchVolume,CurrentPrice,CurrentVolume,ForeignBuyVolume,ForeignSellVolume,ForeignNetVolume,ForeignTotalRoom,ForeignCurrentRoom,BestBid1,BestAsk1,BidVolume1,AskVolume1,BestBid2,BestAsk2,BidVolume2,AskVolume2,BestBid3,BestAsk3,BidVolume3,AskVolume3,BestBid4,BestAsk4,BidVolume4,AskVolume4,BestBid5,BestAsk5,BidVolume5,AskVolume5,BestBid6,BestAsk6,BidVolume6,AskVolume6,BestBid7,BestAsk7,BidVolume7,AskVolume7,BestBid8,BestAsk8,BidVolume8,AskVolume8,BestBid9,BestAsk9,BidVolume9,AskVolume9,BestBid10,BestAsk10,BidVolume10,AskVolume10,BidAskSpreadPct,BidDepthVolume10,AskDepthVolume10,DepthImbalance
ACB,2026-08-25T16:01:23.863401+07:00,14:46:00,10.0,22.5,20.95,24.05,22.7,22.2,174417.96,778000.0,22.2,100.0,0.0,0.0,26696.0,189640.8,-162944.8,174132658.7,35896560.8,22.2,22.3,1760.0,460.0,22.15,22.35,11480.0,120.0,22.1,22.4,13670.0,1610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26910.0,2190.0,0.8494845360824742
BID,2026-08-25T16:01:23.863401+07:00,14:46:02,10.0,36.9,34.35,39.45,37.35,36.65,149051.66,403160.0,36.7,80.0,0.0,0.0,54060.0,78825.9,-24765.899999999998,218401956.3,90846159.6,36.7,36.8,6090.0,8400.0,36.65,36.85,6640.0,3500.0,36.6,36.9,15590.0,1270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28320.0,13170.0,0.36514822848879247
BSR,2026-08-25T16:01:23.863401+07:00,14:47:02,10.0,27.4,25.5,29.3,27.3,26.6,284501.795,1059460.0,26.7,100.0,0.0,0.0,33410.0,127140.0,-93730.0,245357684.6,239468648.7,26.7,26.75,24830.0,920.0,26.65,26.8,22430.0,380.0,26.6,26.85,42200.0,1190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89460.0,2490.0,0.9458401305057096
CTG,2026-08-25T16:01:23.863401+07:00,14:46:04,10.0,31.8,29.6,34.0,31.9,31.35,250538.675,792840.0,31.5,10.0,0.0,0.0,8043.3,151670.0,-143626.7,233008339.1,40990279.5,31.45,31.5,2000.0,5280.0,31.4,31.55,24220.0,11350.0,31.35,31.6,34010.0,8150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60230.0,24780.0,0.4170097635572286
FPT,2026-08-25T16:01:23.863401+07:00,14:46:08,10.0,71.4,66.5,76.3,72.0,70.7,333931.38,469000.0,70.7,60.0,0.0,0.0,87378.0,91802.6,-4424.600000000006,84001994.6,37031659.5,70.7,70.8,11870.0,1130.0,70.6,70.9,20260.0,2240.0,70.5,71.0,14920.0,4170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47050.0,7540.0,0.7237589302069977
GAS,2026-08-25T16:01:23.863401+07:00,14:46:08,10.0,85.0,79.1,90.9,85.4,82.1,177007.2,212520.0,83.5,40.0,0.0,0.0,24744.4,22890.0,1854.4000000000012,118234538.0,113247646.8,83.5,83.6,30.0,40.0,83.4,83.7,1620.0,40.0,83.3,83.8,20.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670.0,170.0,0.8152173913043478
GVR,2026-08-25T16:01:23.863401+07:00,14:46:09,10.0,32.2,29.95,34.45,32.5,31.75,83844.445,261020.0,32.5,10.0,0.0,0.0,43800.0,25090.0,18710.0,52000000.0,49542269.5,32.5,32.55,1520.0,11420.0,32.45,32.6,2210.0,3560.0,32.4,32.65,6770.0,460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10500.0,15440.0,-0.19043947571318426
HDB,2026-08-25T16:01:23.863401+07:00,14:46:10,10.0,27.4,25.5,29.3,27.5,27.0,311794.81,1143330.0,27.0,1190.0,0.0,0.0,184450.0,201729.9,-17279.899999999994,135142460.7,26605975.6,27.0,27.05,50910.0,10.0,26.95,27.1,12420.0,10.0,26.9,27.15,10330.0,1510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73660.0,1530.0,0.9593030988163319
HPG,2026-08-25T16:01:23.863401+07:00,14:46:11,10.0,22.25,20.7,23.8,22.3,21.8,568777.71,2584410.0,21.8,670.0,0.0,0.0,238644.9,458432.8,-219787.9,413705261.4,230409939.7,21.8,21.85,73390.0,22150.0,21.75,21.9,67380.0,10520.0,21.7,21.95,127750.0,2250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268520.0,34920.0,0.7698391774321118
LPB,2026-08-25T16:01:23.863401+07:00,14:46:14,10.0,49.1,45.7,52.5,50.6,49.1,160826.51,321250.0,49.8,20.0,0.0,0.0,59370.0,55394.3,3975.699999999997,14936410.5,10444974.4,49.8,49.85,1330.0,190.0,49.75,49.9,250.0,3350.0,49.7,49.95,2420.0,910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0,4450.0,-0.05325443786982249
MBB,2026-08-25T16:01:23.863401+07:00,14:48:15,10.0,20.75,19.3,22.2,20.95,20.65,212358.29,1021210.0,20.65,100.0,0.0,0.0,90737.6,154580.0,-63842.4,187158728.3,8411111.4,20.65,20.7,3770.0,3410.0,20.6,20.75,80640.0,21580.0,20.55,20.8,50210.0,33410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134620.0,58400.0,0.39488135944461716
MSN,2026-08-25T16:01:23.863401+07:00,14:46:16,10.0,70.0,65.1,74.9,70.5,69.0,323046.58,464350.0,69.5,70.0,0.0,0.0,102754.6,97921.4,4833.200000000012,153495108.1,116387759.0,69.4,69.5,3760.0,80.0,69.3,69.6,15670.0,3220.0,69.2,69.7,10350.0,8360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29780.0,11660.0,0.4372586872586873
MWG,2026-08-25T16:01:23.863401+07:00,14:45:03,10.0,75.1,69.9,80.3,75.3,73.8,190842.66,255640.0,73.9,200.0,0.0,0.0,16430.0,16540.0,-110.0,72374729.4,0.0,73.9,74.0,270.0,2240.0,73.8,74.1,7860.0,380.0,73.7,74.2,2470.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10600.0,3620.0,0.4908579465541491
PLX,2026-08-25T16:01:23.863401+07:00,14:46:18,10.0,38.05,35.4,40.7,38.0,37.0,135144.2,360560.0,37.5,1540.0,0.0,0.0,24150.0,30100.0,-5950.0,25877561.6,7452704.1,37.45,37.5,1160.0,2470.0,37.4,37.7,3140.0,710.0,37.35,37.75,2970.0,1640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7270.0,4820.0,0.20264681555004135
SAB,2026-08-25T16:01:23.863401+07:00,14:46:20,10.0,46.1,42.9,49.3,46.35,45.6,28960.12,63040.0,46.1,60.0,0.0,0.0,19510.0,8910.0,10600.0,128256237.2,52754504.4,46.0,46.1,50.0,840.0,45.95,46.15,660.0,280.0,45.9,46.2,970.0,1270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680.0,2390.0,-0.17444717444717445
