Ticker,ForeignFlowDate,ForeignRoomRemaining_shares,ForeignHoldingPct,NetBuySellForeign_shares_1d,NetBuySellForeign_kVND_1d,NetBuySellForeign_shares_5d,NetBuySellForeign_kVND_5d,NetBuySellForeign_shares_20d,NetBuySellForeign_kVND_20d,ProprietaryFlowDate,NetBuySellProprietary_shares_1d,NetBuySellProprietary_kVND_1d,NetBuySellProprietary_shares_5d,NetBuySellProprietary_kVND_5d,NetBuySellProprietary_shares_20d,NetBuySellProprietary_kVND_20d
ACB,2026-07-01,315976051.0,27.75,-260300.0,-5893885.0,3546500.0,80013165.0,9595700.0,239967025.0,2026-07-01,-189200.0,-2281285.0,9516695.0,-64773037.0,5547117.0,-341459508.0
BID,2026-07-01,903120096.0,17.59,275300.0,11746340.0,-1022300.0,-42715925.0,869000.0,38446320.0,2026-07-01,-167600.0,-7209910.0,6626805.0,-26819570.0,12130160.0,-21978885.0
BSR,2026-07-01,2396085265.0,1.15,671400.0,16732869.999999998,-8261400.0,-203093475.0,-21024600.0,-542037070.0,2026-07-01,932600.0,23351845.0,8483275.0,10002940.0,22924060.0,38997810.0
CTG,2026-07-01,412600854.0,24.69,120900.0,4130275.0,-6473200.0,-217493080.0,-22224500.0,-748790995.0,2026-07-01,-589400.0,-20183365.0,20769295.0,-10958165.0,16898275.0,-92408835.0
FPT,2026-07-01,361190597.0,27.8,717900.0,51682340.0,-5550100.0,-391193190.0,-29544200.0,-2096461450.0,2026-07-01,1570000.0,113163980.0,5080300.0,262046790.0,-2379100.0,-63418640.0
GAS,2026-07-01,1133022922.0,2.04,-111300.0,-8770000.0,-338100.0,-26467210.0,-1225600.0,-99620110.0,2026-07-01,102400.0,8054740.000000001,208100.0,16275760.0,333813.0,40452459.0
GVR,2026-07-01,495351691.0,0.62,-26100.0,-860510.0,-47000.0,-1680555.000000001,227100.0,7728380.0,2026-07-01,-25945.0,-855520.0,-42045.0,-1347305.0,991155.0,35362875.0
HDB,2026-07-01,285251109.0,21.3,3312600.0,87894675.0,1644500.0,45913585.0,-11877000.0,-293968215.0,2026-07-01,-1112592.0,-29482718.0,-337192.0,-9590278.0,-1130926.0,-25943301.0
HPG,2026-07-01,2318734253.0,23.69,-2407000.0,-56492685.0,-9039200.0,-211428670.0,-15040600.0,-343936530.0,2026-07-01,-1058800.0,-24883690.0,2455300.0,57705470.0,-16944772.0,-372180735.0
LPB,2026-07-01,115580683.0,1.13,26800.0,1444290.0,857000.0,48876410.0,1302400.0,79961100.0,2026-07-01,-120700.0,-6439970.0,464700.0,25223480.0,18230100.0,806655977.0
