Ticker,PeriodLabel,DateRange,PeriodEnd,AvailableDate,Revenue,GrossProfit,OperatingProfit,NetProfit,ParentNetProfit,Cash,Receivables,Inventory,TotalAssets,TotalLiabilities,ShortLiabilities,LongLiabilities,Equity,BCTT_EPS4Q,BCTT_BVPS,BCTT_PB,BCTT_GrossMarginPct,BCTT_NetMarginPct,BCTT_ROEAPct,BCTT_ROAAPct,BCTT_CurrentRatio,BCTT_InterestCoverage,BCTT_DebtToAssetsPct,BCTT_DebtToEquityPct,BCTT_RevenueQoQPct,BCTT_RevenueYoYPct,BCTT_NetProfitQoQPct,BCTT_NetProfitYoYPct,BCTT_GrossProfitYoYPct,BCTT_InventoryYoYPct,BCTT_ReceivablesYoYPct,BCTT_EquityYoYPct,BCTT_CashToShortLiability,BCTT_InventoryToRevenue,BCTT_ReceivablesToRevenue,BCTTFetchedAt
VIC,Q1/2026,01/01/2026-31/03/2026,2026-03-31,2026-05-15,104352.0,25938.0,5084.0,5611.0,7276.0,54750.0,251349.0,217154.0,1178695.0,1024991.0,626456.0,398535.0,153704.0,1823.71,19875.0,6.79,24.86,5.38,4.83,0.63,1.07,2.53,86.96,232.8,-36.04275583939592,24.150238539968825,56.68807595643675,150.15604101649575,35.058578495183546,95.96083562694582,39.915833068920016,-2.3810279893047404,0.08739640134343034,2.0809759276295616,2.4086649034038636,2026-07-02T02:46:34.722938
VHM,Q1/2026,01/01/2026-31/03/2026,2026-03-31,2026-05-15,65114.0,31370.0,30775.0,25625.0,25552.0,35838.0,225589.0,138885.0,869975.0,597132.0,388428.0,208705.0,272842.0,15585.37,66427.0,1.55,48.18,39.35,9.79,3.08,1.33,13.0,68.64,59.4,-36.7886612950199,314.791693209326,-4.37719232778565,866.2518853695325,508.1814656843738,149.46562965890107,51.11702092027785,22.13378932478647,0.09226420340449196,2.132951439014651,3.464523758331542,2026-07-02T02:46:30.477102
VRE,Q1/2026,01/01/2026-31/03/2026,2026-03-31,2026-05-15,2294.0,1254.0,1920.0,1606.0,1606.0,3789.0,3278.0,222.0,60963.0,10988.0,3256.0,7732.0,49974.0,3025.45,21993.0,1.17,54.66,70.03,3.27,2.63,2.51,11.26,18.02,12.78,-0.7785467128027634,7.6489910839981246,-39.60135389244077,36.44859813084111,4.3261231281197965,-18.97810218978102,26.71047545419405,15.948955916473317,1.1636977886977886,0.0967741935483871,1.4289450741063645,2026-07-02T02:46:41.444833
VNM,Q1/2026,01/01/2026-31/03/2026,2026-03-31,2026-05-15,16149.0,6896.0,2992.0,2458.0,2429.0,2078.0,5591.0,7399.0,55429.0,18741.0,18457.0,284.0,36688.0,4914.19,17554.0,3.45,42.7,15.22,6.83,4.47,2.1,26.48,33.81,28.25,-5.195491370200777,24.847313490529576,-13.052706048814999,54.88342785129174,32.36084452975048,6.018054162487463,2.230755165478149,-2.48258997395141,0.11258601072763721,0.45817078456870397,0.3462133878258716,2026-07-02T02:46:38.155718
VCB,Q1/2026,01/01/2026-31/03/2026,2026-03-31,2026-05-15,,,,,,,,,2550963.0,,,,,4301.09,28008.67,2.07,,,4.12,0.38,,,,,,,,,,,,,,,,2026-07-02T02:46:27.084155
BID,Q1/2026,01/01/2026-31/03/2026,2026-03-31,2026-05-15,,,,,,,,,3388222.0,,,,,4403.45,27149.03,1.45,,,3.73,0.2,,,,,,,,,,,,,,,,2026-07-02T02:45:54.880475
CTG,Q1/2026,01/01/2026-31/03/2026,2026-03-31,2026-05-15,,,,,,,,,2924177.0,,,,,6485.87,24294.26,1.42,,,4.84,0.31,,,,,,,,,,,,,,,,2026-07-02T02:45:58.644805
TCB,Q1/2026,01/01/2026-31/03/2026,2026-03-31,2026-05-15,,,,,,,,,1190454.0,,,,,3675.48,26344.4,1.17,,,3.64,0.56,,,,,,,,,,,,,,,,2026-07-02T02:46:23.614324
MBB,Q1/2026,01/01/2026-31/03/2026,2026-03-31,2026-05-15,,,,,,,,,1611223.0,,,,,3848.46,18590.36,1.42,,,5.15,0.47,,,,,,,,,,,,,,,,2026-07-02T02:46:09.067918
FPT,Q1/2026,01/01/2026-31/03/2026,2026-03-31,2026-05-15,12480.0,4245.0,2748.0,2477.0,2487.0,7994.0,12348.0,1095.0,68586.0,28464.0,25696.0,2768.0,40122.0,6010.32,23553.0,3.17,34.01,19.85,5.93,3.17,1.62,16.62,41.5,40.12,-38.29419035846724,-22.281728733341634,-17.10174029451138,-4.5839753466872075,-32.62974131090303,-48.05502846299811,2.9171528588098017,5.871177138032024,0.31109900373599003,0.08774038461538461,0.989423076923077,2026-07-02T02:46:02.145933
