Ticker,OverviewFetchedAt,PE_fwd,PB,ROE
ACB,2026-07-02T03:16:56.504134,,,
BID,2026-07-02T02:43:34.007406,,,
BSR,2026-07-02T03:16:56.947029,,,
CTG,2026-07-02T02:43:34.510122,,,
FPT,2026-07-02T02:43:36.258781,,,
GAS,2026-07-02T03:16:57.668363,,,
GVR,2026-07-02T03:16:58.182489,,,
HDB,2026-07-02T03:16:58.907339,,,
HPG,2026-07-02T02:43:36.650155,,,
LPB,2026-07-02T03:16:59.774633,,,
MBB,2026-07-02T02:43:35.708984,,,
MSN,2026-07-02T02:43:37.079709,,,
MWG,2026-07-02T02:43:37.628628,,,
PLX,2026-07-02T03:17:00.486181,,,
SAB,2026-07-02T03:17:01.032801,,,
SHB,2026-07-02T03:17:01.701494,,,
SSB,2026-07-02T03:17:02.129784,,,
SSI,2026-07-02T02:43:38.293128,,,
STB,2026-07-02T03:17:02.926931,,,
TCB,2026-07-02T02:43:35.193597,,,
TPB,2026-07-02T03:17:03.979417,,,
VCB,2026-07-02T02:43:33.292937,,,
VHM,2026-07-02T02:43:32.340330,,,
VIB,2026-07-02T03:17:04.492947,,,
VIC,2026-07-02T02:43:31.866699,,,
VJC,2026-07-02T03:17:05.129527,,,
VNM,2026-07-02T03:25:05.140804,,,
VPB,2026-07-02T03:17:05.720825,,,
VPL,2026-07-02T03:17:06.136495,,,
VRE,2026-07-02T02:43:32.758841,,,
