Column,Group,DType,NonNullCount,NullCount,Example
Ticker,identifier,str,32,0,ACB
LatestDate,time,str,32,0,2026-09-03
LastClose,price_ohlc,float64,32,0,22.2
DailyOpen,price_ohlc,float64,32,0,22.55
DailyHigh,price_ohlc,float64,32,0,22.55
DailyLow,price_ohlc,float64,32,0,22.2
DailyVolume,liquidity,int64,32,0,10284000
Ret1dPct,trend_momentum,float64,32,0,-1.9867549668874163
Ret5dPct,trend_momentum,float64,32,0,-1.333333333333342
Ret20dPct,trend_momentum,float64,32,0,-1.55210643015522
Ret60dPct,trend_momentum,float64,32,0,2.0455067800505544
Ret120dPct,trend_momentum,float64,32,0,11.061083595977772
Ret252dPct,trend_momentum,float64,32,0,-5.792488860598355
SMA20,trend_momentum,float64,32,0,22.3125
SMA50,trend_momentum,float64,32,0,22.503
SMA200,trend_momentum,float64,32,0,21.206355
EMA20,trend_momentum,float64,32,0,22.343177931048743
EMA50,trend_momentum,float64,32,0,22.261610362209407
DistSMA20Pct,trend_momentum,float64,32,0,-0.5042016806722671
DistSMA50Pct,trend_momentum,float64,32,0,-1.3464871350486685
DistSMA200Pct,trend_momentum,float64,32,0,4.685600142032897
DistEMA20Pct,trend_momentum,float64,32,0,-0.640812741547292
RSI14,trend_momentum,float64,32,0,44.00000000000001
ATR14,risk_volatility,float64,32,0,0.40357142857142847
ATR14Pct,risk_volatility,float64,32,0,1.8178893178893176
RealizedVol20dPct,risk_volatility,float64,32,0,22.1264703047704
RealizedVol60dPct,risk_volatility,float64,32,0,23.499004927939176
DownsideVol20dPct,risk_volatility,float64,32,0,12.247459986936306
Drawdown60dPct,risk_volatility,float64,32,0,-6.526315789473691
Drawdown252dPct,risk_volatility,float64,32,0,-7.314629258517047
DailyGapPct,other,float64,32,0,-0.44150110375275053
DailyCloseLocationPct,other,float64,32,0,0.0
DailyTradedValue,liquidity,float64,32,0,228304800.0
ADV20Shares,liquidity,float64,32,0,8899515.0
ADV60Shares,liquidity,float64,32,0,15017732.416666666
AvgValue20,liquidity,float64,32,0,198849420.25
AvgValue60,liquidity,float64,32,0,339661668.83000004
VolumeRatio20,liquidity,float64,32,0,1.1555685899737234
ValueRatio20,liquidity,float64,32,0,1.1481290702933291
High52w,other,float64,32,0,24.642
Low52w,other,float64,32,0,18.697
Pos52wPct,trend_momentum,float64,32,0,58.92346509671993
ExcessRet20dVsVNINDEXPct,trend_momentum,float64,32,0,-5.232531199277779
ExcessRet60dVsVNINDEXPct,trend_momentum,float64,32,0,-0.03153186213920023
Beta60dVsVNINDEX,other,float64,32,0,0.6114035040763288
Corr60dVsVNINDEX,other,float64,32,0,0.4522945438451009
ExcessRet20dVsVN30Pct,trend_momentum,float64,32,0,-3.840276050896829
ExcessRet60dVsVN30Pct,trend_momentum,float64,32,0,0.7671160241168318
Beta60dVsVN30,other,float64,32,0,0.8541395159568619
Corr60dVsVN30,other,float64,32,0,0.5905975600826106
IntradayDate,intraday,str,32,0,2026-09-03
IntradayLastTimestamp,intraday,str,32,0,2026-09-03 14:45:00+07:00
IntradayOpen,price_ohlc,float64,32,0,22.55
IntradayHigh,price_ohlc,float64,32,0,22.55
IntradayLow,price_ohlc,float64,32,0,22.2
IntradayLast,price_ohlc,float64,32,0,22.2
IntradayVolume,intraday,float64,32,0,10161500.0
IntradayVWAP,intraday,float64,32,0,22.33183289868622
IntradayRetFromOpenPct,intraday,float64,32,0,-1.55210643015522
IntradayRangePct,intraday,float64,32,0,1.552106430155217
IntradayCloseVsVWAPPct,intraday,float64,32,0,-0.5903362222183572
IntradayAvgVolumePerMinute,intraday,float64,32,0,44962.38938053097
IntradayTradedValue,intraday,float64,32,0,226924920.0
IntradayRet5mPct,intraday,float64,32,0,-0.6711409395973256
IntradayVolume5m,intraday,float64,32,0,925700.0
IntradayRet15mPct,intraday,float64,32,0,-0.4484304932735439
IntradayVolume15m,intraday,float64,32,0,1656300.0
IntradayRet30mPct,intraday,float64,32,0,-0.6711409395973256
IntradayVolume30m,intraday,float64,32,0,2131400.0
IntradayRet60mPct,intraday,float64,32,0,-0.4484304932735439
IntradayVolume60m,intraday,float64,32,0,3252500.0
IntradayVolumePctADV20,intraday,float64,32,0,114.18037949259032
IntradayFirst15mVolume,intraday,float64,32,0,1349700.0
IntradayFirst15mRangePct,intraday,float64,32,0,1.1086474501108647
IntradayFirst30mVolume,intraday,float64,32,0,2512700.0
IntradayFirst30mRangePct,intraday,float64,32,0,1.1086474501108647
FetchedAt,other,str,30,2,2026-09-03T19:51:16.260275+07:00
PriceboardTime,time,str,30,2,14:46:00
FloorCode,other,float64,30,2,10.0
BasicPrice,other,float64,30,2,22.65
FloorPrice,other,float64,30,2,21.1
CeilingPrice,other,float64,30,2,24.2
HighestPrice,other,float64,30,2,22.55
LowestPrice,other,float64,30,2,22.2
AccumulatedValue,liquidity,float64,30,2,229687.875
AccumulatedVolume,liquidity,float64,30,2,1028400.0
MatchPrice,other,float64,30,2,22.2
MatchVolume,liquidity,float64,30,2,3700.0
CurrentPrice,other,float64,30,2,0.0
CurrentVolume,liquidity,float64,30,2,0.0
ForeignBuyVolume,flows,float64,30,2,103918.8
ForeignSellVolume,flows,float64,30,2,471804.0
ForeignNetVolume,flows,float64,30,2,-367885.2
ForeignTotalRoom,flows,float64,30,2,174132658.7
ForeignCurrentRoom,flows,float64,30,2,36228222.5
BestBid1,depth,float64,30,2,22.2
BestAsk1,depth,float64,30,2,22.25
BidVolume1,depth,float64,30,2,46620.0
AskVolume1,depth,float64,30,2,4480.0
BestBid2,depth,float64,30,2,22.15
BestAsk2,depth,float64,30,2,22.3
BidVolume2,depth,float64,30,2,18710.0
AskVolume2,depth,float64,30,2,5250.0
BestBid3,depth,float64,30,2,22.1
BestAsk3,depth,float64,30,2,22.35
BidVolume3,depth,float64,30,2,37680.0
AskVolume3,depth,float64,30,2,8660.0
BestBid4,depth,float64,0,32,
BestAsk4,depth,float64,0,32,
BidVolume4,depth,float64,0,32,
AskVolume4,depth,float64,0,32,
BestBid5,depth,float64,0,32,
BestAsk5,depth,float64,0,32,
BidVolume5,depth,float64,0,32,
AskVolume5,depth,float64,0,32,
BestBid6,depth,float64,0,32,
BestAsk6,depth,float64,0,32,
BidVolume6,depth,float64,0,32,
AskVolume6,depth,float64,0,32,
BestBid7,depth,float64,0,32,
BestAsk7,depth,float64,0,32,
BidVolume7,depth,float64,0,32,
AskVolume7,depth,float64,0,32,
BestBid8,depth,float64,0,32,
BestAsk8,depth,float64,0,32,
BidVolume8,depth,float64,0,32,
AskVolume8,depth,float64,0,32,
BestBid9,depth,float64,0,32,
BestAsk9,depth,float64,0,32,
BidVolume9,depth,float64,0,32,
AskVolume9,depth,float64,0,32,
BestBid10,depth,float64,0,32,
BestAsk10,depth,float64,0,32,
BidVolume10,depth,float64,0,32,
AskVolume10,depth,float64,0,32,
BidAskSpreadPct,depth,float64,0,32,
BidDepthVolume10,depth,float64,30,2,103010.0
AskDepthVolume10,depth,float64,30,2,18390.0
DepthImbalance,depth,float64,30,2,0.6970345963756178
OverviewFetchedAt,other,str,30,2,2026-09-03T09:15:07.477114
PE_fwd,fundamentals,object,0,32,
PB,fundamentals,object,0,32,
ROE,fundamentals,object,0,32,
PeriodLabel,fundamentals,str,30,2,Q1/2026
DateRange,risk_volatility,str,30,2,01/01/2026-31/03/2026
PeriodEnd,fundamentals,datetime64[us],30,2,2026-03-31 00:00:00
AvailableDate,time,datetime64[us],30,2,2026-05-15 00:00:00
Revenue,other,float64,15,17,45920.0
GrossProfit,other,float64,15,17,9507.0
OperatingProfit,fundamentals,float64,16,16,9235.0
NetProfit,other,float64,15,17,8266.0
ParentNetProfit,other,float64,16,16,8265.0
Cash,other,float64,16,16,6635.0
Receivables,other,float64,16,16,24234.0
Inventory,other,float64,15,17,21574.0
TotalAssets,other,float64,30,2,1030901.0
TotalLiabilities,other,float64,16,16,38007.0
ShortLiabilities,other,float64,16,16,37156.0
LongLiabilities,other,float64,15,17,852.0
Equity,other,float64,16,16,68779.0
