t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3,Ticker,Timestamp,TradeDate,MinuteOfDay,MinuteIndexInDay,ret_1m_pct,volume_per_minute,traded_value_1m,cum_volume,cum_traded_value,cum_vwap,close_vs_cum_vwap_pct,ret_from_day_open_pct
1788405240,36.5,36.5,36.45,36.5,5100,2026-09-03,,,,,,,,,BID,2026-09-03 10:14:00+07:00,2026-09-03,614,60,0.0,5100.0,186150.0,956600.0,34951975.0,36.53771168722559,-0.10321305162297456,-0.5449591280654031
1788405300,36.5,36.5,36.45,36.45,56000,2026-09-03,,,,,,,,,BID,2026-09-03 10:15:00+07:00,2026-09-03,615,61,-0.1369863013698569,56000.0,2041200.0000000002,1012600.0,36993175.0,36.53286095200474,-0.22681210790908013,-0.6811989100817484
1788405360,36.45,36.5,36.45,36.5,6300,2026-09-03,,,,,,,,,BID,2026-09-03 10:16:00+07:00,2026-09-03,616,62,0.137174211248281,6300.0,229950.0,1018900.0,37223125.0,36.53265776818137,-0.08939335426566553,-0.5449591280654031
1788405420,36.5,36.5,36.45,36.45,3000,2026-09-03,,,,,,,,,BID,2026-09-03 10:17:00+07:00,2026-09-03,617,63,-0.1369863013698569,3000.0,109350.00000000001,1021900.0,37332475.0,36.53241510911048,-0.2255944723729031,-0.6811989100817484
1788405480,36.5,36.5,36.45,36.5,400,2026-09-03,,,,,,,,,BID,2026-09-03 10:18:00+07:00,2026-09-03,618,64,0.137174211248281,400.0,14600.0,1022300.0,37347075.0,36.532402425902376,-0.08869503167249215,-0.5449591280654031
1788405540,36.5,36.5,36.45,36.45,4600,2026-09-03,,,,,,,,,BID,2026-09-03 10:19:00+07:00,2026-09-03,619,65,-0.1369863013698569,4600.0,167670.0,1026900.0,37514745.0,36.532033304119196,-0.22455170626909382,-0.6811989100817484
1788405600,36.5,36.5,36.5,36.5,1300,2026-09-03,,,,,,,,,BID,2026-09-03 10:20:00+07:00,2026-09-03,620,66,0.137174211248281,1300.0,47450.0,1028200.0,37562195.0,36.53199280295662,-0.0875747543507499,-0.5449591280654031
1788405660,36.5,36.5,36.5,36.5,1600,2026-09-03,,,,,,,,,BID,2026-09-03 10:21:00+07:00,2026-09-03,621,67,0.0,1600.0,58400.0,1029800.0,37620595.0,36.53194309574675,-0.08743880845053509,-0.5449591280654031
1788405720,36.5,36.5,36.45,36.45,5200,2026-09-03,,,,,,,,,BID,2026-09-03 10:22:00+07:00,2026-09-03,622,68,-0.1369863013698569,5200.0,189540.00000000003,1035000.0,37810135.0,36.53153140096618,-0.22318090109965105,-0.6811989100817484
1788405780,36.5,36.5,36.45,36.5,2700,2026-09-03,,,,,,,,,BID,2026-09-03 10:23:00+07:00,2026-09-03,623,69,0.137174211248281,2700.0,98550.0,1037700.0,37908685.0,36.53144935915968,-0.08608845176243385,-0.5449591280654031
1788405840,36.5,36.5,36.5,36.5,5200,2026-09-03,,,,,,,,,BID,2026-09-03 10:24:00+07:00,2026-09-03,624,70,0.0,5200.0,189800.0,1042900.0,38098485.0,36.53129254962125,-0.08565957412742797,-0.5449591280654031
1788405900,36.5,36.5,36.5,36.5,5100,2026-09-03,,,,,,,,,BID,2026-09-03 10:25:00+07:00,2026-09-03,625,71,0.0,5100.0,186150.0,1048000.0,38284635.0,36.53114026717557,-0.08524307466951653,-0.5449591280654031
1788405960,36.45,36.5,36.45,36.5,25800,2026-09-03,,,,,,,,,BID,2026-09-03 10:26:00+07:00,2026-09-03,626,72,0.0,25800.0,941700.0,1073800.0,39226335.0,36.53039206556156,-0.0831966585713384,-0.5449591280654031
1788406020,36.5,36.55,36.5,36.55,13200,2026-09-03,,,,,,,,,BID,2026-09-03 10:27:00+07:00,2026-09-03,627,73,0.1369863013698458,13200.0,482459.99999999994,1087000.0,39708795.0,36.53063017479301,0.053023517837780254,-0.4087193460490579
1788406080,36.55,36.55,36.55,36.55,2900,2026-09-03,,,,,,,,,BID,2026-09-03 10:28:00+07:00,2026-09-03,628,74,0.0,2900.0,105994.99999999999,1089900.0,39814790.0,36.53068171391871,0.05288235854061796,-0.4087193460490579
1788406140,36.55,36.6,36.55,36.6,4300,2026-09-03,,,,,,,,,BID,2026-09-03 10:29:00+07:00,2026-09-03,629,75,0.1367989056087593,4300.0,157380.0,1094200.0,39972170.0,36.530954121732776,0.1890065012732478,-0.27247956403270157
1788406200,36.55,36.6,36.55,36.6,1100,2026-09-03,,,,,,,,,BID,2026-09-03 10:30:00+07:00,2026-09-03,630,76,0.0,1100.0,40260.0,1095300.0,40012430.0,36.531023463891174,0.1888163253269015,-0.27247956403270157
1788406260,36.6,36.6,36.55,36.55,7900,2026-09-03,,,,,,,,,BID,2026-09-03 10:31:00+07:00,2026-09-03,631,77,-0.1366120218579403,7900.0,288745.0,1103200.0,40301175.0,36.53115935460479,0.05157417866847869,-0.4087193460490579
1788406320,36.6,36.6,36.55,36.55,8900,2026-09-03,,,,,,,,,BID,2026-09-03 10:32:00+07:00,2026-09-03,632,78,0.0,8900.0,325295.0,1112100.0,40626470.0,36.53131013398076,0.051161225673790334,-0.4087193460490579
1788406380,36.6,36.6,36.55,36.6,3900,2026-09-03,,,,,,,,,BID,2026-09-03 10:33:00+07:00,2026-09-03,633,79,0.1367989056087593,3900.0,142740.0,1116000.0,40769210.0,36.53155017921147,0.1873717935667596,-0.27247956403270157
1788406440,36.6,36.6,36.6,36.6,600,2026-09-03,,,,,,,,,BID,2026-09-03 10:34:00+07:00,2026-09-03,634,80,0.0,600.0,21960.0,1116600.0,40791170.0,36.531586960415545,0.18727092162349468,-0.27247956403270157
1788406500,36.6,36.6,36.55,36.6,7100,2026-09-03,,,,,,,,,BID,2026-09-03 10:35:00+07:00,2026-09-03,635,81,0.0,7100.0,259860.0,1123700.0,41051030.0,36.532019222212334,0.18608546484704114,-0.27247956403270157
1788406560,36.6,36.6,36.55,36.55,4800,2026-09-03,,,,,,,,,BID,2026-09-03 10:36:00+07:00,2026-09-03,636,82,-0.1366120218579403,4800.0,175440.0,1128500.0,41226470.0,36.53209570225964,0.04900977454531663,-0.4087193460490579
1788406620,36.55,36.6,36.55,36.55,4100,2026-09-03,,,,,,,,,BID,2026-09-03 10:37:00+07:00,2026-09-03,637,83,0.0,4100.0,149855.0,1132600.0,41376325.0,36.53216051562776,0.04883227304501858,-0.4087193460490579
1788406680,36.6,36.6,36.5,36.5,71700,2026-09-03,,,,,,,,,BID,2026-09-03 10:38:00+07:00,2026-09-03,638,84,-0.1367989056087482,71700.0,2617050.0,1204300.0,43993375.0,36.53024578593374,-0.0827965574362044,-0.5449591280654031
1788406740,36.5,36.55,36.5,36.55,4000,2026-09-03,,,,,,,,,BID,2026-09-03 10:39:00+07:00,2026-09-03,639,85,0.1369863013698458,4000.0,146200.0,1208300.0,44139575.0,36.5303111809981,0.05389721128941094,-0.4087193460490579
1788406800,36.55,36.6,36.55,36.6,2600,2026-09-03,,,,,,,,,BID,2026-09-03 10:40:00+07:00,2026-09-03,640,86,0.1367989056087593,2600.0,95160.0,1210900.0,44234735.0,36.53046081427038,0.190359453944966,-0.27247956403270157
1788406860,36.6,36.6,36.6,36.6,800,2026-09-03,,,,,,,,,BID,2026-09-03 10:41:00+07:00,2026-09-03,641,87,0.0,800.0,29280.0,1211700.0,44264015.0,36.53050672608732,0.19023353394398423,-0.27247956403270157
1788406920,36.6,36.6,36.55,36.55,4700,2026-09-03,,,,,,,,,BID,2026-09-03 10:42:00+07:00,2026-09-03,642,88,-0.1366120218579403,4700.0,171785.0,1216400.0,44435800.0,36.53058204537981,0.05315533871337319,-0.4087193460490579
1788406980,36.55,36.6,36.55,36.6,4300,2026-09-03,,,,,,,,,BID,2026-09-03 10:43:00+07:00,2026-09-03,643,89,0.1367989056087593,4300.0,157380.0,1220700.0,44593180.0,36.530826574916034,0.1893563096419637,-0.27247956403270157
1788407040,36.6,36.6,36.55,36.55,2100,2026-09-03,,,,,,,,,BID,2026-09-03 10:44:00+07:00,2026-09-03,644,90,-0.1366120218579403,2100.0,76755.0,1222800.0,44669935.0,36.5308595027805,0.052395419872453,-0.4087193460490579
1788407100,36.6,36.6,36.55,36.55,2800,2026-09-03,,,,,,,,,BID,2026-09-03 10:45:00+07:00,2026-09-03,645,91,0.0,2800.0,102339.99999999999,1225600.0,44772275.0,36.530903231070496,0.05227565496725983,-0.4087193460490579
1788407160,36.55,36.6,36.55,36.6,12000,2026-09-03,,,,,,,,,BID,2026-09-03 10:46:00+07:00,2026-09-03,646,92,0.1367989056087593,12000.0,439200.0,1237600.0,45211475.0,36.53157320620556,0.1873086423302972,-0.27247956403270157
1788407220,36.6,36.6,36.6,36.6,15200,2026-09-03,,,,,,,,,BID,2026-09-03 10:47:00+07:00,2026-09-03,647,93,0.0,15200.0,556320.0,1252800.0,45767795.0,36.532403416347385,0.1850318548227925,-0.27247956403270157
1788407280,36.6,36.6,36.6,36.6,4100,2026-09-03,,,,,,,,,BID,2026-09-03 10:48:00+07:00,2026-09-03,648,94,0.0,4100.0,150060.0,1256900.0,45917855.0,36.53262391598377,0.18442716890847421,-0.27247956403270157
1788407340,36.6,36.6,36.55,36.6,5400,2026-09-03,,,,,,,,,BID,2026-09-03 10:49:00+07:00,2026-09-03,649,95,0.0,5400.0,197640.0,1262300.0,46115495.0,36.53291214449814,0.18363675810049163,-0.27247956403270157
1788407400,36.6,36.6,36.6,36.6,1400,2026-09-03,,,,,,,,,BID,2026-09-03 10:50:00+07:00,2026-09-03,650,96,0.0,1400.0,51240.0,1263700.0,46166735.0,36.53298646830735,0.1834329414891478,-0.27247956403270157
1788407460,36.6,36.6,36.55,36.55,900,2026-09-03,,,,,,,,,BID,2026-09-03 10:51:00+07:00,2026-09-03,651,97,-0.1366120218579403,900.0,32895.0,1264600.0,46199630.0,36.53299857662502,0.04653716923705975,-0.4087193460490579
1788407520,36.6,36.6,36.55,36.55,4700,2026-09-03,,,,,,,,,BID,2026-09-03 10:52:00+07:00,2026-09-03,652,98,0.0,4700.0,171785.0,1269300.0,46371415.0,36.533061529977154,0.04636477019299701,-0.4087193460490579
1788407580,36.55,36.6,36.55,36.6,11600,2026-09-03,,,,,,,,,BID,2026-09-03 10:53:00+07:00,2026-09-03,653,99,0.1367989056087593,11600.0,424560.0,1280900.0,46795975.0,36.533667733624796,0.18156476064448146,-0.27247956403270157
1788407640,36.6,36.6,36.55,36.55,1200,2026-09-03,,,,,,,,,BID,2026-09-03 10:54:00+07:00,2026-09-03,654,100,-0.1366120218579403,1200.0,43860.0,1282100.0,46839835.0,36.53368302004524,0.044662838799491844,-0.4087193460490579
1788407700,36.6,36.6,36.55,36.6,1900,2026-09-03,,,,,,,,,BID,2026-09-03 10:55:00+07:00,2026-09-03,655,101,0.1367989056087593,1900.0,69540.0,1284000.0,46909375.0,36.533781152647975,0.18125374725201926,-0.27247956403270157
1788407760,36.6,36.6,36.55,36.6,6600,2026-09-03,,,,,,,,,BID,2026-09-03 10:56:00+07:00,2026-09-03,656,102,0.0,6600.0,241560.0,1290600.0,47150935.0,36.53411978924531,0.1803251621627533,-0.27247956403270157
1788407820,36.6,36.6,36.55,36.6,1800,2026-09-03,,,,,,,,,BID,2026-09-03 10:57:00+07:00,2026-09-03,657,103,0.0,1800.0,65880.0,1292400.0,47216815.0,36.534211544413495,0.1800735606584336,-0.27247956403270157
1788407880,36.6,36.6,36.55,36.6,2700,2026-09-03,,,,,,,,,BID,2026-09-03 10:58:00+07:00,2026-09-03,658,104,0.0,2700.0,98820.0,1295100.0,47315635.0,36.53434869894217,0.17969747209352072,-0.27247956403270157
1788407940,36.6,36.6,36.55,36.6,7700,2026-09-03,,,,,,,,,BID,2026-09-03 10:59:00+07:00,2026-09-03,659,105,0.0,7700.0,281820.0,1302800.0,47597455.0,36.53473672090881,0.17863350046762871,-0.27247956403270157
1788408000,36.6,36.6,36.55,36.55,3600,2026-09-03,,,,,,,,,BID,2026-09-03 11:00:00+07:00,2026-09-03,660,106,-0.1366120218579403,3600.0,131580.0,1306400.0,47729035.0,36.534778781383956,0.041662271194042866,-0.4087193460490579
1788408060,36.6,36.6,36.6,36.6,1200,2026-09-03,,,,,,,,,BID,2026-09-03 11:01:00+07:00,2026-09-03,661,107,0.1367989056087593,1200.0,43920.0,1307600.0,47772955.0,36.5348386356684,0.1783540499012526,-0.27247956403270157
1788408120,36.6,36.6,36.55,36.55,5300,2026-09-03,,,,,,,,,BID,2026-09-03 11:02:00+07:00,2026-09-03,662,108,-0.1366120218579403,5300.0,193714.99999999997,1312900.0,47966670.0,36.534899840048745,0.041330782395365695,-0.4087193460490579
1788408180,36.55,36.6,36.55,36.6,11700,2026-09-03,,,,,,,,,BID,2026-09-03 11:03:00+07:00,2026-09-03,663,109,0.1367989056087593,11700.0,428220.0,1324600.0,48394890.0,36.53547486033519,0.1766095552650393,-0.27247956403270157
1788408240,36.6,36.6,36.6,36.6,3800,2026-09-03,,,,,,,,,BID,2026-09-03 11:04:00+07:00,2026-09-03,664,110,0.0,3800.0,139080.0,1328400.0,48533970.0,36.535659439927734,0.17610345908236624,-0.27247956403270157
1788408300,36.6,36.6,36.55,36.6,2200,2026-09-03,,,,,,,,,BID,2026-09-03 11:05:00+07:00,2026-09-03,665,111,0.0,2200.0,80520.0,1330600.0,48614490.0,36.53576581993086,0.175811779574353,-0.27247956403270157
1788408360,36.6,36.6,36.55,36.6,5400,2026-09-03,,,,,,,,,BID,2026-09-03 11:06:00+07:00,2026-09-03,666,112,0.0,5400.0,197640.0,1336000.0,48812130.0,36.5360254491018,0.17509991881115017,-0.27247956403270157
1788408420,36.6,36.6,36.55,36.6,1400,2026-09-03,,,,,,,,,BID,2026-09-03 11:07:00+07:00,2026-09-03,667,113,0.0,1400.0,51240.0,1337400.0,48863370.0,36.53609241812472,0.1749163023344602,-0.27247956403270157
1788408480,36.6,36.6,36.55,36.6,7000,2026-09-03,,,,,,,,,BID,2026-09-03 11:08:00+07:00,2026-09-03,668,114,0.0,7000.0,256200.0,1344400.0,49119570.0,36.53642517108003,0.17400396623994396,-0.27247956403270157
1788408540,36.55,36.6,36.55,36.55,6300,2026-09-03,,,,,,,,,BID,2026-09-03 11:09:00+07:00,2026-09-03,669,115,-0.1366120218579403,6300.0,230264.99999999997,1350700.0,49349835.0,36.53648848745095,0.03698087339094602,-0.4087193460490579
1788408600,36.55,36.6,36.55,36.6,1100,2026-09-03,,,,,,,,,BID,2026-09-03 11:10:00+07:00,2026-09-03,670,116,0.1367989056087593,1100.0,40260.0,1351800.0,49390095.0,36.536540168664004,0.17368867178733094,-0.27247956403270157
1788408660,36.6,36.6,36.55,36.55,4400,2026-09-03,,,,,,,,,BID,2026-09-03 11:11:00+07:00,2026-09-03,671,117,-0.1366120218579403,4400.0,160820.0,1356200.0,49550915.0,36.536583837192154,0.03671980628410232,-0.4087193460490579
1788408720,36.55,36.6,36.55,36.55,13900,2026-09-03,,,,,,,,,BID,2026-09-03 11:12:00+07:00,2026-09-03,672,118,0.0,13900.0,508044.99999999994,1370100.0,50058960.0,36.53671994744909,0.036347139453152266,-0.4087193460490579
1788408780,36.6,36.6,36.55,36.6,1000,2026-09-03,,,,,,,,,BID,2026-09-03 11:13:00+07:00,2026-09-03,673,119,0.1367989056087593,1000.0,36600.0,1371100.0,50095560.0,36.53676610021151,0.17306923008746367,-0.27247956403270157
1788408840,36.6,36.6,36.6,36.6,800,2026-09-03,,,,,,,,,BID,2026-09-03 11:14:00+07:00,2026-09-03,674,120,0.0,800.0,29280.0,1371900.0,50124840.0,36.53680297397769,0.17296813316511894,-0.27247956403270157
1788408900,36.55,36.6,36.55,36.6,1900,2026-09-03,,,,,,,,,BID,2026-09-03 11:15:00+07:00,2026-09-03,675,121,0.0,1900.0,69540.0,1373800.0,50194380.0,36.53689037705634,0.1727285006807744,-0.27247956403270157
1788408960,36.6,36.6,36.55,36.6,3400,2026-09-03,,,,,,,,,BID,2026-09-03 11:16:00+07:00,2026-09-03,676,122,0.0,3400.0,124440.0,1377200.0,50318820.0,36.537046180656404,0.17230133774996936,-0.27247956403270157
1788409020,36.6,36.6,36.6,36.6,5800,2026-09-03,,,,,,,,,BID,2026-09-03 11:17:00+07:00,2026-09-03,677,123,0.0,5800.0,212280.0,1383000.0,50531100.0,36.53731019522777,0.17157750375511593,-0.27247956403270157
1788409080,36.6,36.6,36.55,36.6,9800,2026-09-03,,,,,,,,,BID,2026-09-03 11:18:00+07:00,2026-09-03,678,124,0.0,9800.0,358680.0,1392800.0,50889780.0,36.53775129236071,0.1703681957359704,-0.27247956403270157
1788409140,36.55,36.6,36.55,36.55,5800,2026-09-03,,,,,,,,,BID,2026-09-03 11:19:00+07:00,2026-09-03,679,125,-0.1366120218579403,5800.0,211989.99999999997,1398600.0,51101770.0,36.537802087802085,0.03338436222464214,-0.4087193460490579
1788409200,36.55,36.6,36.55,36.6,1000,2026-09-03,,,,,,,,,BID,2026-09-03 11:20:00+07:00,2026-09-03,680,126,0.1367989056087593,1000.0,36600.0,1399600.0,51138370.0,36.53784652757931,0.17010710353106973,-0.27247956403270157
1788409260,36.6,36.6,36.55,36.55,2500,2026-09-03,,,,,,,,,BID,2026-09-03 11:21:00+07:00,2026-09-03,681,127,-0.1366120218579403,2500.0,91375.0,1402100.0,51229745.0,36.537868197703446,0.033203366520750954,-0.4087193460490579
1788409320,36.6,36.6,36.55,36.55,22000,2026-09-03,,,,,,,,,BID,2026-09-03 11:22:00+07:00,2026-09-03,682,128,0.0,22000.0,804099.9999999999,1424100.0,52033845.0,36.53805561407204,0.032690261501922,-0.4087193460490579
1788409380,36.55,36.6,36.55,36.6,3200,2026-09-03,,,,,,,,,BID,2026-09-03 11:23:00+07:00,2026-09-03,683,129,0.1367989056087593,3200.0,117120.0,1427300.0,52150965.0,36.53819449309886,0.1691531498985821,-0.27247956403270157
1788409440,36.6,36.6,36.5,36.5,5200,2026-09-03,,,,,,,,,BID,2026-09-03 11:24:00+07:00,2026-09-03,684,130,-0.2732240437158473,5200.0,189800.0,1432500.0,52340765.0,36.53805584642234,-0.10415399927762303,-0.5449591280654031
1788409500,36.55,36.6,36.55,36.6,1600,2026-09-03,,,,,,,,,BID,2026-09-03 11:25:00+07:00,2026-09-03,685,131,0.273972602739736,1600.0,58560.0,1434100.0,52399325.0,36.53812495641866,0.16934378448576481,-0.27247956403270157
1788409560,36.55,36.6,36.5,36.55,5600,2026-09-03,,,,,,,,,BID,2026-09-03 11:26:00+07:00,2026-09-03,686,132,-0.1366120218579403,5600.0,204679.99999999997,1439700.0,52604005.0,36.538171146766686,0.03237396087996114,-0.4087193460490579
1788409620,36.6,36.6,36.55,36.55,1900,2026-09-03,,,,,,,,,BID,2026-09-03 11:27:00+07:00,2026-09-03,687,133,0.0,1900.0,69445.0,1441600.0,52673450.0,36.538186736958934,0.032331278851094325,-0.4087193460490579
1788409680,36.55,36.6,36.5,36.5,42100,2026-09-03,,,,,,,,,BID,2026-09-03 11:28:00+07:00,2026-09-03,688,134,-0.1367989056087482,42100.0,1536650.0,1483700.0,54210100.0,36.53710318797601,-0.10154934228123746,-0.5449591280654031
1788409740,36.6,36.6,36.5,36.55,4200,2026-09-03,,,,,,,,,BID,2026-09-03 11:29:00+07:00,2026-09-03,689,135,0.1369863013698458,4200.0,153510.0,1487900.0,54363610.0,36.53713959271457,0.03519817760444521,-0.4087193460490579
1788415200,36.55,36.55,36.5,36.55,24200,2026-09-03,,,,,,,,,BID,2026-09-03 13:00:00+07:00,2026-09-03,780,136,0.0,24200.0,884509.9999999999,1512100.0,55248120.0,36.53734541366312,0.03463466268172066,-0.4087193460490579
1788415260,36.55,36.55,36.55,36.55,1900,2026-09-03,,,,,,,,,BID,2026-09-03 13:01:00+07:00,2026-09-03,781,137,0.0,1900.0,69445.0,1514000.0,55317565.0,36.53736129458388,0.03459118274637962,-0.4087193460490579
1788415320,36.55,36.55,36.5,36.55,16200,2026-09-03,,,,,,,,,BID,2026-09-03 13:02:00+07:00,2026-09-03,782,138,0.0,16200.0,592110.0,1530200.0,55909675.0,36.53749509867991,0.03422484569977069,-0.4087193460490579
1788415380,36.5,36.55,36.5,36.55,5200,2026-09-03,,,,,,,,,BID,2026-09-03 13:03:00+07:00,2026-09-03,783,139,0.0,5200.0,190059.99999999997,1535400.0,56099735.0,36.53753744952456,0.03410889552328822,-0.4087193460490579
1788415440,36.55,36.55,36.5,36.5,4400,2026-09-03,,,,,,,,,BID,2026-09-03 13:04:00+07:00,2026-09-03,784,140,-0.1367989056087482,4400.0,160600.0,1539800.0,56260335.0,36.53743018573841,-0.10244339995487683,-0.5449591280654031
1788415500,36.55,36.55,36.5,36.55,1600,2026-09-03,,,,,,,,,BID,2026-09-03 13:05:00+07:00,2026-09-03,785,141,0.1369863013698458,1600.0,58479.99999999999,1541400.0,56318815.0,36.53744323342416,0.03436684525408573,-0.4087193460490579
1788415560,36.55,36.55,36.5,36.55,44300,2026-09-03,,,,,,,,,BID,2026-09-03 13:06:00+07:00,2026-09-03,786,142,0.0,44300.0,1619164.9999999998,1585700.0,57937980.0,36.537794034180486,0.03340641147655532,-0.4087193460490579
