t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3,Ticker,Timestamp,TradeDate,MinuteOfDay,MinuteIndexInDay,ret_1m_pct,volume_per_minute,traded_value_1m,cum_volume,cum_traded_value,cum_vwap,close_vs_cum_vwap_pct,ret_from_day_open_pct
1788405300,27.3,27.3,27.25,27.3,8300,2026-09-03,,,,,,,,,BSR,2026-09-03 10:15:00+07:00,2026-09-03,615,61,0.0,8300.0,226590.0,5528000.0,151606460.0,27.425191751085382,-0.45648450600322965,0.3676470588235281
1788405360,27.3,27.3,27.2,27.2,37400,2026-09-03,,,,,,,,,BSR,2026-09-03 10:16:00+07:00,2026-09-03,616,62,-0.3663003663003761,37400.0,1017280.0,5565400.0,152623740.0,27.42367844180113,-0.8156398211706883,0.0
1788405420,27.2,27.25,27.2,27.25,2800,2026-09-03,,,,,,,,,BSR,2026-09-03 10:17:00+07:00,2026-09-03,617,63,0.18382352941177516,2800.0,76300.0,5568200.0,152700040.0,27.423591106641286,-0.6329991793060485,0.18382352941177516
1788405480,27.25,27.3,27.25,27.25,55100,2026-09-03,,,,,,,,,BSR,2026-09-03 10:18:00+07:00,2026-09-03,618,64,0.0,55100.0,1501475.0,5623300.0,154201515.0,27.421890171251757,-0.6268356053440893,0.18382352941177516
1788405540,27.25,27.3,27.25,27.25,8500,2026-09-03,,,,,,,,,BSR,2026-09-03 10:19:00+07:00,2026-09-03,619,65,0.0,8500.0,231625.0,5631800.0,154433140.0,27.421630739727973,-0.6258954522325944,0.18382352941177516
1788405600,27.3,27.3,27.2,27.25,37600,2026-09-03,,,,,,,,,BSR,2026-09-03 10:20:00+07:00,2026-09-03,620,66,0.0,37600.0,1024600.0,5669400.0,155457740.0,27.4204924683388,-0.6217702637385525,0.18382352941177516
1788405660,27.25,27.25,27.25,27.25,15700,2026-09-03,,,,,,,,,BSR,2026-09-03 10:21:00+07:00,2026-09-03,621,67,0.0,15700.0,427825.0,5685100.0,155885565.0,27.420021635503332,-0.6200638269489467,0.18382352941177516
1788405720,27.25,27.3,27.2,27.3,71600,2026-09-03,,,,,,,,,BSR,2026-09-03 10:22:00+07:00,2026-09-03,622,68,0.18348623853210455,71600.0,1954680.0,5756700.0,157840245.0,27.41852884465058,-0.4322946913824177,0.3676470588235281
1788405780,27.25,27.25,27.2,27.25,13500,2026-09-03,,,,,,,,,BSR,2026-09-03 10:23:00+07:00,2026-09-03,623,69,-0.1831501831501825,13500.0,367875.0,5770200.0,158208120.0,27.41813455339503,-0.6132238977367366,0.18382352941177516
1788405840,27.25,27.3,27.2,27.3,19600,2026-09-03,,,,,,,,,BSR,2026-09-03 10:24:00+07:00,2026-09-03,624,70,0.18348623853210455,19600.0,535080.0,5789800.0,158743200.0,27.41773463677502,-0.4294105196317122,0.3676470588235281
