t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3,Ticker,Timestamp,TradeDate,MinuteOfDay,MinuteIndexInDay,ret_1m_pct,volume_per_minute,traded_value_1m,cum_volume,cum_traded_value,cum_vwap,close_vs_cum_vwap_pct,ret_from_day_open_pct
1787886960,27.6,27.6,27.6,27.6,4500,2026-08-28,,,,,,,,,HDB,2026-08-28 10:16:00+07:00,2026-08-28,616,61,0.0,4500.0,124200.0,1711000.0,47408520.0,27.708077147866746,-0.39005647086219897,-0.8976660682226245
1787887020,27.6,27.65,27.6,27.6,25500,2026-08-28,,,,,,,,,HDB,2026-08-28 10:17:00+07:00,2026-08-28,617,62,0.0,25500.0,703800.0,1736500.0,48112320.0,27.706490066225165,-0.3843506195502444,-0.8976660682226245
1787887080,27.65,27.7,27.6,27.65,267100,2026-08-28,,,,,,,,,HDB,2026-08-28 10:18:00+07:00,2026-08-28,618,63,0.18115942028984477,267100.0,7385315.0,2003600.0,55497635.0,27.698959373128368,-0.17675527975201666,-0.7181328545781018
1787887140,27.6,27.65,27.6,27.6,63100,2026-08-28,,,,,,,,,HDB,2026-08-28 10:19:00+07:00,2026-08-28,619,64,-0.1808318264014397,63100.0,1741560.0,2066700.0,57239195.0,27.695937968742438,-0.3463972545385996,-0.8976660682226245
1787887200,27.6,27.65,27.6,27.6,5200,2026-08-28,,,,,,,,,HDB,2026-08-28 10:20:00+07:00,2026-08-28,620,65,0.0,5200.0,143520.0,2071900.0,57382715.0,27.695697186157634,-0.3455308798128498,-0.8976660682226245
1787887260,27.6,27.6,27.6,27.6,2800,2026-08-28,,,,,,,,,HDB,2026-08-28 10:21:00+07:00,2026-08-28,621,66,0.0,2800.0,77280.0,2074700.0,57459995.0,27.695568033932616,-0.3450661629886942,-0.8976660682226245
1787887320,27.6,27.65,27.6,27.65,11700,2026-08-28,,,,,,,,,HDB,2026-08-28 10:22:00+07:00,2026-08-28,622,67,0.18115942028984477,11700.0,323505.0,2086400.0,57783500.0,27.6953125,-0.16361071932299298,-0.7181328545781018
1787887380,27.65,27.65,27.55,27.55,60300,2026-08-28,,,,,,,,,HDB,2026-08-28 10:23:00+07:00,2026-08-28,623,68,-0.3616636528028905,60300.0,1661265.0,2146700.0,59444765.0,27.69123072623096,-0.5100196796135048,-1.0771992818671472
1787887440,27.55,27.6,27.55,27.6,18000,2026-08-28,,,,,,,,,HDB,2026-08-28 10:24:00+07:00,2026-08-28,624,69,0.1814882032667997,18000.0,496800.0,2164700.0,59941565.0,27.690472120848156,-0.3267265377538964,-0.8976660682226245
1787887500,27.6,27.6,27.55,27.6,16900,2026-08-28,,,,,,,,,HDB,2026-08-28 10:25:00+07:00,2026-08-28,625,70,0.0,16900.0,466440.0,2181600.0,60408005.0,27.689771268793546,-0.32420372101346073,-0.8976660682226245
1787887560,27.55,27.6,27.55,27.6,58600,2026-08-28,,,,,,,,,HDB,2026-08-28 10:26:00+07:00,2026-08-28,626,71,0.0,58600.0,1617360.0,2240200.0,62025365.0,27.687422997946612,-0.3157498549182236,-0.8976660682226245
1787887620,27.6,27.6,27.55,27.6,238300,2026-08-28,,,,,,,,,HDB,2026-08-28 10:27:00+07:00,2026-08-28,627,72,0.0,238300.0,6577080.0,2478500.0,68602445.0,27.679017550938067,-0.2854781633511716,-0.8976660682226245
1787887680,27.6,27.6,27.55,27.6,10900,2026-08-28,,,,,,,,,HDB,2026-08-28 10:28:00+07:00,2026-08-28,628,73,0.0,10900.0,300840.0,2489400.0,68903285.0,27.67867156744597,-0.28423173147694714,-0.8976660682226245
1787887740,27.55,27.6,27.55,27.6,26900,2026-08-28,,,,,,,,,HDB,2026-08-28 10:29:00+07:00,2026-08-28,629,74,0.0,26900.0,742440.0,2516300.0,69645725.0,27.677830544847595,-0.28120175358932187,-0.8976660682226245
1787887800,27.6,27.6,27.55,27.55,6100,2026-08-28,,,,,,,,,HDB,2026-08-28 10:30:00+07:00,2026-08-28,630,75,-0.18115942028985588,6100.0,168055.0,2522400.0,69813780.0,27.677521408182685,-0.46073998571628527,-1.0771992818671472
1787887860,27.55,27.6,27.55,27.6,4700,2026-08-28,,,,,,,,,HDB,2026-08-28 10:31:00+07:00,2026-08-28,631,76,0.1814882032667997,4700.0,129720.0,2527100.0,69943500.0,27.677377230817935,-0.2795685088678779,-0.8976660682226245
1787887920,27.55,27.6,27.55,27.55,5000,2026-08-28,,,,,,,,,HDB,2026-08-28 10:32:00+07:00,2026-08-28,632,77,-0.18115942028985588,5000.0,137750.0,2532100.0,70081250.0,27.677125705935783,-0.45931686435386476,-1.0771992818671472
1787887980,27.55,27.6,27.55,27.6,3700,2026-08-28,,,,,,,,,HDB,2026-08-28 10:33:00+07:00,2026-08-28,633,78,0.1814882032667997,3700.0,102120.0,2535800.0,70183370.0,27.677013171385756,-0.2782568007207331,-0.8976660682226245
1787888040,27.55,27.6,27.55,27.6,7600,2026-08-28,,,,,,,,,HDB,2026-08-28 10:34:00+07:00,2026-08-28,634,79,0.0,7600.0,209760.0,2543400.0,70393130.0,27.676783046315954,-0.27742764102121065,-0.8976660682226245
1787888100,27.55,27.6,27.55,27.6,87800,2026-08-28,,,,,,,,,HDB,2026-08-28 10:35:00+07:00,2026-08-28,635,80,0.0,87800.0,2423280.0,2631200.0,72816410.0,27.674220887807845,-0.2681950401015376,-0.8976660682226245
1787888160,27.6,27.6,27.55,27.6,6100,2026-08-28,,,,,,,,,HDB,2026-08-28 10:36:00+07:00,2026-08-28,636,81,0.0,6100.0,168360.0,2637300.0,72984770.0,27.67404921700224,-0.26757637244043675,-0.8976660682226245
1787888220,27.6,27.6,27.55,27.6,16700,2026-08-28,,,,,,,,,HDB,2026-08-28 10:37:00+07:00,2026-08-28,637,82,0.0,16700.0,460920.0,2654000.0,73445690.0,27.67358327053504,-0.2658971547547462,-0.8976660682226245
1787888280,27.6,27.6,27.55,27.6,16000,2026-08-28,,,,,,,,,HDB,2026-08-28 10:38:00+07:00,2026-08-28,638,83,0.0,16000.0,441600.0,2670000.0,73887290.0,27.673142322097377,-0.2643079750251909,-0.8976660682226245
1787888340,27.55,27.6,27.55,27.6,12700,2026-08-28,,,,,,,,,HDB,2026-08-28 10:39:00+07:00,2026-08-28,639,84,0.0,12700.0,350520.0,2682700.0,74237810.0,27.6727960636672,-0.2630600229182267,-0.8976660682226245
