t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3,Ticker,Timestamp,TradeDate,MinuteOfDay,MinuteIndexInDay,ret_1m_pct,volume_per_minute,traded_value_1m,cum_volume,cum_traded_value,cum_vwap,close_vs_cum_vwap_pct,ret_from_day_open_pct
1786604340,67.8,67.9,67.8,67.8,3700,2026-08-13,,,,,,,,,MSN,2026-08-13 13:59:00+07:00,2026-08-13,839,195,0.0,3700.0,250860.0,4150200.0,282195860.0,67.99572550720447,-0.2878497225295984,0.4444444444444473
1786604400,67.8,67.9,67.8,67.9,33200,2026-08-13,,,,,,,,,MSN,2026-08-13 14:00:00+07:00,2026-08-13,840,196,0.1474926253687503,33200.0,2254280.0,4183400.0,284450140.0,67.99496581727782,-0.13966595340750843,0.5925925925926112
1786604460,67.9,67.9,67.8,67.8,9900,2026-08-13,,,,,,,,,MSN,2026-08-13 14:01:00+07:00,2026-08-13,841,197,-0.14727540500737435,9900.0,671220.0,4193300.0,285121360.0,67.99450552071161,-0.2860606444918812,0.4444444444444473
1786604520,67.8,67.8,67.6,67.6,88100,2026-08-13,,,,,,,,,MSN,2026-08-13 14:02:00+07:00,2026-08-13,842,198,-0.2949852507374673,88100.0,5955559.999999999,4281400.0,291076920.0,67.98638763021441,-0.5683308728153369,0.1481481481481417
1786604580,67.6,67.7,67.6,67.6,27400,2026-08-13,,,,,,,,,MSN,2026-08-13 14:03:00+07:00,2026-08-13,843,199,0.0,27400.0,1852239.9999999998,4308800.0,292929160.0,67.98393056071296,-0.5647372217911117,0.1481481481481417
1786604640,67.6,67.7,67.5,67.6,71700,2026-08-13,,,,,,,,,MSN,2026-08-13 14:04:00+07:00,2026-08-13,844,200,0.0,71700.0,4846920.0,4380500.0,297776080.0,67.97764638739869,-0.5555449584802141,0.1481481481481417
1786604700,67.6,67.6,67.5,67.5,23400,2026-08-13,,,,,,,,,MSN,2026-08-13 14:05:00+07:00,2026-08-13,845,201,-0.14792899408283544,23400.0,1579500.0,4403900.0,299355580.0,67.97510842662186,-0.6989447131735438,0.0
1786604760,67.5,67.6,67.5,67.5,60500,2026-08-13,,,,,,,,,MSN,2026-08-13 14:06:00+07:00,2026-08-13,846,202,0.0,60500.0,4083750.0,4464400.0,303439330.0,67.96866992205,-0.6895381689644542,0.0
1786604820,67.5,67.5,67.4,67.5,12200,2026-08-13,,,,,,,,,MSN,2026-08-13 14:07:00+07:00,2026-08-13,847,203,0.0,12200.0,823500.0,4476600.0,304262830.0,67.96739266407542,-0.6876719052406166,0.0
1786604880,67.4,67.5,67.4,67.5,45800,2026-08-13,,,,,,,,,MSN,2026-08-13 14:08:00+07:00,2026-08-13,848,204,0.0,45800.0,3091500.0,4522400.0,307354330.0,67.96265920750044,-0.6807550100237703,0.0
