t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3,Ticker,Timestamp,TradeDate,MinuteOfDay,MinuteIndexInDay,ret_1m_pct,volume_per_minute,traded_value_1m,cum_volume,cum_traded_value,cum_vwap,close_vs_cum_vwap_pct,ret_from_day_open_pct
1789009500,36.15,36.15,36.15,36.15,400,2026-09-10,,,,,,,,,PLX,2026-09-10 10:05:00+07:00,2026-09-10,605,50,0.0,400.0,14460.0,620200.0,22398605.0,36.115132215414384,0.09654619115788687,-0.2758620689655267
1789009560,36.15,36.15,36.05,36.05,27600,2026-09-10,,,,,,,,,PLX,2026-09-10 10:06:00+07:00,2026-09-10,606,51,-0.2766251728907321,27600.0,994979.9999999999,647800.0,23393585.0,36.11235720901513,-0.17267554331669155,-0.5517241379310422
1789009620,36.05,36.1,36.05,36.1,29900,2026-09-10,,,,,,,,,PLX,2026-09-10 10:07:00+07:00,2026-09-10,607,52,0.1386962552011317,29900.0,1079390.0,677700.0,24472975.0,36.111812011214404,-0.032709550024057066,-0.4137931034482678
1789009680,36.1,36.1,36.1,36.1,1100,2026-09-10,,,,,,,,,PLX,2026-09-10 10:08:00+07:00,2026-09-10,608,53,0.0,1100.0,39710.0,678800.0,24512685.0,36.111792869770184,-0.032656561286537045,-0.4137931034482678
1789009740,36.05,36.1,36.05,36.05,10300,2026-09-10,,,,,,,,,PLX,2026-09-10 10:09:00+07:00,2026-09-10,609,54,-0.13850415512466352,10300.0,371314.99999999994,689100.0,24884000.0,36.110869249746045,-0.168562128275207,-0.5517241379310422
1789009800,36.05,36.05,36.05,36.05,2500,2026-09-10,,,,,,,,,PLX,2026-09-10 10:10:00+07:00,2026-09-10,610,55,0.0,2500.0,90125.0,691600.0,24974125.0,36.110649219201854,-0.16795383221636095,-0.5517241379310422
1789009860,36.05,36.05,36.05,36.05,100,2026-09-10,,,,,,,,,PLX,2026-09-10 10:11:00+07:00,2026-09-10,611,56,0.0,100.0,3604.9999999999995,691700.0,24977730.0,36.1106404510626,-0.16792959168028254,-0.5517241379310422
1789009920,36.05,36.05,36.0,36.0,13800,2026-09-10,,,,,,,,,PLX,2026-09-10 10:12:00+07:00,2026-09-10,612,57,-0.1386962552010984,13800.0,496800.0,705500.0,25474530.0,36.10847625797307,-0.3004177113375528,-0.6896551724137945
1789009980,36.0,36.05,36.0,36.05,12400,2026-09-10,,,,,,,,,PLX,2026-09-10 10:13:00+07:00,2026-09-10,613,58,0.1388888888888884,12400.0,447019.99999999994,717900.0,25921550.0,36.107466220922134,-0.15915329137340395,-0.5517241379310422
1789010040,36.05,36.05,36.05,36.05,5800,2026-09-10,,,,,,,,,PLX,2026-09-10 10:14:00+07:00,2026-09-10,614,59,0.0,5800.0,209089.99999999997,723700.0,26130640.0,36.10700566533094,-0.15787979169282762,-0.5517241379310422
1789010100,36.05,36.05,36.05,36.05,400,2026-09-10,,,,,,,,,PLX,2026-09-10 10:15:00+07:00,2026-09-10,615,60,0.0,400.0,14419.999999999998,724100.0,26145060.0,36.10697417483773,-0.15779271495266478,-0.5517241379310422
1789010160,36.05,36.05,36.05,36.05,1400,2026-09-10,,,,,,,,,PLX,2026-09-10 10:16:00+07:00,2026-09-10,616,61,0.0,1400.0,50469.99999999999,725500.0,26195530.0,36.10686423156444,-0.1574887013165993,-0.5517241379310422
