t,open,high,low,close,volume,date_vn,Ticker,Timestamp,TradeDate
1782707160,26.55,26.6,26.55,26.6,5100,2026-06-29,SSI,2026-06-29 11:26:00+07:00,2026-06-29
1782707220,26.55,26.6,26.55,26.6,14800,2026-06-29,SSI,2026-06-29 11:27:00+07:00,2026-06-29
1782707280,26.6,26.6,26.6,26.6,20400,2026-06-29,SSI,2026-06-29 11:28:00+07:00,2026-06-29
1782707340,26.6,26.6,26.55,26.6,142200,2026-06-29,SSI,2026-06-29 11:29:00+07:00,2026-06-29
1782712800,26.6,26.65,26.6,26.65,61900,2026-06-29,SSI,2026-06-29 13:00:00+07:00,2026-06-29
1782712860,26.6,26.6,26.55,26.55,94300,2026-06-29,SSI,2026-06-29 13:01:00+07:00,2026-06-29
1782712920,26.6,26.6,26.55,26.55,7100,2026-06-29,SSI,2026-06-29 13:02:00+07:00,2026-06-29
1782712980,26.55,26.6,26.55,26.6,7900,2026-06-29,SSI,2026-06-29 13:03:00+07:00,2026-06-29
1782713040,26.6,26.6,26.55,26.55,6500,2026-06-29,SSI,2026-06-29 13:04:00+07:00,2026-06-29
1782713100,26.55,26.55,26.55,26.55,21000,2026-06-29,SSI,2026-06-29 13:05:00+07:00,2026-06-29
1782713160,26.55,26.55,26.55,26.55,5600,2026-06-29,SSI,2026-06-29 13:06:00+07:00,2026-06-29
1782713220,26.6,26.6,26.55,26.6,9300,2026-06-29,SSI,2026-06-29 13:07:00+07:00,2026-06-29
1782713280,26.55,26.6,26.55,26.55,25000,2026-06-29,SSI,2026-06-29 13:08:00+07:00,2026-06-29
1782713340,26.6,26.6,26.55,26.6,16600,2026-06-29,SSI,2026-06-29 13:09:00+07:00,2026-06-29
1782713400,26.6,26.6,26.55,26.55,14900,2026-06-29,SSI,2026-06-29 13:10:00+07:00,2026-06-29
1782713460,26.55,26.55,26.55,26.55,44200,2026-06-29,SSI,2026-06-29 13:11:00+07:00,2026-06-29
1782713520,26.55,26.6,26.55,26.6,17100,2026-06-29,SSI,2026-06-29 13:12:00+07:00,2026-06-29
1782713580,26.55,26.6,26.55,26.6,6900,2026-06-29,SSI,2026-06-29 13:13:00+07:00,2026-06-29
1782713640,26.6,26.6,26.55,26.55,6100,2026-06-29,SSI,2026-06-29 13:14:00+07:00,2026-06-29
1782713700,26.55,26.6,26.55,26.55,13400,2026-06-29,SSI,2026-06-29 13:15:00+07:00,2026-06-29
1782713760,26.55,26.6,26.55,26.55,29500,2026-06-29,SSI,2026-06-29 13:16:00+07:00,2026-06-29
1782713820,26.55,26.6,26.55,26.6,16100,2026-06-29,SSI,2026-06-29 13:17:00+07:00,2026-06-29
1782713880,26.55,26.6,26.55,26.55,37200,2026-06-29,SSI,2026-06-29 13:18:00+07:00,2026-06-29
1782713940,26.55,26.6,26.55,26.55,25600,2026-06-29,SSI,2026-06-29 13:19:00+07:00,2026-06-29
1782714000,26.55,26.6,26.55,26.55,42800,2026-06-29,SSI,2026-06-29 13:20:00+07:00,2026-06-29
1782714060,26.55,26.6,26.55,26.55,28900,2026-06-29,SSI,2026-06-29 13:21:00+07:00,2026-06-29
1782714120,26.55,26.55,26.55,26.55,75000,2026-06-29,SSI,2026-06-29 13:22:00+07:00,2026-06-29
1782714180,26.55,26.6,26.55,26.6,72900,2026-06-29,SSI,2026-06-29 13:23:00+07:00,2026-06-29
1782714240,26.55,26.55,26.55,26.55,111600,2026-06-29,SSI,2026-06-29 13:24:00+07:00,2026-06-29
1782714300,26.55,26.55,26.55,26.55,8100,2026-06-29,SSI,2026-06-29 13:25:00+07:00,2026-06-29
1782714360,26.55,26.6,26.55,26.55,21700,2026-06-29,SSI,2026-06-29 13:26:00+07:00,2026-06-29
1782714420,26.55,26.55,26.5,26.55,88300,2026-06-29,SSI,2026-06-29 13:27:00+07:00,2026-06-29
1782714480,26.5,26.55,26.5,26.55,8100,2026-06-29,SSI,2026-06-29 13:28:00+07:00,2026-06-29
1782714540,26.55,26.55,26.5,26.5,7000,2026-06-29,SSI,2026-06-29 13:29:00+07:00,2026-06-29
1782714600,26.5,26.5,26.5,26.5,15000,2026-06-29,SSI,2026-06-29 13:30:00+07:00,2026-06-29
1782714660,26.5,26.55,26.5,26.55,14500,2026-06-29,SSI,2026-06-29 13:31:00+07:00,2026-06-29
1782714720,26.55,26.55,26.5,26.5,206100,2026-06-29,SSI,2026-06-29 13:32:00+07:00,2026-06-29
1782714780,26.5,26.55,26.5,26.5,112000,2026-06-29,SSI,2026-06-29 13:33:00+07:00,2026-06-29
1782714840,26.5,26.55,26.5,26.55,19100,2026-06-29,SSI,2026-06-29 13:34:00+07:00,2026-06-29
1782714900,26.55,26.55,26.5,26.55,10200,2026-06-29,SSI,2026-06-29 13:35:00+07:00,2026-06-29
1782714960,26.55,26.55,26.5,26.5,30000,2026-06-29,SSI,2026-06-29 13:36:00+07:00,2026-06-29
1782715020,26.5,26.5,26.5,26.5,4700,2026-06-29,SSI,2026-06-29 13:37:00+07:00,2026-06-29
1782715080,26.5,26.55,26.5,26.55,30900,2026-06-29,SSI,2026-06-29 13:38:00+07:00,2026-06-29
1782715140,26.55,26.55,26.5,26.5,21500,2026-06-29,SSI,2026-06-29 13:39:00+07:00,2026-06-29
1782715200,26.5,26.55,26.5,26.5,12500,2026-06-29,SSI,2026-06-29 13:40:00+07:00,2026-06-29
1782715260,26.55,26.55,26.5,26.5,37000,2026-06-29,SSI,2026-06-29 13:41:00+07:00,2026-06-29
1782715320,26.55,26.55,26.5,26.55,5200,2026-06-29,SSI,2026-06-29 13:42:00+07:00,2026-06-29
1782715380,26.55,26.55,26.5,26.55,166100,2026-06-29,SSI,2026-06-29 13:43:00+07:00,2026-06-29
1782715440,26.6,26.6,26.55,26.55,2500,2026-06-29,SSI,2026-06-29 13:44:00+07:00,2026-06-29
1782715500,26.55,26.6,26.5,26.55,50200,2026-06-29,SSI,2026-06-29 13:45:00+07:00,2026-06-29
1782715560,26.6,26.6,26.5,26.5,9700,2026-06-29,SSI,2026-06-29 13:46:00+07:00,2026-06-29
1782715620,26.55,26.6,26.55,26.6,68800,2026-06-29,SSI,2026-06-29 13:47:00+07:00,2026-06-29
1782715680,26.55,26.6,26.55,26.55,21100,2026-06-29,SSI,2026-06-29 13:48:00+07:00,2026-06-29
1782715740,26.55,26.6,26.55,26.6,48000,2026-06-29,SSI,2026-06-29 13:49:00+07:00,2026-06-29
