t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3,Ticker,Timestamp,TradeDate,MinuteOfDay,MinuteIndexInDay,ret_1m_pct,volume_per_minute,traded_value_1m,cum_volume,cum_traded_value,cum_vwap,close_vs_cum_vwap_pct,ret_from_day_open_pct
1788837420,76.3,76.3,76.3,76.3,500,2026-09-08,,,,,,,,,STB,2026-09-08 10:17:00+07:00,2026-09-08,617,63,0.0,500.0,38150.0,406700.0,31014190.0,76.25815097123187,0.05487810579607455,-0.2614379084967311
1788837480,76.3,76.3,76.3,76.3,8400,2026-09-08,,,,,,,,,STB,2026-09-08 10:18:00+07:00,2026-09-08,618,64,0.0,8400.0,640920.0,415100.0,31655110.0,76.25899783184775,0.053766990542758464,-0.2614379084967311
1788837540,76.3,76.3,76.3,76.3,5200,2026-09-08,,,,,,,,,STB,2026-09-08 10:19:00+07:00,2026-09-08,619,65,0.0,5200.0,396760.0,420300.0,32051870.0,76.25950511539376,0.05310142590744249,-0.2614379084967311
1788837600,76.3,76.4,76.3,76.4,15400,2026-09-08,,,,,,,,,STB,2026-09-08 10:20:00+07:00,2026-09-08,620,66,0.1310615989515096,15400.0,1176560.0,435700.0,33228430.0,76.26447096626119,0.17770926883997618,-0.13071895424835445
1788837660,76.4,76.4,76.4,76.4,5400,2026-09-08,,,,,,,,,STB,2026-09-08 10:21:00+07:00,2026-09-08,621,67,0.0,5400.0,412560.00000000006,441100.0,33640990.0,76.2661301292224,0.1755299115751452,-0.13071895424835445
1788837720,76.4,76.5,76.4,76.5,8000,2026-09-08,,,,,,,,,STB,2026-09-08 10:22:00+07:00,2026-09-08,622,68,0.13089005235600304,8000.0,612000.0,449100.0,34252990.0,76.27029614785125,0.3011707883019854,0.0
1788837780,76.5,76.5,76.5,76.5,10400,2026-09-08,,,,,,,,,STB,2026-09-08 10:23:00+07:00,2026-09-08,623,69,0.0,10400.0,795600.0,459500.0,35048590.0,76.27549510337323,0.29433423712623696,0.0
1788837840,76.5,76.5,76.5,76.5,900,2026-09-08,,,,,,,,,STB,2026-09-08 10:24:00+07:00,2026-09-08,624,70,0.0,900.0,68850.0,460400.0,35117440.0,76.27593397046047,0.293757175921705,0.0
1788837900,76.5,76.5,76.4,76.5,2200,2026-09-08,,,,,,,,,STB,2026-09-08 10:25:00+07:00,2026-09-08,625,71,0.0,2200.0,168300.0,462600.0,35285740.0,76.27699956766105,0.2923560622506427,0.0
1788837960,76.5,76.5,76.5,76.5,5300,2026-09-08,,,,,,,,,STB,2026-09-08 10:26:00+07:00,2026-09-08,626,72,0.0,5300.0,405450.0,467900.0,35691190.0,76.27952553964522,0.28903491309759666,0.0
1788838020,76.5,76.5,76.5,76.5,1100,2026-09-08,,,,,,,,,STB,2026-09-08 10:27:00+07:00,2026-09-08,627,73,0.0,1100.0,84150.0,469000.0,35775340.0,76.28004264392324,0.2883550512727595,0.0
1788838080,76.5,76.5,76.5,76.5,4500,2026-09-08,,,,,,,,,STB,2026-09-08 10:28:00+07:00,2026-09-08,628,74,0.0,4500.0,344250.0,473500.0,36119590.0,76.28213305174235,0.28560678568056996,0.0
1788838140,76.5,76.5,76.5,76.5,600,2026-09-08,,,,,,,,,STB,2026-09-08 10:29:00+07:00,2026-09-08,629,75,0.0,600.0,45900.0,474100.0,36165490.0,76.28240877452015,0.2852443033400043,0.0
1788838200,76.5,76.5,76.5,76.5,4400,2026-09-08,,,,,,,,,STB,2026-09-08 10:30:00+07:00,2026-09-08,630,76,0.0,4400.0,336600.0,478500.0,36502090.0,76.28440961337513,0.2826139544338302,0.0
1788838260,76.5,76.6,76.5,76.6,1400,2026-09-08,,,,,,,,,STB,2026-09-08 10:31:00+07:00,2026-09-08,631,77,0.13071895424836555,1400.0,107239.99999999999,479900.0,36609330.0,76.28533027714107,0.41249047715430365,0.13071895424836555
1788838320,76.6,76.6,76.5,76.6,17000,2026-09-08,,,,,,,,,STB,2026-09-08 10:32:00+07:00,2026-09-08,632,78,0.0,17000.0,1302200.0,496900.0,37911530.0,76.29609579392232,0.3983220935688925,0.13071895424836555
1788838380,76.6,76.6,76.5,76.5,5900,2026-09-08,,,,,,,,,STB,2026-09-08 10:33:00+07:00,2026-09-08,633,79,-0.13054830287205776,5900.0,451350.0,502800.0,38362880.0,76.29848846459825,0.26410947249007055,0.0
1788838440,76.5,76.5,76.5,76.5,10600,2026-09-08,,,,,,,,,STB,2026-09-08 10:34:00+07:00,2026-09-08,634,80,0.0,10600.0,810900.0,513400.0,39173780.0,76.30264900662252,0.2586423878420785,0.0
1788838500,76.5,76.6,76.5,76.5,2200,2026-09-08,,,,,,,,,STB,2026-09-08 10:35:00+07:00,2026-09-08,635,81,0.0,2200.0,168300.0,515600.0,39342080.0,76.30349107835531,0.2575359513274478,0.0
1788838560,76.5,76.6,76.5,76.6,3300,2026-09-08,,,,,,,,,STB,2026-09-08 10:36:00+07:00,2026-09-08,636,82,0.13071895424836555,3300.0,252779.99999999997,518900.0,39594860.0,76.30537675852766,0.38611072245233746,0.13071895424836555
1788838620,76.6,76.6,76.6,76.6,300,2026-09-08,,,,,,,,,STB,2026-09-08 10:37:00+07:00,2026-09-08,637,83,0.0,300.0,22980.0,519200.0,39617840.0,76.3055469953775,0.38588676212534256,0.13071895424836555
1788838680,76.6,76.6,76.6,76.6,700,2026-09-08,,,,,,,,,STB,2026-09-08 10:38:00+07:00,2026-09-08,638,84,0.0,700.0,53619.99999999999,519900.0,39671460.0,76.30594345066359,0.3853651970459282,0.13071895424836555
1788838740,76.6,76.6,76.6,76.6,500,2026-09-08,,,,,,,,,STB,2026-09-08 10:39:00+07:00,2026-09-08,639,85,0.0,500.0,38300.0,520400.0,39709760.0,76.30622598001537,0.384993512929821,0.13071895424836555
1788838800,76.6,76.6,76.6,76.6,600,2026-09-08,,,,,,,,,STB,2026-09-08 10:40:00+07:00,2026-09-08,640,86,0.0,600.0,45960.0,521000.0,39755720.0,76.30656429942418,0.3845484373066199,0.13071895424836555
1788838860,76.6,76.6,76.5,76.6,22400,2026-09-08,,,,,,,,,STB,2026-09-08 10:41:00+07:00,2026-09-08,641,87,0.0,22400.0,1715839.9999999998,543400.0,41471560.0,76.31866028708134,0.3686381703509545,0.13071895424836555
1788838920,76.6,76.6,76.5,76.6,11600,2026-09-08,,,,,,,,,STB,2026-09-08 10:42:00+07:00,2026-09-08,642,88,0.0,11600.0,888559.9999999999,555000.0,42360120.0,76.32454054054054,0.3609054931855704,0.13071895424836555
1788838980,76.6,76.6,76.6,76.6,400,2026-09-08,,,,,,,,,STB,2026-09-08 10:43:00+07:00,2026-09-08,643,89,0.0,400.0,30639.999999999996,555400.0,42390760.0,76.32473892689953,0.3606446310469469,0.13071895424836555
1788839040,76.6,76.6,76.6,76.6,800,2026-09-08,,,,,,,,,STB,2026-09-08 10:44:00+07:00,2026-09-08,644,90,0.0,800.0,61279.99999999999,556200.0,42452040.0,76.32513484358145,0.3601240364420555,0.13071895424836555
1788839100,76.6,76.6,76.6,76.6,700,2026-09-08,,,,,,,,,STB,2026-09-08 10:45:00+07:00,2026-09-08,645,91,0.0,700.0,53619.99999999999,556900.0,42505660.0,76.32548033758304,0.3596697475112709,0.13071895424836555
1788839160,76.6,76.6,76.6,76.6,500,2026-09-08,,,,,,,,,STB,2026-09-08 10:46:00+07:00,2026-09-08,646,92,0.0,500.0,38300.0,557400.0,42543960.0,76.32572658772874,0.3593459565117918,0.13071895424836555
1788839220,76.6,76.6,76.5,76.5,2700,2026-09-08,,,,,,,,,STB,2026-09-08 10:47:00+07:00,2026-09-08,647,93,-0.13054830287205776,2700.0,206550.0,560100.0,42750510.0,76.32656668452063,0.22722535941674948,0.0
