t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3,Ticker,Timestamp,TradeDate,MinuteOfDay,MinuteIndexInDay,ret_1m_pct,volume_per_minute,traded_value_1m,cum_volume,cum_traded_value,cum_vwap,close_vs_cum_vwap_pct,ret_from_day_open_pct
1787627820,31.5,31.55,31.5,31.55,28900,2026-08-25,,,,,,,,,TCB,2026-08-25 10:17:00+07:00,2026-08-25,617,63,0.0,28900.0,911795.0,4860800.0,154022490.0,31.686654460171166,-0.43126818687322377,0.31796502384737746
1787627880,31.5,31.55,31.5,31.55,172700,2026-08-25,,,,,,,,,TCB,2026-08-25 10:18:00+07:00,2026-08-25,618,64,0.0,172700.0,5448685.0,5033500.0,159471175.0,31.681965828946062,-0.4165329565045228,0.31796502384737746
1787627940,31.55,31.55,31.5,31.5,148600,2026-08-25,,,,,,,,,TCB,2026-08-25 10:19:00+07:00,2026-08-25,619,65,-0.15847860538827918,148600.0,4680900.0,5182100.0,164152075.0,31.676747843538333,-0.5579734523611712,0.15898251192369983
1787628000,31.5,31.55,31.5,31.55,77100,2026-08-25,,,,,,,,,TCB,2026-08-25 10:20:00+07:00,2026-08-25,620,66,0.15873015873015817,77100.0,2432505.0,5259200.0,166584580.0,31.674889717067234,-0.3942861938361797,0.31796502384737746
1787628060,31.55,31.55,31.5,31.5,89000,2026-08-25,,,,,,,,,TCB,2026-08-25 10:21:00+07:00,2026-08-25,621,67,-0.15847860538827918,89000.0,2803500.0,5348200.0,169388080.0,31.671979357540856,-0.543001609086069,0.15898251192369983
1787628120,31.55,31.55,31.5,31.5,114500,2026-08-25,,,,,,,,,TCB,2026-08-25 10:22:00+07:00,2026-08-25,622,68,0.0,114500.0,3606750.0,5462700.0,172994830.0,31.66837461328647,-0.5316806288372944,0.15898251192369983
1787628180,31.55,31.6,31.5,31.6,39200,2026-08-25,,,,,,,,,TCB,2026-08-25 10:23:00+07:00,2026-08-25,623,69,0.31746031746031633,39200.0,1238720.0,5501900.0,174233550.0,31.66788745706029,-0.2143731789887693,0.4769475357710773
1787628240,31.6,31.6,31.55,31.55,49700,2026-08-25,,,,,,,,,TCB,2026-08-25 10:24:00+07:00,2026-08-25,624,70,-0.15822784810126667,49700.0,1568035.0,5551600.0,175801585.0,31.666832084444124,-0.3689414973135685,0.31796502384737746
1787628300,31.55,31.6,31.55,31.6,30600,2026-08-25,,,,,,,,,TCB,2026-08-25 10:25:00+07:00,2026-08-25,625,71,0.15847860538826808,30600.0,966960.0,5582200.0,176768545.0,31.666465730357206,-0.20989311192214366,0.4769475357710773
1787628360,31.55,31.6,31.55,31.6,51400,2026-08-25,,,,,,,,,TCB,2026-08-25 10:26:00+07:00,2026-08-25,626,72,0.0,51400.0,1624240.0,5633600.0,178392785.0,31.665859308435103,-0.20798206609083936,0.4769475357710773
1787628420,31.55,31.6,31.5,31.5,40000,2026-08-25,,,,,,,,,TCB,2026-08-25 10:27:00+07:00,2026-08-25,627,73,-0.31645569620253333,40000.0,1260000.0,5673600.0,179652785.0,31.664689967569092,-0.5201060478967845,0.15898251192369983
1787628480,31.55,31.55,31.5,31.5,35700,2026-08-25,,,,,,,,,TCB,2026-08-25 10:28:00+07:00,2026-08-25,628,74,0.0,35700.0,1124550.0,5709300.0,180777335.0,31.663660168497014,-0.5168706574859017,0.15898251192369983
1787628540,31.55,31.55,31.5,31.55,61600,2026-08-25,,,,,,,,,TCB,2026-08-25 10:29:00+07:00,2026-08-25,629,75,0.15873015873015817,61600.0,1943480.0,5770900.0,182720815.0,31.662446932021002,-0.3551428992914607,0.31796502384737746
1787628600,31.5,31.6,31.5,31.55,31900,2026-08-25,,,,,,,,,TCB,2026-08-25 10:30:00+07:00,2026-08-25,630,76,0.0,31900.0,1006445.0,5802800.0,183727260.0,31.661828772316813,-0.3531974514832448,0.31796502384737746
1787628660,31.6,31.6,31.55,31.6,33800,2026-08-25,,,,,,,,,TCB,2026-08-25 10:31:00+07:00,2026-08-25,631,77,0.15847860538826808,33800.0,1068080.0,5836600.0,184795340.0,31.66147071925436,-0.1941499174167416,0.4769475357710773
1787628720,31.55,31.6,31.55,31.6,24400,2026-08-25,,,,,,,,,TCB,2026-08-25 10:32:00+07:00,2026-08-25,632,78,0.0,24400.0,771040.0,5861000.0,185566380.0,31.661214809759425,-0.19334321227798545,0.4769475357710773
1787628780,31.55,31.6,31.55,31.55,25400,2026-08-25,,,,,,,,,TCB,2026-08-25 10:33:00+07:00,2026-08-25,633,79,-0.15822784810126667,25400.0,801370.0,5886400.0,186367750.0,31.660734914378907,-0.3497547188287653,0.31796502384737746
1787628840,31.55,31.6,31.5,31.5,22900,2026-08-25,,,,,,,,,TCB,2026-08-25 10:34:00+07:00,2026-08-25,634,80,-0.15847860538827918,22900.0,721350.0,5909300.0,187089100.0,31.660112026805205,-0.5057216053741209,0.15898251192369983
1787628900,31.5,31.6,31.5,31.55,37200,2026-08-25,,,,,,,,,TCB,2026-08-25 10:35:00+07:00,2026-08-25,635,81,0.15873015873015817,37200.0,1173660.0,5946500.0,188262760.0,31.65942319011183,-0.3456259750999058,0.31796502384737746
1787628960,31.5,31.55,31.5,31.5,42500,2026-08-25,,,,,,,,,TCB,2026-08-25 10:36:00+07:00,2026-08-25,636,82,-0.15847860538827918,42500.0,1338750.0,5989000.0,189601510.0,31.658291868425447,-0.5000012921838048,0.15898251192369983
1787629020,31.5,31.55,31.5,31.55,43600,2026-08-25,,,,,,,,,TCB,2026-08-25 10:37:00+07:00,2026-08-25,637,83,0.15873015873015817,43600.0,1375580.0,6032600.0,190977090.0,31.657509200013262,-0.339600943757179,0.31796502384737746
1787629080,31.5,31.55,31.5,31.5,10900,2026-08-25,,,,,,,,,TCB,2026-08-25 10:38:00+07:00,2026-08-25,638,84,-0.15847860538827918,10900.0,343350.0,6043500.0,191320440.0,31.65722511789526,-0.4966484501080948,0.15898251192369983
1787629140,31.5,31.55,31.5,31.5,24400,2026-08-25,,,,,,,,,TCB,2026-08-25 10:39:00+07:00,2026-08-25,639,85,0.0,24400.0,768600.0,6067900.0,192089040.0,31.656592890456334,-0.4946612258565075,0.15898251192369983
1787629200,31.55,31.55,31.5,31.55,29400,2026-08-25,,,,,,,,,TCB,2026-08-25 10:40:00+07:00,2026-08-25,640,86,0.15873015873015817,29400.0,927570.0,6097300.0,193016610.0,31.656078920177784,-0.33509810373314464,0.31796502384737746
