t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3,Ticker,Timestamp,TradeDate,MinuteOfDay,MinuteIndexInDay,ret_1m_pct,volume_per_minute,traded_value_1m,cum_volume,cum_traded_value,cum_vwap,close_vs_cum_vwap_pct,ret_from_day_open_pct
1786518420,59.8,59.8,59.8,59.8,1800,2026-08-12,,,,,,,,,VCB,2026-08-12 14:07:00+07:00,2026-08-12,847,199,0.0,1800.0,107640.0,1810600.0,108740720.0,60.05783718104496,-0.42931479578212084,-0.16694490818029983
1786518480,59.8,59.9,59.7,59.7,92700,2026-08-12,,,,,,,,,VCB,2026-08-12 14:08:00+07:00,2026-08-12,848,200,-0.16722408026754731,92700.0,5534190.0,1903300.0,114274910.0,60.04040876372616,-0.566966099557642,-0.33388981636058856
1786518540,59.7,59.8,59.7,59.8,3000,2026-08-12,,,,,,,,,VCB,2026-08-12 14:09:00+07:00,2026-08-12,849,201,0.16750418760467234,3000.0,179400.0,1906300.0,114454310.0,60.04003042543147,-0.399783983669999,-0.16694490818029983
1786518600,59.8,59.8,59.8,59.8,5100,2026-08-12,,,,,,,,,VCB,2026-08-12 14:10:00+07:00,2026-08-12,850,202,0.0,5100.0,304980.0,1911400.0,114759290.0,60.03938997593387,-0.39872153269683297,-0.16694490818029983
1786518660,59.7,59.8,59.7,59.8,17000,2026-08-12,,,,,,,,,VCB,2026-08-12 14:11:00+07:00,2026-08-12,851,203,0.0,17000.0,1016600.0,1928400.0,115775890.0,60.03727961003941,-0.39522045565791863,-0.16694490818029983
1786518720,59.8,59.8,59.8,59.8,3400,2026-08-12,,,,,,,,,VCB,2026-08-12 14:12:00+07:00,2026-08-12,852,204,0.0,3400.0,203320.0,1931800.0,115979210.0,60.03686199399524,-0.39452760542170173,-0.16694490818029983
1786518780,59.8,59.8,59.7,59.8,7500,2026-08-12,,,,,,,,,VCB,2026-08-12 14:13:00+07:00,2026-08-12,853,205,0.0,7500.0,448500.0,1939300.0,116427710.0,60.03594595988243,-0.3930078157510897,-0.16694490818029983
1786518840,59.8,59.8,59.8,59.8,14600,2026-08-12,,,,,,,,,VCB,2026-08-12 14:14:00+07:00,2026-08-12,854,206,0.0,14600.0,873080.0,1953900.0,117300790.0,60.034182916218846,-0.3900826243369737,-0.16694490818029983
1786518900,59.8,59.8,59.7,59.7,36000,2026-08-12,,,,,,,,,VCB,2026-08-12 14:15:00+07:00,2026-08-12,855,207,-0.16722408026754731,36000.0,2149200.0,1989900.0,119449990.0,60.0281370923162,-0.5466388067508432,-0.33388981636058856
1786518960,59.7,59.8,59.7,59.8,31100,2026-08-12,,,,,,,,,VCB,2026-08-12 14:16:00+07:00,2026-08-12,856,208,0.16750418760467234,31100.0,1859780.0,2021000.0,121309770.0,60.02462642256309,-0.3742237743917909,-0.16694490818029983
