t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3,Ticker,Timestamp,TradeDate,MinuteOfDay,MinuteIndexInDay,ret_1m_pct,volume_per_minute,traded_value_1m,cum_volume,cum_traded_value,cum_vwap,close_vs_cum_vwap_pct,ret_from_day_open_pct
1786432200,72.3,72.3,72.2,72.3,1300,2026-08-11,,,,,,,,,VHM,2026-08-11 14:10:00+07:00,2026-08-11,850,206,0.13850415512464131,1300.0,93990.0,7110400.0,514208810.0,72.31784569081908,-0.024676745620133556,0.9776536312849249
1786432260,72.3,72.3,72.2,72.2,13200,2026-08-11,,,,,,,,,VHM,2026-08-11 14:11:00+07:00,2026-08-11,851,207,-0.13831258644535493,13200.0,953040.0,7123600.0,515161850.0,72.31762732326352,-0.16265373687900375,0.8379888268156499
1786432320,72.2,72.3,72.1,72.1,27000,2026-08-11,,,,,,,,,VHM,2026-08-11 14:12:00+07:00,2026-08-11,852,208,-0.13850415512466352,27000.0,1946699.9999999998,7150600.0,517108550.0,72.3168055827483,-0.299799722901517,0.6983240223463749
1786432380,72.2,72.3,72.2,72.2,13600,2026-08-11,,,,,,,,,VHM,2026-08-11 14:13:00+07:00,2026-08-11,853,209,0.1386962552011317,13600.0,981920.0,7164200.0,518090470.0,72.31658384746378,-0.1612131564589392,0.8379888268156499
1786432440,72.3,72.3,72.2,72.2,12500,2026-08-11,,,,,,,,,VHM,2026-08-11 14:14:00+07:00,2026-08-11,854,210,0.0,12500.0,902500.0,7176700.0,518992970.0,72.31638078782727,-0.1609328157180956,0.8379888268156499
1786432500,72.1,72.2,72.1,72.2,10500,2026-08-11,,,,,,,,,VHM,2026-08-11 14:15:00+07:00,2026-08-11,855,211,0.0,10500.0,758100.0,7187200.0,519751070.0,72.3162107635797,-0.16069808187215706,0.8379888268156499
1786432560,72.1,72.2,72.1,72.2,4600,2026-08-11,,,,,,,,,VHM,2026-08-11 14:16:00+07:00,2026-08-11,856,212,0.0,4600.0,332120.0,7191800.0,520083190.0,72.31613643315998,-0.16059546166065086,0.8379888268156499
1786432620,72.2,72.3,72.2,72.3,41900,2026-08-11,,,,,,,,,VHM,2026-08-11 14:17:00+07:00,2026-08-11,857,213,0.13850415512464131,41900.0,3029370.0,7233700.0,523112560.0,72.31604296556395,-0.022184517993595332,0.9776536312849249
1786432680,72.2,72.3,72.0,72.0,87800,2026-08-11,,,,,,,,,VHM,2026-08-11 14:18:00+07:00,2026-08-11,858,214,-0.4149377593360981,87800.0,6321600.0,7321500.0,529434160.0,72.31225295362972,-0.4318119556169231,0.5586592178770999
1786432740,72.2,72.2,72.1,72.1,4600,2026-08-11,,,,,,,,,VHM,2026-08-11 14:19:00+07:00,2026-08-11,859,215,0.1388888888888884,4600.0,331660.0,7326100.0,529765820.0,72.31211968168603,-0.29333904554280643,0.6983240223463749
