t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3,Ticker,Timestamp,TradeDate,MinuteOfDay,MinuteIndexInDay,ret_1m_pct,volume_per_minute,traded_value_1m,cum_volume,cum_traded_value,cum_vwap,close_vs_cum_vwap_pct,ret_from_day_open_pct
1786950060,196.9,197.1,196.9,197.0,48800,2026-08-17,,,,,,,,,VIC,2026-08-17 14:01:00+07:00,2026-08-17,841,197,0.0507872016251909,48800.0,9613600.0,4980300.0,979595940.0,196.69416300222878,0.15548859869713993,-1.6966067864271461
1786950120,197.0,197.1,197.0,197.0,22900,2026-08-17,,,,,,,,,VIC,2026-08-17 14:02:00+07:00,2026-08-17,842,198,0.0,22900.0,4511300.0,5003200.0,984107240.0,196.69556283978253,0.15477581487970404,-1.6966067864271461
1786950180,197.0,197.1,197.0,197.1,58800,2026-08-17,,,,,,,,,VIC,2026-08-17 14:03:00+07:00,2026-08-17,843,199,0.050761421319789335,58800.0,11589480.0,5062000.0,995696720.0,196.70026076649546,0.20322252342057645,-1.646706586826352
1786950240,197.1,197.1,196.9,197.1,43900,2026-08-17,,,,,,,,,VIC,2026-08-17 14:04:00+07:00,2026-08-17,844,200,0.0,43900.0,8652690.0,5105900.0,1004349410.0,196.70369768307253,0.2014717168997926,-1.646706586826352
1786950300,197.1,197.1,197.0,197.1,9600,2026-08-17,,,,,,,,,VIC,2026-08-17 14:05:00+07:00,2026-08-17,845,201,0.0,9600.0,1892160.0,5115500.0,1006241570.0,196.70444140357736,0.20109286480780586,-1.646706586826352
1786950360,197.1,197.1,196.9,197.1,55200,2026-08-17,,,,,,,,,VIC,2026-08-17 14:06:00+07:00,2026-08-17,846,202,0.0,55200.0,10879920.0,5170700.0,1017121490.0,196.70866420407296,0.19894181962469837,-1.646706586826352
1786950420,197.1,197.3,197.1,197.3,23900,2026-08-17,,,,,,,,,VIC,2026-08-17 14:07:00+07:00,2026-08-17,847,203,0.10147133434805777,23900.0,4715470.0,5194600.0,1021836960.0,196.71138489970355,0.29922777504545195,-1.5469061876247525
1786950480,197.3,197.6,197.3,197.6,56000,2026-08-17,,,,,,,,,VIC,2026-08-17 14:08:00+07:00,2026-08-17,848,204,0.1520527116066761,56000.0,11065600.0,5250600.0,1032902560.0,196.72086237763304,0.44689597826148564,-1.397205588822359
1786950540,197.6,197.6,197.5,197.6,50500,2026-08-17,,,,,,,,,VIC,2026-08-17 14:09:00+07:00,2026-08-17,849,205,0.0,50500.0,9978800.0,5301100.0,1042881360.0,196.7292373281017,0.44261985850433394,-1.397205588822359
1786950600,197.6,197.6,197.5,197.6,64300,2026-08-17,,,,,,,,,VIC,2026-08-17 14:10:00+07:00,2026-08-17,850,206,0.0,64300.0,12705680.0,5365400.0,1055587040.0,196.73967271778432,0.4372922198817353,-1.397205588822359
1786950660,197.6,197.7,197.4,197.4,25800,2026-08-17,,,,,,,,,VIC,2026-08-17 14:11:00+07:00,2026-08-17,851,207,-0.10121457489877805,25800.0,5092920.0,5391200.0,1060679960.0,196.74283276450512,0.33402346924702453,-1.4970059880239472
1786950720,197.4,197.4,197.3,197.3,12500,2026-08-17,,,,,,,,,VIC,2026-08-17 14:12:00+07:00,2026-08-17,852,208,-0.05065856129685686,12500.0,2466250.0,5403700.0,1063146210.0,196.74412162037123,0.28253874883306107,-1.5469061876247525
1786950780,197.2,197.3,196.8,196.8,35300,2026-08-17,,,,,,,,,VIC,2026-08-17 14:13:00+07:00,2026-08-17,853,209,-0.25342118601114905,35300.0,6947040.0,5439000.0,1070093250.0,196.74448428019858,0.028217167055299974,-1.7964071856287345
1786950840,196.9,196.9,196.7,196.7,23500,2026-08-17,,,,,,,,,VIC,2026-08-17 14:14:00+07:00,2026-08-17,854,210,-0.0508130081300906,23500.0,4622450.0,5462500.0,1074715700.0,196.7442929061785,-0.022512930629003947,-1.8463073852295508
1786950900,196.7,196.7,196.6,196.7,12100,2026-08-17,,,,,,,,,VIC,2026-08-17 14:15:00+07:00,2026-08-17,855,211,0.0,12100.0,2380070.0,5474600.0,1077095770.0,196.74419500968108,-0.022463183566312495,-1.8463073852295508
1786950960,196.7,197.1,196.7,197.0,64200,2026-08-17,,,,,,,,,VIC,2026-08-17 14:16:00+07:00,2026-08-17,856,212,0.15251652262329163,64200.0,12647400.0,5538800.0,1089743170.0,196.74716003466455,0.1285100965578989,-1.6966067864271461
1786951020,197.0,197.1,196.9,196.9,40500,2026-08-17,,,,,,,,,VIC,2026-08-17 14:17:00+07:00,2026-08-17,857,213,-0.050761421319789335,40500.0,7974450.0,5579300.0,1097717620.0,196.74826949617335,0.07711910463823468,-1.7465069860279403
1786951080,196.9,196.9,196.8,196.8,17100,2026-08-17,,,,,,,,,VIC,2026-08-17 14:18:00+07:00,2026-08-17,858,214,-0.0507872016251909,17100.0,3365280.0,5596400.0,1101082900.0,196.74842756057467,0.026212376924572567,-1.7964071856287345
1786951140,196.8,196.9,196.8,196.8,6900,2026-08-17,,,,,,,,,VIC,2026-08-17 14:19:00+07:00,2026-08-17,859,215,0.0,6900.0,1357920.0,5603300.0,1102440820.0,196.74849106776364,0.02618009010226796,-1.7964071856287345
1786951200,196.8,196.8,196.7,196.7,14000,2026-08-17,,,,,,,,,VIC,2026-08-17 14:20:00+07:00,2026-08-17,860,216,-0.0508130081300906,14000.0,2753800.0,5617300.0,1105194620.0,196.74837021344774,-0.024584810230077192,-1.8463073852295508
1786951260,196.7,197.1,196.7,197.1,105500,2026-08-17,,,,,,,,,VIC,2026-08-17 14:21:00+07:00,2026-08-17,861,217,0.20335536349771477,105500.0,20794050.0,5722800.0,1125988670.0,196.75485251974558,0.17542005995494492,-1.646706586826352
1786951320,197.1,197.3,197.0,197.0,105100,2026-08-17,,,,,,,,,VIC,2026-08-17 14:22:00+07:00,2026-08-17,862,218,-0.050735667174017784,105100.0,20704700.0,5827900.0,1146693370.0,196.75927349474082,0.12234569735063427,-1.6966067864271461
1786951380,197.0,197.0,196.8,196.8,21600,2026-08-17,,,,,,,,,VIC,2026-08-17 14:23:00+07:00,2026-08-17,863,219,-0.10152284263958977,21600.0,4250880.0,5849500.0,1150944250.0,196.75942388238312,0.020622197817132815,-1.7964071856287345
1786951440,196.8,197.3,196.8,197.3,114600,2026-08-17,,,,,,,,,VIC,2026-08-17 14:24:00+07:00,2026-08-17,864,220,0.2540650406503975,114600.0,22610580.0,5964100.0,1173554830.0,196.76981103603225,0.26944629421363775,-1.5469061876247525
1786951500,197.3,197.3,197.1,197.1,50200,2026-08-17,,,,,,,,,VIC,2026-08-17 14:25:00+07:00,2026-08-17,865,221,-0.10136847440447294,50200.0,9894420.0,6014300.0,1183449250.0,196.7725670485343,0.16640172783075613,-1.646706586826352
