t,open,high,low,close,volume,date_vn,Ticker,Timestamp,TradeDate,MinuteOfDay,MinuteIndexInDay,ret_1m_pct,volume_per_minute,traded_value_1m,cum_volume,cum_traded_value,cum_vwap,close_vs_cum_vwap_pct,ret_from_day_open_pct
1789616160,1824.99,1824.99,1823.88,1824.42,2368963,2026-09-17,VNINDEX,2026-09-17 10:36:00+07:00,2026-09-17,636,84,-0.028494087476849117,2368963.0,4321983476.46,233581524.0,424687921190.02,1818.157163791859,0.3444606623048907,1.0675013156801416
1789616220,1824.33,1824.37,1823.92,1824.21,1959858,2026-09-17,VNINDEX,2026-09-17 10:37:00+07:00,2026-09-17,637,85,-0.011510507448941887,1959858.0,3575192562.1800003,235541382.0,428263113752.2,1818.207527338869,0.3301313282932039,1.0558679334127241
1789616280,1824.36,1824.41,1824.01,1824.22,2490862,2026-09-17,VNINDEX,2026-09-17 10:38:00+07:00,2026-09-17,638,86,0.000548182500925698,2490862.0,4543880277.64,238032244.0,432806994029.83997,1818.270444191754,0.327209619847868,1.0564219039968847
1789616340,1824.27,1825.12,1824.18,1825.12,1599957,2026-09-17,VNINDEX,2026-09-17 10:39:00+07:00,2026-09-17,639,87,0.049336154630474915,1599957.0,2920113519.8399997,239632201.0,435727107549.68,1818.3161767548927,0.3741826274267668,1.106279256571474
1789616400,1825.12,1825.12,1824.55,1824.81,2378264,2026-09-17,VNINDEX,2026-09-17 10:40:00+07:00,2026-09-17,640,88,-0.01698518453581155,2378264.0,4339879929.84,242010465.0,440066987479.52,1818.3799922847138,0.35361188214610983,1.0891061684624503
1789616460,1824.62,1825.31,1824.62,1824.99,1753360,2026-09-17,VNINDEX,2026-09-17 10:41:00+07:00,2026-09-17,641,89,0.009864040639850913,1753360.0,3199864466.4,243763825.0,443266851945.92,1818.4275371701276,0.3608866834520663,1.0990776389773638
1789616520,1824.85,1824.88,1824.19,1824.46,1932467,2026-09-17,VNINDEX,2026-09-17 10:42:00+07:00,2026-09-17,642,90,-0.02904125502057875,1932467.0,3525708742.82,245696292.0,446792560688.74,1818.474984102487,0.32912280618844214,1.069717198016784
1789616580,1824.48,1824.77,1824.12,1824.73,2537120,2026-09-17,VNINDEX,2026-09-17 10:43:00+07:00,2026-09-17,643,91,0.014798899400370047,2537120.0,4629558977.6,248233412.0,451422119666.33997,1818.5389147627716,0.3404428240149082,1.0846744037891654
1789616640,1824.52,1824.99,1824.36,1824.77,2450066,2026-09-17,VNINDEX,2026-09-17 10:44:00+07:00,2026-09-17,644,92,0.0021921051333695374,2450066.0,4470806934.82,250683478.0,455892926601.16,1818.5998145484482,0.3392821995356732,1.0868902861258078
1789616700,1824.66,1824.79,1824.43,1824.64,2177783,2026-09-17,VNINDEX,2026-09-17 10:45:00+07:00,2026-09-17,645,93,-0.007124185513784909,2177783.0,3973669973.1200004,252861261.0,459866596574.27997,1818.6518360132673,0.3292639013226184,1.0796886685316975
