t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3,Ticker,Timestamp,TradeDate,MinuteOfDay,MinuteIndexInDay,ret_1m_pct,volume_per_minute,traded_value_1m,cum_volume,cum_traded_value,cum_vwap,close_vs_cum_vwap_pct,ret_from_day_open_pct
1786677420,62.2,62.2,62.1,62.2,3100,2026-08-14,,,,,,,,,VNM,2026-08-14 10:17:00+07:00,2026-08-14,617,63,0.0,3100.0,192820.0,842900.0,52359000.0,62.1176889310713,0.1325082602799954,0.9740259740259827
1786677480,62.2,62.3,62.1,62.3,55200,2026-08-14,,,,,,,,,VNM,2026-08-14 10:18:00+07:00,2026-08-14,618,64,0.1607717041800516,55200.0,3438960.0,898100.0,55797960.0,62.12889433247968,0.27540433377850615,1.1363636363636243
1786677540,62.3,62.3,62.2,62.3,4800,2026-08-14,,,,,,,,,VNM,2026-08-14 10:19:00+07:00,2026-08-14,619,65,0.0,4800.0,299040.0,902900.0,56097000.0,62.12980396500166,0.27393621762303866,1.1363636363636243
1786677600,62.3,62.3,62.2,62.3,5900,2026-08-14,,,,,,,,,VNM,2026-08-14 10:20:00+07:00,2026-08-14,620,66,0.0,5900.0,367570.0,908800.0,56464570.0,62.13090889084507,0.27215296246831944,1.1363636363636243
1786677660,62.3,62.3,62.2,62.3,2400,2026-08-14,,,,,,,,,VNM,2026-08-14 10:21:00+07:00,2026-08-14,621,67,0.0,2400.0,149520.0,911200.0,56614090.0,62.131354258121156,0.2714341959748845,1.1363636363636243
1786677720,62.3,62.3,62.3,62.3,900,2026-08-14,,,,,,,,,VNM,2026-08-14 10:22:00+07:00,2026-08-14,622,68,0.0,900.0,56070.0,912100.0,56670160.0,62.13152066659357,0.27116563637723523,1.1363636363636243
1786677780,62.3,62.3,62.3,62.3,1000,2026-08-14,,,,,,,,,VNM,2026-08-14 10:23:00+07:00,2026-08-14,623,69,0.0,1000.0,62300.0,913100.0,56732460.0,62.131705180155514,0.2708678594229852,1.1363636363636243
1786677840,62.3,62.3,62.3,62.3,10800,2026-08-14,,,,,,,,,VNM,2026-08-14 10:24:00+07:00,2026-08-14,624,70,0.0,10800.0,672840.0,923900.0,57405300.0,62.13367247537612,0.26769305273206534,1.1363636363636243
1786677900,62.3,62.3,62.2,62.3,1900,2026-08-14,,,,,,,,,VNM,2026-08-14 10:25:00+07:00,2026-08-14,625,71,0.0,1900.0,118370.0,925800.0,57523670.0,62.13401382588032,0.26714220424393087,1.1363636363636243
1786677960,62.3,62.3,62.3,62.3,6400,2026-08-14,,,,,,,,,VNM,2026-08-14 10:26:00+07:00,2026-08-14,626,72,0.0,6400.0,398720.0,932200.0,57922390.0,62.13515340055782,0.2653032790946641,1.1363636363636243
1786678020,62.3,62.3,62.3,62.3,1000,2026-08-14,,,,,,,,,VNM,2026-08-14 10:27:00+07:00,2026-08-14,627,73,0.0,1000.0,62300.0,933200.0,57984690.0,62.135330047149594,0.26501823153661785,1.1363636363636243
1786678080,62.3,62.3,62.3,62.3,4000,2026-08-14,,,,,,,,,VNM,2026-08-14 10:28:00+07:00,2026-08-14,628,74,0.0,4000.0,249200.0,937200.0,58233890.0,62.13603286384976,0.263884140317594,1.1363636363636243
1786678140,62.3,62.3,62.2,62.3,4400,2026-08-14,,,,,,,,,VNM,2026-08-14 10:29:00+07:00,2026-08-14,629,75,0.0,4400.0,274120.0,941600.0,58508010.0,62.13679906542056,0.2626477981390929,1.1363636363636243
1786678200,62.3,62.3,62.3,62.3,2800,2026-08-14,,,,,,,,,VNM,2026-08-14 10:30:00+07:00,2026-08-14,630,76,0.0,2800.0,174440.0,944400.0,58682450.0,62.137282930961454,0.26186704883657264,1.1363636363636243
1786678260,62.3,62.3,62.2,62.3,19000,2026-08-14,,,,,,,,,VNM,2026-08-14 10:31:00+07:00,2026-08-14,631,77,0.0,19000.0,1183700.0,963400.0,59866150.0,62.14049200747353,0.2566892977083013,1.1363636363636243
1786678320,62.3,62.3,62.2,62.2,2700,2026-08-14,,,,,,,,,VNM,2026-08-14 10:32:00+07:00,2026-08-14,632,78,-0.16051364365969878,2700.0,167940.0,966100.0,60034090.0,62.14065831694442,0.09549574250229398,0.9740259740259827
1786678380,62.1,62.2,62.1,62.2,4700,2026-08-14,,,,,,,,,VNM,2026-08-14 10:33:00+07:00,2026-08-14,633,79,0.0,4700.0,292340.0,970800.0,60326430.0,62.1409456118665,0.09503297310979875,0.9740259740259827
1786678440,62.2,62.2,62.1,62.1,2400,2026-08-14,,,,,,,,,VNM,2026-08-14 10:34:00+07:00,2026-08-14,634,80,-0.1607717041800627,2400.0,149040.0,973200.0,60475470.0,62.14084463625154,-0.06572912951317011,0.8116883116883189
1786678500,62.2,62.2,62.2,62.2,7500,2026-08-14,,,,,,,,,VNM,2026-08-14 10:35:00+07:00,2026-08-14,635,81,0.16103059581320522,7500.0,466500.0,980700.0,60941970.0,62.14129703273172,0.09446691664218854,0.9740259740259827
1786678560,62.2,62.2,62.1,62.2,6400,2026-08-14,,,,,,,,,VNM,2026-08-14 10:36:00+07:00,2026-08-14,636,82,0.0,6400.0,398080.0,987100.0,61340050.0,62.14167764157634,0.09385385241780231,0.9740259740259827
1786678620,62.2,62.3,62.1,62.3,13500,2026-08-14,,,,,,,,,VNM,2026-08-14 10:37:00+07:00,2026-08-14,637,83,0.1607717041800516,13500.0,841050.0,1000600.0,62181100.0,62.143813711772935,0.25133038817259923,1.1363636363636243
1786678680,62.3,62.3,62.3,62.3,6000,2026-08-14,,,,,,,,,VNM,2026-08-14 10:38:00+07:00,2026-08-14,638,84,0.0,6000.0,373800.0,1006600.0,62554900.0,62.14474468507848,0.24982855060116105,1.1363636363636243
1786678740,62.3,62.3,62.3,62.3,700,2026-08-14,,,,,,,,,VNM,2026-08-14 10:39:00+07:00,2026-08-14,639,85,0.0,700.0,43610.0,1007300.0,62598510.0,62.144852576193784,0.24965450455609606,1.1363636363636243
1786678800,62.3,62.3,62.2,62.3,5400,2026-08-14,,,,,,,,,VNM,2026-08-14 10:40:00+07:00,2026-08-14,640,86,0.0,5400.0,336420.0,1012700.0,62934930.0,62.14567986570554,0.24831997111938175,1.1363636363636243
1786678860,62.3,62.3,62.2,62.3,2000,2026-08-14,,,,,,,,,VNM,2026-08-14 10:41:00+07:00,2026-08-14,641,87,0.0,2000.0,124600.0,1014700.0,63059530.0,62.14598403469006,0.24782931303166666,1.1363636363636243
1786678920,62.3,62.3,62.2,62.2,5900,2026-08-14,,,,,,,,,VNM,2026-08-14 10:42:00+07:00,2026-08-14,642,88,-0.16051364365969878,5900.0,366980.0,1020600.0,63426510.0,62.1462962962963,0.08641497064871828,0.9740259740259827
1786678980,62.3,62.3,62.3,62.3,4100,2026-08-14,,,,,,,,,VNM,2026-08-14 10:43:00+07:00,2026-08-14,643,89,0.1607717041800516,4100.0,255430.0,1024700.0,63681940.0,62.146911291109596,0.24633357589294302,1.1363636363636243
1786679040,62.3,62.3,62.2,62.2,5900,2026-08-14,,,,,,,,,VNM,2026-08-14 10:44:00+07:00,2026-08-14,644,90,-0.16051364365969878,5900.0,366980.0,1030600.0,64048920.0,62.14721521443819,0.08493507774995912,0.9740259740259827
1786679100,62.2,62.3,62.2,62.3,6700,2026-08-14,,,,,,,,,VNM,2026-08-14 10:45:00+07:00,2026-08-14,645,91,0.1607717041800516,6700.0,417410.0,1037300.0,64466330.0,62.148202063048295,0.24425153409539657,1.1363636363636243
1786679160,62.3,62.3,62.2,62.3,3400,2026-08-14,,,,,,,,,VNM,2026-08-14 10:46:00+07:00,2026-08-14,646,92,0.0,3400.0,211820.0,1040700.0,64678150.0,62.148697991736334,0.24345161387577807,1.1363636363636243
1786679220,62.3,62.3,62.3,62.3,4300,2026-08-14,,,,,,,,,VNM,2026-08-14 10:47:00+07:00,2026-08-14,647,93,0.0,4300.0,267890.0,1045000.0,64946040.0,62.14932057416268,0.24244742250643103,1.1363636363636243
1786679280,62.3,62.3,62.3,62.3,900,2026-08-14,,,,,,,,,VNM,2026-08-14 10:48:00+07:00,2026-08-14,648,94,0.0,900.0,56070.0,1045900.0,65002110.0,62.149450234248015,0.2422382904185616,1.1363636363636243
1786679340,62.3,62.3,62.1,62.2,8100,2026-08-14,,,,,,,,,VNM,2026-08-14 10:49:00+07:00,2026-08-14,649,95,-0.16051364365969878,8100.0,503820.0,1054000.0,65505930.0,62.14983870967742,0.08071025020177647,0.9740259740259827
1786679400,62.3,62.3,62.3,62.3,4000,2026-08-14,,,,,,,,,VNM,2026-08-14 10:50:00+07:00,2026-08-14,650,96,0.1607717041800516,4000.0,249200.0,1058000.0,65755130.0,62.15040642722117,0.24069604911434173,1.1363636363636243
1786679460,62.3,62.3,62.3,62.3,900,2026-08-14,,,,,,,,,VNM,2026-08-14 10:51:00+07:00,2026-08-14,651,97,0.0,900.0,56070.0,1058900.0,65811200.0,62.15053357257531,0.24049098025866744,1.1363636363636243
