t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3,Ticker,Timestamp,TradeDate,MinuteOfDay,MinuteIndexInDay,ret_1m_pct,volume_per_minute,traded_value_1m,cum_volume,cum_traded_value,cum_vwap,close_vs_cum_vwap_pct,ret_from_day_open_pct
1785913260,80.0,80.1,80.0,80.0,2000,2026-08-05,,,,,,,,,VPL,2026-08-05 14:01:00+07:00,2026-08-05,841,173,0.0,2000.0,160000.0,411600.0,33072130.0,80.35017006802721,-0.43580501165180197,0.25062656641603454
1785913320,80.1,80.2,80.1,80.2,2100,2026-08-05,,,,,,,,,VPL,2026-08-05 14:02:00+07:00,2026-08-05,842,174,0.24999999999999467,2100.0,168420.0,413700.0,33240550.0,80.34940778341793,-0.18594758510313003,0.5012531328320913
1785913380,80.2,80.2,80.2,80.2,100,2026-08-05,,,,,,,,,VPL,2026-08-05 14:03:00+07:00,2026-08-05,843,175,0.0,100.0,8020.0,413800.0,33248570.0,80.34937167713872,-0.18590273205735253,0.5012531328320913
1785913440,80.2,80.2,80.2,80.2,2300,2026-08-05,,,,,,,,,VPL,2026-08-05 14:04:00+07:00,2026-08-05,844,176,0.0,2300.0,184460.0,416100.0,33433030.0,80.34854602259072,-0.18487705122748332,0.5012531328320913
1785913500,80.2,80.2,80.2,80.2,300,2026-08-05,,,,,,,,,VPL,2026-08-05 14:05:00+07:00,2026-08-05,845,177,0.0,300.0,24060.0,416400.0,33457090.0,80.34843900096061,-0.18474410057777169,0.5012531328320913
1785913560,80.2,80.2,80.2,80.2,200,2026-08-05,,,,,,,,,VPL,2026-08-05 14:06:00+07:00,2026-08-05,846,178,0.0,200.0,16040.0,416600.0,33473130.0,80.34836773883822,-0.18465557299243152,0.5012531328320913
1785913620,80.0,80.1,80.0,80.1,500,2026-08-05,,,,,,,,,VPL,2026-08-05 14:07:00+07:00,2026-08-05,847,179,-0.12468827930175452,500.0,40050.0,417100.0,33513180.0,80.34807000719252,-0.30874420153503834,0.3759398496240518
1785913680,80.1,80.1,80.1,80.1,300,2026-08-05,,,,,,,,,VPL,2026-08-05 14:08:00+07:00,2026-08-05,848,180,0.0,300.0,24030.0,417400.0,33537210.0,80.34789171058937,-0.3085229808919787,0.3759398496240518
1785913740,80.2,80.2,80.1,80.1,300,2026-08-05,,,,,,,,,VPL,2026-08-05 14:09:00+07:00,2026-08-05,849,181,0.0,300.0,24030.0,417700.0,33561240.0,80.34771367009816,-0.30830207703888,0.3759398496240518
1785913800,80.1,80.1,80.1,80.1,300,2026-08-05,,,,,,,,,VPL,2026-08-05 14:10:00+07:00,2026-08-05,850,182,0.0,300.0,24030.0,418000.0,33585270.0,80.34753588516746,-0.30808148929575285,0.3759398496240518
1785913860,80.1,80.1,80.1,80.1,300,2026-08-05,,,,,,,,,VPL,2026-08-05 14:11:00+07:00,2026-08-05,851,183,0.0,300.0,24030.0,418300.0,33609300.0,80.34735835524744,-0.3078612169845951,0.3759398496240518
1785913920,80.1,80.1,80.1,80.1,500,2026-08-05,,,,,,,,,VPL,2026-08-05 14:12:00+07:00,2026-08-05,852,184,0.0,500.0,40050.0,418800.0,33649350.0,80.34706303724928,-0.3074947955904128,0.3759398496240518
1785913980,80.1,80.1,80.1,80.1,300,2026-08-05,,,,,,,,,VPL,2026-08-05 14:13:00+07:00,2026-08-05,853,185,0.0,300.0,24030.0,419100.0,33673380.0,80.34688618468147,-0.3072753611309764,0.3759398496240518
