t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3,Ticker,Timestamp,TradeDate,MinuteOfDay,MinuteIndexInDay,ret_1m_pct,volume_per_minute,traded_value_1m,cum_volume,cum_traded_value,cum_vwap,close_vs_cum_vwap_pct,ret_from_day_open_pct
1786673700,26.45,26.45,26.4,26.4,33700,2026-08-14,,,,,,,,,BSR,2026-08-14 09:15:00+07:00,2026-08-14,555,1,,33700.0,889680.0,33700.0,889680.0,26.4,0.0,-0.1890359168241984
1786673760,26.4,26.5,26.4,26.45,91200,2026-08-14,,,,,,,,,BSR,2026-08-14 09:16:00+07:00,2026-08-14,556,2,0.18939393939394478,91200.0,2412240.0,124900.0,3301920.0,26.436509207365894,0.0510309153462174,0.0
1786673820,26.45,26.6,26.45,26.6,17200,2026-08-14,,,,,,,,,BSR,2026-08-14 09:17:00+07:00,2026-08-14,557,3,0.5671077504725952,17200.0,457520.0,142100.0,3759440.0,26.456298381421533,0.5431660034473262,0.5671077504725952
1786673880,26.6,26.7,26.6,26.6,55800,2026-08-14,,,,,,,,,BSR,2026-08-14 09:18:00+07:00,2026-08-14,558,4,0.0,55800.0,1484280.0,197900.0,5243720.0,26.496816574027285,0.3894181992936341,0.5671077504725952
1786673940,26.7,26.7,26.5,26.6,54500,2026-08-14,,,,,,,,,BSR,2026-08-14 09:19:00+07:00,2026-08-14,559,5,0.0,54500.0,1449700.0,252400.0,6693420.0,26.51909667194929,0.3050757310911312,0.5671077504725952
1786674000,26.5,26.6,26.5,26.55,17200,2026-08-14,,,,,,,,,BSR,2026-08-14 09:20:00+07:00,2026-08-14,560,6,-0.187969924812037,17200.0,456660.0,269600.0,7150080.0,26.52106824925816,0.10908968850698031,0.3780718336483968
1786674060,26.55,26.6,26.55,26.6,14800,2026-08-14,,,,,,,,,BSR,2026-08-14 09:21:00+07:00,2026-08-14,561,7,0.18832391713747842,14800.0,393680.0,284400.0,7543760.0,26.525175808720114,0.28208744710860323,0.5671077504725952
1786674120,26.6,26.6,26.55,26.55,29100,2026-08-14,,,,,,,,,BSR,2026-08-14 09:22:00+07:00,2026-08-14,562,8,-0.187969924812037,29100.0,772605.0,313500.0,8316365.0,26.527480063795853,0.08489285883916953,0.3780718336483968
1786674180,26.55,26.55,26.55,26.55,3600,2026-08-14,,,,,,,,,BSR,2026-08-14 09:23:00+07:00,2026-08-14,563,9,0.0,3600.0,95580.0,317100.0,8411945.0,26.52773573005361,0.08392827104790612,0.3780718336483968
1786674240,26.55,26.55,26.5,26.55,13300,2026-08-14,,,,,,,,,BSR,2026-08-14 09:24:00+07:00,2026-08-14,564,10,0.0,13300.0,353115.0,330400.0,8765060.0,26.52863196125908,0.08054708125215804,0.3780718336483968
1786674300,26.55,26.55,26.55,26.55,1000,2026-08-14,,,,,,,,,BSR,2026-08-14 09:25:00+07:00,2026-08-14,565,11,0.0,1000.0,26550.0,331400.0,8791610.0,26.52869643934822,0.08030383513373263,0.3780718336483968
1786674360,26.55,26.55,26.4,26.4,38300,2026-08-14,,,,,,,,,BSR,2026-08-14 09:26:00+07:00,2026-08-14,566,12,-0.5649717514124353,38300.0,1011120.0,369700.0,9802730.0,26.515363808493372,-0.43508287997323647,-0.1890359168241984
1786674420,26.45,26.45,26.4,26.4,30500,2026-08-14,,,,,,,,,BSR,2026-08-14 09:27:00+07:00,2026-08-14,567,13,0.0,30500.0,805200.0,400200.0,10607930.0,26.50657171414293,-0.4020577058860719,-0.1890359168241984
1786674480,26.4,26.4,26.4,26.4,24700,2026-08-14,,,,,,,,,BSR,2026-08-14 09:28:00+07:00,2026-08-14,568,14,0.0,24700.0,652080.0,424900.0,11260010.0,26.500376559190396,-0.3787740863462785,-0.1890359168241984
