t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3,Ticker,Timestamp,TradeDate,MinuteOfDay,MinuteIndexInDay,ret_1m_pct,volume_per_minute,traded_value_1m,cum_volume,cum_traded_value,cum_vwap,close_vs_cum_vwap_pct,ret_from_day_open_pct
1786414500,31.8,31.9,31.75,31.75,196300,2026-08-11,,,,,,,,,GVR,2026-08-11 09:15:00+07:00,2026-08-11,555,1,,196300.0,6232525.0,196300.0,6232525.0,31.75,0.0,-0.15723270440252124
1786414560,31.8,31.8,31.75,31.75,2500,2026-08-11,,,,,,,,,GVR,2026-08-11 09:16:00+07:00,2026-08-11,556,2,0.0,2500.0,79375.0,198800.0,6311900.0,31.75,0.0,-0.15723270440252124
1786414620,31.75,31.75,31.75,31.75,3200,2026-08-11,,,,,,,,,GVR,2026-08-11 09:17:00+07:00,2026-08-11,557,3,0.0,3200.0,101600.0,202000.0,6413500.0,31.75,0.0,-0.15723270440252124
1786414680,31.75,31.75,31.7,31.75,3600,2026-08-11,,,,,,,,,GVR,2026-08-11 09:18:00+07:00,2026-08-11,558,4,0.0,3600.0,114300.0,205600.0,6527800.0,31.75,0.0,-0.15723270440252124
1786414740,31.75,31.8,31.7,31.7,5800,2026-08-11,,,,,,,,,GVR,2026-08-11 09:19:00+07:00,2026-08-11,559,5,-0.15748031496063408,5800.0,183860.0,211400.0,6711660.0,31.748628192999053,-0.15316628077107763,-0.3144654088050314
1786414800,31.7,31.7,31.6,31.6,5100,2026-08-11,,,,,,,,,GVR,2026-08-11 09:20:00+07:00,2026-08-11,560,6,-0.3154574132492094,5100.0,161160.0,216500.0,6872820.0,31.74512702078522,-0.4571631440951407,-0.6289308176100628
1786414860,31.6,31.6,31.6,31.6,7100,2026-08-11,,,,,,,,,GVR,2026-08-11 09:21:00+07:00,2026-08-11,561,7,0.0,7100.0,224360.0,223600.0,7097180.0,31.74051878354204,-0.4427110486136754,-0.6289308176100628
1786414920,31.6,31.65,31.6,31.65,6100,2026-08-11,,,,,,,,,GVR,2026-08-11 09:22:00+07:00,2026-08-11,562,8,0.15822784810126667,6100.0,193065.0,229700.0,7290245.0,31.73811493252068,-0.2776312730230712,-0.4716981132075526
1786414980,31.65,31.7,31.65,31.7,20100,2026-08-11,,,,,,,,,GVR,2026-08-11 09:23:00+07:00,2026-08-11,563,9,0.15797788309637184,20100.0,637170.0,249800.0,7927415.0,31.735048038430744,-0.1104395316758322,-0.3144654088050314
1786415040,31.7,31.8,31.7,31.8,15300,2026-08-11,,,,,,,,,GVR,2026-08-11 09:24:00+07:00,2026-08-11,564,10,0.3154574132492094,15300.0,486540.0,265100.0,8413955.0,31.738796680497924,0.19283440427242393,0.0
1786415100,31.75,31.9,31.75,31.9,28700,2026-08-11,,,,,,,,,GVR,2026-08-11 09:25:00+07:00,2026-08-11,565,11,0.3144654088050203,28700.0,915530.0,293800.0,9329485.0,31.754543907420015,0.4580638695490524,0.3144654088050203
1786415160,31.95,32.05,31.95,32.05,71000,2026-08-11,,,,,,,,,GVR,2026-08-11 09:26:00+07:00,2026-08-11,566,12,0.4702194357366629,71000.0,2275550.0,364800.0,11605035.0,31.81204769736842,0.7479942973028342,0.7861635220125729
1786415220,32.1,32.2,32.1,32.2,46700,2026-08-11,,,,,,,,,GVR,2026-08-11 09:27:00+07:00,2026-08-11,567,13,0.46801872074884177,46700.0,1503740.0000000002,411500.0,13108775.0,31.856075334143377,1.0796203306563834,1.2578616352201255
1786415280,32.15,32.15,32.0,32.1,21200,2026-08-11,,,,,,,,,GVR,2026-08-11 09:28:00+07:00,2026-08-11,568,14,-0.31055900621118626,21200.0,680520.0,432700.0,13789295.0,31.868026346198288,0.7279197377386026,0.9433962264151052
1786415340,32.0,32.05,32.0,32.0,9500,2026-08-11,,,,,,,,,GVR,2026-08-11 09:29:00+07:00,2026-08-11,569,15,-0.31152647975077885,9500.0,304000.0,442200.0,14093295.0,31.870861601085483,0.4051926820519913,0.6289308176100628
1786415400,32.0,32.0,31.9,31.9,7400,2026-08-11,,,,,,,,,GVR,2026-08-11 09:30:00+07:00,2026-08-11,570,16,-0.31250000000000444,7400.0,236060.0,449600.0,14329355.0,31.871341192170817,0.0899203069503196,0.3144654088050203
1786415460,31.9,31.95,31.85,31.85,13600,2026-08-11,,,,,,,,,GVR,2026-08-11 09:31:00+07:00,2026-08-11,571,17,-0.15673981191222097,13600.0,433160.0,463200.0,14762515.0,31.870714594127808,-0.06499570025838564,0.15723270440251014
1786415520,31.8,31.85,31.8,31.8,15000,2026-08-11,,,,,,,,,GVR,2026-08-11 09:32:00+07:00,2026-08-11,572,18,-0.15698587127158659,15000.0,477000.0,478200.0,15239515.0,31.86849644500209,-0.2149346616345693,0.0
1786415580,31.85,31.85,31.8,31.8,7700,2026-08-11,,,,,,,,,GVR,2026-08-11 09:33:00+07:00,2026-08-11,573,19,0.0,7700.0,244860.0,485900.0,15484375.0,31.86741098991562,-0.2115358224016095,0.0
1786415640,31.85,31.85,31.8,31.8,10600,2026-08-11,,,,,,,,,GVR,2026-08-11 09:34:00+07:00,2026-08-11,574,20,0.0,10600.0,337080.0,496500.0,15821455.0,31.86597180261833,-0.20702899954523346,0.0
1786415700,31.8,31.8,31.7,31.7,2600,2026-08-11,,,,,,,,,GVR,2026-08-11 09:35:00+07:00,2026-08-11,575,21,-0.3144654088050314,2600.0,82420.0,499100.0,15903875.0,31.865107192947306,-0.5181441629791506,-0.3144654088050314
1786415760,31.7,31.7,31.65,31.65,3100,2026-08-11,,,,,,,,,GVR,2026-08-11 09:36:00+07:00,2026-08-11,576,22,-0.1577287066246047,3100.0,98115.0,502200.0,16001990.0,31.86377937076862,-0.670916554753509,-0.4716981132075526
1786415820,31.65,31.65,31.65,31.65,15100,2026-08-11,,,,,,,,,GVR,2026-08-11 09:37:00+07:00,2026-08-11,577,23,0.0,15100.0,477915.0,517300.0,16479905.0,31.857539145563504,-0.6514600660622816,-0.4716981132075526
1786415880,31.65,31.65,31.65,31.65,8000,2026-08-11,,,,,,,,,GVR,2026-08-11 09:38:00+07:00,2026-08-11,578,24,0.0,8000.0,253200.0,525300.0,16733105.0,31.85437845040929,-0.6416023804308946,-0.4716981132075526
1786415940,31.65,31.65,31.6,31.65,1800,2026-08-11,,,,,,,,,GVR,2026-08-11 09:39:00+07:00,2026-08-11,579,25,0.0,1800.0,56970.0,527100.0,16790075.0,31.853680516031115,-0.6394253748122081,-0.4716981132075526
1786416000,31.65,31.65,31.6,31.65,41300,2026-08-11,,,,,,,,,GVR,2026-08-11 09:40:00+07:00,2026-08-11,580,26,0.0,41300.0,1307145.0,568400.0,18097220.0,31.838881069669245,-0.5932402877347975,-0.4716981132075526
1786416060,31.65,31.65,31.6,31.65,3700,2026-08-11,,,,,,,,,GVR,2026-08-11 09:41:00+07:00,2026-08-11,581,27,0.0,3700.0,117105.0,572100.0,18214325.0,31.837659500087398,-0.5894261796690281,-0.4716981132075526
1786416120,31.65,31.65,31.6,31.6,14500,2026-08-11,,,,,,,,,GVR,2026-08-11 09:42:00+07:00,2026-08-11,582,28,-0.15797788309636074,14500.0,458200.0,586600.0,18672525.0,31.831784861916127,-0.7281554047992911,-0.6289308176100628
1786416180,31.6,31.65,31.6,31.65,11900,2026-08-11,,,,,,,,,GVR,2026-08-11 09:43:00+07:00,2026-08-11,583,29,0.15822784810126667,11900.0,376635.0,598500.0,19049160.0,31.828170426065164,-0.5597884631133421,-0.4716981132075526
1786416240,31.65,31.65,31.6,31.65,6700,2026-08-11,,,,,,,,,GVR,2026-08-11 09:44:00+07:00,2026-08-11,584,30,0.0,6700.0,212055.0,605200.0,19261215.0,31.82619795109055,-0.5536255111632471,-0.4716981132075526
1786416300,31.6,31.7,31.6,31.7,15000,2026-08-11,,,,,,,,,GVR,2026-08-11 09:45:00+07:00,2026-08-11,585,31,0.15797788309637184,15000.0,475500.0,620200.0,19736715.0,31.823145759432443,-0.3869691587480517,-0.3144654088050314
1786416360,31.7,31.75,31.7,31.75,1600,2026-08-11,,,,,,,,,GVR,2026-08-11 09:46:00+07:00,2026-08-11,586,32,0.1577287066246047,1600.0,50800.0,621800.0,19787515.0,31.822957542618205,-0.2292607232388666,-0.15723270440252124
1786416420,31.75,31.75,31.75,31.75,4200,2026-08-11,,,,,,,,,GVR,2026-08-11 09:47:00+07:00,2026-08-11,587,33,0.0,4200.0,133350.0,626000.0,19920865.0,31.82246805111821,-0.22772605506838905,-0.15723270440252124
1786416480,31.75,31.8,31.75,31.8,14600,2026-08-11,,,,,,,,,GVR,2026-08-11 09:48:00+07:00,2026-08-11,588,34,0.15748031496063408,14600.0,464280.0,640600.0,20385145.0,31.821955978769903,-0.06899632060503036,0.0
1786416540,31.85,31.85,31.85,31.85,12500,2026-08-11,,,,,,,,,GVR,2026-08-11 09:49:00+07:00,2026-08-11,589,35,0.15723270440251014,12500.0,398125.0,653100.0,20783270.0,31.822492726994334,0.08643971810018414,0.15723270440251014
1786416600,31.85,31.9,31.8,31.8,2100,2026-08-11,,,,,,,,,GVR,2026-08-11 09:50:00+07:00,2026-08-11,590,36,-0.15698587127158659,2100.0,66780.0,655200.0,20850050.0,31.822420634920636,-0.07045546653365875,0.0
1786416660,31.8,31.8,31.8,31.8,700,2026-08-11,,,,,,,,,GVR,2026-08-11 09:51:00+07:00,2026-08-11,591,37,0.0,700.0,22260.0,655900.0,20872310.0,31.822396706815063,-0.07038032685409146,0.0
1786416720,31.8,31.8,31.8,31.8,1200,2026-08-11,,,,,,,,,GVR,2026-08-11 09:52:00+07:00,2026-08-11,592,38,0.0,1200.0,38160.0,657100.0,20910470.0,31.822355805813423,-0.07025188816893735,0.0
1786416780,31.9,31.9,31.8,31.8,1800,2026-08-11,,,,,,,,,GVR,2026-08-11 09:53:00+07:00,2026-08-11,593,39,0.0,1800.0,57240.0,658900.0,20967710.0,31.822294733646988,-0.0700601067069262,0.0
1786416840,31.8,31.9,31.8,31.8,12800,2026-08-11,,,,,,,,,GVR,2026-08-11 09:54:00+07:00,2026-08-11,594,40,0.0,12800.0,407040.0,671700.0,21374750.0,31.821869882387972,-0.06872595001111703,0.0
1786416900,31.8,31.8,31.8,31.8,200,2026-08-11,,,,,,,,,GVR,2026-08-11 09:55:00+07:00,2026-08-11,595,41,0.0,200.0,6360.0,671900.0,21381110.0,31.821863372525673,-0.06870550687031463,0.0
1786416960,31.8,31.8,31.8,31.8,6500,2026-08-11,,,,,,,,,GVR,2026-08-11 09:56:00+07:00,2026-08-11,596,42,0.0,6500.0,206700.0,678400.0,21587810.0,31.821653891509435,-0.06804766208337032,0.0
1786417020,31.8,31.8,31.8,31.8,1000,2026-08-11,,,,,,,,,GVR,2026-08-11 09:57:00+07:00,2026-08-11,597,43,0.0,1000.0,31800.0,679400.0,21619610.0,31.821622019428908,-0.0679475716722,0.0
1786417080,31.85,31.85,31.85,31.85,2200,2026-08-11,,,,,,,,,GVR,2026-08-11 09:58:00+07:00,2026-08-11,598,44,0.15723270440251014,2200.0,70070.0,681600.0,21689680.0,31.821713615023473,0.08889020031648265,0.15723270440251014
1786417140,31.85,31.9,31.85,31.9,2400,2026-08-11,,,,,,,,,GVR,2026-08-11 09:59:00+07:00,2026-08-11,599,45,0.15698587127157548,2400.0,76560.0,684000.0,21766240.0,31.821988304093566,0.24515028778511194,0.3144654088050203
1786417200,31.9,31.9,31.85,31.85,1700,2026-08-11,,,,,,,,,GVR,2026-08-11 10:00:00+07:00,2026-08-11,600,46,-0.15673981191222097,1700.0,54145.0,685700.0,21820385.0,31.82205775120315,0.08780779990820164,0.15723270440251014
1786417260,31.85,31.85,31.85,31.85,12400,2026-08-11,,,,,,,,,GVR,2026-08-11 10:01:00+07:00,2026-08-11,601,47,0.0,12400.0,394940.0,698100.0,22215325.0,31.822554075347373,0.08624676884088078,0.15723270440251014
1786417320,31.85,31.85,31.85,31.85,2800,2026-08-11,,,,,,,,,GVR,2026-08-11 10:02:00+07:00,2026-08-11,602,48,0.0,2800.0,89180.0,700900.0,22304505.0,31.822663718076758,0.08590192878075165,0.15723270440251014
1786417380,31.9,31.9,31.85,31.85,500,2026-08-11,,,,,,,,,GVR,2026-08-11 10:03:00+07:00,2026-08-11,603,49,0.0,500.0,15925.0,701400.0,22320430.0,31.822683205018535,0.08584064016687876,0.15723270440251014
1786417440,31.85,31.85,31.85,31.85,7400,2026-08-11,,,,,,,,,GVR,2026-08-11 10:04:00+07:00,2026-08-11,604,50,0.0,7400.0,235690.0,708800.0,22556120.0,31.822968397291195,0.08494368712350653,0.15723270440251014
1786417500,31.9,31.9,31.9,31.9,24300,2026-08-11,,,,,,,,,GVR,2026-08-11 10:05:00+07:00,2026-08-11,605,51,0.15698587127157548,24300.0,775170.0,733100.0,23331290.0,31.825521756922658,0.23402049350893517,0.3144654088050203
1786417560,31.95,31.95,31.9,31.9,27500,2026-08-11,,,,,,,,,GVR,2026-08-11 10:06:00+07:00,2026-08-11,606,52,0.0,27500.0,877250.0,760600.0,24208540.0,31.828214567446754,0.22554024323646615,0.3144654088050203
1786417620,31.9,31.95,31.9,31.9,7300,2026-08-11,,,,,,,,,GVR,2026-08-11 10:07:00+07:00,2026-08-11,607,53,0.0,7300.0,232870.0,767900.0,24441410.0,31.82889699179581,0.2233913673556298,0.3144654088050203
1786417680,31.9,31.9,31.9,31.9,400,2026-08-11,,,,,,,,,GVR,2026-08-11 10:08:00+07:00,2026-08-11,608,54,0.0,400.0,12760.0,768300.0,24454170.0,31.828934010152285,0.22327480343842243,0.3144654088050203
1786417740,31.9,31.95,31.9,31.95,2000,2026-08-11,,,,,,,,,GVR,2026-08-11 10:09:00+07:00,2026-08-11,609,55,0.15673981191222097,2000.0,63900.0,770300.0,24518070.0,31.829248344800728,0.3793732540938066,0.4716981132075526
1786417800,31.9,31.9,31.85,31.85,1600,2026-08-11,,,,,,,,,GVR,2026-08-11 10:10:00+07:00,2026-08-11,610,56,-0.312989045383405,1600.0,50960.0,771900.0,24569030.0,31.829291358984324,0.06506158362784564,0.15723270440251014
1786417860,31.85,31.85,31.85,31.85,1800,2026-08-11,,,,,,,,,GVR,2026-08-11 10:11:00+07:00,2026-08-11,611,57,0.0,1800.0,57330.0,773700.0,24626360.0,31.829339537288355,0.06491012069993474,0.15723270440251014
1786417920,31.8,31.8,31.8,31.8,200,2026-08-11,,,,,,,,,GVR,2026-08-11 10:12:00+07:00,2026-08-11,612,58,-0.15698587127158659,200.0,6360.0,773900.0,24632720.0,31.82933195503295,-0.09215385065066695,0.0
1786417980,31.8,31.8,31.8,31.8,1300,2026-08-11,,,,,,,,,GVR,2026-08-11 10:13:00+07:00,2026-08-11,613,59,0.0,1300.0,41340.0,775200.0,24674060.0,31.829282765737876,-0.09199945205613513,0.0
1786418040,31.8,31.8,31.8,31.8,1200,2026-08-11,,,,,,,,,GVR,2026-08-11 10:14:00+07:00,2026-08-11,614,60,0.0,1200.0,38160.0,776400.0,24712220.0,31.82923750643998,-0.0918573887736529,0.0
1786418100,31.85,31.85,31.8,31.8,800,2026-08-11,,,,,,,,,GVR,2026-08-11 10:15:00+07:00,2026-08-11,615,61,0.0,800.0,25440.0,777200.0,24737660.0,31.829207411219762,-0.09176292341311898,0.0
1786418160,31.8,31.8,31.8,31.8,900,2026-08-11,,,,,,,,,GVR,2026-08-11 10:16:00+07:00,2026-08-11,616,62,0.0,900.0,28620.0,778100.0,24766280.0,31.82917362806837,-0.09165688185710508,0.0
1786418220,31.8,31.85,31.8,31.8,1800,2026-08-11,,,,,,,,,GVR,2026-08-11 10:17:00+07:00,2026-08-11,617,63,0.0,1800.0,57240.0,779900.0,24823520.0,31.829106295678933,-0.09144553230162611,0.0
1786418280,31.8,31.8,31.8,31.8,400,2026-08-11,,,,,,,,,GVR,2026-08-11 10:18:00+07:00,2026-08-11,618,64,0.0,400.0,12720.0,780300.0,24836240.0,31.829091375112135,-0.09139869803157508,0.0
1786418340,31.8,31.85,31.8,31.8,4500,2026-08-11,,,,,,,,,GVR,2026-08-11 10:19:00+07:00,2026-08-11,619,65,0.0,4500.0,143100.0,784800.0,24979340.0,31.828924566768602,-0.09087509918196401,0.0
1786418400,31.8,31.9,31.8,31.9,9400,2026-08-11,,,,,,,,,GVR,2026-08-11 10:20:00+07:00,2026-08-11,620,66,0.3144654088050203,9400.0,299860.0,794200.0,25279200.0,31.829765802064973,0.22065571695306652,0.3144654088050203
1786418460,31.9,31.9,31.85,31.85,500,2026-08-11,,,,,,,,,GVR,2026-08-11 10:21:00+07:00,2026-08-11,621,67,-0.15673981191222097,500.0,15925.0,794700.0,25295125.0,31.829778532779667,0.06353002801924301,0.15723270440251014
1786418520,31.85,31.9,31.85,31.85,5000,2026-08-11,,,,,,,,,GVR,2026-08-11 10:22:00+07:00,2026-08-11,622,68,0.0,5000.0,159250.0,799700.0,25454375.0,31.829904964361635,0.06313256561987224,0.15723270440251014
1786418580,31.85,31.9,31.85,31.9,1900,2026-08-11,,,,,,,,,GVR,2026-08-11 10:23:00+07:00,2026-08-11,623,69,0.15698587127157548,1900.0,60610.0,801600.0,25514985.0,31.83007110778443,0.21969442662812533,0.3144654088050203
1786418640,31.85,31.85,31.85,31.85,3400,2026-08-11,,,,,,,,,GVR,2026-08-11 10:24:00+07:00,2026-08-11,624,70,-0.15673981191222097,3400.0,108290.0,805000.0,25623275.0,31.830155279503106,0.06234566034202249,0.15723270440251014
1786418700,31.85,31.85,31.85,31.85,13800,2026-08-11,,,,,,,,,GVR,2026-08-11 10:25:00+07:00,2026-08-11,625,71,0.0,13800.0,439530.0,818800.0,26062805.0,31.830489741084513,0.0612942467244082,0.15723270440251014
1786418760,31.85,31.85,31.8,31.8,2400,2026-08-11,,,,,,,,,GVR,2026-08-11 10:26:00+07:00,2026-08-11,626,72,-0.15698587127158659,2400.0,76320.0,821200.0,26139125.0,31.83040063321968,-0.09550817022375702,0.0
1786418820,31.8,31.8,31.8,31.8,15400,2026-08-11,,,,,,,,,GVR,2026-08-11 10:27:00+07:00,2026-08-11,627,73,0.0,15400.0,489720.0,836600.0,26628845.0,31.8298410231891,-0.09375171923529102,0.0
1786418880,31.85,31.85,31.8,31.8,700,2026-08-11,,,,,,,,,GVR,2026-08-11 10:28:00+07:00,2026-08-11,628,74,0.0,700.0,22260.0,837300.0,26651105.0,31.82981607548071,-0.09367341429181719,0.0
1786418940,31.85,31.85,31.8,31.8,300,2026-08-11,,,,,,,,,GVR,2026-08-11 10:29:00+07:00,2026-08-11,629,75,0.0,300.0,9540.0,837600.0,26660645.0,31.82980539637058,-0.09363989505879466,0.0
1786419000,31.8,31.8,31.8,31.8,1600,2026-08-11,,,,,,,,,GVR,2026-08-11 10:30:00+07:00,2026-08-11,630,76,0.0,1600.0,50880.0,839200.0,26711525.0,31.82974857006673,-0.09346153018219283,0.0
1786419060,31.8,31.8,31.8,31.8,6600,2026-08-11,,,,,,,,,GVR,2026-08-11 10:31:00+07:00,2026-08-11,631,77,0.0,6600.0,209880.0,845800.0,26921405.0,31.829516434145187,-0.09273290157032488,0.0
1786419120,31.8,31.8,31.75,31.75,7100,2026-08-11,,,,,,,,,GVR,2026-08-11 10:32:00+07:00,2026-08-11,632,78,-0.15723270440252124,7100.0,225425.0,852900.0,27146830.0,31.828854496423965,-0.24774531685651802,-0.15723270440252124
1786419180,31.75,31.75,31.75,31.75,200,2026-08-11,,,,,,,,,GVR,2026-08-11 10:33:00+07:00,2026-08-11,633,79,0.0,200.0,6350.0,853100.0,27153180.0,31.82883600984644,-0.24768737952607367,-0.15723270440252124
1786419240,31.75,31.8,31.75,31.8,2500,2026-08-11,,,,,,,,,GVR,2026-08-11 10:34:00+07:00,2026-08-11,634,80,0.15748031496063408,2500.0,79500.0,855600.0,27232680.0,31.82875175315568,-0.09033264445511557,0.0
1786419300,31.8,31.8,31.75,31.8,8200,2026-08-11,,,,,,,,,GVR,2026-08-11 10:35:00+07:00,2026-08-11,635,81,0.0,8200.0,260760.0,863800.0,27493440.0,31.828478814540404,-0.08947588952128438,0.0
1786419360,31.75,31.75,31.75,31.75,6000,2026-08-11,,,,,,,,,GVR,2026-08-11 10:36:00+07:00,2026-08-11,636,82,-0.15723270440252124,6000.0,190500.0,869800.0,27683940.0,31.82793745688664,-0.24487121414076274,-0.15723270440252124
1786419420,31.75,31.75,31.75,31.75,500,2026-08-11,,,,,,,,,GVR,2026-08-11 10:37:00+07:00,2026-08-11,637,83,0.0,500.0,15875.0,870300.0,27699815.0,31.827892680684823,-0.24473087636145419,-0.15723270440252124
1786419480,31.75,31.75,31.7,31.7,5800,2026-08-11,,,,,,,,,GVR,2026-08-11 10:38:00+07:00,2026-08-11,638,84,-0.15748031496063408,5800.0,183860.0,876100.0,27883675.0,31.827045999315146,-0.39917622049461254,-0.3144654088050314
1786419540,31.75,31.75,31.7,31.75,4900,2026-08-11,,,,,,,,,GVR,2026-08-11 10:39:00+07:00,2026-08-11,639,85,0.1577287066246047,4900.0,155575.0,881000.0,28039250.0,31.82661748013621,-0.24073397112975847,-0.15723270440252124
1786419600,31.7,31.7,31.7,31.7,2100,2026-08-11,,,,,,,,,GVR,2026-08-11 10:40:00+07:00,2026-08-11,640,86,-0.15748031496063408,2100.0,66570.0,883100.0,28105820.0,31.82631638546031,-0.3968928855304643,-0.3144654088050314
1786419660,31.7,31.7,31.7,31.7,2100,2026-08-11,,,,,,,,,GVR,2026-08-11 10:41:00+07:00,2026-08-11,641,87,0.0,2100.0,66570.0,885200.0,28172390.0,31.82601671938545,-0.39595504676742665,-0.3144654088050314
1786419720,31.7,31.75,31.7,31.7,500,2026-08-11,,,,,,,,,GVR,2026-08-11 10:42:00+07:00,2026-08-11,642,88,0.0,500.0,15850.0,885700.0,28188240.0,31.825945579767417,-0.3957324047191402,-0.3144654088050314
1786419780,31.7,31.75,31.7,31.75,400,2026-08-11,,,,,,,,,GVR,2026-08-11 10:43:00+07:00,2026-08-11,643,89,0.1577287066246047,400.0,12700.0,886100.0,28200940.0,31.825911296693377,-0.23852041811373015,-0.15723270440252124
1786419840,31.7,31.75,31.7,31.75,3600,2026-08-11,,,,,,,,,GVR,2026-08-11 10:44:00+07:00,2026-08-11,644,90,0.0,3600.0,114300.0,889700.0,28315240.0,31.825604136225692,-0.23755758383117165,-0.15723270440252124
1786419900,31.75,31.8,31.75,31.75,600,2026-08-11,,,,,,,,,GVR,2026-08-11 10:45:00+07:00,2026-08-11,645,91,0.0,600.0,19050.0,890300.0,28334290.0,31.825553184319894,-0.23739786668379725,-0.15723270440252124
1786419960,31.8,31.8,31.75,31.75,400,2026-08-11,,,,,,,,,GVR,2026-08-11 10:46:00+07:00,2026-08-11,646,92,0.0,400.0,12700.0,890700.0,28346990.0,31.825519254518916,-0.23729150784614905,-0.15723270440252124
1786420020,31.75,31.75,31.75,31.75,1300,2026-08-11,,,,,,,,,GVR,2026-08-11 10:47:00+07:00,2026-08-11,647,93,0.0,1300.0,41275.0,892000.0,28388265.0,31.825409192825113,-0.23694649884380414,-0.15723270440252124
1786420080,31.7,31.75,31.7,31.75,300,2026-08-11,,,,,,,,,GVR,2026-08-11 10:48:00+07:00,2026-08-11,648,94,0.0,300.0,9525.0,892300.0,28397790.0,31.825383839515858,-0.2368670238071302,-0.15723270440252124
1786420140,31.7,31.7,31.7,31.7,400,2026-08-11,,,,,,,,,GVR,2026-08-11 10:49:00+07:00,2026-08-11,649,95,-0.15748031496063408,400.0,12680.0,892700.0,28410470.0,31.82532765766775,-0.393798483446417,-0.3144654088050314
1786420200,31.7,31.7,31.7,31.7,200,2026-08-11,,,,,,,,,GVR,2026-08-11 10:50:00+07:00,2026-08-11,650,96,0.0,200.0,6340.0,892900.0,28416810.0,31.82529958561989,-0.39371062409890856,-0.3144654088050314
1786420260,31.7,31.7,31.7,31.7,200,2026-08-11,,,,,,,,,GVR,2026-08-11 10:51:00+07:00,2026-08-11,651,97,0.0,200.0,6340.0,893100.0,28423150.0,31.82527152614489,-0.3936228039467804,-0.3144654088050314
1786420320,31.7,31.75,31.7,31.7,600,2026-08-11,,,,,,,,,GVR,2026-08-11 10:52:00+07:00,2026-08-11,652,98,0.0,600.0,19020.0,893700.0,28442170.0,31.82518742307262,-0.39335957840066493,-0.3144654088050314
1786420380,31.7,31.7,31.7,31.7,500,2026-08-11,,,,,,,,,GVR,2026-08-11 10:53:00+07:00,2026-08-11,653,99,0.0,500.0,15850.0,894200.0,28458020.0,31.825117423395213,-0.39314049255710914,-0.3144654088050314
1786420440,31.7,31.7,31.7,31.7,8100,2026-08-11,,,,,,,,,GVR,2026-08-11 10:54:00+07:00,2026-08-11,654,100,0.0,8100.0,256770.0,902300.0,28714790.0,31.823994236950018,-0.3896249981281463,-0.3144654088050314
1786420500,31.7,31.75,31.7,31.7,500,2026-08-11,,,,,,,,,GVR,2026-08-11 10:55:00+07:00,2026-08-11,655,101,0.0,500.0,15850.0,902800.0,28730640.0,31.82392556490917,-0.3894100514294174,-0.3144654088050314
1786420560,31.7,31.7,31.7,31.7,400,2026-08-11,,,,,,,,,GVR,2026-08-11 10:56:00+07:00,2026-08-11,656,102,0.0,400.0,12680.0,903200.0,28743320.0,31.823870682019486,-0.3892382647516013,-0.3144654088050314
