t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3,Ticker,Timestamp,TradeDate,MinuteOfDay,MinuteIndexInDay,ret_1m_pct,volume_per_minute,traded_value_1m,cum_volume,cum_traded_value,cum_vwap,close_vs_cum_vwap_pct,ret_from_day_open_pct
1782958500,25.8,25.85,25.8,25.85,318000,2026-07-02,,,,,,,,,MBB,2026-07-02 09:15:00+07:00,2026-07-02,555,1,,318000.0,8220300.0,318000.0,8220300.0,25.85,0.0,0.19379844961240345
1782958560,25.9,25.9,25.85,25.9,74600,2026-07-02,,,,,,,,,MBB,2026-07-02 09:16:00+07:00,2026-07-02,556,2,0.19342359767891004,74600.0,1932140.0,392600.0,10152440.0,25.859500764136527,0.15661259756274415,0.3875968992248069
1782958620,25.9,25.9,25.85,25.9,58000,2026-07-02,,,,,,,,,MBB,2026-07-02 09:17:00+07:00,2026-07-02,557,3,0.0,58000.0,1502200.0,450600.0,11654640.0,25.864713715046605,0.13642635036346107,0.3875968992248069
1782958680,25.9,25.9,25.85,25.9,58400,2026-07-02,,,,,,,,,MBB,2026-07-02 09:18:00+07:00,2026-07-02,558,4,0.0,58400.0,1512560.0,509000.0,13167200.0,25.868762278978387,0.12075460234521884,0.3875968992248069
1782958740,25.9,25.9,25.85,25.9,344100,2026-07-02,,,,,,,,,MBB,2026-07-02 09:19:00+07:00,2026-07-02,559,5,0.0,344100.0,8912190.0,853100.0,22079390.0,25.881362091196813,0.07201285905089616,0.3875968992248069
1782958800,25.9,25.9,25.85,25.85,80400,2026-07-02,,,,,,,,,MBB,2026-07-02 09:20:00+07:00,2026-07-02,560,6,-0.19305019305018156,80400.0,2078340.0,933500.0,24157730.0,25.878660953401177,-0.11075129989447374,0.19379844961240345
1782958860,25.85,25.85,25.8,25.85,63700,2026-07-02,,,,,,,,,MBB,2026-07-02 09:21:00+07:00,2026-07-02,561,7,0.0,63700.0,1646645.0,997200.0,25804375.0,25.876830124348174,-0.10368396831932358,0.19379844961240345
1782958920,25.85,25.85,25.8,25.85,14200,2026-07-02,,,,,,,,,MBB,2026-07-02 09:22:00+07:00,2026-07-02,562,8,0.0,14200.0,367070.0,1011400.0,26171445.0,25.876453430887878,-0.10222973932084711,0.19379844961240345
1782958980,25.85,25.85,25.85,25.85,67700,2026-07-02,,,,,,,,,MBB,2026-07-02 09:23:00+07:00,2026-07-02,563,9,0.0,67700.0,1750045.0,1079100.0,27921490.0,25.874793809656197,-0.09582225017361612,0.19379844961240345
1782959040,25.85,25.9,25.85,25.9,144400,2026-07-02,,,,,,,,,MBB,2026-07-02 09:24:00+07:00,2026-07-02,564,10,0.19342359767891004,144400.0,3739960.0,1223500.0,31661450.0,25.877768696362892,0.08590888920121387,0.3875968992248069
1782959100,25.9,25.9,25.85,25.85,52400,2026-07-02,,,,,,,,,MBB,2026-07-02 09:25:00+07:00,2026-07-02,565,11,-0.19305019305018156,52400.0,1354540.0,1275900.0,33015990.0,25.87662826240301,-0.10290468345791615,0.19379844961240345
1782959160,25.85,25.9,25.85,25.9,50200,2026-07-02,,,,,,,,,MBB,2026-07-02 09:26:00+07:00,2026-07-02,566,12,0.19342359767891004,50200.0,1300180.0,1326100.0,34316170.0,25.877513008068775,0.08689780940005498,0.3875968992248069
1782959220,25.9,25.9,25.85,25.85,33700,2026-07-02,,,,,,,,,MBB,2026-07-02 09:27:00+07:00,2026-07-02,567,13,-0.19305019305018156,33700.0,871145.0,1359800.0,35187315.0,25.876831151639948,-0.10368793413194632,0.19379844961240345
1782959280,25.9,25.9,25.85,25.9,18800,2026-07-02,,,,,,,,,MBB,2026-07-02 09:28:00+07:00,2026-07-02,568,14,0.19342359767891004,18800.0,486920.0,1378600.0,35674235.0,25.877147105759466,0.08831303600482787,0.3875968992248069
1782959340,25.9,25.9,25.85,25.9,28000,2026-07-02,,,,,,,,,MBB,2026-07-02 09:29:00+07:00,2026-07-02,569,15,0.0,28000.0,725200.0,1406600.0,36399435.0,25.877602019053036,0.086553541284351,0.3875968992248069
1782959400,25.9,25.9,25.85,25.85,21400,2026-07-02,,,,,,,,,MBB,2026-07-02 09:30:00+07:00,2026-07-02,570,16,-0.19305019305018156,21400.0,553190.0,1428000.0,36952625.0,25.87718837535014,-0.10506696073688815,0.19379844961240345
1782959460,25.9,25.9,25.85,25.85,21500,2026-07-02,,,,,,,,,MBB,2026-07-02 09:31:00+07:00,2026-07-02,571,17,0.0,21500.0,555775.0,1449500.0,37508400.0,25.87678509830976,-0.10351014706038164,0.19379844961240345
1782959520,25.9,25.9,25.85,25.9,15100,2026-07-02,,,,,,,,,MBB,2026-07-02 09:32:00+07:00,2026-07-02,572,18,0.19342359767891004,15100.0,391090.0,1464600.0,37899490.0,25.877024443534072,0.08878747444884816,0.3875968992248069
1782959580,25.9,25.9,25.85,25.85,130300,2026-07-02,,,,,,,,,MBB,2026-07-02 09:33:00+07:00,2026-07-02,573,19,-0.19305019305018156,130300.0,3368255.0,1594900.0,41267745.0,25.874816602921815,-0.09591025630307781,0.19379844961240345
1782959640,25.85,25.9,25.85,25.85,4900,2026-07-02,,,,,,,,,MBB,2026-07-02 09:34:00+07:00,2026-07-02,574,20,0.0,4900.0,126665.0,1599800.0,41394410.0,25.87474059257407,-0.09561677530853796,0.19379844961240345
