t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3,Ticker,Timestamp,TradeDate,MinuteOfDay,MinuteIndexInDay,ret_1m_pct,volume_per_minute,traded_value_1m,cum_volume,cum_traded_value,cum_vwap,close_vs_cum_vwap_pct,ret_from_day_open_pct
1786068900,34.2,34.25,34.05,34.25,98800,2026-08-07,,,,,,,,,PLX,2026-08-07 09:15:00+07:00,2026-08-07,555,1,,98800.0,3383900.0,98800.0,3383900.0,34.25,0.0,0.14619883040933868
1786068960,34.25,34.25,34.1,34.1,34700,2026-08-07,,,,,,,,,PLX,2026-08-07 09:16:00+07:00,2026-08-07,556,2,-0.4379562043795526,34700.0,1183270.0,133500.0,4567170.0,34.211011235955056,-0.3244897825130155,-0.29239766081872176
1786069020,34.05,34.1,34.05,34.05,4300,2026-08-07,,,,,,,,,PLX,2026-08-07 09:17:00+07:00,2026-08-07,557,3,-0.14662756598241566,4300.0,146415.0,137800.0,4713585.0,34.20598693759071,-0.4560223269549635,-0.43859649122808264
1786069080,34.05,34.05,33.9,33.9,82200,2026-08-07,,,,,,,,,PLX,2026-08-07 09:18:00+07:00,2026-08-07,558,4,-0.4405286343612258,82200.0,2786580.0,220000.0,7500165.0,34.09165909090909,-0.562187631872102,-0.8771929824561542
1786069140,34.0,34.1,33.9,34.1,81800,2026-08-07,,,,,,,,,PLX,2026-08-07 09:19:00+07:00,2026-08-07,559,5,0.5899705014749346,81800.0,2789380.0,301800.0,10289545.0,34.09391981444665,0.0178336359868414,-0.29239766081872176
1786069200,34.0,34.05,34.0,34.05,11900,2026-08-07,,,,,,,,,PLX,2026-08-07 09:20:00+07:00,2026-08-07,560,6,-0.14662756598241566,11900.0,405194.99999999994,313700.0,10694740.0,34.09225374561683,-0.12393943190764922,-0.43859649122808264
1786069260,34.1,34.35,34.1,34.35,60300,2026-08-07,,,,,,,,,PLX,2026-08-07 09:21:00+07:00,2026-08-07,561,7,0.8810572687224738,60300.0,2071305.0,374000.0,12766045.0,34.13381016042781,0.6333598228738913,0.43859649122806044
1786069320,34.35,34.45,34.35,34.45,43300,2026-08-07,,,,,,,,,PLX,2026-08-07 09:22:00+07:00,2026-08-07,562,8,0.29112081513829047,43300.0,1491685.0000000002,417300.0,14257730.0,34.16661873951593,0.8294097307215198,0.7309941520467822
1786069380,34.45,34.65,34.4,34.65,78400,2026-08-07,,,,,,,,,PLX,2026-08-07 09:23:00+07:00,2026-08-07,563,9,0.5805515239477366,78400.0,2716560.0,495700.0,16974290.0,34.24307040548719,1.1883560372775603,1.3157894736842035
1786069440,34.65,34.8,34.65,34.8,34500,2026-08-07,,,,,,,,,PLX,2026-08-07 09:24:00+07:00,2026-08-07,564,10,0.43290043290042934,34500.0,1200600.0,530200.0,18174890.0,34.27930969445492,1.5189638011564144,1.754385964912264
1786069500,34.75,34.95,34.75,34.9,131500,2026-08-07,,,,,,,,,PLX,2026-08-07 09:25:00+07:00,2026-08-07,565,11,0.287356321839094,131500.0,4589350.0,661700.0,22764240.0,34.402659815626414,1.4456445723643796,2.0467836257309857
1786069560,34.8,34.85,34.7,34.7,11100,2026-08-07,,,,,,,,,PLX,2026-08-07 09:26:00+07:00,2026-08-07,566,12,-0.5730659025787843,11100.0,385170.00000000006,672800.0,23149410.0,34.407565398335315,0.8499136695060638,1.4619883040935644
1786069620,34.65,34.65,34.6,34.6,5000,2026-08-07,,,,,,,,,PLX,2026-08-07 09:27:00+07:00,2026-08-07,567,13,-0.2881844380403509,5000.0,173000.0,677800.0,23322410.0,34.40898495131307,0.5551313093286714,1.1695906432748426
1786069680,34.6,34.7,34.6,34.7,18300,2026-08-07,,,,,,,,,PLX,2026-08-07 09:28:00+07:00,2026-08-07,568,14,0.28901734104047616,18300.0,635010.0,696100.0,23957420.0,34.416635540870566,0.8233357348161885,1.4619883040935644
1786069740,34.6,34.7,34.6,34.7,19700,2026-08-07,,,,,,,,,PLX,2026-08-07 09:29:00+07:00,2026-08-07,569,15,0.0,19700.0,683590.0,715800.0,24641010.0,34.424434199497064,0.8004947849134636,1.4619883040935644
1786069800,34.7,34.75,34.65,34.7,22600,2026-08-07,,,,,,,,,PLX,2026-08-07 09:30:00+07:00,2026-08-07,570,16,0.0,22600.0,784220.0000000001,738400.0,25425230.0,34.432868364030334,0.7758041913485281,1.4619883040935644
1786069860,34.7,34.75,34.7,34.7,41500,2026-08-07,,,,,,,,,PLX,2026-08-07 09:31:00+07:00,2026-08-07,571,17,0.0,41500.0,1440050.0000000002,779900.0,26865280.0,34.447082959353764,0.7342190366153023,1.4619883040935644
1786069920,34.7,35.0,34.7,35.0,130400,2026-08-07,,,,,,,,,PLX,2026-08-07 09:32:00+07:00,2026-08-07,572,18,0.8645533141210304,130400.0,4564000.0,910300.0,31429280.0,34.526288036910906,1.3720327032626933,2.3391812865497075
1786069980,35.0,35.0,34.8,34.9,123000,2026-08-07,,,,,,,,,PLX,2026-08-07 09:33:00+07:00,2026-08-07,573,19,-0.28571428571428914,123000.0,4292700.0,1033300.0,35721980.0,34.57077325075002,0.9523268307075838,2.0467836257309857
1786070040,34.9,34.9,34.8,34.8,8200,2026-08-07,,,,,,,,,PLX,2026-08-07 09:34:00+07:00,2026-08-07,574,20,-0.2865329512893977,8200.0,285360.0,1041500.0,36007340.0,34.572578012482,0.6578103242283362,1.754385964912264
1786070100,34.8,34.85,34.8,34.85,8800,2026-08-07,,,,,,,,,PLX,2026-08-07 09:35:00+07:00,2026-08-07,575,21,0.1436781609195581,8800.0,306680.0,1050300.0,36314020.0,34.57490240883557,0.7956568840354228,1.9005847953216248
1786070160,34.85,34.85,34.8,34.85,9300,2026-08-07,,,,,,,,,PLX,2026-08-07 09:36:00+07:00,2026-08-07,576,22,0.0,9300.0,324105.0,1059600.0,36638125.0,34.57731691204228,0.7886184131966401,1.9005847953216248
1786070220,34.8,34.85,34.8,34.85,2900,2026-08-07,,,,,,,,,PLX,2026-08-07 09:37:00+07:00,2026-08-07,577,23,0.0,2900.0,101065.0,1062500.0,36739190.0,34.57806117647059,0.7864490207867947,1.9005847953216248
1786070280,34.8,34.85,34.75,34.75,20800,2026-08-07,,,,,,,,,PLX,2026-08-07 09:38:00+07:00,2026-08-07,578,24,-0.2869440459110528,20800.0,722800.0,1083300.0,37461990.0,34.58136250346165,0.48765428638466446,1.6081871345029253
1786070340,34.75,34.8,34.75,34.8,5700,2026-08-07,,,,,,,,,PLX,2026-08-07 09:39:00+07:00,2026-08-07,579,25,0.14388489208632116,5700.0,198359.99999999997,1089000.0,37660350.0,34.58250688705234,0.6289107775153457,1.754385964912264
1786070400,34.75,34.8,34.75,34.75,12400,2026-08-07,,,,,,,,,PLX,2026-08-07 09:40:00+07:00,2026-08-07,580,26,-0.1436781609195359,12400.0,430900.0,1101400.0,38091250.0,34.5843925912475,0.47885012962294304,1.6081871345029253
1786070460,34.75,34.75,34.7,34.7,5600,2026-08-07,,,,,,,,,PLX,2026-08-07 09:41:00+07:00,2026-08-07,581,27,-0.14388489208632116,5600.0,194320.00000000003,1107000.0,38285570.0,34.58497741644083,0.33257961158734695,1.4619883040935644
1786070520,34.7,34.7,34.65,34.65,10800,2026-08-07,,,,,,,,,PLX,2026-08-07 09:42:00+07:00,2026-08-07,582,28,-0.14409221902018654,10800.0,374220.0,1117800.0,38659790.0,34.58560565396314,0.1861882850372476,1.3157894736842035
1786070580,34.65,34.7,34.65,34.7,4000,2026-08-07,,,,,,,,,PLX,2026-08-07 09:43:00+07:00,2026-08-07,583,29,0.14430014430015792,4000.0,138800.0,1121800.0,38798590.0,34.58601354965234,0.3295738324511355,1.4619883040935644
1786070640,34.7,34.7,34.65,34.65,11200,2026-08-07,,,,,,,,,PLX,2026-08-07 09:44:00+07:00,2026-08-07,584,30,-0.14409221902018654,11200.0,388080.0,1133000.0,39186670.0,34.58664607237423,0.18317453358500657,1.3157894736842035
1786070700,34.65,34.65,34.6,34.6,28200,2026-08-07,,,,,,,,,PLX,2026-08-07 09:45:00+07:00,2026-08-07,585,31,-0.1443001443001357,28200.0,975720.0,1161200.0,40162390.0,34.58697037547365,0.037672060850968414,1.1695906432748426
