t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3,Ticker,Timestamp,TradeDate,MinuteOfDay,MinuteIndexInDay,ret_1m_pct,volume_per_minute,traded_value_1m,cum_volume,cum_traded_value,cum_vwap,close_vs_cum_vwap_pct,ret_from_day_open_pct
1788747300,45.35,45.35,45.35,45.35,2000,2026-09-07,,,,,,,,,SAB,2026-09-07 09:15:00+07:00,2026-09-07,555,1,,2000.0,90700.0,2000.0,90700.0,45.35,0.0,0.0
1788747360,45.35,45.35,45.35,45.35,200,2026-09-07,,,,,,,,,SAB,2026-09-07 09:16:00+07:00,2026-09-07,556,2,0.0,200.0,9070.0,2200.0,99770.0,45.35,0.0,0.0
1788747420,45.35,45.35,45.3,45.3,3400,2026-09-07,,,,,,,,,SAB,2026-09-07 09:17:00+07:00,2026-09-07,557,3,-0.11025358324145973,3400.0,154020.0,5600.0,253790.0,45.31964285714286,-0.043342921312905514,-0.11025358324145973
1788747480,45.3,45.3,45.25,45.25,1200,2026-09-07,,,,,,,,,SAB,2026-09-07 09:18:00+07:00,2026-09-07,558,4,-0.1103752759381793,1200.0,54300.0,6800.0,308090.0,45.30735294117647,-0.12658638709467374,-0.22050716648290836
1788747540,45.25,45.25,45.25,45.25,200,2026-09-07,,,,,,,,,SAB,2026-09-07 09:19:00+07:00,2026-09-07,559,5,0.0,200.0,9050.0,7000.0,317140.0,45.30571428571429,-0.1229740808475821,-0.22050716648290836
1788747600,45.25,45.25,45.25,45.25,900,2026-09-07,,,,,,,,,SAB,2026-09-07 09:20:00+07:00,2026-09-07,560,6,0.0,900.0,40725.0,7900.0,357865.0,45.299367088607596,-0.10897964316153308,-0.22050716648290836
1788747660,45.25,45.3,45.25,45.3,1300,2026-09-07,,,,,,,,,SAB,2026-09-07 09:21:00+07:00,2026-09-07,561,7,0.11049723756906271,1300.0,58889.99999999999,9200.0,416755.0,45.29945652173913,0.001199745653912565,-0.11025358324145973
1788747720,45.3,45.3,45.25,45.25,600,2026-09-07,,,,,,,,,SAB,2026-09-07 09:22:00+07:00,2026-09-07,562,8,-0.1103752759381793,600.0,27150.0,9800.0,443905.0,45.29642857142857,-0.10249940865725282,-0.22050716648290836
1788747780,45.25,45.25,45.25,45.25,1400,2026-09-07,,,,,,,,,SAB,2026-09-07 09:23:00+07:00,2026-09-07,563,9,0.0,1400.0,63350.0,11200.0,507255.0,45.290625,-0.0896984751259211,-0.22050716648290836
1788747840,45.25,45.25,45.25,45.25,200,2026-09-07,,,,,,,,,SAB,2026-09-07 09:24:00+07:00,2026-09-07,564,10,0.0,200.0,9050.0,11400.0,516305.0,45.289912280701756,-0.08812620447217201,-0.22050716648290836
1788747900,45.25,45.25,45.2,45.2,7500,2026-09-07,,,,,,,,,SAB,2026-09-07 09:25:00+07:00,2026-09-07,565,11,-0.11049723756905161,7500.0,339000.0,18900.0,855305.0,45.25423280423281,-0.11984029089038284,-0.3307607497243681
1788747960,45.2,45.2,45.2,45.2,500,2026-09-07,,,,,,,,,SAB,2026-09-07 09:26:00+07:00,2026-09-07,566,12,0.0,500.0,22600.0,19400.0,877905.0,45.25283505154639,-0.11675522977998565,-0.3307607497243681
1788748020,45.2,45.2,45.2,45.2,200,2026-09-07,,,,,,,,,SAB,2026-09-07 09:27:00+07:00,2026-09-07,567,13,0.0,200.0,9040.0,19600.0,886945.0,45.252295918367345,-0.1155652267051388,-0.3307607497243681
1788748080,45.2,45.2,45.2,45.2,800,2026-09-07,,,,,,,,,SAB,2026-09-07 09:28:00+07:00,2026-09-07,568,14,0.0,800.0,36160.0,20400.0,923105.0,45.250245098039215,-0.11103828925203008,-0.3307607497243681
1788748140,45.2,45.2,45.2,45.2,400,2026-09-07,,,,,,,,,SAB,2026-09-07 09:29:00+07:00,2026-09-07,569,15,0.0,400.0,18080.0,20800.0,941185.0,45.24927884615385,-0.10890526304605519,-0.3307607497243681
1788748200,45.2,45.2,45.2,45.2,200,2026-09-07,,,,,,,,,SAB,2026-09-07 09:30:00+07:00,2026-09-07,570,16,0.0,200.0,9040.0,21000.0,950225.0,45.24880952380953,-0.10786918887631947,-0.3307607497243681
1788748260,45.2,45.2,45.2,45.2,500,2026-09-07,,,,,,,,,SAB,2026-09-07 09:31:00+07:00,2026-09-07,571,17,0.0,500.0,22600.0,21500.0,972825.0,45.24767441860465,-0.10536324621591708,-0.3307607497243681
1788748320,45.2,45.2,45.2,45.2,500,2026-09-07,,,,,,,,,SAB,2026-09-07 09:32:00+07:00,2026-09-07,572,18,0.0,500.0,22600.0,22000.0,995425.0,45.24659090909091,-0.10297109274932659,-0.3307607497243681
1788748380,45.3,45.3,45.3,45.3,300,2026-09-07,,,,,,,,,SAB,2026-09-07 09:33:00+07:00,2026-09-07,573,19,0.22123893805308104,300.0,13590.0,22300.0,1009015.0,45.247309417040356,0.1164502014340707,-0.11025358324145973
1788748740,45.25,45.25,45.25,45.25,300,2026-09-07,,,,,,,,,SAB,2026-09-07 09:39:00+07:00,2026-09-07,579,20,-0.1103752759381793,300.0,13575.0,22600.0,1022590.0,45.24734513274336,0.0058674542094072635,-0.22050716648290836
1788748860,45.2,45.2,45.2,45.2,1100,2026-09-07,,,,,,,,,SAB,2026-09-07 09:41:00+07:00,2026-09-07,581,21,-0.11049723756905161,1100.0,49720.0,23700.0,1072310.0,45.245147679324894,-0.09978457722112921,-0.3307607497243681
1788748920,45.2,45.2,45.15,45.15,5200,2026-09-07,,,,,,,,,SAB,2026-09-07 09:42:00+07:00,2026-09-07,582,22,-0.11061946902656272,5200.0,234780.0,28900.0,1307090.0,45.2280276816609,-0.17252063744653823,-0.4410143329658278
1788748980,45.15,45.15,45.15,45.15,500,2026-09-07,,,,,,,,,SAB,2026-09-07 09:43:00+07:00,2026-09-07,583,23,0.0,500.0,22575.0,29400.0,1329665.0,45.22670068027211,-0.16959158885885284,-0.4410143329658278
1788749040,45.15,45.15,45.15,45.15,700,2026-09-07,,,,,,,,,SAB,2026-09-07 09:44:00+07:00,2026-09-07,584,24,0.0,700.0,31605.0,30100.0,1361270.0,45.22491694352159,-0.1656541318033833,-0.4410143329658278
1788749100,45.15,45.15,45.15,45.15,200,2026-09-07,,,,,,,,,SAB,2026-09-07 09:45:00+07:00,2026-09-07,585,25,0.0,200.0,9030.0,30300.0,1370300.0,45.224422442244226,-0.16456250456104993,-0.4410143329658278
1788749160,45.15,45.15,45.15,45.15,300,2026-09-07,,,,,,,,,SAB,2026-09-07 09:46:00+07:00,2026-09-07,586,26,0.0,300.0,13545.0,30600.0,1383845.0,45.223692810457514,-0.16295177566851837,-0.4410143329658278
1788749220,45.15,45.15,45.15,45.15,900,2026-09-07,,,,,,,,,SAB,2026-09-07 09:47:00+07:00,2026-09-07,587,27,0.0,900.0,40635.0,31500.0,1424480.0,45.2215873015873,-0.15830338088284046,-0.4410143329658278
1788749280,45.15,45.2,45.15,45.2,200,2026-09-07,,,,,,,,,SAB,2026-09-07 09:48:00+07:00,2026-09-07,588,28,0.11074197120710672,200.0,9040.0,31700.0,1433520.0,45.22145110410094,-0.04743568279478305,-0.3307607497243681
1788749340,45.15,45.15,45.15,45.15,2000,2026-09-07,,,,,,,,,SAB,2026-09-07 09:49:00+07:00,2026-09-07,589,29,-0.11061946902656272,2000.0,90300.0,33700.0,1523820.0,45.217210682492585,-0.14863960310274038,-0.4410143329658278
1788749400,45.15,45.15,45.15,45.15,2100,2026-09-07,,,,,,,,,SAB,2026-09-07 09:50:00+07:00,2026-09-07,590,30,0.0,2100.0,94815.0,35800.0,1618635.0,45.21326815642458,-0.1399327210890755,-0.4410143329658278
1788749460,45.2,45.2,45.2,45.2,2300,2026-09-07,,,,,,,,,SAB,2026-09-07 09:51:00+07:00,2026-09-07,591,31,0.11074197120710672,2300.0,103960.0,38100.0,1722595.0,45.21246719160105,-0.027574676578068225,-0.3307607497243681
1788749520,45.2,45.2,45.2,45.2,300,2026-09-07,,,,,,,,,SAB,2026-09-07 09:52:00+07:00,2026-09-07,592,32,0.0,300.0,13560.0,38400.0,1736155.0,45.21236979166667,-0.027359308356678103,-0.3307607497243681
1788749580,45.15,45.15,45.15,45.15,10500,2026-09-07,,,,,,,,,SAB,2026-09-07 09:53:00+07:00,2026-09-07,593,33,-0.11061946902656272,10500.0,474075.0,48900.0,2210230.0,45.198977505112474,-0.10835976346352805,-0.4410143329658278
1788749640,45.15,45.2,45.15,45.2,200,2026-09-07,,,,,,,,,SAB,2026-09-07 09:54:00+07:00,2026-09-07,594,34,0.11074197120710672,200.0,9040.0,49100.0,2219270.0,45.1989816700611,0.0022529931013481885,-0.3307607497243681
1788749760,45.2,45.2,45.2,45.2,100,2026-09-07,,,,,,,,,SAB,2026-09-07 09:56:00+07:00,2026-09-07,596,35,0.0,100.0,4520.0,49200.0,2223790.0,45.198983739837395,0.002248413744121436,-0.3307607497243681
1788749820,45.15,45.15,45.15,45.15,600,2026-09-07,,,,,,,,,SAB,2026-09-07 09:57:00+07:00,2026-09-07,597,36,-0.11061946902656272,600.0,27090.0,49800.0,2250880.0,45.19839357429719,-0.10706923514359756,-0.4410143329658278
1788749880,45.15,45.15,45.15,45.15,400,2026-09-07,,,,,,,,,SAB,2026-09-07 09:58:00+07:00,2026-09-07,598,37,0.0,400.0,18060.0,50200.0,2268940.0,45.19800796812749,-0.10621700000882361,-0.4410143329658278
1788749940,45.15,45.15,45.15,45.15,700,2026-09-07,,,,,,,,,SAB,2026-09-07 09:59:00+07:00,2026-09-07,599,38,0.0,700.0,31605.0,50900.0,2300545.0,45.19734774066798,-0.10475778565515181,-0.4410143329658278
1788750000,45.15,45.15,45.15,45.15,1600,2026-09-07,,,,,,,,,SAB,2026-09-07 10:00:00+07:00,2026-09-07,600,39,0.0,1600.0,72240.0,52500.0,2372785.0,45.195904761904764,-0.1015684101172365,-0.4410143329658278
1788750180,45.15,45.15,45.15,45.15,100,2026-09-07,,,,,,,,,SAB,2026-09-07 10:03:00+07:00,2026-09-07,603,40,0.0,100.0,4515.0,52600.0,2377300.0,45.1958174904943,-0.10137551003239764,-0.4410143329658278
1788750300,45.15,45.15,45.15,45.15,600,2026-09-07,,,,,,,,,SAB,2026-09-07 10:05:00+07:00,2026-09-07,605,41,0.0,600.0,27090.0,53200.0,2404390.0,45.1953007518797,-0.10023332321296152,-0.4410143329658278
1788750360,45.15,45.15,45.15,45.15,100,2026-09-07,,,,,,,,,SAB,2026-09-07 10:06:00+07:00,2026-09-07,606,42,0.0,100.0,4515.0,53300.0,2408905.0,45.19521575984991,-0.10004545633804929,-0.4410143329658278
1788750480,45.1,45.1,45.1,45.1,900,2026-09-07,,,,,,,,,SAB,2026-09-07 10:08:00+07:00,2026-09-07,608,43,-0.11074197120708451,900.0,40590.0,54200.0,2449495.0,45.19363468634686,-0.20718556273843225,-0.5512679162072764
1788750540,45.1,45.1,45.1,45.1,300,2026-09-07,,,,,,,,,SAB,2026-09-07 10:09:00+07:00,2026-09-07,609,44,0.0,300.0,13530.0,54500.0,2463025.0,45.19311926605505,-0.2060474416621938,-0.5512679162072764
1788750600,45.1,45.1,45.1,45.1,400,2026-09-07,,,,,,,,,SAB,2026-09-07 10:10:00+07:00,2026-09-07,610,45,0.0,400.0,18040.0,54900.0,2481065.0,45.192440801457195,-0.20454925606543384,-0.5512679162072764
1788750660,45.1,45.1,45.1,45.1,700,2026-09-07,,,,,,,,,SAB,2026-09-07 10:11:00+07:00,2026-09-07,611,46,0.0,700.0,31570.0,55600.0,2512635.0,45.191276978417264,-0.20197919713765833,-0.5512679162072764
1788750720,45.1,45.15,45.1,45.15,1700,2026-09-07,,,,,,,,,SAB,2026-09-07 10:12:00+07:00,2026-09-07,612,47,0.11086474501107446,1700.0,76755.0,57300.0,2589390.0,45.19005235602094,-0.08863091307219628,-0.4410143329658278
1788750780,45.1,45.1,45.1,45.1,2800,2026-09-07,,,,,,,,,SAB,2026-09-07 10:13:00+07:00,2026-09-07,613,48,-0.11074197120708451,2800.0,126280.0,60100.0,2715670.0,45.18585690515807,-0.19000835889485534,-0.5512679162072764
1788750840,45.1,45.1,45.1,45.1,2100,2026-09-07,,,,,,,,,SAB,2026-09-07 10:14:00+07:00,2026-09-07,614,49,0.0,2100.0,94710.0,62200.0,2810380.0,45.18295819935691,-0.18360506408384714,-0.5512679162072764
1788750900,45.1,45.1,45.1,45.1,500,2026-09-07,,,,,,,,,SAB,2026-09-07 10:15:00+07:00,2026-09-07,615,50,0.0,500.0,22550.0,62700.0,2832930.0,45.1822966507177,-0.1821435757325407,-0.5512679162072764
1788750960,45.1,45.1,45.1,45.1,900,2026-09-07,,,,,,,,,SAB,2026-09-07 10:16:00+07:00,2026-09-07,616,51,0.0,900.0,40590.0,63600.0,2873520.0,45.1811320754717,-0.1795707007433478,-0.5512679162072764
1788751020,45.15,45.15,45.15,45.15,1000,2026-09-07,,,,,,,,,SAB,2026-09-07 10:17:00+07:00,2026-09-07,617,52,0.11086474501107446,1000.0,45150.0,64600.0,2918670.0,45.18065015479876,-0.0678391185026106,-0.4410143329658278
1788751080,45.15,45.15,45.15,45.15,100,2026-09-07,,,,,,,,,SAB,2026-09-07 10:18:00+07:00,2026-09-07,618,53,0.0,100.0,4515.0,64700.0,2923185.0,45.1806027820711,-0.06773433771725124,-0.4410143329658278
1788751140,45.1,45.1,45.1,45.1,400,2026-09-07,,,,,,,,,SAB,2026-09-07 10:19:00+07:00,2026-09-07,619,54,-0.11074197120708451,400.0,18040.0,65100.0,2941225.0,45.18010752688172,-0.17730707443326388,-0.5512679162072764
1788751200,45.1,45.1,45.1,45.1,300,2026-09-07,,,,,,,,,SAB,2026-09-07 10:20:00+07:00,2026-09-07,620,55,0.0,300.0,13530.0,65400.0,2954755.0,45.17974006116208,-0.17649517472683174,-0.5512679162072764
1788751260,45.1,45.1,45.1,45.1,500,2026-09-07,,,,,,,,,SAB,2026-09-07 10:21:00+07:00,2026-09-07,621,56,0.0,500.0,22550.0,65900.0,2977305.0,45.17913505311078,-0.17515840667986504,-0.5512679162072764
1788751320,45.1,45.1,45.1,45.1,400,2026-09-07,,,,,,,,,SAB,2026-09-07 10:22:00+07:00,2026-09-07,622,57,0.0,400.0,18040.0,66300.0,2995345.0,45.17865761689291,-0.17410348390586305,-0.5512679162072764
1788751380,45.15,45.15,45.15,45.15,300,2026-09-07,,,,,,,,,SAB,2026-09-07 10:23:00+07:00,2026-09-07,623,58,0.11086474501107446,300.0,13545.0,66600.0,3008890.0,45.17852852852853,-0.06314621006417998,-0.4410143329658278
1788751500,45.1,45.1,45.1,45.1,1500,2026-09-07,,,,,,,,,SAB,2026-09-07 10:25:00+07:00,2026-09-07,625,59,-0.11074197120708451,1500.0,67650.0,68100.0,3076540.0,45.176798825256974,-0.169996164522479,-0.5512679162072764
