t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3,Ticker,Timestamp,TradeDate,MinuteOfDay,MinuteIndexInDay,ret_1m_pct,volume_per_minute,traded_value_1m,cum_volume,cum_traded_value,cum_vwap,close_vs_cum_vwap_pct,ret_from_day_open_pct
1790302500,19.7,20.2,19.65,20.1,123300,2026-09-25,,,,,,,,,SSB,2026-09-25 09:15:00+07:00,2026-09-25,555,1,,123300.0,2478330.0,123300.0,2478330.0,20.1,0.0,2.0304568527918843
1790302560,20.15,20.15,20.05,20.05,20200,2026-09-25,,,,,,,,,SSB,2026-09-25 09:16:00+07:00,2026-09-25,556,2,-0.24875621890547706,20200.0,405010.0,143500.0,2883340.0,20.09296167247387,-0.21381453453287458,1.7766497461928932
1790302620,20.0,20.0,20.0,20.0,4100,2026-09-25,,,,,,,,,SSB,2026-09-25 09:17:00+07:00,2026-09-25,557,3,-0.24937655860349794,4100.0,82000.0,147600.0,2965340.0,20.09037940379404,-0.44986409652856274,1.522842639593902
1790302680,20.0,20.0,20.0,20.0,3700,2026-09-25,,,,,,,,,SSB,2026-09-25 09:18:00+07:00,2026-09-25,558,4,0.0,3700.0,74000.0,151300.0,3039340.0,20.088169200264375,-0.43891107937906737,1.522842639593902
1790302740,20.0,20.0,20.0,20.0,2700,2026-09-25,,,,,,,,,SSB,2026-09-25 09:19:00+07:00,2026-09-25,559,5,0.0,2700.0,54000.0,154000.0,3093340.0,20.086623376623375,-0.4312490705838945,1.522842639593902
1790302800,20.0,20.0,20.0,20.0,13400,2026-09-25,,,,,,,,,SSB,2026-09-25 09:20:00+07:00,2026-09-25,560,6,0.0,13400.0,268000.0,167400.0,3361340.0,20.07968936678614,-0.39686553576847583,1.522842639593902
1790302860,20.0,20.0,20.0,20.0,2200,2026-09-25,,,,,,,,,SSB,2026-09-25 09:21:00+07:00,2026-09-25,561,7,0.0,2200.0,44000.0,169600.0,3405340.0,20.078655660377358,-0.3917376825808838,1.522842639593902
1790302920,20.0,20.0,20.0,20.0,100,2026-09-25,,,,,,,,,SSB,2026-09-25 09:22:00+07:00,2026-09-25,562,8,0.0,100.0,2000.0,169700.0,3407340.0,20.078609310548025,-0.391507745044517,1.522842639593902
1790302980,19.95,19.95,19.95,19.95,3500,2026-09-25,,,,,,,,,SSB,2026-09-25 09:23:00+07:00,2026-09-25,563,9,-0.2500000000000058,3500.0,69825.0,173200.0,3477165.0,20.0760103926097,-0.6276665041779705,1.2690355329949332
1790303040,19.95,19.95,19.95,19.95,2400,2026-09-25,,,,,,,,,SSB,2026-09-25 09:24:00+07:00,2026-09-25,564,10,0.0,2400.0,47880.0,175600.0,3525045.0,20.074288154897495,-0.6191410322421431,1.2690355329949332
1790303100,19.9,19.9,19.9,19.9,1700,2026-09-25,,,,,,,,,SSB,2026-09-25 09:25:00+07:00,2026-09-25,565,11,-0.25062656641604564,1700.0,33830.0,177300.0,3558875.0,20.07261703327693,-0.8599627691335043,1.0152284263959421
1790303160,19.95,19.95,19.95,19.95,400,2026-09-25,,,,,,,,,SSB,2026-09-25 09:26:00+07:00,2026-09-25,566,12,0.2512562814070307,400.0,7980.0,177700.0,3566855.0,20.072341024198085,-0.6095005263740738,1.2690355329949332
1790303220,19.95,19.95,19.95,19.95,1700,2026-09-25,,,,,,,,,SSB,2026-09-25 09:27:00+07:00,2026-09-25,567,13,0.0,1700.0,33915.0,179400.0,3600770.0,20.07118171683389,-0.6037597513865123,1.2690355329949332
1790303280,20.0,20.0,19.95,19.95,700,2026-09-25,,,,,,,,,SSB,2026-09-25 09:28:00+07:00,2026-09-25,568,14,0.0,700.0,13965.0,180100.0,3614735.0,20.07071071626874,-0.6014272138898158,1.2690355329949332
1790303340,19.95,20.0,19.95,20.0,49500,2026-09-25,,,,,,,,,SSB,2026-09-25 09:29:00+07:00,2026-09-25,569,15,0.25062656641603454,49500.0,990000.0,229600.0,4604735.0,20.055466027874566,-0.27656314641342217,1.522842639593902
1790303400,20.05,20.1,20.05,20.1,16500,2026-09-25,,,,,,,,,SSB,2026-09-25 09:30:00+07:00,2026-09-25,570,16,0.5000000000000115,16500.0,331650.0,246100.0,4936385.0,20.058451848841933,0.20713538348406946,2.0304568527918843
1790303460,20.15,20.2,20.15,20.2,34300,2026-09-25,,,,,,,,,SSB,2026-09-25 09:31:00+07:00,2026-09-25,571,17,0.4975124378109319,34300.0,692860.0,280400.0,5629245.0,20.0757667617689,0.6188218846399529,2.538071065989844
1790303520,20.2,20.25,20.2,20.25,36200,2026-09-25,,,,,,,,,SSB,2026-09-25 09:32:00+07:00,2026-09-25,572,18,0.24752475247524774,36200.0,733050.0,316600.0,6362295.0,20.095688566013898,0.7678832873986519,2.7918781725888353
1790303580,20.2,20.2,20.15,20.15,13600,2026-09-25,,,,,,,,,SSB,2026-09-25 09:33:00+07:00,2026-09-25,573,19,-0.4938271604938316,13600.0,274040.0,330200.0,6636335.0,20.097925499697155,0.2591038577768989,2.284263959390853
1790303640,20.2,20.2,20.15,20.2,20500,2026-09-25,,,,,,,,,SSB,2026-09-25 09:34:00+07:00,2026-09-25,574,20,0.24813895781639062,20500.0,414100.0,350700.0,7050435.0,20.103892215568862,0.4780556093347377,2.538071065989844
1790303700,20.2,20.2,20.2,20.2,600,2026-09-25,,,,,,,,,SSB,2026-09-25 09:35:00+07:00,2026-09-25,575,21,0.0,600.0,12120.0,351300.0,7062555.0,20.10405636208369,0.47723522153102493,2.538071065989844
1790303760,20.15,20.15,20.05,20.05,5600,2026-09-25,,,,,,,,,SSB,2026-09-25 09:36:00+07:00,2026-09-25,576,22,-0.7425742574257321,5600.0,112280.0,356900.0,7174835.0,20.103208181563463,-0.26467507615157704,1.7766497461928932
1790303820,20.1,20.1,20.05,20.05,5500,2026-09-25,,,,,,,,,SSB,2026-09-25 09:37:00+07:00,2026-09-25,577,23,0.0,5500.0,110275.0,362400.0,7285110.0,20.102400662251657,-0.2606686789904389,1.7766497461928932
1790303880,20.05,20.05,20.05,20.05,600,2026-09-25,,,,,,,,,SSB,2026-09-25 09:38:00+07:00,2026-09-25,578,24,0.0,600.0,12030.0,363000.0,7297140.0,20.102314049586777,-0.26023894292832583,1.7766497461928932
