t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3,Ticker,Timestamp,TradeDate,MinuteOfDay,MinuteIndexInDay,ret_1m_pct,volume_per_minute,traded_value_1m,cum_volume,cum_traded_value,cum_vwap,close_vs_cum_vwap_pct,ret_from_day_open_pct
1787537700,75.2,75.4,75.2,75.4,32600,2026-08-24,,,,,,,,,STB,2026-08-24 09:15:00+07:00,2026-08-24,555,1,,32600.0,2458040.0,32600.0,2458040.0,75.4,0.0,0.26595744680850686
1787537760,75.4,75.4,75.2,75.3,14600,2026-08-24,,,,,,,,,STB,2026-08-24 09:16:00+07:00,2026-08-24,556,2,-0.13262599469496816,14600.0,1099380.0,47200.0,3557420.0,75.36906779661017,-0.09163944656520595,0.13297872340425343
1787537820,75.4,75.4,75.2,75.3,14300,2026-08-24,,,,,,,,,STB,2026-08-24 09:17:00+07:00,2026-08-24,557,3,0.0,14300.0,1076790.0,61500.0,4634210.0,75.3530081300813,-0.07034640208364307,0.13297872340425343
1787537880,75.3,75.3,75.2,75.2,6700,2026-08-24,,,,,,,,,STB,2026-08-24 09:18:00+07:00,2026-08-24,558,4,-0.13280212483398612,6700.0,503840.0,68200.0,5138050.0,75.33797653958945,-0.1831434104378138,0.0
1787537940,75.2,75.3,75.2,75.2,8900,2026-08-24,,,,,,,,,STB,2026-08-24 09:19:00+07:00,2026-08-24,559,5,0.0,8900.0,669280.0,77100.0,5807330.0,75.32204928664072,-0.16203659857454422,0.0
1787538000,75.3,75.3,75.1,75.1,12000,2026-08-24,,,,,,,,,STB,2026-08-24 09:20:00+07:00,2026-08-24,560,6,-0.13297872340426453,12000.0,901199.9999999999,89100.0,6708530.0,75.29214365881033,-0.2551974873780227,-0.13297872340426453
1787538060,75.1,75.2,75.1,75.2,200,2026-08-24,,,,,,,,,STB,2026-08-24 09:21:00+07:00,2026-08-24,561,7,0.13315579227697327,200.0,15040.0,89300.0,6723570.0,75.2919372900336,-0.12210774930581092,0.0
1787538120,75.2,75.2,75.1,75.2,5500,2026-08-24,,,,,,,,,STB,2026-08-24 09:22:00+07:00,2026-08-24,562,8,0.0,5500.0,413600.0,94800.0,7137170.0,75.28660337552742,-0.11503158815047154,0.0
1787538180,75.2,75.3,75.1,75.3,15400,2026-08-24,,,,,,,,,STB,2026-08-24 09:23:00+07:00,2026-08-24,563,9,0.13297872340425343,15400.0,1159620.0,110200.0,8296790.0,75.28847549909256,0.015307124803687344,0.13297872340425343
1787538240,75.1,75.1,75.1,75.1,3700,2026-08-24,,,,,,,,,STB,2026-08-24 09:24:00+07:00,2026-08-24,564,10,-0.26560424966799445,3700.0,277870.0,113900.0,8574660.0,75.28235294117647,-0.24222534771058957,-0.13297872340426453
