t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3,Ticker,Timestamp,TradeDate,MinuteOfDay,MinuteIndexInDay,ret_1m_pct,volume_per_minute,traded_value_1m,cum_volume,cum_traded_value,cum_vwap,close_vs_cum_vwap_pct,ret_from_day_open_pct
1789697700,32.8,32.8,32.75,32.8,249300,2026-09-18,,,,,,,,,TCB,2026-09-18 09:15:00+07:00,2026-09-18,555,1,,249300.0,8177039.999999999,249300.0,8177039.999999999,32.8,0.0,0.0
1789697760,32.8,32.9,32.8,32.85,93000,2026-09-18,,,,,,,,,TCB,2026-09-18 09:16:00+07:00,2026-09-18,556,2,0.1524390243902607,93000.0,3055050.0,342300.0,11232090.0,32.81358457493427,0.11097667486639207,0.1524390243902607
1789697820,32.85,32.9,32.85,32.9,28200,2026-09-18,,,,,,,,,TCB,2026-09-18 09:17:00+07:00,2026-09-18,557,3,0.15220700152205335,28200.0,927780.0,370500.0,12159870.0,32.82016194331984,0.2432591795800354,0.3048780487804992
1789697880,32.9,32.95,32.9,32.95,74700,2026-09-18,,,,,,,,,TCB,2026-09-18 09:18:00+07:00,2026-09-18,558,4,0.1519756838905817,74700.0,2461365.0,445200.0,14621235.0,32.8419474393531,0.3290077753349996,0.45731707317075987
1789697940,32.9,33.0,32.9,33.0,107600,2026-09-18,,,,,,,,,TCB,2026-09-18 09:19:00+07:00,2026-09-18,559,5,0.15174506828528056,107600.0,3550800.0,552800.0,18172035.0,32.87271164978292,0.3872158511691204,0.6097560975609762
1789698000,33.0,33.0,32.95,33.0,204600,2026-09-18,,,,,,,,,TCB,2026-09-18 09:20:00+07:00,2026-09-18,560,6,0.0,204600.0,6751800.0,757400.0,24923835.0,32.90709664642197,0.28232011646682764,0.6097560975609762
1789698060,33.0,33.0,32.95,32.95,141000,2026-09-18,,,,,,,,,TCB,2026-09-18 09:21:00+07:00,2026-09-18,561,7,-0.15151515151514694,141000.0,4645950.0,898400.0,29569785.0,32.91383014247551,0.10989258122777734,0.45731707317075987
1789698120,32.95,32.95,32.95,32.95,110600,2026-09-18,,,,,,,,,TCB,2026-09-18 09:22:00+07:00,2026-09-18,562,8,0.0,110600.0,3644270.0000000005,1009000.0,33214055.0,32.917794846382556,0.09783508818783648,0.45731707317075987
1789698180,32.95,32.95,32.9,32.9,5800,2026-09-18,,,,,,,,,TCB,2026-09-18 09:23:00+07:00,2026-09-18,563,9,-0.15174506828529166,5800.0,190820.0,1014800.0,33404875.0,32.917693141505715,-0.05374963983550973,0.3048780487804992
1789698240,32.95,33.0,32.9,32.95,85400,2026-09-18,,,,,,,,,TCB,2026-09-18 09:24:00+07:00,2026-09-18,564,10,0.1519756838905817,85400.0,2813930.0000000005,1100200.0,36218805.0,32.92020087256862,0.09051927582923724,0.45731707317075987
