t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3,Ticker,Timestamp,TradeDate,MinuteOfDay,MinuteIndexInDay,ret_1m_pct,volume_per_minute,traded_value_1m,cum_volume,cum_traded_value,cum_vwap,close_vs_cum_vwap_pct,ret_from_day_open_pct
1788920100,58.4,58.4,58.3,58.4,137400,2026-09-09,,,,,,,,,VCB,2026-09-09 09:15:00+07:00,2026-09-09,555,1,,137400.0,8024160.0,137400.0,8024160.0,58.4,0.0,0.0
1788920160,58.4,58.7,58.4,58.6,88500,2026-09-09,,,,,,,,,VCB,2026-09-09 09:16:00+07:00,2026-09-09,556,2,0.34246575342467,88500.0,5186100.0,225900.0,13210260.0,58.47835325365206,0.20802012980818407,0.34246575342467
1788920220,58.6,58.6,58.5,58.5,77900,2026-09-09,,,,,,,,,VCB,2026-09-09 09:17:00+07:00,2026-09-09,557,3,-0.17064846416382506,77900.0,4557150.0,303800.0,17767410.0,58.4839038841343,0.02752230066171979,0.1712328767123239
1788920280,58.6,58.6,58.5,58.5,60200,2026-09-09,,,,,,,,,VCB,2026-09-09 09:18:00+07:00,2026-09-09,558,4,0.0,60200.0,3521700.0,364000.0,21289110.0,58.486565934065936,0.022969490035040785,0.1712328767123239
1788920340,58.5,58.5,58.4,58.5,20700,2026-09-09,,,,,,,,,VCB,2026-09-09 09:19:00+07:00,2026-09-09,559,5,0.0,20700.0,1210950.0,384700.0,22500060.0,58.487288796464775,0.021733275377933126,0.1712328767123239
1788920400,58.5,58.5,58.3,58.3,95000,2026-09-09,,,,,,,,,VCB,2026-09-09 09:20:00+07:00,2026-09-09,560,6,-0.34188034188035177,95000.0,5538500.0,479700.0,28038560.0,58.45019804044194,-0.25696754754880313,-0.171232876712335
1788920460,58.3,58.4,58.3,58.3,43000,2026-09-09,,,,,,,,,VCB,2026-09-09 09:21:00+07:00,2026-09-09,561,7,0.0,43000.0,2506900.0,522700.0,30545460.0,58.43784197436388,-0.23587793406941726,-0.171232876712335
1788920520,58.3,58.3,58.3,58.3,13300,2026-09-09,,,,,,,,,VCB,2026-09-09 09:22:00+07:00,2026-09-09,562,8,0.0,13300.0,775390.0,536000.0,31320850.0,58.43442164179105,-0.23003845681073276,-0.171232876712335
1788920580,58.3,58.3,58.2,58.3,5100,2026-09-09,,,,,,,,,VCB,2026-09-09 09:23:00+07:00,2026-09-09,563,9,0.0,5100.0,297330.0,541100.0,31618180.0,58.433154684901126,-0.22787522874498922,-0.171232876712335
1788920640,58.3,58.4,58.3,58.3,26900,2026-09-09,,,,,,,,,VCB,2026-09-09 09:24:00+07:00,2026-09-09,564,10,0.0,26900.0,1568270.0,568000.0,33186450.0,58.426848591549295,-0.21710668058800842,-0.171232876712335
