t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3,Ticker,Timestamp,TradeDate,MinuteOfDay,MinuteIndexInDay,ret_1m_pct,volume_per_minute,traded_value_1m,cum_volume,cum_traded_value,cum_vwap,close_vs_cum_vwap_pct,ret_from_day_open_pct
1790129700,13.55,13.55,13.5,13.5,102200,2026-09-23,,,,,,,,,VIB,2026-09-23 09:15:00+07:00,2026-09-23,555,1,,102200.0,1379700.0,102200.0,1379700.0,13.5,0.0,-0.3690036900369065
1790129760,13.45,13.45,13.45,13.45,14000,2026-09-23,,,,,,,,,VIB,2026-09-23 09:16:00+07:00,2026-09-23,556,2,-0.37037037037037646,14000.0,188300.0,116200.0,1568000.0,13.493975903614459,-0.3258928571428732,-0.738007380073813
1790129820,13.45,13.45,13.45,13.45,2000,2026-09-23,,,,,,,,,VIB,2026-09-23 09:17:00+07:00,2026-09-23,557,3,0.0,2000.0,26900.0,118200.0,1594900.0,13.493231810490693,-0.3203962630885959,-0.738007380073813
1790129880,13.45,13.45,13.45,13.45,16000,2026-09-23,,,,,,,,,VIB,2026-09-23 09:18:00+07:00,2026-09-23,558,4,0.0,16000.0,215200.0,134200.0,1810100.0,13.488077496274217,-0.28230484503618536,-0.738007380073813
1790129940,13.45,13.45,13.4,13.4,500,2026-09-23,,,,,,,,,VIB,2026-09-23 09:19:00+07:00,2026-09-23,559,5,-0.3717472118959009,500.0,6700.0,134700.0,1816800.0,13.487750556792873,-0.6505944517833595,-1.1070110701107083
1790130000,13.4,13.4,13.4,13.4,1300,2026-09-23,,,,,,,,,VIB,2026-09-23 09:20:00+07:00,2026-09-23,560,6,0.0,1300.0,17420.0,136000.0,1834220.0,13.486911764705882,-0.6444156099050247,-1.1070110701107083
1790130060,13.4,13.4,13.4,13.4,1900,2026-09-23,,,,,,,,,VIB,2026-09-23 09:21:00+07:00,2026-09-23,561,7,0.0,1900.0,25460.0,137900.0,1859680.0,13.485714285714286,-0.6355932203389814,-1.1070110701107083
1790130120,13.45,13.45,13.4,13.45,1500,2026-09-23,,,,,,,,,VIB,2026-09-23 09:22:00+07:00,2026-09-23,562,8,0.3731343283581934,1500.0,20175.0,139400.0,1879855.0,13.485329985652797,-0.26198829165015036,-0.738007380073813
1790130180,13.4,13.4,13.4,13.4,23400,2026-09-23,,,,,,,,,VIB,2026-09-23 09:23:00+07:00,2026-09-23,563,9,-0.3717472118959009,23400.0,313560.0,162800.0,2193415.0,13.473065110565111,-0.5423050357547532,-1.1070110701107083
1790130240,13.4,13.45,13.4,13.45,1000,2026-09-23,,,,,,,,,VIB,2026-09-23 09:24:00+07:00,2026-09-23,564,10,0.3731343283581934,1000.0,13450.0,163800.0,2206865.0,13.472924297924298,-0.17015087012572927,-0.738007380073813
