t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3,Ticker,Timestamp,TradeDate,MinuteOfDay,MinuteIndexInDay,ret_1m_pct,volume_per_minute,traded_value_1m,cum_volume,cum_traded_value,cum_vwap,close_vs_cum_vwap_pct,ret_from_day_open_pct
1784254500,56.3,56.3,56.2,56.2,57500,2026-07-17,,,,,,,,,VNM,2026-07-17 09:15:00+07:00,2026-07-17,555,1,,57500.0,3231500.0,57500.0,3231500.0,56.2,0.0,-0.1776198934280493
1784254560,56.2,56.3,56.2,56.3,4800,2026-07-17,,,,,,,,,VNM,2026-07-17 09:16:00+07:00,2026-07-17,556,2,0.177935943060481,4800.0,270240.0,62300.0,3501740.0,56.207704654895664,0.16420408139952158,0.0
1784254620,56.2,56.3,56.2,56.3,20500,2026-07-17,,,,,,,,,VNM,2026-07-17 09:17:00+07:00,2026-07-17,557,3,0.0,20500.0,1154150.0,82800.0,4655890.0,56.230555555555554,0.12349948130216948,0.0
1784254680,56.3,56.3,56.2,56.2,8400,2026-07-17,,,,,,,,,VNM,2026-07-17 09:18:00+07:00,2026-07-17,558,4,-0.1776198934280493,8400.0,472080.0,91200.0,5127970.0,56.22774122807017,-0.049337262113458014,-0.1776198934280493
1784254740,56.2,56.2,56.2,56.2,5700,2026-07-17,,,,,,,,,VNM,2026-07-17 09:19:00+07:00,2026-07-17,559,5,0.0,5700.0,320340.0,96900.0,5448310.0,56.22610939112487,-0.046436417898387816,-0.1776198934280493
1784254800,56.2,56.2,56.2,56.2,11200,2026-07-17,,,,,,,,,VNM,2026-07-17 09:20:00+07:00,2026-07-17,560,6,0.0,11200.0,629440.0,108100.0,6077750.0,56.223404255319146,-0.04162724692524655,-0.1776198934280493
1784254860,56.2,56.2,56.2,56.2,44900,2026-07-17,,,,,,,,,VNM,2026-07-17 09:21:00+07:00,2026-07-17,561,7,0.0,44900.0,2523380.0,153000.0,8601130.0,56.216535947712416,-0.029414739691169256,-0.1776198934280493
1784254920,56.3,56.6,56.2,56.6,139500,2026-07-17,,,,,,,,,VNM,2026-07-17 09:22:00+07:00,2026-07-17,562,8,0.7117437722419906,139500.0,7895700.0,292500.0,16496830.0,56.399418803418804,0.3556440843483166,0.5328596802842034
1784254980,56.4,56.6,56.4,56.5,9300,2026-07-17,,,,,,,,,VNM,2026-07-17 09:23:00+07:00,2026-07-17,563,9,-0.17667844522968323,9300.0,525450.0,301800.0,17022280.0,56.4025182239894,0.1728323115352426,0.355239786856143
1784255040,56.6,56.6,56.5,56.6,15700,2026-07-17,,,,,,,,,VNM,2026-07-17 09:24:00+07:00,2026-07-17,564,10,0.1769911504424737,15700.0,888620.0,317500.0,17910900.0,56.412283464566926,0.33275826452050516,0.5328596802842034
1784255100,56.6,56.6,56.5,56.5,18000,2026-07-17,,,,,,,,,VNM,2026-07-17 09:25:00+07:00,2026-07-17,565,11,-0.17667844522968323,18000.0,1017000.0,335500.0,18927900.0,56.41698956780924,0.1471372946813876,0.355239786856143
1784255160,56.5,56.5,56.5,56.5,8600,2026-07-17,,,,,,,,,VNM,2026-07-17 09:26:00+07:00,2026-07-17,566,12,0.0,8600.0,485900.0,344100.0,19413800.0,56.41906422551584,0.14345465596636853,0.355239786856143
1784255220,56.5,56.5,56.5,56.5,10000,2026-07-17,,,,,,,,,VNM,2026-07-17 09:27:00+07:00,2026-07-17,567,13,0.0,10000.0,565000.0,354100.0,19978800.0,56.42134990115787,0.13939776162732453,0.355239786856143
1784255280,56.5,56.5,56.4,56.4,5300,2026-07-17,,,,,,,,,VNM,2026-07-17 09:28:00+07:00,2026-07-17,568,14,-0.1769911504424848,5300.0,298920.0,359400.0,20277720.0,56.42103505843072,-0.03728229800983307,0.1776198934280604
1784255340,56.4,56.4,56.4,56.4,33100,2026-07-17,,,,,,,,,VNM,2026-07-17 09:29:00+07:00,2026-07-17,569,15,0.0,33100.0,1866840.0,392500.0,22144560.0,56.419261146496815,-0.034139310060798955,0.1776198934280604
1784255400,56.4,56.4,56.4,56.4,11500,2026-07-17,,,,,,,,,VNM,2026-07-17 09:30:00+07:00,2026-07-17,570,16,0.0,11500.0,648600.0,404000.0,22793160.0,56.41871287128713,-0.03316784509036497,0.1776198934280604
1784255460,56.4,56.4,56.4,56.4,15600,2026-07-17,,,,,,,,,VNM,2026-07-17 09:31:00+07:00,2026-07-17,571,17,0.0,15600.0,879840.0,419600.0,23673000.0,56.41801715919924,-0.031935115954884186,0.1776198934280604
1784255520,56.4,56.4,56.4,56.4,5300,2026-07-17,,,,,,,,,VNM,2026-07-17 09:32:00+07:00,2026-07-17,572,18,0.0,5300.0,298920.0,424900.0,23971920.0,56.41779242174629,-0.031536898170858585,0.1776198934280604
1784255580,56.4,56.5,56.4,56.4,12200,2026-07-17,,,,,,,,,VNM,2026-07-17 09:33:00+07:00,2026-07-17,573,19,0.0,12200.0,688080.0,437100.0,24660000.0,56.41729581331503,-0.030656934306572126,0.1776198934280604
1784255640,56.5,56.6,56.4,56.5,115200,2026-07-17,,,,,,,,,VNM,2026-07-17 09:34:00+07:00,2026-07-17,574,20,0.17730496453900457,115200.0,6508800.0,552300.0,31168800.0,56.434546442151,0.11598136598136577,0.355239786856143
1784255700,56.7,56.9,56.7,56.8,159700,2026-07-17,,,,,,,,,VNM,2026-07-17 09:35:00+07:00,2026-07-17,575,21,0.5309734513274211,159700.0,9070960.0,712000.0,40239760.0,56.516516853932586,0.5015934488674878,0.8880994671403242
1784255760,56.8,57.0,56.8,57.0,130400,2026-07-17,,,,,,,,,VNM,2026-07-17 09:36:00+07:00,2026-07-17,576,22,0.35211267605634866,130400.0,7432800.0,842400.0,47672560.0,56.59135802469136,0.7220925412858126,1.243339253996445
1784255820,56.9,57.0,56.9,56.9,39300,2026-07-17,,,,,,,,,VNM,2026-07-17 09:37:00+07:00,2026-07-17,577,23,-0.17543859649122862,39300.0,2236170.0,881700.0,49908730.0,56.60511511852104,0.5209509438528936,1.0657193605683846
1784255880,57.0,57.0,56.9,56.9,70100,2026-07-17,,,,,,,,,VNM,2026-07-17 09:38:00+07:00,2026-07-17,578,24,0.0,70100.0,3988690.0,951800.0,53897420.0,56.626833368354696,0.48239785874721886,1.0657193605683846
1784255940,56.9,56.9,56.8,56.9,11500,2026-07-17,,,,,,,,,VNM,2026-07-17 09:39:00+07:00,2026-07-17,579,25,0.0,11500.0,654350.0,963300.0,54551770.0,56.63009446693657,0.4766114830004664,1.0657193605683846
1784256000,56.9,56.9,56.8,56.8,11300,2026-07-17,,,,,,,,,VNM,2026-07-17 09:40:00+07:00,2026-07-17,580,26,-0.17574692442882123,11300.0,641840.0,974600.0,55193610.0,56.63206443669198,0.2965379506794319,0.8880994671403242
1784256060,56.8,56.9,56.8,56.8,15800,2026-07-17,,,,,,,,,VNM,2026-07-17 09:41:00+07:00,2026-07-17,581,27,0.0,15800.0,897440.0,990400.0,56091050.0,56.63474353796446,0.29179343228553645,0.8880994671403242
1784256120,56.8,56.9,56.8,56.8,19300,2026-07-17,,,,,,,,,VNM,2026-07-17 09:42:00+07:00,2026-07-17,582,28,0.0,19300.0,1096240.0,1009700.0,57187290.0,56.63790234723185,0.2861999580676011,0.8880994671403242
1784256180,56.8,56.8,56.8,56.8,10600,2026-07-17,,,,,,,,,VNM,2026-07-17 09:43:00+07:00,2026-07-17,583,29,0.0,10600.0,602080.0,1020300.0,57789370.0,56.639586396157995,0.2832181766300623,0.8880994671403242
1784256240,56.8,57.2,56.8,57.1,313300,2026-07-17,,,,,,,,,VNM,2026-07-17 09:44:00+07:00,2026-07-17,584,30,0.528169014084523,313300.0,17889430.0,1333600.0,75678800.0,56.747750449910015,0.6207286584882565,1.4209591474245276
1784256300,57.2,57.3,57.1,57.3,132400,2026-07-17,,,,,,,,,VNM,2026-07-17 09:45:00+07:00,2026-07-17,585,31,0.3502626970227629,132400.0,7586520.0,1466000.0,83265320.0,56.79762619372442,0.8844978917993629,1.7761989342806483
1784256360,57.3,57.4,57.3,57.3,15500,2026-07-17,,,,,,,,,VNM,2026-07-17 09:46:00+07:00,2026-07-17,586,32,0.0,15500.0,888150.0,1481500.0,84153470.0,56.802882213972325,0.8751629611945866,1.7761989342806483
1784256420,57.3,57.4,57.2,57.3,39200,2026-07-17,,,,,,,,,VNM,2026-07-17 09:47:00+07:00,2026-07-17,587,33,0.0,39200.0,2246160.0,1520700.0,86399630.0,56.81569671861643,0.8524110577788235,1.7761989342806483
1784256480,57.3,57.3,57.3,57.3,28500,2026-07-17,,,,,,,,,VNM,2026-07-17 09:48:00+07:00,2026-07-17,588,34,0.0,28500.0,1633050.0,1549200.0,88032680.0,56.82460624838627,0.8365984086818656,1.7761989342806483
1784256540,57.3,57.4,57.2,57.2,79100,2026-07-17,,,,,,,,,VNM,2026-07-17 09:49:00+07:00,2026-07-17,589,35,-0.17452006980801515,79100.0,4524520.0,1628300.0,92557200.0,56.842842228090646,0.6283249709368999,1.598579040852588
1784256600,57.2,57.3,57.2,57.2,47200,2026-07-17,,,,,,,,,VNM,2026-07-17 09:50:00+07:00,2026-07-17,590,36,0.0,47200.0,2699840.0,1675500.0,95257040.0,56.85290361086243,0.6105165560466697,1.598579040852588
1784256660,57.3,57.3,57.2,57.2,20600,2026-07-17,,,,,,,,,VNM,2026-07-17 09:51:00+07:00,2026-07-17,591,37,0.0,20600.0,1178320.0,1696100.0,96435360.0,56.85711927362773,0.6030568040602535,1.598579040852588
1784256720,57.2,57.2,57.2,57.2,4200,2026-07-17,,,,,,,,,VNM,2026-07-17 09:52:00+07:00,2026-07-17,592,38,0.0,4200.0,240240.0,1700300.0,96675600.0,56.857966241251546,0.6015582008283449,1.598579040852588
1784256780,57.2,57.3,57.2,57.2,42200,2026-07-17,,,,,,,,,VNM,2026-07-17 09:53:00+07:00,2026-07-17,593,39,0.0,42200.0,2413840.0,1742500.0,99089440.0,56.86624964131994,0.5869041141013831,1.598579040852588
1784256840,57.2,57.3,57.2,57.2,5700,2026-07-17,,,,,,,,,VNM,2026-07-17 09:54:00+07:00,2026-07-17,594,40,0.0,5700.0,326040.0,1748200.0,99415480.0,56.86733783319986,0.5849793211278653,1.598579040852588
1784256900,57.2,57.3,57.2,57.2,16200,2026-07-17,,,,,,,,,VNM,2026-07-17 09:55:00+07:00,2026-07-17,595,41,0.0,16200.0,926640.0,1764400.0,100342120.0,56.87039220131489,0.5795771506521996,1.598579040852588
1784256960,57.2,57.2,57.2,57.2,14400,2026-07-17,,,,,,,,,VNM,2026-07-17 09:56:00+07:00,2026-07-17,596,42,0.0,14400.0,823680.0,1778800.0,101165800.0,56.87306049021812,0.574858301916259,1.598579040852588
1784257020,57.2,57.3,57.2,57.2,24900,2026-07-17,,,,,,,,,VNM,2026-07-17 09:57:00+07:00,2026-07-17,597,43,0.0,24900.0,1424280.0,1803700.0,102590080.0,56.87757387592172,0.5668774212867378,1.598579040852588
1784257080,57.2,57.3,57.1,57.1,90600,2026-07-17,,,,,,,,,VNM,2026-07-17 09:58:00+07:00,2026-07-17,598,44,-0.17482517482517723,90600.0,5173260.0,1894300.0,107763340.0,56.88821200443436,0.3722880155718977,1.4209591474245276
1784257140,57.1,57.2,57.1,57.2,12000,2026-07-17,,,,,,,,,VNM,2026-07-17 09:59:00+07:00,2026-07-17,599,45,0.17513134851139256,12000.0,686400.0,1906300.0,108449740.0,56.89017468394272,0.5446025043490232,1.598579040852588
