t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3,Ticker,Timestamp,TradeDate,MinuteOfDay,MinuteIndexInDay,ret_1m_pct,volume_per_minute,traded_value_1m,cum_volume,cum_traded_value,cum_vwap,close_vs_cum_vwap_pct,ret_from_day_open_pct
1785982500,25.5,25.5,25.45,25.45,66200,2026-08-06,,,,,,,,,VPB,2026-08-06 09:15:00+07:00,2026-08-06,555,1,,66200.0,1684790.0,66200.0,1684790.0,25.45,0.0,-0.19607843137254832
1785982560,25.45,25.45,25.45,25.45,1200,2026-08-06,,,,,,,,,VPB,2026-08-06 09:16:00+07:00,2026-08-06,556,2,0.0,1200.0,30540.0,67400.0,1715330.0,25.45,0.0,-0.19607843137254832
1785982620,25.45,25.45,25.4,25.45,18700,2026-08-06,,,,,,,,,VPB,2026-08-06 09:17:00+07:00,2026-08-06,557,3,0.0,18700.0,475915.0,86100.0,2191245.0,25.45,0.0,-0.19607843137254832
1785982680,25.45,25.45,25.4,25.4,5900,2026-08-06,,,,,,,,,VPB,2026-08-06 09:18:00+07:00,2026-08-06,558,4,-0.19646365422396617,5900.0,149860.0,92000.0,2341105.0,25.44679347826087,-0.18388752319952184,-0.39215686274510775
1785982740,25.45,25.45,25.4,25.4,9900,2026-08-06,,,,,,,,,VPB,2026-08-06 09:19:00+07:00,2026-08-06,559,5,0.0,9900.0,251460.0,101900.0,2592565.0,25.44224730127576,-0.16605176726524062,-0.39215686274510775
1785982800,25.4,25.45,25.4,25.4,12200,2026-08-06,,,,,,,,,VPB,2026-08-06 09:20:00+07:00,2026-08-06,560,6,0.0,12200.0,309880.0,114100.0,2902445.0,25.437730061349694,-0.1483232240404253,-0.39215686274510775
1785982860,25.4,25.45,25.4,25.45,13500,2026-08-06,,,,,,,,,VPB,2026-08-06 09:21:00+07:00,2026-08-06,561,7,0.19685039370078705,13500.0,343575.0,127600.0,3246020.0,25.439028213166143,0.04312974042057771,-0.19607843137254832
1785982920,25.45,25.45,25.4,25.4,1700,2026-08-06,,,,,,,,,VPB,2026-08-06 09:22:00+07:00,2026-08-06,562,8,-0.19646365422396617,1700.0,43180.0,129300.0,3289200.0,25.438515081206496,-0.15140459686245888,-0.39215686274510775
1785982980,25.4,25.4,25.4,25.4,11200,2026-08-06,,,,,,,,,VPB,2026-08-06 09:23:00+07:00,2026-08-06,563,9,0.0,11200.0,284480.0,140500.0,3573680.0,25.435444839857652,-0.13935215240313825,-0.39215686274510775
1785983040,25.4,25.4,25.4,25.4,10400,2026-08-06,,,,,,,,,VPB,2026-08-06 09:24:00+07:00,2026-08-06,564,10,0.0,10400.0,264160.0,150900.0,3837840.0,25.43300198807157,-0.12976049027578762,-0.39215686274510775
1785983100,25.4,25.45,25.4,25.4,15100,2026-08-06,,,,,,,,,VPB,2026-08-06 09:25:00+07:00,2026-08-06,565,11,0.0,15100.0,383540.0,166000.0,4221380.0,25.43,-0.11797090051121062,-0.39215686274510775
1785983160,25.4,25.45,25.4,25.4,5100,2026-08-06,,,,,,,,,VPB,2026-08-06 09:26:00+07:00,2026-08-06,566,12,0.0,5100.0,129540.0,171100.0,4350920.0,25.429105786090005,-0.11445855129490479,-0.39215686274510775
1785983220,25.4,25.45,25.4,25.4,18000,2026-08-06,,,,,,,,,VPB,2026-08-06 09:27:00+07:00,2026-08-06,567,13,0.0,18000.0,457200.0,189100.0,4808120.0,25.426335272342676,-0.10357478598704839,-0.39215686274510775
1785983280,25.4,25.45,25.4,25.4,17000,2026-08-06,,,,,,,,,VPB,2026-08-06 09:28:00+07:00,2026-08-06,568,14,0.0,17000.0,431800.0,206100.0,5239920.0,25.424163027656476,-0.0950396189254854,-0.39215686274510775
1785983340,25.4,25.45,25.4,25.4,95100,2026-08-06,,,,,,,,,VPB,2026-08-06 09:29:00+07:00,2026-08-06,569,15,0.0,95100.0,2415540.0,301200.0,7655460.0,25.416533864541833,-0.06505161022329897,-0.39215686274510775
1785983400,25.4,25.4,25.4,25.4,8300,2026-08-06,,,,,,,,,VPB,2026-08-06 09:30:00+07:00,2026-08-06,570,16,0.0,8300.0,210820.0,309500.0,7866280.0,25.416090468497575,-0.06330819650457453,-0.39215686274510775
1785983460,25.35,25.4,25.35,25.35,10700,2026-08-06,,,,,,,,,VPB,2026-08-06 09:31:00+07:00,2026-08-06,571,17,-0.19685039370077595,10700.0,271245.0,320200.0,8137525.0,25.413881948782013,-0.25136635524929396,-0.588235294117645
1785983520,25.4,25.4,25.35,25.35,55200,2026-08-06,,,,,,,,,VPB,2026-08-06 09:32:00+07:00,2026-08-06,572,18,0.0,55200.0,1399320.0,375400.0,9536845.0,25.404488545551413,-0.21448393048224546,-0.588235294117645
1785983580,25.35,25.4,25.3,25.3,132500,2026-08-06,,,,,,,,,VPB,2026-08-06 09:33:00+07:00,2026-08-06,573,19,-0.19723865877712132,132500.0,3352250.0,507900.0,12889095.0,25.377229769639694,-0.3043270299427525,-0.7843137254901933
1785983640,25.35,25.35,25.3,25.3,273400,2026-08-06,,,,,,,,,VPB,2026-08-06 09:34:00+07:00,2026-08-06,574,20,0.0,273400.0,6917020.0,781300.0,19806115.0,25.350204786893638,-0.19804489674021264,-0.7843137254901933
1785983700,25.3,25.35,25.25,25.25,143900,2026-08-06,,,,,,,,,VPB,2026-08-06 09:35:00+07:00,2026-08-06,575,21,-0.19762845849802257,143900.0,3633475.0,925200.0,23439590.0,25.33461954172071,-0.334007548766857,-0.9803921568627416
1785983760,25.25,25.3,25.25,25.3,26600,2026-08-06,,,,,,,,,VPB,2026-08-06 09:36:00+07:00,2026-08-06,576,22,0.1980198019801982,26600.0,672980.0,951800.0,24112570.0,25.33365202773692,-0.13283528051966087,-0.7843137254901933
1785983820,25.3,25.35,25.3,25.3,61200,2026-08-06,,,,,,,,,VPB,2026-08-06 09:37:00+07:00,2026-08-06,577,23,0.0,61200.0,1548360.0,1013000.0,25660930.0,25.331618953603158,-0.12482010589638382,-0.7843137254901933
1785983880,25.35,25.35,25.3,25.3,76500,2026-08-06,,,,,,,,,VPB,2026-08-06 09:38:00+07:00,2026-08-06,578,24,0.0,76500.0,1935450.0,1089500.0,27596380.0,25.329398806792106,-0.11606594778010848,-0.7843137254901933
1785983940,25.3,25.3,25.3,25.3,23800,2026-08-06,,,,,,,,,VPB,2026-08-06 09:39:00+07:00,2026-08-06,579,25,0.0,23800.0,602140.0,1113300.0,28198520.0,25.328770322464745,-0.11358752161461094,-0.7843137254901933
1785984000,25.3,25.3,25.25,25.25,17600,2026-08-06,,,,,,,,,VPB,2026-08-06 09:40:00+07:00,2026-08-06,580,26,-0.19762845849802257,17600.0,444400.0,1130900.0,28642920.0,25.327544433636927,-0.30616641040788206,-0.9803921568627416
1785984060,25.25,25.3,25.25,25.25,223000,2026-08-06,,,,,,,,,VPB,2026-08-06 09:41:00+07:00,2026-08-06,581,27,0.0,223000.0,5630750.0,1353900.0,34273670.0,25.31477213974444,-0.25586696726670466,-0.9803921568627416
1785984120,25.3,25.3,25.3,25.3,5400,2026-08-06,,,,,,,,,VPB,2026-08-06 09:42:00+07:00,2026-08-06,582,28,0.1980198019801982,5400.0,136620.0,1359300.0,34410290.0,25.314713455455014,-0.058122148926964545,-0.7843137254901933
1785984180,25.3,25.3,25.25,25.25,7700,2026-08-06,,,,,,,,,VPB,2026-08-06 09:43:00+07:00,2026-08-06,583,29,-0.19762845849802257,7700.0,194425.0,1367000.0,34604715.0,25.3143489392831,-0.2541994638591838,-0.9803921568627416
1785984240,25.3,25.3,25.3,25.3,209100,2026-08-06,,,,,,,,,VPB,2026-08-06 09:44:00+07:00,2026-08-06,584,30,0.1980198019801982,209100.0,5290230.0,1576100.0,39894945.0,25.312445276314953,-0.049166630007879686,-0.7843137254901933
1785984300,25.3,25.3,25.3,25.3,10600,2026-08-06,,,,,,,,,VPB,2026-08-06 09:45:00+07:00,2026-08-06,585,31,0.0,10600.0,268180.0,1586700.0,40163125.0,25.31236213524926,-0.04883833118064507,-0.7843137254901933
1785984360,25.3,25.3,25.25,25.3,22000,2026-08-06,,,,,,,,,VPB,2026-08-06 09:46:00+07:00,2026-08-06,586,32,0.0,22000.0,556600.0,1608700.0,40719725.0,25.31219307515385,-0.04817075753825728,-0.7843137254901933
1785984420,25.3,25.3,25.3,25.3,17400,2026-08-06,,,,,,,,,VPB,2026-08-06 09:47:00+07:00,2026-08-06,587,33,0.0,17400.0,440220.0,1626100.0,41159945.0,25.312062603775907,-0.04765555444741221,-0.7843137254901933
1785984480,25.3,25.3,25.25,25.25,8300,2026-08-06,,,,,,,,,VPB,2026-08-06 09:48:00+07:00,2026-08-06,588,34,-0.19762845849802257,8300.0,209575.0,1634400.0,41369520.0,25.311747430249632,-0.24394771803007975,-0.9803921568627416
1785984540,25.3,25.3,25.25,25.25,60100,2026-08-06,,,,,,,,,VPB,2026-08-06 09:49:00+07:00,2026-08-06,589,35,0.0,60100.0,1517525.0,1694500.0,42887045.0,25.309557391560933,-0.23531581623308373,-0.9803921568627416
1785984600,25.25,25.25,25.25,25.25,2100,2026-08-06,,,,,,,,,VPB,2026-08-06 09:50:00+07:00,2026-08-06,590,36,0.0,2100.0,53025.0,1696600.0,42940070.0,25.30948367322881,-0.23502523400638076,-0.9803921568627416
1785984660,25.3,25.3,25.3,25.3,3700,2026-08-06,,,,,,,,,VPB,2026-08-06 09:51:00+07:00,2026-08-06,591,37,0.1980198019801982,3700.0,93610.0,1700300.0,43033680.0,25.309463035934836,-0.03738931924948119,-0.7843137254901933
1785984720,25.3,25.3,25.3,25.3,51300,2026-08-06,,,,,,,,,VPB,2026-08-06 09:52:00+07:00,2026-08-06,592,38,0.0,51300.0,1297890.0,1751600.0,44331570.0,25.309185887188857,-0.0362946766830019,-0.7843137254901933
1785984780,25.25,25.3,25.25,25.3,22600,2026-08-06,,,,,,,,,VPB,2026-08-06 09:53:00+07:00,2026-08-06,593,39,0.0,22600.0,571780.0,1774200.0,44903350.0,25.309068876113177,-0.035832515836786705,-0.7843137254901933
1785984840,25.25,25.3,25.25,25.3,101300,2026-08-06,,,,,,,,,VPB,2026-08-06 09:54:00+07:00,2026-08-06,594,40,0.0,101300.0,2562890.0,1875500.0,47466240.0,25.308579045587845,-0.03389777660922633,-0.7843137254901933
1785984900,25.35,25.35,25.3,25.3,2800,2026-08-06,,,,,,,,,VPB,2026-08-06 09:55:00+07:00,2026-08-06,595,41,0.0,2800.0,70840.0,1878300.0,47537080.0,25.3085662567215,-0.0338472619689667,-0.7843137254901933
1785984960,25.3,25.3,25.3,25.3,107600,2026-08-06,,,,,,,,,VPB,2026-08-06 09:56:00+07:00,2026-08-06,596,42,0.0,107600.0,2722280.0,1985900.0,50259360.0,25.308102119945616,-0.03201393730440927,-0.7843137254901933
1785985020,25.3,25.3,25.25,25.25,111300,2026-08-06,,,,,,,,,VPB,2026-08-06 09:57:00+07:00,2026-08-06,597,43,-0.19762845849802257,111300.0,2810325.0,2097200.0,53069685.0,25.305018596223537,-0.21742167868530338,-0.9803921568627416
1785985080,25.25,25.3,25.25,25.25,19600,2026-08-06,,,,,,,,,VPB,2026-08-06 09:58:00+07:00,2026-08-06,598,44,0.0,19600.0,494900.0,2116800.0,53564585.0,25.304509164777023,-0.21541285160708856,-0.9803921568627416
