t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3,Ticker,Timestamp,TradeDate,MinuteOfDay,MinuteIndexInDay,ret_1m_pct,volume_per_minute,traded_value_1m,cum_volume,cum_traded_value,cum_vwap,close_vs_cum_vwap_pct,ret_from_day_open_pct
1787278500,24.0,24.1,24.0,24.1,122000,2026-08-21,,,,,,,,,VRE,2026-08-21 09:15:00+07:00,2026-08-21,555,1,,122000.0,2940200.0,122000.0,2940200.0,24.1,0.0,0.4166666666666652
1787278560,24.15,24.15,24.15,24.15,500,2026-08-21,,,,,,,,,VRE,2026-08-21 09:16:00+07:00,2026-08-21,556,2,0.20746887966804906,500.0,12075.0,122500.0,2952275.0,24.100204081632654,0.20662031822915594,0.6249999999999867
1787278620,24.15,24.15,24.1,24.1,1600,2026-08-21,,,,,,,,,VRE,2026-08-21 09:17:00+07:00,2026-08-21,557,3,-0.20703933747411307,1600.0,38560.0,124100.0,2990835.0,24.10020145044319,-0.0008358869680091807,0.4166666666666652
1787278680,24.05,24.05,24.0,24.0,16200,2026-08-21,,,,,,,,,VRE,2026-08-21 09:18:00+07:00,2026-08-21,558,4,-0.4149377593361092,16200.0,388800.0,140300.0,3379635.0,24.088631503920173,-0.3679391413569877,0.0
1787278740,24.0,24.1,24.0,24.05,54300,2026-08-21,,,,,,,,,VRE,2026-08-21 09:19:00+07:00,2026-08-21,559,5,0.2083333333333437,54300.0,1305915.0,194600.0,4685550.0,24.077852004110998,-0.11567478737821713,0.2083333333333437
1787278800,24.05,24.05,24.0,24.0,30000,2026-08-21,,,,,,,,,VRE,2026-08-21 09:20:00+07:00,2026-08-21,560,6,-0.20790020790021346,30000.0,720000.0,224600.0,5405550.0,24.067453250222616,-0.28026750284428914,0.0
1787278860,24.0,24.0,23.95,23.95,5800,2026-08-21,,,,,,,,,VRE,2026-08-21 09:21:00+07:00,2026-08-21,561,7,-0.2083333333333326,5800.0,138910.0,230400.0,5544460.0,24.064496527777777,-0.4757902482838694,-0.2083333333333326
1787278920,23.95,24.0,23.95,24.0,10800,2026-08-21,,,,,,,,,VRE,2026-08-21 09:22:00+07:00,2026-08-21,562,8,0.20876826722338038,10800.0,259200.0,241200.0,5803660.0,24.06160862354892,-0.256045323123677,0.0
1787278980,24.0,24.0,23.95,24.0,7700,2026-08-21,,,,,,,,,VRE,2026-08-21 09:23:00+07:00,2026-08-21,563,9,0.0,7700.0,184800.0,248900.0,5988460.0,24.059702691844112,-0.24814393015899494,0.0
1787279040,24.0,24.0,24.0,24.0,11300,2026-08-21,,,,,,,,,VRE,2026-08-21 09:24:00+07:00,2026-08-21,564,10,0.0,11300.0,271200.0,260200.0,6259660.0,24.057109915449654,-0.2373930852474393,0.0
1787279100,24.0,24.05,24.0,24.05,7900,2026-08-21,,,,,,,,,VRE,2026-08-21 09:25:00+07:00,2026-08-21,565,11,0.2083333333333437,7900.0,189995.0,268100.0,6449655.0,24.056900410294666,-0.028683704787313413,0.2083333333333437
