Ticker,IntradayDate,IntradayLastTimestamp,IntradayOpen,IntradayHigh,IntradayLow,IntradayLast,IntradayVolume,IntradayVWAP,IntradayRetFromOpenPct,IntradayRangePct,IntradayCloseVsVWAPPct,IntradayAvgVolumePerMinute,IntradayTradedValue,IntradayRet5mPct,IntradayVolume5m,IntradayRet15mPct,IntradayVolume15m,IntradayRet30mPct,IntradayVolume30m,IntradayRet60mPct,IntradayVolume60m,IntradayVolumePctADV20,IntradayFirst15mVolume,IntradayFirst15mRangePct,IntradayFirst30mVolume,IntradayFirst30mRangePct
ACB,2026-08-12,2026-08-12 13:05:00+07:00,22.65,22.8,22.6,22.75,6051500.0,22.739819053127324,0.44150110375276164,0.8830022075055156,0.04477145068257915,42918.43971631206,137610015.0,0.22026431718062955,173200.0,0.0,600600.0,0.0,1635100.0,0.22026431718062955,2918800.0,38.24923852317424,301800.0,0.22075055187638284,763400.0,0.22075055187638284
BID,2026-08-12,2026-08-12 13:04:00+07:00,39.1,39.5,38.95,39.35,1724400.0,39.240828694038505,0.6393861892583175,1.4066496163682791,0.278208461938223,12405.755395683453,67666885.0,0.0,75600.0,0.0,209800.0,0.3826530612244916,382600.0,0.3826530612244916,543000.0,39.36942977020207,192100.0,0.38363171355500175,499700.0,0.639386189258312
BSR,2026-08-12,2026-08-12 13:05:00+07:00,26.15,26.75,25.9,26.65,3755600.0,26.338372031100224,1.9120458891013437,3.250478011472281,1.1831709588269401,26635.4609929078,98916390.0,0.0,168400.0,0.0,541400.0,0.5660377358490454,1080300.0,1.5238095238095273,1904500.0,42.792682647250416,595800.0,1.147227533460806,892300.0,1.147227533460806
CTG,2026-08-12,2026-08-12 13:05:00+07:00,32.35,32.45,32.1,32.25,2930400.0,32.27696730821731,-0.3091190108191699,1.0819165378670832,-0.08354969647487165,21082.01438848921,94584425.0,0.0,136100.0,0.0,379900.0,0.0,647900.0,0.0,1114900.0,32.63262572146677,241800.0,0.4636785162287436,534400.0,0.9273570324574872
FPT,2026-08-12,2026-08-12 13:05:00+07:00,71.2,71.9,71.0,71.1,1938500.0,71.36779984524117,-0.1404494382022614,1.2640449438202326,-0.37523903752376686,13748.22695035461,138346480.0,-0.28050490883591017,248200.0,-0.28050490883591017,411000.0,-0.5594405594405716,566700.0,-0.28050490883591017,714400.0,28.368797855105214,198300.0,0.42134831460673755,432600.0,0.8426966292134751
GAS,2026-08-12,2026-08-12 13:05:00+07:00,77.5,79.5,77.2,78.7,771500.0,78.24260531432274,1.5483870967742064,2.9677419354838674,0.5845851935013746,5934.615384615385,60364170.0,-0.3797468354430289,28200.0,-0.12690355329948444,101200.0,0.3826530612244916,176500.0,0.3826530612244916,298600.0,55.79781619714774,98800.0,1.0322580645161255,162700.0,1.0322580645161255
GVR,2026-08-12,2026-08-12 13:05:00+07:00,31.4,32.0,31.3,31.5,815200.0,31.66281280667321,0.31847133757962887,2.2292993630573226,-0.514208284864992,6521.6,25811525.0,0.0,76800.0,-0.15847860538827918,89000.0,0.0,141200.0,0.0,208300.0,46.17887903150338,74900.0,0.6369426751592447,244100.0,1.9108280254777004
HDB,2026-08-12,2026-08-12 13:05:00+07:00,26.9,27.1,26.65,27.0,5908000.0,26.929304333107652,0.3717472118959231,1.672862453531609,0.2625231829900265,42200.0,159098330.0,-0.1848428835489857,581200.0,-0.1848428835489857,913600.0,-0.1848428835489857,1231000.0,0.0,1795000.0,55.6552274716426,1032500.0,0.929368029739777,1988900.0,0.929368029739777
HPG,2026-08-12,2026-08-12 13:05:00+07:00,22.0,22.35,21.95,22.15,9566500.0,22.22138974546595,0.6818181818181834,1.818181818181828,-0.3212658896841303,67847.51773049646,212580925.0,0.0,233800.0,0.0,612400.0,-0.22522522522522292,1061200.0,-0.44943820224719877,2486700.0,36.90065516821062,803300.0,0.909090909090906,1635000.0,0.909090909090906
LPB,2026-08-12,2026-08-12 13:05:00+07:00,53.7,54.5,53.3,54.2,1707300.0,54.24561588473028,0.9310986964618184,2.234636871508385,-0.08409137583985649,12462.043795620439,92613540.0,-0.367647058823517,56000.0,-0.367647058823517,287800.0,-0.18416206261508972,474100.0,-0.18416206261508972,730400.0,51.96027937483685,21000.0,0.7448789571694705,326800.0,2.0484171322160174
MBB,2026-08-12,2026-08-12 13:05:00+07:00,20.4,20.5,20.35,20.35,4094500.0,20.435901819513983,-0.2450980392156743,0.7352941176470519,-0.42034758374086545,29039.007092198583,83674800.0,-0.2450980392156743,72000.0,-0.4889975550122161,795700.0,-0.4889975550122161,1046800.0,-0.2450980392156743,1661000.0,27.593970636881483,252800.0,0.2450980392156898,811600.0,0.2450980392156898
MSN,2026-08-12,2026-08-12 13:05:00+07:00,67.2,67.8,67.1,67.5,992600.0,67.43253072738263,0.44642857142855874,1.0416666666666707,0.1000544868916986,7298.529411764706,66933530.0,0.0,84600.0,0.14836795252224366,157600.0,0.14836795252224366,224000.0,0.0,325000.0,24.431896562153277,83900.0,0.4464285714285672,277400.0,0.5952380952381037
MWG,2026-08-12,2026-08-12 13:05:00+07:00,73.3,74.2,73.2,73.8,1456700.0,73.73529209857898,0.6821282401091366,1.364256480218281,0.08775702866208324,10952.631578947368,107410200.0,0.0,20600.0,0.0,144100.0,0.13568521031206426,176800.0,0.13568521031206426,324200.0,27.61148451998808,179000.0,0.818553888130961,401600.0,0.818553888130961
PLX,2026-08-12,2026-08-12 13:05:00+07:00,36.65,36.9,36.2,36.6,1198600.0,36.5363465709995,-0.13642564802182067,1.909959072305582,0.17421946903424246,9220.0,43792465.0,-0.27247956403270157,51200.0,-0.40816326530611624,177900.0,-0.13642564802182067,314300.0,0.411522633744843,579700.0,52.491215297760206,167200.0,1.364256480218281,305000.0,1.637107776261922
SAB,2026-08-12,2026-08-12 13:05:00+07:00,45.9,46.0,45.5,45.65,250800.0,45.69025119617225,-0.5446623093681935,1.0893246187363834,-0.08809580844594267,2388.5714285714284,11459115.0,-0.1094091903720007,30700.0,-0.1094091903720007,38000.0,-0.1094091903720007,51200.0,-0.6528835690968515,109000.0,35.50763566362575,28300.0,0.5446623093681917,92300.0,0.8714596949891037
SHB,2026-08-12,2026-08-12 13:05:00+07:00,11.85,11.95,11.8,11.85,14198200.0,11.862475877223874,0.0,1.2658227848101147,-0.1051709386219124,100696.45390070922,168425805.0,0.0,2423200.0,0.0,2879100.0,-0.42016806722690037,3119000.0,-0.42016806722690037,4056600.0,26.62573464886088,2541100.0,0.8438818565400814,3473300.0,0.8438818565400814
SSB,2026-08-12,2026-08-12 13:05:00+07:00,15.45,15.55,15.3,15.5,949900.0,15.490556900726393,0.3236245954692629,1.6181229773462786,0.060960360135053904,10918.3908045977,14714480.0,-0.3215434083601365,208200.0,-0.3215434083601365,240300.0,-0.3215434083601365,282500.0,0.0,713600.0,45.214408950120614,98800.0,0.9708737864077579,297100.0,1.294498381877018
SSI,2026-08-12,2026-08-12 13:05:00+07:00,25.15,25.35,25.0,25.2,7494200.0,25.198927837527688,0.19880715705766772,1.3916500994035843,0.0042547940103832005,53150.354609929076,188845805.0,-0.39525691699605625,310600.0,-0.1980198019801982,1169900.0,0.0,1610500.0,-0.1980198019801982,3033500.0,34.5405055352022,820300.0,0.7952286282306135,1677800.0,0.9940357852882704
