Ticker,LatestDate,LastClose,DailyOpen,DailyHigh,DailyLow,DailyVolume,Ret1dPct,Ret5dPct,Ret20dPct,Ret60dPct,Ret120dPct,Ret252dPct,SMA20,SMA50,SMA200,EMA20,EMA50,DistSMA20Pct,DistSMA50Pct,DistSMA200Pct,DistEMA20Pct,RSI14,ATR14,ATR14Pct,RealizedVol20dPct,RealizedVol60dPct,DownsideVol20dPct,Drawdown60dPct,Drawdown252dPct,DailyGapPct,DailyCloseLocationPct,DailyTradedValue,ADV20Shares,ADV60Shares,AvgValue20,AvgValue60,VolumeRatio20,ValueRatio20,High52w,Low52w,Pos52wPct,ExcessRet20dVsVNINDEXPct,ExcessRet60dVsVNINDEXPct,Beta60dVsVNINDEX,Corr60dVsVNINDEX,ExcessRet20dVsVN30Pct,ExcessRet60dVsVN30Pct,Beta60dVsVN30,Corr60dVsVN30,IntradayDate,IntradayLastTimestamp,IntradayOpen,IntradayHigh,IntradayLow,IntradayLast,IntradayVolume,IntradayVWAP,IntradayRetFromOpenPct,IntradayRangePct,IntradayCloseVsVWAPPct,IntradayAvgVolumePerMinute,IntradayTradedValue,IntradayRet5mPct,IntradayVolume5m,IntradayRet15mPct,IntradayVolume15m,IntradayRet30mPct,IntradayVolume30m,IntradayRet60mPct,IntradayVolume60m,IntradayVolumePctADV20,IntradayFirst15mVolume,IntradayFirst15mRangePct,IntradayFirst30mVolume,IntradayFirst30mRangePct,FetchedAt,PriceboardTime,FloorCode,BasicPrice,FloorPrice,CeilingPrice,HighestPrice,LowestPrice,AccumulatedValue,AccumulatedVolume,MatchPrice,MatchVolume,CurrentPrice,CurrentVolume,ForeignBuyVolume,ForeignSellVolume,ForeignNetVolume,ForeignTotalRoom,ForeignCurrentRoom,BestBid1,BestAsk1,BidVolume1,AskVolume1,BestBid2,BestAsk2,BidVolume2,AskVolume2,BestBid3,BestAsk3,BidVolume3,AskVolume3,BestBid4,BestAsk4,BidVolume4,AskVolume4,BestBid5,BestAsk5,BidVolume5,AskVolume5,BestBid6,BestAsk6,BidVolume6,AskVolume6,BestBid7,BestAsk7,BidVolume7,AskVolume7,BestBid8,BestAsk8,BidVolume8,AskVolume8,BestBid9,BestAsk9,BidVolume9,AskVolume9,BestBid10,BestAsk10,BidVolume10,AskVolume10,BidAskSpreadPct,BidDepthVolume10,AskDepthVolume10,DepthImbalance,OverviewFetchedAt,PE_fwd,PB,ROE,PeriodLabel,DateRange,PeriodEnd,AvailableDate,Revenue,GrossProfit,OperatingProfit,NetProfit,ParentNetProfit,Cash,Receivables,Inventory,TotalAssets,TotalLiabilities,ShortLiabilities,LongLiabilities,Equity,BCTT_EPS4Q,BCTT_BVPS,BCTT_PB,BCTT_GrossMarginPct,BCTT_NetMarginPct,BCTT_ROEAPct,BCTT_ROAAPct,BCTT_CurrentRatio,BCTT_InterestCoverage,BCTT_DebtToAssetsPct,BCTT_DebtToEquityPct,BCTT_RevenueQoQPct,BCTT_RevenueYoYPct,BCTT_NetProfitQoQPct,BCTT_NetProfitYoYPct,BCTT_GrossProfitYoYPct,BCTT_InventoryYoYPct,BCTT_ReceivablesYoYPct,BCTT_EquityYoYPct,BCTT_CashToShortLiability,BCTT_InventoryToRevenue,BCTT_ReceivablesToRevenue,BCTTFetchedAt,ForeignFlowDate,ForeignRoomRemaining_shares,ForeignHoldingPct,NetBuySellForeign_shares_1d,NetBuySellForeign_kVND_1d,NetBuySellForeign_shares_5d,NetBuySellForeign_kVND_5d,NetBuySellForeign_shares_20d,NetBuySellForeign_kVND_20d,ProprietaryFlowDate,NetBuySellProprietary_shares_1d,NetBuySellProprietary_kVND_1d,NetBuySellProprietary_shares_5d,NetBuySellProprietary_kVND_5d,NetBuySellProprietary_shares_20d,NetBuySellProprietary_kVND_20d
ACB,2026-09-22,22.0,22.4,22.5,22.0,7237000,-1.7857142857142794,-0.4524886877828149,0.2277904328018332,-1.7857142857142794,7.511117626936414,-3.279697529235903,22.3325,22.42,21.266244999999998,22.284235100584983,22.26383616293536,-1.48886152468376,-1.873327386262269,3.450327032346334,-1.2754985724303447,41.095890410958916,0.38928571428571473,1.7694805194805214,27.194307722351585,23.005154945622813,16.716548696498272,-7.36842105263158,-7.36842105263158,0.0,0.0,159214000.0,7435055.0,11622534.083333334,166093438.0,262332194.7533333,0.9733619993396149,0.9585809163634749,23.85,18.697,64.09858334950513,-4.540292416169467,0.6908432242021423,0.552598548499392,0.4326164585706014,-3.9215211948093742,0.17276163490907992,0.7477949052923686,0.554301561790154,2026-09-22,2026-09-22 14:45:00+07:00,22.4,22.5,22.0,22.0,7243700.0,22.08777075251598,-1.7857142857142794,2.232142857142857,-0.39737261627447173,32051.769911504423,159997185.0,-0.4524886877828149,2982100.0,-0.22675736961451642,3080700.0,-0.4524886877828149,3356500.0,-0.22675736961451642,3911300.0,97.42631359149327,451200.0,0.8928571428571397,693500.0,1.5625000000000067,2026-09-22T20:25:48.801190+07:00,14:46:00,10.0,22.4,20.85,23.95,22.5,22.0,159869.53,723700.0,22.0,50.0,0.0,0.0,168500.0,161630.0,6870.0,174132658.7,35867444.2,21.95,22.0,11760.0,15330.0,21.9,22.05,32080.0,10010.0,21.85,22.1,2560.0,9670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46400.0,35010.0,0.13990910207591206,2026-09-22T13:25:51.933658,,,,Q1/2026,01/01/2026-31/03/2026,2026-03-31,2026-05-15,,,,,,,,,1030901.0,,,,,3257.62,19224.77,1.22,,,4.47,0.42,,,,,,,,,,,,,,,,2026-07-02T03:18:08.340243,2026-07-10,318010870.0,24.52,-1000800.0,-22683075.0,1586800.0,35923325.0,-1248800.0,-28241120.0,2026-07-10,-872100.0,-19715315.0,21818465.0,-27667085.0,37839397.0,-127699233.0
BID,2026-09-22,36.2,36.4,36.55,35.9,3157800,0.0,-1.6304347826086807,0.9762900976290068,-13.603818615751784,-8.238276299112801,-12.953567220525642,36.4225,36.93506,41.360095,36.39943717753374,37.345710050785286,-0.610886128080157,-1.990141616122998,-12.476023084569798,-0.5479128057969906,44.14414414414414,0.7928571428571439,2.1902131018153144,22.053203388257597,29.41681470348474,12.397197809364076,-15.911730545876878,-34.18181818181818,0.5524861878452914,46.153846153846914,114312360.00000001,3851245.0,3903639.7,140017556.25000003,147251089.34666666,0.8199426419248841,0.8164144773095194,56.6,34.35,8.31460674157304,-3.7917927513422933,-11.127261105835363,0.9650877277446899,0.5908668280784609,-3.1730215299822007,-11.645342695128425,1.0712904131577201,0.6210124923248723,2026-09-22,2026-09-22 14:45:00+07:00,36.4,36.55,35.9,36.2,3163600.0,36.18298931596915,-0.5494505494505364,1.7857142857142818,0.047012931635648236,14060.444444444445,114468505.0,0.27700831024930483,323800.0,0.41608876560335073,460400.0,0.27700831024930483,592400.0,0.41608876560335073,1296400.0,82.14486484240811,78500.0,0.5494505494505377,224400.0,0.6868131868131868,2026-09-22T20:25:48.801190+07:00,14:46:01,10.0,36.2,33.7,38.7,36.55,35.9,114225.835,315780.0,36.2,30.0,0.0,0.0,56671.1,82570.0,-25898.9,233346884.1,96863302.8,36.15,36.2,2780.0,1590.0,36.1,36.25,5960.0,2410.0,36.05,36.3,8160.0,1830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16900.0,5830.0,0.48702155741311043,2026-09-22T13:25:53.197579,,,,Q1/2026,01/01/2026-31/03/2026,2026-03-31,2026-05-15,,,,,,,,,3388222.0,,,,,4403.45,27149.03,1.45,,,3.73,0.2,,,,,,,,,,,,,,,,2026-07-02T02:45:54.880475,2026-07-10,905766733.0,17.56,-15300.0,-651705.0,-1543100.0,-64608705.0,-967900.0,-38945780.0,2026-07-10,14200.0,583540.0,9508330.0,-4214175.0,21859690.0,-24483515.0
BSR,2026-09-22,31.35,31.55,31.75,30.85,10946100,-0.6339144215530834,2.9556650246305383,16.11111111111112,27.439024390243905,7.547169811320775,84.44431370241807,28.160000000000004,26.504119999999997,25.222780000000004,28.664465976430577,27.33494876354879,11.328125,18.283497056306743,24.29240551596612,9.368861173892483,80.25477707006371,1.2178571428571427,3.8847117794486214,36.43018078842148,43.58210241886759,11.931525981939469,-0.6339144215530834,-17.17305151915456,0.0,55.55555555555565,343160235.0,12359635.0,10472334.333333334,354387934.5,279539190.3125,0.8856329495167131,0.9683180537287733,39.6,13.5,68.39080459770115,11.343028262139821,29.915581900160326,0.7639053101811811,0.31568199514552214,11.961799483499913,29.397500310867265,0.7649478140414646,0.29930391244819127,2026-09-22,2026-09-22 14:45:00+07:00,31.55,31.75,30.85,31.35,10951100.0,31.32769265187972,-0.6339144215530834,2.8526148969889022,0.07120648292922027,48456.19469026549,343072695.0,0.15974440894568342,629000.0,-0.31796502384736636,1503400.0,-0.9478672985781866,2898500.0,1.4563106796116498,5504100.0,88.60374922074963,1088000.0,1.1093502377179014,1913000.0,1.901743264659264,2026-09-22T20:25:48.801190+07:00,14:46:02,10.0,31.55,29.35,33.75,31.75,30.85,342975.71,1094610.0,31.35,50.0,0.0,0.0,249290.0,245310.0,3980.0,245357684.6,237421963.2,31.3,31.35,710.0,26260.0,31.25,31.4,2290.0,23150.0,31.2,31.45,6700.0,16600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9700.0,66010.0,-0.7437590807026813,2026-09-22T13:25:54.413517,,,,Q1/2026,01/01/2026-31/03/2026,2026-03-31,2026-05-15,45920.0,9507.0,9235.0,8266.0,8265.0,6635.0,24234.0,21574.0,106786.0,38007.0,37156.0,852.0,68779.0,3434.62,13736.0,2.01,20.7,18.0,12.78,8.61,2.49,111.03,35.59,19.48,22.05948805188591,43.97240946856875,172.35584843492586,1971.6791979949876,2388.7434554973825,72.88244250340571,125.03482217476089,22.957970574038654,0.17857142857142858,0.4698170731707317,0.5277439024390244,2026-07-02T03:18:11.648268,2026-07-10,2397770370.0,1.11,-113300.0,-3023715.0,1984000.0,53083280.0,-18925000.0,-483139025.0,2026-07-10,108200.0,2864490.0,45061840.0,34739605.0,67209600.0,64320270.0
CTG,2026-09-22,30.95,30.9,31.1,30.7,3819100,-0.1612903225806428,1.3093289689034338,-1.4331210191082744,-7.611940298507469,-9.104258443465485,-14.046878471450796,31.0825,31.14298,34.508205000000004,30.96783944405079,31.532658837433594,-0.4262848869942881,-0.6196581059359163,-10.311185412280944,-0.057606356694728245,41.07142857142856,0.6357142857142856,2.0540041541657046,25.28838324869812,25.898733593535333,15.264400730863912,-10.289855072463771,-25.421686746987948,-0.3225806451612967,62.499999999999666,118201145.0,7697840.0,7982074.566666666,238895197.5,251814552.88166666,0.496126186046995,0.4947824244143711,43.5,28.4,16.88741721854305,-6.201203868079574,-5.1353827885910475,0.9354703791794864,0.6505339597418616,-5.582432646719482,-5.653464377884109,1.105725993202372,0.7280442122310636,2026-09-22,2026-09-22 14:45:00+07:00,30.9,31.1,30.7,30.95,3791800.0,30.878121208924522,0.16181229773462036,1.2944983818770297,0.23278226867864404,16777.87610619469,117083660.0,0.6504065040650486,1077200.0,0.6504065040650486,1234600.0,0.48701298701299134,1553100.0,0.6504065040650486,2067200.0,49.25797366533989,155500.0,0.48543689320387895,218800.0,0.48543689320387895,2026-09-22T20:25:48.801190+07:00,14:46:04,10.0,31.0,28.85,33.15,31.1,30.7,117943.87,381910.0,30.95,50.0,0.0,0.0,122890.9,21840.0,101050.9,233008339.1,41535086.9,30.9,30.95,250.0,25410.0,30.85,31.0,20.0,39940.0,30.8,31.05,520.0,5810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790.0,71160.0,-0.9780403057678944,2026-09-22T13:25:55.915363,,,,Q1/2026,01/01/2026-31/03/2026,2026-03-31,2026-05-15,,,,,,,,,2924177.0,,,,,6485.87,24294.26,1.42,,,4.84,0.31,,,,,,,,,,,,,,,,2026-07-02T02:45:58.644805,2026-07-10,414586711.0,24.66,-751100.0,-25476335.0,-137100.0,-4165800.0,-20010400.0,-674266575.0,2026-07-10,-210400.0,-7120495.0,4537365.0,8455294.0,23411860.0,-9922061.0
FPT,2026-09-22,66.6,66.6,67.0,66.2,4905000,0.30120481927709,0.7686255522604712,-4.584527220630374,-6.197183098591552,-8.759624078691408,-34.08616304272524,70.6306,69.14223999999999,79.44122999999999,69.3562479303948,70.07353605796322,-5.706591760511747,-3.676826206382655,-16.164440052098882,-3.974044174305602,31.812169312169274,1.8960714285714277,2.846954096954096,41.86627797655435,35.23338089850449,32.40396467051729,-10.604026845637593,-36.363549499794566,0.30120481927709,49.99999999999911,326673000.0,6623580.0,6828827.1,466120454.03999996,474719030.37333333,0.7405360847155164,0.7008338663721603,107.222,61.5,11.154367700450537,-9.352610069601674,-3.72062558867513,0.7169518304965679,0.3664832412045296,-8.733838848241582,-4.238707177968193,1.017631135655061,0.49252108819126866,2026-09-22,2026-09-22 14:45:00+07:00,66.6,67.0,66.2,66.6,4939300.0,66.56397667685704,0.0,1.201201201201197,0.054118345900278086,21855.309734513274,328779450.0,0.30120481927709,933700.0,0.4524886877828038,1110500.0,0.30120481927709,1541000.0,0.30120481927709,2042700.0,74.5714553157054,418600.0,0.4504504504504462,920800.0,1.0510510510510556,2026-09-22T20:25:48.801190+07:00,14:46:07,10.0,66.4,61.8,71.0,67.0,66.2,326505.34,490500.0,66.6,20.0,0.0,0.0,186440.0,147209.5,39230.5,84001994.6,34859140.9,66.5,66.6,1430.0,5180.0,66.4,66.7,5260.0,11590.0,66.3,66.8,1770.0,9640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8460.0,26410.0,-0.5147691425293949,2026-09-22T13:25:57.457289,,,,Q1/2026,01/01/2026-31/03/2026,2026-03-31,2026-05-15,12480.0,4245.0,2748.0,2477.0,2487.0,7994.0,12348.0,1095.0,68586.0,28464.0,25696.0,2768.0,40122.0,6010.32,23553.0,3.17,34.01,19.85,5.93,3.17,1.62,16.62,41.5,40.12,-38.29419035846724,-22.281728733341634,-17.10174029451138,-4.5839753466872075,-32.62974131090303,-48.05502846299811,2.9171528588098017,5.871177138032024,0.31109900373599003,0.08774038461538461,0.989423076923077,2026-07-02T02:46:02.145933,2026-07-10,361935919.0,27.75,-1679300.0,-119784610.0,-1898500.0,-134304560.0,-30754200.0,-2192829540.0,2026-07-10,39100.0,3167640.0,83097820.0,188452310.0,84768720.0,426510070.0
GAS,2026-09-22,86.0,86.2,87.4,85.0,812900,-0.1173040963519556,-5.908096280087538,2.9940119760478945,10.967741935483865,6.435643564356441,37.16108452950557,85.28595,78.43238,84.17209500000001,84.73709347097346,81.55344487513564,0.8372422421278003,9.648591563841368,2.171628257559699,1.490382165939108,54.060272489398166,3.3352857142857126,3.878239202657805,35.31806194757213,43.68040834247913,16.070724883295558,-5.908096280087538,-33.17793317793317,0.11498124295885592,41.66666666666657,69909400.0,1770480.0,1477840.0166666666,152091873.435,117032703.72166666,0.45914102390312234,0.45965243520967874,131.5,56.0,39.735099337748345,-1.7740708729234056,13.444299445400286,1.2166453954359437,0.5016441913583763,-1.155299651563313,12.926217856107224,1.2317364801460544,0.48086135660155876,2026-09-22,2026-09-22 14:45:00+07:00,86.2,87.4,85.0,86.0,822200.0,85.89554852833861,-0.23201856148492572,2.784222737819032,0.12160289264224744,3806.4814814814813,70623320.0,-0.11614401858303092,72000.0,0.0,87100.0,-1.3761467889908285,173700.0,1.17647058823529,406900.0,46.43938366996521,97500.0,0.580046403712297,154700.0,0.9280742459396883,2026-09-22T20:25:48.801190+07:00,14:46:07,10.0,86.1,80.1,92.1,87.4,85.0,69811.08,81290.0,86.0,40.0,0.0,0.0,5660.0,12680.0,-7020.0,118234538.0,113131300.8,85.9,86.0,280.0,870.0,85.8,86.1,90.0,160.0,85.7,86.2,440.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810.0,1070.0,-0.13829787234042554,2026-09-22T13:25:58.738238,,,,Q1/2026,01/01/2026-31/03/2026,2026-03-31,2026-05-15,38020.0,4508.0,3754.0,2994.0,2945.0,7322.0,25128.0,3048.0,92923.0,22334.0,16968.0,5366.0,70590.0,4878.87,29255.0,2.68,11.86,7.88,4.26,3.16,4.08,71.43,24.03,4.65,-12.963853215209575,48.08179162609542,115.86157173756311,8.360477741585237,10.220048899755497,2.9381965552178313,48.30903618013338,9.7361916458097,0.4315181518151815,0.08016833245660179,0.6609153077327722,2026-07-02T03:18:15.079253,2026-07-10,1133184529.0,2.04,-43500.0,-3319090.0,464300.0,36358610.0,-789300.0,-60210370.0,2026-07-10,2700.0,201290.0,-18400.0,-1234330.0,465713.0,48184469.0
GVR,2026-09-22,32.2,32.6,32.7,32.15,1631900,0.0,4.038772213247177,2.384737678855342,-2.7190332326283984,-2.7190332326283984,10.900637162045811,31.8625,30.32,32.82725,31.591488612885755,31.412843437641992,1.0592389172224381,6.200527704485492,-1.9107601154528475,1.9261877607946731,48.739495798319346,0.9500000000000008,2.9503105590062138,32.25318345456965,39.32271052585766,20.38376685600049,-3.592814371257469,-29.617486338797804,1.2422360248447228,9.090909090909797,52547180.00000001,2274685.0,2039361.7666666666,72650428.5,63166408.25333333,0.7174180161209135,0.7232879569320091,46.5,24.155,36.00358021928844,-2.383345170115958,-0.2424757227119767,1.1850031227948106,0.5427433479366399,-1.7645739487558654,-0.7605573120050391,1.381712771971787,0.599187974682065,2026-09-22,2026-09-22 14:45:00+07:00,32.6,32.7,32.15,32.2,1637300.0,32.34691870762841,-1.2269938650306678,1.687116564417191,-0.4541969173520122,7759.715639810426,52961610.0,0.0,260100.0,0.0,321500.0,-0.46367851622873824,490200.0,-0.15503875968991832,682500.0,71.97919711960118,214000.0,1.073619631901845,323000.0,1.073619631901845,2026-09-22T20:25:48.801190+07:00,14:45:02,10.0,32.2,29.95,34.45,32.7,32.15,52783.9,163190.0,32.2,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-2283359.6,32.2,32.25,2220.0,7260.0,32.15,32.3,2770.0,4730.0,32.1,32.35,6860.0,1780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11850.0,13770.0,-0.07494145199063232,2026-09-22T13:26:00.106083,,,,Q1/2026,01/01/2026-31/03/2026,2026-03-31,2026-05-15,8845.0,2337.0,1923.0,2513.0,2251.0,8928.0,2743.0,4206.0,87179.0,22194.0,8270.0,13925.0,64985.0,1638.25,16246.0,1.95,26.42,28.42,3.54,2.6,4.13,74.08,25.46,4.06,3.9854220550199937,55.804121895367274,121.21478873239435,85.32448377581122,42.76114844227246,-10.529674537332479,-13.305941845764856,8.158713779271999,1.0795646916565902,0.47552289429055966,0.3101187111362352,2026-07-02T03:18:18.662296,2026-07-10,495252320.0,0.62,-175200.0,-5445580.0,-19600.0,-755555.0,-75800.0,-2809535.000000001,2026-07-10,3400.0,107215.0,-145400.0,-4700605.0,-26945.0,1490070.0
HDB,2026-09-22,27.55,27.45,27.6,27.3,7768500,-0.18115942028985588,1.6605166051660403,2.607076350093096,7.6171875,9.325396825396837,14.149575305572814,27.357500000000005,26.81,26.569825,27.253858741189873,26.920562212130115,0.7036461664991167,2.7601641178664815,3.6890532775432305,1.0866030444435903,45.28301886792454,0.5142857142857145,1.8667358050298164,19.37745918016363,22.933668313216796,11.711570865609302,-0.8992805755395739,-7.239057239057233,-0.5434782608695676,83.33333333333314,214022175.0,11142270.0,10973193.366666667,305111752.75,294402097.4875,0.6972098145171496,0.7014550343308597,30.0,21.784,70.18013631937684,-2.161006498878204,10.093745009916422,0.8331573898592425,0.6542925636476368,-1.5422352775181114,9.575663420623359,1.0240056794339722,0.7614082904876001,2026-09-22,2026-09-22 14:45:00+07:00,27.45,27.6,27.3,27.55,7805100.0,27.44006611061998,0.36429872495447047,1.0928961748633905,0.4006327424170175,34535.8407079646,214172460.0,0.36429872495447047,1459100.0,0.5474452554744547,1681200.0,0.1818181818181941,2272000.0,0.7312614259597838,2845400.0,70.04946029848496,655100.0,0.9107468123861567,1136000.0,0.9107468123861567,2026-09-22T20:25:48.801190+07:00,14:46:09,10.0,27.6,25.7,29.5,27.6,27.3,213198.975,776850.0,27.55,100.0,0.0,0.0,179360.0,169410.0,9950.0,135142460.7,24822283.7,27.5,27.55,11420.0,43980.0,27.45,27.6,10120.0,73520.0,27.4,27.65,21280.0,44580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42820.0,162080.0,-0.5820400195217179,2026-09-22T13:26:01.511756,,,,Q1/2026,01/01/2026-31/03/2026,2026-03-31,2026-05-15,,,,,,,,,984216.0,,,,,4393.26,16619.66,1.53,,,5.9,0.5,,,,,,,,,,,,,,,,2026-07-02T03:18:23.281493,2026-07-10,278458398.0,21.44,1046700.0,28384540.0,3958500.0,108293735.0,-2112200.0,-38735410.0,2026-07-10,-356300.0,-9439490.0,-644761.0,-17470019.0,-3179617.0,-69439284.0
HPG,2026-09-22,21.15,21.15,21.25,21.1,8104500,0.23696682464453556,-0.2358490566037763,0.0,-9.615384615384615,-11.930043722673334,-20.896136440139134,21.6025,21.616999999999997,23.45032,21.456479627838505,21.84970301582922,-2.0946649693322605,-2.1603367719850053,-9.809333092256322,-1.4283779685874798,38.27160493827156,0.40357142857142797,1.908139142181693,25.891497140978142,25.555181568479945,14.807501340229939,-10.570824524312894,-19.96215704824977,0.23696682464453556,33.33333333333176,171410175.0,19424605.0,21397925.033333335,420373981.75,466619703.3275,0.4172285614044661,0.4077563846516531,27.005,20.1,15.206372194062237,-4.7680828489713,-7.138827105468193,0.8797592448199296,0.6200166168053607,-4.149311627611207,-7.656908694761256,1.0656308353699935,0.7110769007740237,2026-09-22,2026-09-22 14:45:00+07:00,21.15,21.25,21.1,21.15,8146500.0,21.15553427852452,0.0,0.7092198581560216,-0.026159956310534138,36046.46017699115,172343560.0,0.23696682464453556,701200.0,0.23696682464453556,1084700.0,-0.2358490566037763,1762700.0,0.0,2804600.0,41.9390767534269,776000.0,0.4728132387706755,1465700.0,0.7092198581560216,2026-09-22T20:25:48.801190+07:00,14:46:10,10.0,21.1,19.65,22.55,21.25,21.1,171449.5,810450.0,21.15,10.0,0.0,0.0,111536.3,110421.5,1114.800000000003,413705261.4,230018728.2,21.15,21.2,1820.0,24120.0,21.1,21.25,34060.0,59030.0,21.05,21.3,51030.0,23650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86910.0,106800.0,-0.10267926281554901,2026-09-22T13:26:02.795354,,,,Q1/2026,01/01/2026-31/03/2026,2026-03-31,2026-05-15,52901.0,8365.0,10704.0,9056.0,8994.0,11455.0,16693.0,43516.0,259328.0,119546.0,86370.0,33176.0,139782.0,2886.77,18212.0,1.48,15.81,17.12,6.64,3.48,1.21,9.07,46.1,64.83,14.563842688842698,40.61187602998246,132.92181069958846,170.32835820895525,54.22197640117994,-6.62604068320316,53.76750184229919,18.462333788147166,0.13262706958434642,0.8225931456872271,0.315551690894312,2026-07-02T02:46:05.709030,2026-07-10,2337884888.0,21.31,2600.0,70115.0,-4677100.0,-108694430.0,-15678100.0,-356186510.0,2026-07-10,-1078500.0,-24669985.0,-4307300.0,-100054670.0,-17395872.0,-380942150.0
LPB,2026-09-22,46.3,46.2,46.6,45.9,1651200,0.433839479392617,-2.5263157894736876,-7.400000000000007,-17.321428571428577,16.792371919380457,9.11833329405387,48.2625,50.863,45.820735000000006,48.23524606169277,49.61696201137404,-4.066304066304083,-8.971157816094221,1.045956595851183,-4.012099490935728,34.33476394849784,1.3928571428571423,3.0083307621104587,28.94305570088128,31.628530831212554,19.13526549979787,-15.356489945155404,-17.321428571428577,0.2169197396963085,57.142857142856705,76450560.0,2623810.0,2829096.65,127085060.75,145515712.63166666,0.6293138603786097,0.6015700000363733,58.5,37.328,42.37672397506138,-12.168082848971306,-14.844871061512155,0.10998687933988106,0.062629698583392,-11.549311627611214,-15.362952650805218,0.3071680216491104,0.1656096900965999,2026-09-22,2026-09-22 14:45:00+07:00,46.2,46.6,45.9,46.3,1650700.0,46.16594172169383,0.21645021645020357,1.5151515151515214,0.2903835020074519,7642.12962962963,76206120.0,-0.21551724137931494,71500.0,0.21645021645020357,156900.0,-0.43010752688172893,239700.0,0.21645021645020357,376400.0,62.91232977997645,63500.0,0.6493506493506431,94200.0,0.6493506493506431,2026-09-22T20:25:48.801190+07:00,14:46:13,10.0,46.1,42.9,49.3,46.6,45.9,76222.87,165120.0,46.3,70.0,0.0,0.0,16140.0,23190.0,-7050.0,14936410.5,10357262.3,46.2,46.3,530.0,900.0,46.1,46.35,850.0,110.0,46.05,46.4,5610.0,730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6990.0,1740.0,0.6013745704467354,2026-09-22T13:26:04.118816,,,,Q1/2026,01/01/2026-31/03/2026,2026-03-31,2026-05-15,,,,,,,,,580860.0,,,,,3738.4,16560.76,2.53,,,4.72,0.38,,,,,,,,,,,,,,,,2026-07-02T03:18:26.640755,2026-07-10,115714767.0,1.13,-295000.0,-15574830.0,-139700.0,-7252330.0,1418200.0,81687490.0,2026-07-10,45200.0,2404960.0,51000.0,2861150.0,18663700.0,827240845.0
