Ticker,LatestDate,LastClose,DailyOpen,DailyHigh,DailyLow,DailyVolume,Ret1dPct,Ret5dPct,Ret20dPct,Ret60dPct,Ret120dPct,Ret252dPct,SMA20,SMA50,SMA200,EMA20,EMA50,DistSMA20Pct,DistSMA50Pct,DistSMA200Pct,DistEMA20Pct,RSI14,ATR14,ATR14Pct,RealizedVol20dPct,RealizedVol60dPct,DownsideVol20dPct,Drawdown60dPct,Drawdown252dPct,DailyGapPct,DailyCloseLocationPct,DailyTradedValue,ADV20Shares,ADV60Shares,AvgValue20,AvgValue60,VolumeRatio20,ValueRatio20,High52w,Low52w,Pos52wPct,ExcessRet20dVsVNINDEXPct,ExcessRet60dVsVNINDEXPct,Beta60dVsVNINDEX,Corr60dVsVNINDEX,ExcessRet20dVsVN30Pct,ExcessRet60dVsVN30Pct,Beta60dVsVN30,Corr60dVsVN30,IntradayDate,IntradayLastTimestamp,IntradayOpen,IntradayHigh,IntradayLow,IntradayLast,IntradayVolume,IntradayVWAP,IntradayRetFromOpenPct,IntradayRangePct,IntradayCloseVsVWAPPct,IntradayAvgVolumePerMinute,IntradayTradedValue,IntradayRet5mPct,IntradayVolume5m,IntradayRet15mPct,IntradayVolume15m,IntradayRet30mPct,IntradayVolume30m,IntradayRet60mPct,IntradayVolume60m,IntradayVolumePctADV20,IntradayFirst15mVolume,IntradayFirst15mRangePct,IntradayFirst30mVolume,IntradayFirst30mRangePct,FetchedAt,PriceboardTime,FloorCode,BasicPrice,FloorPrice,CeilingPrice,HighestPrice,LowestPrice,AccumulatedValue,AccumulatedVolume,MatchPrice,MatchVolume,CurrentPrice,CurrentVolume,ForeignBuyVolume,ForeignSellVolume,ForeignNetVolume,ForeignTotalRoom,ForeignCurrentRoom,BestBid1,BestAsk1,BidVolume1,AskVolume1,BestBid2,BestAsk2,BidVolume2,AskVolume2,BestBid3,BestAsk3,BidVolume3,AskVolume3,BestBid4,BestAsk4,BidVolume4,AskVolume4,BestBid5,BestAsk5,BidVolume5,AskVolume5,BestBid6,BestAsk6,BidVolume6,AskVolume6,BestBid7,BestAsk7,BidVolume7,AskVolume7,BestBid8,BestAsk8,BidVolume8,AskVolume8,BestBid9,BestAsk9,BidVolume9,AskVolume9,BestBid10,BestAsk10,BidVolume10,AskVolume10,BidAskSpreadPct,BidDepthVolume10,AskDepthVolume10,DepthImbalance,OverviewFetchedAt,PE_fwd,PB,ROE,PeriodLabel,DateRange,PeriodEnd,AvailableDate,Revenue,GrossProfit,OperatingProfit,NetProfit,ParentNetProfit,Cash,Receivables,Inventory,TotalAssets,TotalLiabilities,ShortLiabilities,LongLiabilities,Equity,BCTT_EPS4Q,BCTT_BVPS,BCTT_PB,BCTT_GrossMarginPct,BCTT_NetMarginPct,BCTT_ROEAPct,BCTT_ROAAPct,BCTT_CurrentRatio,BCTT_InterestCoverage,BCTT_DebtToAssetsPct,BCTT_DebtToEquityPct,BCTT_RevenueQoQPct,BCTT_RevenueYoYPct,BCTT_NetProfitQoQPct,BCTT_NetProfitYoYPct,BCTT_GrossProfitYoYPct,BCTT_InventoryYoYPct,BCTT_ReceivablesYoYPct,BCTT_EquityYoYPct,BCTT_CashToShortLiability,BCTT_InventoryToRevenue,BCTT_ReceivablesToRevenue,BCTTFetchedAt,ForeignFlowDate,ForeignRoomRemaining_shares,ForeignHoldingPct,NetBuySellForeign_shares_1d,NetBuySellForeign_kVND_1d,NetBuySellForeign_shares_5d,NetBuySellForeign_kVND_5d,NetBuySellForeign_shares_20d,NetBuySellForeign_kVND_20d,ProprietaryFlowDate,NetBuySellProprietary_shares_1d,NetBuySellProprietary_kVND_1d,NetBuySellProprietary_shares_5d,NetBuySellProprietary_kVND_5d,NetBuySellProprietary_shares_20d,NetBuySellProprietary_kVND_20d,Ret1dPctRank,Ret1dPctPctRank,Ret5dPctRank,Ret5dPctPctRank,Ret20dPctRank,Ret20dPctPctRank,Ret60dPctRank,Ret60dPctPctRank,VolumeRatio20Rank,VolumeRatio20PctRank,ValueRatio20Rank,ValueRatio20PctRank,DailyTradedValueRank,DailyTradedValuePctRank,IntradayVolumePctADV20Rank,IntradayVolumePctADV20PctRank,ExcessRet20dVsVNINDEXPctRank,ExcessRet20dVsVNINDEXPctPctRank,RealizedVol20dPctRank,RealizedVol20dPctPctRank,Drawdown60dPctRank,Drawdown60dPctPctRank
ACB,2026-08-26,22.25,22.25,22.45,22.15,7440600,0.22522522522523403,2.064220183486243,-0.22421524663677195,-0.6785108472457835,10.83437110834371,-12.311815243950496,22.28,22.486,21.192204999999998,22.29885855364374,22.234023035957005,-0.13464991023339756,-1.0495419372053783,4.991434350507662,-0.2191078683521086,51.47058823529414,0.4071428571428571,1.8298555377207057,24.006155871906962,24.08920081901824,12.289087060314584,-6.315789473684208,-7.276212702117013,0.22522522522523403,33.33333333333373,165553350.0,9573205.0,16332522.416666666,213561143.5,369031570.0216667,0.7772318674884744,0.7752035191738894,25.331,18.697,53.557431413928256,-7.066555157939758,-0.8055030023191523,0.6608838516248814,0.5008329392809953,-6.761919668199468,-0.44605870503977574,0.8801440332654262,0.6172974431292467,2026-08-26,2026-08-26 14:45:00+07:00,22.2,22.45,22.15,22.25,8444400.0,22.28317583250438,0.22522522522523403,1.3513513513513546,-0.14888287358028052,37364.601769911504,188168050.0,-0.22421524663677195,2254200.0,0.0,2835300.0,-0.4474272930648837,3307200.0,0.0,4371800.0,88.20870335483258,585100.0,0.9009009009009137,810400.0,0.9009009009009137,2026-08-26T16:02:49.097068+07:00,14:46:00,10.0,22.2,20.65,23.75,22.45,22.15,165913.665,744060.0,22.25,100.0,0.0,0.0,51510.0,401000.1,-349490.1,174132658.7,35867986.8,22.25,22.3,12460.0,500.0,22.2,22.35,72710.0,360.0,22.15,22.4,39590.0,700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124760.0,1560.0,0.9753008233058899,2026-08-26T09:02:51.751085,,,,Q1/2026,01/01/2026-31/03/2026,2026-03-31,2026-05-15,,,,,,,,,1030901.0,,,,,3257.62,19224.77,1.22,,,4.47,0.42,,,,,,,,,,,,,,,,2026-07-02T03:18:08.340243,2026-07-10,318010870.0,24.52,-1000800.0,-22683075.0,1586800.0,35923325.0,-1248800.0,-28241120.0,2026-07-10,-872100.0,-19715315.0,21818465.0,-27667085.0,37839397.0,-127699233.0,25.0,0.25,23.0,0.3125,27.0,0.1875,12.0,0.65625,26.0,0.21875,27.0,0.1875,21.0,0.375,23.0,0.3125,27.0,0.1875,10.0,0.71875,16.0,0.53125
BID,2026-08-26,36.9,36.5,36.95,36.5,3772300,0.5449591280653809,3.361344537815114,4.090267983074747,-11.933174224343679,-15.269804822043632,-11.79634277518824,37.1151,38.76638,41.486345,36.95803255124836,38.29294215680642,-0.5795484856567779,-4.814429410226073,-11.055071252962879,-0.1570228371001292,43.48619072433557,0.8970000000000015,2.4308943089430937,37.847164912642924,29.806844540057963,26.12018986932505,-14.28571428571428,-32.90909090909091,-0.5449591280654031,88.888888888888,139197870.0,4300590.0,3955561.3666666667,160469136.09999996,155393742.59666666,0.8771587154320686,0.8674432565852147,56.6,34.35,11.460674157303357,-2.752071928228239,-12.060166379417048,0.9562379359954762,0.5856526365216274,-2.447436438487949,-11.700722082137672,1.0609068840025209,0.6013459440449945,2026-08-26,2026-08-26 14:45:00+07:00,36.5,36.95,36.5,36.9,3957900.0,36.74700346143157,1.0958904109588996,1.232876712328775,0.4163510603769627,17512.83185840708,145440965.0,0.13568521031206426,497500.0,0.27173913043478937,709100.0,0.0,948700.0,0.8196721311475308,1974200.0,92.03155846058331,244100.0,0.5479452054794599,530800.0,0.8219178082191704,2026-08-26T16:02:49.097068+07:00,14:46:02,10.0,36.7,34.15,39.25,36.95,36.5,138540.21,377230.0,36.9,80.0,0.0,0.0,14420.0,126861.6,-112441.6,218401956.3,90895602.2,36.9,36.95,5490.0,12210.0,36.85,37.0,8020.0,13700.0,36.8,37.05,13100.0,700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26610.0,26610.0,0.0,2026-08-26T09:02:53.487337,,,,Q1/2026,01/01/2026-31/03/2026,2026-03-31,2026-05-15,,,,,,,,,3388222.0,,,,,4403.45,27149.03,1.45,,,3.73,0.2,,,,,,,,,,,,,,,,2026-07-02T02:45:54.880475,2026-07-10,905766733.0,17.56,-15300.0,-651705.0,-1543100.0,-64608705.0,-967900.0,-38945780.0,2026-07-10,14200.0,583540.0,9508330.0,-4214175.0,21859690.0,-24483515.0,21.0,0.375,19.0,0.4375,21.0,0.375,27.0,0.1875,25.0,0.25,25.0,0.25,25.0,0.25,22.0,0.34375,21.0,0.375,23.0,0.3125,6.0,0.84375
BSR,2026-08-26,26.85,26.65,27.4,26.65,7544200,0.5617977528090012,0.5617977528090012,8.266129032258075,-3.590664272890487,-27.530364372469627,45.0253861942314,26.1678,25.419120000000003,24.217779999999998,26.248356864086407,26.029168818399768,2.60702084240938,5.629148452031374,10.868956609565394,2.2921173276822415,61.395289946822,1.0689285714285706,3.981111997871771,37.30398638610859,44.196472762126234,19.203843699036128,-7.093425605536319,-29.062087186261554,-0.1872659176029967,26.666666666667044,202561770.0,9861706.8,9218252.666666666,259221758.55,238061883.5625,0.7649994218039416,0.7814227136374003,39.6,13.5,51.14942528735632,1.4237891209550888,-3.7176564279638558,0.7327653271086353,0.30266864808143834,1.7284246106953791,-3.358212130684479,0.6485122298691881,0.24790979211991598,2026-08-26,2026-08-26 14:45:00+07:00,26.65,27.4,26.65,26.85,7880200.0,26.972826197304638,0.7504690431519911,2.8142589118198877,-0.4553701432922552,34868.14159292035,212551265.0,-0.37105751391465214,907000.0,0.37383177570093906,1559100.0,0.0,2174900.0,-1.2867647058823484,3346500.0,79.90706030724823,476300.0,0.9380863039399625,1460200.0,2.4390243902439104,2026-08-26T16:02:49.097068+07:00,14:46:02,10.0,26.7,24.85,28.55,27.4,26.65,203489.565,754420.0,26.85,20.0,0.0,0.0,19470.0,55110.0,-35640.0,245357684.6,239712238.7,26.85,26.9,620.0,1230.0,26.8,26.95,23310.0,4100.0,26.75,27.0,18970.0,6990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42900.0,12320.0,0.5537848605577689,2026-08-26T09:02:54.885311,,,,Q1/2026,01/01/2026-31/03/2026,2026-03-31,2026-05-15,45920.0,9507.0,9235.0,8266.0,8265.0,6635.0,24234.0,21574.0,106786.0,38007.0,37156.0,852.0,68779.0,3434.62,13736.0,2.01,20.7,18.0,12.78,8.61,2.49,111.03,35.59,19.48,22.05948805188591,43.97240946856875,172.35584843492586,1971.6791979949876,2388.7434554973825,72.88244250340571,125.03482217476089,22.957970574038654,0.17857142857142858,0.4698170731707317,0.5277439024390244,2026-07-02T03:18:11.648268,2026-07-10,2397770370.0,1.11,-113300.0,-3023715.0,1984000.0,53083280.0,-18925000.0,-483139025.0,2026-07-10,108200.0,2864490.0,45061840.0,34739605.0,67209600.0,64320270.0,20.0,0.40625,24.0,0.28125,12.0,0.65625,16.0,0.53125,27.0,0.1875,26.0,0.21875,19.0,0.4375,27.0,0.1875,12.0,0.65625,22.0,0.34375,15.0,0.5625
CTG,2026-08-26,31.85,31.4,31.85,31.15,12131300,1.1111111111111072,2.741935483870983,8.517887563884162,-6.185567010309279,-10.659186535764364,-10.35239810853411,31.7125,32.138980000000004,34.74571,31.636057479900224,32.1466077576161,0.4335829720141904,-0.8991573472462489,-8.334007277445188,0.6762616366963625,54.464285714285715,0.6642857142857144,2.085669432608208,28.223194643369403,23.55693636376727,11.65353990552163,-7.681159420289852,-23.253012048192765,-0.31746031746032743,100.0,386381905.0,8142495.0,7569309.566666666,258133752.0,243758018.29833332,1.489875032161518,1.4968282993074071,43.5,28.4,22.847682119205317,1.6755476525811765,-6.312559165382647,0.8613827490274364,0.667524941337845,1.9801831423214669,-5.95311486810327,1.0383246969800823,0.7446933854931664,2026-08-26,2026-08-26 14:45:00+07:00,31.4,31.85,31.15,31.85,12574500.0,31.47861147560539,1.4331210191082855,2.229299363057334,1.1798122820074974,55886.666666666664,395827800.0,0.31496062992126816,1241500.0,0.4731861198738141,2500300.0,0.4731861198738141,3918900.0,1.757188498402562,6585000.0,154.43055230614203,238200.0,0.6369426751592447,560300.0,0.6369426751592447,2026-08-26T16:02:49.097068+07:00,14:46:04,10.0,31.5,29.3,33.7,31.85,31.15,381639.915,1213130.0,31.85,250.0,0.0,0.0,114980.0,363895.3,-248915.3,233008339.1,40946892.1,31.8,31.85,5250.0,1570.0,31.75,31.9,6850.0,7550.0,31.7,31.95,17980.0,6510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30080.0,15630.0,0.3161233865674907,2026-08-26T09:02:56.480289,,,,Q1/2026,01/01/2026-31/03/2026,2026-03-31,2026-05-15,,,,,,,,,2924177.0,,,,,6485.87,24294.26,1.42,,,4.84,0.31,,,,,,,,,,,,,,,,2026-07-02T02:45:58.644805,2026-07-10,414586711.0,24.66,-751100.0,-25476335.0,-137100.0,-4165800.0,-20010400.0,-674266575.0,2026-07-10,-210400.0,-7120495.0,4537365.0,8455294.0,23411860.0,-9922061.0,16.0,0.53125,21.0,0.375,11.0,0.6875,21.0,0.375,7.0,0.8125,7.0,0.8125,13.0,0.625,7.0,0.8125,11.0,0.6875,19.0,0.4375,14.0,0.59375
FPT,2026-08-26,72.6,70.7,72.9,70.7,10161300,2.6874115983026803,5.370101596516674,11.520737327188947,-5.098039215686279,-9.802459932910923,-26.876435276580324,70.18,69.53999999999999,81.573755,69.99922991793083,70.22831433476424,3.44827586206895,4.400345125107852,-11.000786956540143,3.715426705577163,58.1196581196581,1.5214285714285711,2.0956316410861864,33.24135589749977,28.896061572099914,10.584275313965371,-4.599211563731931,-30.630535941217506,0.0,86.36363636363586,737710380.0,6162776.65,7288527.1,433751917.98,513031863.35999995,1.6488184753539623,1.7007656898338264,107.222,61.5,24.27715323039236,4.678397415885961,-5.225031370759647,0.7942633145571321,0.5017830488162536,4.983032905626251,-4.86558707348027,1.1336559823939698,0.6628354863097834,2026-08-26,2026-08-26 14:45:00+07:00,70.7,72.9,70.7,72.6,10588000.0,72.24330751794484,2.6874115983026803,3.1117397454031157,0.49373775137102616,46849.55752212389,764912140.0,0.13793103448274113,1086200.0,0.4149377593360981,1590800.0,0.0,2016600.0,0.13793103448274113,3906500.0,171.8056746385576,562400.0,0.9900990099009941,902400.0,1.4144271570014144,2026-08-26T16:02:49.097068+07:00,14:46:08,10.0,70.7,65.8,75.6,72.9,70.7,733765.19,1016130.0,72.6,10.0,0.0,0.0,379734.9,98175.5,281559.4,84001994.6,36680711.3,72.5,72.6,4840.0,15400.0,72.4,72.7,21500.0,15390.0,72.3,72.8,10170.0,23560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36510.0,54350.0,-0.19634602685450142,2026-08-26T09:02:58.079688,,,,Q1/2026,01/01/2026-31/03/2026,2026-03-31,2026-05-15,12480.0,4245.0,2748.0,2477.0,2487.0,7994.0,12348.0,1095.0,68586.0,28464.0,25696.0,2768.0,40122.0,6010.32,23553.0,3.17,34.01,19.85,5.93,3.17,1.62,16.62,41.5,40.12,-38.29419035846724,-22.281728733341634,-17.10174029451138,-4.5839753466872075,-32.62974131090303,-48.05502846299811,2.9171528588098017,5.871177138032024,0.31109900373599003,0.08774038461538461,0.989423076923077,2026-07-02T02:46:02.145933,2026-07-10,361935919.0,27.75,-1679300.0,-119784610.0,-1898500.0,-134304560.0,-30754200.0,-2192829540.0,2026-07-10,39100.0,3167640.0,83097820.0,188452310.0,84768720.0,426510070.0,5.0,0.875,11.0,0.6875,7.0,0.8125,20.0,0.40625,4.0,0.90625,4.0,0.90625,5.0,0.875,4.0,0.90625,7.0,0.8125,21.0,0.375,21.0,0.375
GAS,2026-08-26,84.1,83.0,86.6,83.0,1587700,0.7185628742514938,0.4778972520907976,23.858615611192914,-0.4733727810650956,-24.97769848349688,28.92445425558008,77.52,75.89399999999999,82.29050000000001,79.21669717406941,77.7188793836663,8.488132094943236,10.812448941945352,2.1989172504723875,6.1644867813664295,73.5973597359736,3.5714285714285703,4.246645150331237,48.556620700447205,41.7042064374614,16.416594809167584,-1.2910798122065859,-34.65423465423465,-0.5988023952095856,30.555555555555447,133525569.99999999,1621540.6,1344608.35,128291478.0,104101231.07666667,0.9791305872945765,1.0407984386928646,131.5,56.0,37.21854304635761,17.016275699889928,-0.6003649361384644,1.0438968079457498,0.45694911868962856,17.320911189630216,-0.24092063885908788,1.0471881592526209,0.4242364523203565,2026-08-26,2026-08-26 14:45:00+07:00,83.0,86.6,83.0,84.1,1665000.0,84.99347747747748,1.3253012048192625,4.337349397590354,-1.051230640273837,7568.181818181818,141514140.0,-0.5910165484633523,191900.0,-0.4733727810650956,274400.0,-0.9422850412249884,394500.0,-1.6374269005848041,579600.0,102.68013024157396,97300.0,1.6867469879518142,393500.0,3.614457831325301,2026-08-26T16:02:49.097068+07:00,14:46:08,10.0,83.5,77.7,89.3,86.6,83.0,134952.3,158770.0,84.1,140.0,0.0,0.0,31341.0,6000.0,25341.0,118234538.0,113256176.9,84.1,84.5,910.0,50.0,84.0,84.6,1280.0,830.0,83.9,84.7,160.0,930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2350.0,1810.0,0.12980769230769232,2026-08-26T09:02:59.468311,,,,Q1/2026,01/01/2026-31/03/2026,2026-03-31,2026-05-15,38020.0,4508.0,3754.0,2994.0,2945.0,7322.0,25128.0,3048.0,92923.0,22334.0,16968.0,5366.0,70590.0,4878.87,29255.0,2.68,11.86,7.88,4.26,3.16,4.08,71.43,24.03,4.65,-12.963853215209575,48.08179162609542,115.86157173756311,8.360477741585237,10.220048899755497,2.9381965552178313,48.30903618013338,9.7361916458097,0.4315181518151815,0.08016833245660179,0.6609153077327722,2026-07-02T03:18:15.079253,2026-07-10,1133184529.0,2.04,-43500.0,-3319090.0,464300.0,36358610.0,-789300.0,-60210370.0,2026-07-10,2700.0,201290.0,-18400.0,-1234330.0,465713.0,48184469.0,19.0,0.4375,26.0,0.21875,2.0,0.96875,11.0,0.6875,20.0,0.40625,19.0,0.4375,26.0,0.21875,19.0,0.4375,2.0,0.96875,28.0,0.15625,29.0,0.125
GVR,2026-08-26,33.4,32.5,34.25,32.5,4781400,2.7692307692307683,5.362776025236582,24.859813084112137,-3.6075036075036038,-11.523178807947021,6.8697405049115146,30.675,30.72,32.527325,31.174911148989903,31.17179746445711,8.883455582722078,8.723958333333325,2.6828981479417813,7.137434459319025,76.81159420289853,1.2749999999999992,3.8173652694610762,42.46020076893269,38.93669351055124,16.522160461076197,-6.047819971870605,-26.994535519125684,0.0,51.428571428571345,159698760.0,2687444.2,2143536.7666666666,84073158.38,68360576.25333335,1.7791625217744054,1.8995213582696857,46.5,24.155,41.37390915193554,18.01747317280915,-3.7344957625769726,1.109091989729801,0.5199943636102351,18.32210866254944,-3.375051465297596,1.26106207441515,0.5471929801585915,2026-08-26,2026-08-26 14:45:00+07:00,32.5,34.25,32.5,33.4,4983100.0,33.57187092372218,2.7692307692307683,5.384615384615385,-0.5119491973285761,22245.98214285714,167291990.0,-0.1494768310911887,455200.0,0.30030030030030463,622300.0,0.0,738900.0,-0.29850746268657025,1122300.0,185.42152428690426,1158300.0,3.538461538461534,2446000.0,5.384615384615385,2026-08-26T16:02:49.097068+07:00,14:46:09,10.0,32.5,30.25,34.75,34.25,32.5,160275.94,478140.0,33.4,20.0,0.0,0.0,42130.0,48490.0,-6360.0,52000000.0,49550489.5,33.4,33.45,2200.0,2410.0,33.35,33.5,200.0,10030.0,33.3,33.55,1040.0,650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3440.0,13090.0,-0.5837870538415003,2026-08-26T09:03:01.275813,,,,Q1/2026,01/01/2026-31/03/2026,2026-03-31,2026-05-15,8845.0,2337.0,1923.0,2513.0,2251.0,8928.0,2743.0,4206.0,87179.0,22194.0,8270.0,13925.0,64985.0,1638.25,16246.0,1.95,26.42,28.42,3.54,2.6,4.13,74.08,25.46,4.06,3.9854220550199937,55.804121895367274,121.21478873239435,85.32448377581122,42.76114844227246,-10.529674537332479,-13.305941845764856,8.158713779271999,1.0795646916565902,0.47552289429055966,0.3101187111362352,2026-07-02T03:18:18.662296,2026-07-10,495252320.0,0.62,-175200.0,-5445580.0,-19600.0,-755555.0,-75800.0,-2809535.000000001,2026-07-10,3400.0,107215.0,-145400.0,-4700605.0,-26945.0,1490070.0,4.0,0.90625,12.0,0.65625,1.0,1.0,17.0,0.5,3.0,0.9375,3.0,0.9375,23.0,0.3125,2.0,0.96875,1.0,1.0,26.0,0.21875,17.0,0.5
HDB,2026-08-26,27.75,27.0,27.8,26.85,13487600,2.777777777777768,3.93258426966292,8.823529411764696,10.119047619047628,7.14285714285714,8.233550450485595,26.7125,26.445,26.27476,26.83945588432727,26.533008734268144,3.883949461862435,4.934770277935341,5.614665937957186,3.3925580294809077,64.6341463414634,0.6499999999999998,2.3423423423423415,23.73287875425536,22.11658274359872,10.490611201353705,0.0,-6.565656565656564,0.0,94.73684210526308,374280900.0,9928915.05,10334883.366666667,265962336.84499997,272436760.9875,1.3584162954440826,1.4072703091721102,30.0,21.784,72.61441090555016,1.98118950046171,9.992055463974259,0.8156005691896325,0.6732085636171212,2.2858249902020003,10.351499761253635,0.9963113533461995,0.7610972905495971,2026-08-26,2026-08-26 14:45:00+07:00,27.0,27.8,26.85,27.75,13492600.0,27.294676341105493,2.777777777777768,3.518518518518516,1.6681775347114014,59967.11111111111,368276150.0,0.0,1441000.0,1.277372262773735,3815500.0,0.9090909090909038,4673700.0,3.1598513011152463,7473000.0,135.89198751378177,1057100.0,0.9259259259259258,1504900.0,0.9259259259259258,2026-08-26T16:02:49.097068+07:00,14:46:10,10.0,27.0,25.15,28.85,27.8,26.85,368035.46,1348760.0,27.75,180.0,0.0,0.0,224122.0,234450.0,-10328.0,135142460.7,26564393.6,27.7,27.75,10700.0,8580.0,27.65,27.8,26700.0,38720.0,27.6,27.85,34600.0,24220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72000.0,71520.0,0.0033444816053511705,2026-08-26T09:03:04.068152,,,,Q1/2026,01/01/2026-31/03/2026,2026-03-31,2026-05-15,,,,,,,,,984216.0,,,,,4393.26,16619.66,1.53,,,5.9,0.5,,,,,,,,,,,,,,,,2026-07-02T03:18:23.281493,2026-07-10,278458398.0,21.44,1046700.0,28384540.0,3958500.0,108293735.0,-2112200.0,-38735410.0,2026-07-10,-356300.0,-9439490.0,-644761.0,-17470019.0,-3179617.0,-69439284.0,3.0,0.9375,18.0,0.46875,10.0,0.71875,5.0,0.875,10.0,0.71875,9.0,0.75,14.0,0.59375,10.0,0.71875,10.0,0.71875,9.0,0.75,32.0,0.03125
HPG,2026-08-26,22.05,21.8,22.1,21.75,19394800,1.1467889908256979,4.009433962264164,1.847575057736739,-8.695652173913038,-9.359970403255646,-9.856506275295363,21.78,22.215999999999998,23.651585,21.735205954078666,22.198736089718285,1.2396694214876103,-0.7472092185811907,-6.771575773885763,1.448314069746659,52.85714285714285,0.44285714285714334,2.008422416585684,25.426757798676803,26.105702109383067,11.966126146039132,-9.445585215605757,-18.619671526111826,0.0,85.71428571428557,427655340.0,22027863.95,20783206.7,480978930.59749997,462378932.32750005,0.8804666691252195,0.8891352880442012,27.541,20.1,26.206155086681893,-4.994764853566247,-8.822644328986406,0.7611926082018791,0.5322912417929765,-4.690129363825957,-8.46320003170703,1.045610137502217,0.6767021063839457,2026-08-26,2026-08-26 14:45:00+07:00,21.8,22.1,21.75,22.05,19393800.0,21.947398395363468,1.1467889908256979,1.6055045871559697,0.4674886872159112,85813.27433628318,425643455.0,0.0,1977600.0,0.4555808656036442,3490500.0,0.0,4869800.0,0.4555808656036442,7223100.0,88.04212720770867,936400.0,0.6880733944954063,1798800.0,0.6880733944954063,2026-08-26T16:02:49.097068+07:00,14:46:11,10.0,21.8,20.3,23.3,22.1,21.75,425726.48,1939480.0,22.05,450.0,0.0,0.0,453150.0,266142.8,187007.2,413705261.4,230378881.9,22.05,22.1,7340.0,31030.0,22.0,22.15,18680.0,42590.0,21.95,22.2,28360.0,58420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54380.0,132040.0,-0.41658620319708184,2026-08-26T09:03:07.241358,,,,Q1/2026,01/01/2026-31/03/2026,2026-03-31,2026-05-15,52901.0,8365.0,10704.0,9056.0,8994.0,11455.0,16693.0,43516.0,259328.0,119546.0,86370.0,33176.0,139782.0,2886.77,18212.0,1.48,15.81,17.12,6.64,3.48,1.21,9.07,46.1,64.83,14.563842688842698,40.61187602998246,132.92181069958846,170.32835820895525,54.22197640117994,-6.62604068320316,53.76750184229919,18.462333788147166,0.13262706958434642,0.8225931456872271,0.315551690894312,2026-07-02T02:46:05.709030,2026-07-10,2337884888.0,21.31,2600.0,70115.0,-4677100.0,-108694430.0,-15678100.0,-356186510.0,2026-07-10,-1078500.0,-24669985.0,-4307300.0,-100054670.0,-17395872.0,-380942150.0,15.0,0.5625,17.0,0.5,24.0,0.28125,25.0,0.25,24.0,0.28125,23.0,0.3125,10.0,0.71875,25.0,0.25,24.0,0.28125,13.0,0.625,13.0,0.625
LPB,2026-08-26,49.6,50.0,50.2,48.7,4104500,-0.40160642570280514,-2.1696252465483234,-5.703422053231943,3.3333333333333437,24.229825176576657,8.44374480738117,51.760000000000005,52.255,45.708420000000004,51.2690750379875,51.308286148375025,-4.173106646058744,-5.0808535068414535,8.513923692833835,-3.255520090328934,37.99999999999999,1.7107142857142854,3.449020737327188,26.522389602981107,35.204410679005896,15.699949149091063,-11.428571428571422,-11.428571428571422,0.40160642570281624,59.99999999999991,203583200.0,3155764.1,2834938.316666667,162989358.17000002,148203939.215,1.3006358745256021,1.2490582347570207,58.5,37.328,57.963347817872666,-12.545761964534929,3.206341178259975,0.01089534903722608,0.005649814711342752,-12.241126474794639,3.5657854755393514,0.21456541775381138,0.10297356986081722,2026-08-26,2026-08-26 14:45:00+07:00,50.0,50.2,48.7,49.6,4104200.0,49.450077968909895,-0.8000000000000007,3.0,0.30317855349866196,18404.484304932736,202953010.0,-0.2012072434607659,232300.0,0.5065856129685908,494400.0,0.0,1234800.0,0.6085192697768749,1917500.0,130.05408103856686,84700.0,1.0,335000.0,2.4000000000000057,2026-08-26T16:02:49.097068+07:00,14:46:14,10.0,49.8,46.35,53.2,50.2,48.7,202907.545,410450.0,49.6,10.0,0.0,0.0,119600.0,105654.3,13945.699999999995,14936410.5,10402288.7,49.6,49.65,830.0,570.0,49.55,49.7,3820.0,1320.0,49.5,49.75,2320.0,1120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6970.0,3010.0,0.3967935871743487,2026-08-26T09:03:08.827689,,,,Q1/2026,01/01/2026-31/03/2026,2026-03-31,2026-05-15,,,,,,,,,580860.0,,,,,3738.4,16560.76,2.53,,,4.72,0.38,,,,,,,,,,,,,,,,2026-07-02T03:18:26.640755,2026-07-10,115714767.0,1.13,-295000.0,-15574830.0,-139700.0,-7252330.0,1418200.0,81687490.0,2026-07-10,45200.0,2404960.0,51000.0,2861150.0,18663700.0,827240845.0,31.0,0.0625,32.0,0.03125,30.0,0.09375,7.0,0.8125,11.0,0.6875,12.0,0.65625,18.0,0.46875,11.0,0.6875,30.0,0.09375,16.0,0.53125,11.0,0.6875
