Date,NetShares,NetValue_billion,BuyShares,BuyValue_billion,SellShares,SellValue_billion,RoomRemainingShares,ForeignHoldingPct
2026-07-10,-1000800,-22.683075,100800,2.285305,1101600,24.96838,318010870,24.52
2026-07-09,810900,18.354775,1608500,36.72353,797600,18.368755,318834334,27.69
2026-07-08,1345400,30.57752,1494500,33.95734,149100,3.37982,320045936,27.67
2026-07-07,582000,13.063795,2128500,47.54394,1546500,34.480145,318690414,27.7
2026-07-06,-150700,-3.38969,1043100,23.358355,1193800,26.748045,316247914,27.74
2026-07-03,-1956400,-44.03201,124400,2.80529,2080800,46.8373,315976051,27.75
2026-07-02,-2442500,-55.33333,145300,3.29561,2587800,58.62894,315976051,27.75
2026-07-01,-260300,-5.893885,241000,5.449735,501300,11.34362,315976051,27.75
2026-06-30,50600,1.130955,579100,13.136655,528500,12.0057,316026651,27.75
2026-06-29,741800,16.933565,1174500,26.812855,432700,9.87929,280204522,24.55
2026-06-26,3002500,67.43712,3266900,73.362675,264400,5.925555,283161151,24.49
2026-06-25,11900,0.40541,1504400,33.90862,1492500,33.50321,283181861,24.49
2026-06-24,-58600,-1.28568,712200,15.968055,770800,17.253735,281600800,24.52
2026-06-23,1580300,35.703725,4452200,100.16774,2871900,64.464015,282100559,24.51
2026-06-22,-1581100,-34.855275,165300,3.661865,1746400,38.51714,282100559,24.51
2026-06-19,-1085900,-24.091825,146200,3.25383,1232100,27.345655,282100559,24.51
2026-06-18,1018800,22.93101,2946300,66.055345,1927500,43.124335,282438051,24.5
2026-06-17,1659500,36.586715,2468800,54.474185,809300,17.88747,281259575,24.52
2026-06-16,-678000,-15.234625,241500,5.46635,919500,20.700975,281242775,24.52
2026-06-15,-2838200,-64.566315,2335500,53.165665,5173700,117.73198,281247475,24.52
