Date,NetShares,NetValue_billion,BuyShares,BuyValue_billion,SellShares,SellValue_billion,RoomRemainingShares,ForeignHoldingPct
2026-07-10,-15300,-0.651705,225500,9.276755,240800,9.92846,905766733,17.56
2026-07-09,-195200,-8.09099,22900,0.94937,218100,9.04036,905593481,17.56
2026-07-08,-42800,-1.776805,370900,15.4757,413700,17.252505,904479612,17.58
2026-07-07,-174400,-7.23244,104900,4.34858,279300,11.58102,903475212,17.59
2026-07-06,-1115400,-46.856765,254200,10.608045,1369600,57.46481,903300812,17.59
2026-07-03,-1006200,-42.449025,101400,4.30462,1107600,46.753645,903301412,17.59
2026-07-02,-174400,-7.477285,268100,11.4415,442500,18.918785,903301412,17.59
2026-07-01,275300,11.74634,1065000,45.67998,789700,33.93364,903120096,17.59
2026-06-30,165700,7.07521,553300,23.53998,387600,16.46477,902889226,17.6
2026-06-29,-456700,-19.28054,290300,12.27676,747000,31.5573,902279470,17.61
2026-06-26,-396800,-16.603295,408300,17.080025,805100,33.68332,901768538,17.61
2026-06-25,-609800,-25.65364,50700,2.13302,660500,27.78666,901769638,17.61
2026-06-24,-512100,-21.562955,59700,2.52166,571800,24.084615,901769638,17.61
2026-06-23,988500,42.30787,1476100,63.319985,487600,21.012115,902494607,17.6
2026-06-22,1797700,76.618995,2034400,86.583055,236700,9.96406,904185491,17.58
2026-06-19,-263400,-11.138445,505000,21.11683,768400,32.255275,904185491,17.58
2026-06-18,-106800,-4.56523,46000,1.96628,152800,6.53151,904185091,17.58
2026-06-17,190100,8.01426,318800,13.518825,128700,5.504565,904420318,17.58
2026-06-16,539300,22.602385,591500,24.789965,52200,2.18758,904729043,17.57
2026-06-15,144800,6.02828,415600,17.28408,270800,11.2558,904713293,17.57
