Date,NetShares,NetValue_billion,BuyShares,BuyValue_billion,SellShares,SellValue_billion,RoomRemainingShares,ForeignHoldingPct
2026-07-10,-113300,-3.023715,397400,10.26754,510700,13.291255,2397770370,1.11
2026-07-09,2871400,74.382405,3547400,92.157905,676000,17.7755,2400644190,1.06
2026-07-08,215000,5.449685,1033300,25.96476,818300,20.515075,2398926775,1.09
2026-07-07,946500,22.746535,1138300,27.30085,191800,4.554315,2399857975,1.07
2026-07-06,-1935600,-46.47163,279000,6.68238,2214600,53.15401,2399226575,1.09
2026-07-03,-18900,-0.495465,276400,6.89564,295300,7.391105,2399226875,1.09
2026-07-02,-631400,-15.87571,135100,3.38453,766500,19.26024,2397726365,1.12
2026-07-01,671400,16.73287,964200,24.117875,292800,7.385005,2396085265,1.15
2026-06-30,-1500600,-36.475815,44900,1.09675,1545500,37.572565,2395560765,1.16
2026-06-29,-2312500,-56.524945,1109600,27.004425,3422100,83.52937,2390965565,1.25
2026-06-26,-524500,-12.84202,89300,2.190235,613800,15.032255,2390967965,1.25
2026-06-25,-4595200,-113.983565,109300,2.72169,4704500,116.705255,2389246939,1.28
2026-06-24,440700,10.755965,1297300,32.125245,856600,21.36928,2389412155,1.28
2026-06-23,-1723000,-44.157695,190200,4.88702,1913200,49.044715,2387073259,1.33
2026-06-22,-275400,-7.25229,822300,21.80949,1097700,29.06178,2385323059,1.36
2026-06-19,-2338900,-61.321595,296100,7.77343,2635000,69.095025,2382166959,1.43
2026-06-18,-1750200,-46.310245,224800,5.959665,1975000,52.26991,2381163459,1.45
2026-06-17,-3156100,-83.49489,31500,0.8361,3187600,84.33099,2378971760,1.49
2026-06-16,-1002700,-26.53982,12400,0.328065,1015100,26.867885,2378968160,1.49
2026-06-15,-2191700,-58.437085,271200,7.24971,2462900,65.686795,2378968160,1.49
