Date,NetShares,NetValue_billion,BuyShares,BuyValue_billion,SellShares,SellValue_billion,RoomRemainingShares,ForeignHoldingPct
2026-07-10,-751100,-25.476335,324400,10.995705,1075500,36.47204,414586711,24.66
2026-07-09,-496400,-17.02215,183800,6.29136,680200,23.31351,414562711,24.66
2026-07-08,974200,33.595355,1119200,38.599155,145000,5.0038,415540999,24.65
2026-07-07,-27000,-0.89844,396200,13.490605,423200,14.389045,414432439,24.66
2026-07-06,163200,5.63577,981400,33.696845,818200,28.061075,413912544,24.67
2026-07-03,-1113000,-37.78502,1066300,36.498955,2179300,74.283975,413912344,24.67
2026-07-02,-683000,-23.40409,365700,12.538435,1048700,35.942525,413912344,24.67
2026-07-01,120900,4.130275,685300,23.534845,564400,19.40457,412600854,24.69
2026-06-30,453200,15.50953,911200,31.086965,458000,15.577435,412199761,24.69
2026-06-29,-1432300,-48.496735,1689500,57.34951,3121800,105.846245,407438930,24.75
2026-06-26,-854200,-28.61935,203400,6.81898,1057600,35.43833,404370946,24.79
2026-06-25,-4760800,-160.0168,390900,13.137935,5151700,173.154735,404374046,24.79
2026-06-24,-3070900,-103.339455,816200,27.657945,3887100,130.9974,403981560,24.8
2026-06-23,566200,19.424405,1189200,40.743175,623000,21.31877,404113009,24.8
2026-06-22,-392500,-13.303015,108600,3.682005,501100,16.98502,401968288,24.82
2026-06-19,-435500,-14.73288,65300,2.212945,500800,16.945825,399762788,24.85
2026-06-18,-2144700,-72.930265,167900,5.7142,2312600,78.644465,397358298,24.88
2026-06-17,-2170500,-73.350995,579900,19.688685,2750400,93.03968,395805365,24.9
2026-06-16,-2403300,-80.96202,216900,7.316975,2620200,88.278995,395798665,24.9
2026-06-15,-1552900,-52.22436,1549600,52.21787,3102500,104.44223,395542922,24.91
