Date,NetShares,NetValue_billion,BuyShares,BuyValue_billion,SellShares,SellValue_billion,RoomRemainingShares,ForeignHoldingPct
2026-07-10,-175200,-5.44558,13700,0.424985,188900,5.870565,495252320,0.62
2026-07-09,-34500,-1.10422,25000,0.792505,59500,1.896725,495253320,0.62
2026-07-08,-2400,-0.075605,8600,0.27173,11000,0.347335,495214320,0.62
2026-07-07,232800,7.199325,403700,12.453765,170900,5.25444,495448642,0.61
2026-07-06,-40300,-1.329475,208400,6.58074,248700,7.910215,495343891,0.62
2026-07-03,33700,1.09896,35200,1.14803,1500,0.04907,495351691,0.62
2026-07-02,-104700,-3.46502,60400,2.017975,165100,5.482995,495351691,0.62
2026-07-01,-26100,-0.86051,1000,0.032925,27100,0.893435,495351691,0.62
2026-06-30,146100,4.81126,203200,6.69048,57100,1.87922,495445691,0.61
2026-06-29,131300,4.23029,220600,7.120075,89300,2.889785,495330801,0.62
2026-06-26,-52100,-1.701515,6200,0.201845,58300,1.90336,495331801,0.62
2026-06-25,-246200,-8.16008,18500,0.615025,264700,8.775105,495252501,0.62
2026-06-24,41000,1.35004,140300,4.61885,99300,3.26881,495293502,0.62
2026-06-23,-80100,-2.73228,60700,2.06877,140800,4.80105,495254502,0.62
2026-06-22,105100,3.61233,143600,4.95714,38500,1.34481,495260488,0.62
2026-06-19,-39000,-1.367905,36800,1.286405,75800,2.65431,495260488,0.62
2026-06-18,-99100,-3.58049,134000,4.806615,233100,8.387105,495156788,0.62
2026-06-17,158800,5.62418,187800,6.65047,29000,1.02629,495315588,0.62
2026-06-16,-103200,-3.65624,54600,1.935575,157800,5.591815,495307588,0.62
2026-06-15,78300,2.743,146500,5.156265,68200,2.413265,495385888,0.62
