Date,NetShares,NetValue_billion,BuyShares,BuyValue_billion,SellShares,SellValue_billion,RoomRemainingShares,ForeignHoldingPct
2026-07-10,1046700,28.38454,1809600,49.211845,762900,20.827305,278458398,21.44
2026-07-09,320200,8.737985,984100,26.85289,663900,18.114905,278788878,21.43
2026-07-08,-54000,-1.46547,438200,12.08553,492200,13.551,278802578,21.43
2026-07-07,1962300,54.004005,2737000,75.245505,774700,21.2415,280780096,21.39
2026-07-06,683300,18.632675,2419600,65.51064,1736300,46.877965,281187887,21.38
2026-07-03,875200,23.46219,2654400,71.002695,1779200,47.540505,282055479,21.36
2026-07-02,-275400,-7.30484,305000,8.114175,580400,15.419015,281938479,21.37
2026-07-01,3312600,87.894675,3545500,94.075905,232900,6.18123,285251109,21.3
2026-06-30,-117000,-3.008815,274500,7.12022,391500,10.129035,282759983,21.35
2026-06-29,1030600,26.461545,1397800,35.86919,367200,9.407645,283699684,21.33
2026-06-26,-2491000,-63.204845,87400,2.223125,2578400,65.42797,282822484,21.35
2026-06-25,-90700,-2.228975,1159300,29.90414,1250000,32.133115,282829584,21.35
2026-06-24,-887400,-22.57387,473700,12.12758,1361100,34.70145,282829584,21.35
2026-06-23,520000,13.42469,2069800,53.245195,1549800,39.820505,282595586,21.35
2026-06-22,316300,7.96409,652900,16.403385,336600,8.439295,281112020,21.38
2026-06-19,-757100,-18.971255,110600,2.7777,867700,21.748955,280559571,21.39
2026-06-18,-1799700,-45.29171,157400,3.969595,1957100,49.261305,278120976,21.44
2026-06-17,-552500,-13.80406,390600,9.876425,943100,23.680485,275402079,21.5
2026-06-16,-2435700,-61.326005,315700,7.94915,2751400,69.275155,273945781,21.53
2026-06-15,-2718900,-68.52196,712100,17.95687,3431000,86.47883,272752256,21.55
