Date,NetShares,NetValue_billion,BuyShares,BuyValue_billion,SellShares,SellValue_billion,RoomRemainingShares,ForeignHoldingPct
2026-07-10,2600,0.070115,619900,14.322325,617300,14.25221,2337884888,21.31
2026-07-09,-590200,-13.668795,481500,11.16468,1071700,24.833475,2336588264,21.33
2026-07-08,-94500,-2.1795,583200,13.530245,677700,15.709745,2333953273,21.36
2026-07-07,-1323600,-30.558275,570200,13.16836,1893800,43.726635,2332256645,21.38
2026-07-06,-2671400,-62.357975,434700,10.124305,3106100,72.48228,2329123283,21.41
2026-07-03,-1737000,-40.534105,645300,15.059655,2382300,55.59376,2326715701,21.44
2026-07-02,-3133200,-73.425025,300300,7.046865,3433500,80.47189,2318734253,21.54
2026-07-01,-2407000,-56.492685,91300,2.14232,2498300,58.635005,2318734253,23.69
2026-06-30,-7981300,-186.81782,753600,17.77182,8734900,204.58964,2318401586,23.69
2026-06-29,1669700,39.364215,2912100,68.66193,1242400,29.297715,2320063211,23.67
2026-06-26,-318400,-7.443645,2670000,62.531005,2988400,69.97465,2111343427,21.49
2026-06-25,-2200,-0.038735,544400,12.7951,546600,12.833835,2102938620,21.6
2026-06-24,-934500,-21.89486,459400,10.750535,1393900,32.645395,2102938620,21.6
2026-06-23,-8410500,-197.498065,507400,11.904005,8917900,209.40207,2102139896,21.61
2026-06-22,117700,2.848575,1978700,46.90254,1861000,44.053965,2100812201,21.63
2026-06-19,-798500,-18.295475,4684100,111.346465,5482600,129.64194,2100812201,21.63
2026-06-18,-1445200,-33.80784,3643200,87.29603,5088400,121.10387,2100805201,21.63
2026-06-17,2274800,55.012395,3464500,83.755575,1189700,28.74318,2103079833,21.6
2026-06-16,5150300,124.84636,6355600,154.033825,1205300,29.187465,2107345803,21.54
2026-06-15,6954300,166.68463,7526800,180.38244,572500,13.69781,2113668666,21.46
