Date,NetShares,NetValue_billion,BuyShares,BuyValue_billion,SellShares,SellValue_billion,RoomRemainingShares,ForeignHoldingPct
2026-07-10,-295000,-15.57483,88400,4.7097,383400,20.28453,115714767,1.13
2026-07-09,34700,1.83454,161900,8.56284,127200,6.7283,115756667,1.13
2026-07-08,-279100,-14.61191,450000,23.92552,729100,38.53743,115766367,1.12
2026-07-07,220700,11.66263,287700,15.20623,67000,3.5436,115788925,1.12
2026-07-06,179000,9.43724,607600,31.59387,428600,22.15663,115689225,1.13
2026-07-03,-208900,-10.76998,230900,11.84673,439800,22.61671,115693425,1.13
2026-07-02,-278700,-14.70554,102600,5.42973,381300,20.13527,115553883,1.13
2026-07-01,26800,1.44429,118700,6.35623,91900,4.91194,115580683,1.13
2026-06-30,-139600,-7.57962,426400,23.14876,566000,30.72838,115580683,1.13
2026-06-29,89800,5.10856,400800,21.78579,311000,16.67723,115670563,1.13
2026-06-26,121600,6.62258,944300,50.98018,822700,44.3576,115799363,1.12
2026-06-25,758400,43.2806,955800,54.46389,197400,11.18329,116565568,1.1
2026-06-24,598000,33.16985,1684300,93.95718,1086300,60.78733,116581757,1.1
2026-06-23,1210700,62.64062,1304900,67.42233,94200,4.78171,117792422,1.06
2026-06-22,-581900,-28.569485,33200,1.6345,615100,30.203985,117514722,1.07
2026-06-19,33600,1.53339,278400,13.314185,244800,11.780795,117548322,1.07
2026-06-18,-277700,-12.824215,59900,2.80143,337600,15.625645,117546422,1.07
2026-06-17,114500,5.35295,207100,9.656155,92600,4.303205,117660922,1.06
2026-06-16,60800,2.832205,231200,10.72083,170400,7.888625,117671496,1.06
2026-06-15,30500,1.403615,130400,6.023005,99900,4.61939,117671596,1.06
