Date,NetShares,NetValue_billion,BuyShares,BuyValue_billion,SellShares,SellValue_billion,RoomRemainingShares,ForeignHoldingPct
2026-07-10,4700,0.34055,611900,41.97188,607200,41.63133,1165801927,25.53
2026-07-09,-703600,-48.40971,157300,10.83325,860900,59.24296,1163158649,25.71
2026-07-08,-2713200,-184.52409,1688700,115.15699,4401900,299.68108,1162179899,25.78
2026-07-07,-2648300,-182.68714,496700,34.19112,3145000,216.87826,1161204175,25.85
2026-07-06,-985500,-69.86436,180300,12.70444,1165800,82.5688,1160437575,25.9
2026-07-03,-983200,-70.53632,105400,7.57171,1088600,78.10803,1146381939,25.87
2026-07-02,-766600,-55.45209,181200,13.118,947800,68.57009,1145585439,25.93
2026-07-01,-24500,-1.79222,128800,9.32664,153300,11.11886,1145585439,25.93
2026-06-30,-796500,-57.32466,188200,13.5782,984700,70.90286,1145286589,25.95
2026-06-29,164600,11.85838,556000,39.95644,391400,28.09806,1145392424,25.94
2026-06-26,-298900,-21.26765,330300,23.51239,629200,44.78004,1145059691,25.97
2026-06-25,-58700,-4.18718,169200,12.07836,227900,16.26554,1143872911,26.05
2026-06-24,-337700,-23.95456,171100,12.14145,508800,36.09601,1143790891,26.05
2026-06-23,-1190900,-84.95366,72900,5.20809,1263800,90.16175,1143790891,26.05
2026-06-22,-82100,-5.8809,85900,6.18623,168000,12.06713,1143790891,26.05
2026-06-19,258400,18.64177,813900,58.67145,555500,40.02968,1144099430,26.03
2026-06-18,229500,16.95259,1106500,80.35147,877000,63.39888,1144010608,26.04
2026-06-17,-169700,-12.42308,566100,41.18901,735800,53.61209,1143770560,26.05
2026-06-16,-317100,-23.01396,301200,21.90958,618300,44.92354,1143763060,26.05
2026-06-15,-240000,-17.37887,353500,25.61412,593500,42.99299,1143367660,26.08
