Date,NetShares,NetValue_billion,BuyShares,BuyValue_billion,SellShares,SellValue_billion,RoomRemainingShares,ForeignHoldingPct
2026-07-10,120900,9.6046,285300,22.40266,164400,12.79806,285388,48.98
2026-07-09,111800,8.72345,160000,12.48666,48200,3.76321,372591,48.97
2026-07-08,540800,42.51501,844700,66.25293,303900,23.73792,919791,48.94
2026-07-07,-31100,-2.38195,482800,37.52466,513900,39.90661,486922,48.97
2026-07-06,118500,9.23471,542300,42.18569,423800,32.95098,577603,48.96
2026-07-03,-442400,-34.72335,399700,31.61697,842100,66.34032,577603,48.96
2026-07-02,-27600,-2.11583,577600,46.44903,605200,48.56486,577603,48.96
2026-07-01,206900,16.5086,399000,31.75385,192100,15.24525,784405,48.95
2026-06-30,683700,53.28716,1078700,84.25121,395000,30.96405,1436138,48.9
2026-06-29,1063600,83.92356,1485700,117.11967,422100,33.19611,2198940,48.85
2026-06-26,-112100,-8.03855,623100,48.7614,735200,56.79995,2205340,48.85
2026-06-25,-300700,-23.10464,297400,22.96487,598100,46.06951,492950,48.97
2026-06-24,7900,0.71075,137500,10.52839,129600,9.81764,150210,48.99
2026-06-23,-1710900,-130.49917,150200,11.46382,1861100,141.96299,150210,48.99
2026-06-22,-345600,-26.686,150200,11.665,495800,38.351,150210,48.99
2026-06-19,354600,27.90289,492700,38.67488,138100,10.77199,504901,48.97
2026-06-18,206600,16.3121,578700,45.49308,372100,29.18098,698174,48.95
2026-06-17,375700,29.86314,1003300,79.72896,627600,49.86582,1073901,48.93
2026-06-16,468100,37.27556,687300,54.63915,219200,17.36359,767833,48.95
2026-06-15,1458700,114.8529,2074600,163.04549,615900,48.19259,2526547,48.83
