Date,NetShares,NetValue_billion,BuyShares,BuyValue_billion,SellShares,SellValue_billion,RoomRemainingShares,ForeignHoldingPct
2026-07-10,-199700,-7.29754,74800,2.725025,274500,10.022565,78209060,13.96
2026-07-09,142300,5.13646,214800,7.781615,72500,2.645155,78352210,13.94
2026-07-08,61900,2.169375,82900,2.913455,21000,0.74408,78071810,13.97
2026-07-07,235000,8.190955,261900,9.13247,26900,0.941515,78261225,13.95
2026-07-06,-343400,-12.36894,101500,3.55556,444900,15.9245,78106528,13.96
2026-07-03,-46800,-1.73086,12300,0.456675,59100,2.187535,78106428,13.96
2026-07-02,-154700,-5.763065,300,0.011175,155000,5.77424,78097628,13.96
2026-07-01,54200,2.03141,71700,2.689795,17500,0.658385,78151891,13.96
2026-06-30,-8800,-0.3286,7900,0.29342,16700,0.62202,78151891,13.96
2026-06-29,74700,2.73314,158900,5.87945,84200,3.14631,78215541,13.95
2026-06-26,4900,0.182475,5400,0.20123,500,0.018755,78221241,13.95
2026-06-25,-11000,-0.41188,10800,0.40412,21800,0.816,78214041,13.96
2026-06-24,69900,2.6035,88800,3.31747,18900,0.71397,78260038,13.95
2026-06-23,-7700,-0.29536,3800,0.14365,11500,0.43901,78148149,13.96
2026-06-22,-23800,-0.925535,17400,0.67756,41200,1.603095,78060849,13.97
2026-06-19,-111800,-4.33572,19900,0.77019,131700,5.10591,78060849,13.97
2026-06-18,-87300,-3.404025,7300,0.283335,94600,3.68736,78054329,13.97
2026-06-17,39800,1.5319,73200,2.829175,33400,1.297275,77710729,13.99
2026-06-16,-6400,-0.251955,21500,0.83038,27900,1.082335,77355829,14.02
2026-06-15,-383400,-14.97698,53500,2.073965,436900,17.050945,77155029,14.04
