Date,NetShares,NetValue_billion,BuyShares,BuyValue_billion,SellShares,SellValue_billion,RoomRemainingShares,ForeignHoldingPct
2026-07-10,-45400,-2.14144,45200,2.131145,90600,4.272585,530446722,58.64
2026-07-09,7000,0.330685,97700,4.62613,90700,4.295445,530439323,58.64
2026-07-08,-62700,-2.96223,193800,9.158555,256500,12.120785,530278023,58.65
2026-07-07,-15000,-0.70965,86500,4.082685,101500,4.792335,530253367,58.66
2026-07-06,-162400,-7.746585,153000,7.273255,315400,15.01984,530247367,58.66
2026-07-03,-25900,-1.24326,277600,13.43815,303500,14.68141,530236767,58.66
2026-07-02,-6000,-0.29845,286800,13.913145,292800,14.211595,530236767,58.66
2026-07-01,-10800,-0.524105,87100,4.207785,97900,4.73189,530119767,58.67
2026-06-30,90000,4.366815,313900,15.2216,223900,10.854785,530152267,58.66
2026-06-29,-208800,-10.155265,94600,4.589895,303400,14.74516,530152267,58.66
2026-06-26,-57500,-2.7931,94000,4.57063,151500,7.36373,530153067,58.66
2026-06-25,139100,6.73206,179200,8.673135,40100,1.941075,530292867,58.65
2026-06-24,67700,3.231305,85600,4.086595,17900,0.85529,530475567,58.64
2026-06-23,77900,3.738365,136900,6.576705,59000,2.83834,530532069,58.63
2026-06-22,33900,1.632585,81700,3.9362,47800,2.303615,530499836,58.64
2026-06-19,-21400,-1.02925,42800,2.066185,64200,3.095435,530498136,58.64
2026-06-18,-66200,-3.182875,77800,3.766065,144000,6.94894,530498036,58.64
2026-06-17,-1700,-0.08729,72700,3.55939,74400,3.64668,530498036,58.64
2026-06-16,76200,3.75469,249100,12.24439,172900,8.4897,530573036,58.63
2026-06-15,140600,6.827105,171000,8.306165,30400,1.47906,530713693,58.62
