Date,NetShares,NetValue_billion,BuyShares,BuyValue_billion,SellShares,SellValue_billion,RoomRemainingShares,ForeignHoldingPct
2026-07-10,-198600,-2.630085,102600,1.35645,301200,3.986535,1255860762,3.97
2026-07-09,-256800,-3.41036,181600,2.415225,438400,5.825585,1253154458,4.03
2026-07-08,-3062800,-40.88471,1021100,13.631975,4083900,54.516685,1246084958,4.18
2026-07-07,-2715900,-36.12942,476300,6.339445,3192200,42.468865,1245971573,4.19
2026-07-06,-7082500,-95.327375,403400,5.468765,7485900,100.79614,1242974457,4.25
2026-07-03,-127800,-1.74228,626500,8.55707,754300,10.29935,1242979557,4.25
2026-07-02,-2997000,-41.29403,547300,7.532,3544300,48.82603,1241050761,4.29
2026-07-01,160900,2.178535,883000,12.01033,722100,9.831795,1241211661,4.29
2026-06-30,-1928700,-26.159825,86600,1.176475,2015300,27.3363,1241211661,4.29
2026-06-29,1291800,17.638105,1404200,19.169075,112400,1.53097,1242503461,4.26
2026-06-26,1631300,22.140195,2448700,33.22509,817400,11.084895,1243120869,4.25
2026-06-25,240200,3.277085,652200,8.88088,412000,5.603795,1242565729,4.26
2026-06-24,-1023400,-13.93751,473600,6.44621,1497000,20.38372,1242331957,4.26
2026-06-23,-805500,-10.862235,2275000,31.32597,3080500,42.188205,1238937957,4.34
2026-06-22,-233700,-3.21678,631300,8.638775,865000,11.855555,1232673828,4.47
2026-06-19,-3394000,-46.654475,831500,11.45871,4225500,58.113185,1232673828,4.47
2026-06-18,-6264100,-87.39116,281100,3.936935,6545200,91.328095,1232671128,4.47
2026-06-17,2889600,40.1018,3180900,44.148565,291300,4.046765,1235560689,4.41
2026-06-16,538900,7.60042,1559400,21.791995,1020500,14.191575,1236085305,4.4
2026-06-15,430400,5.966725,1039300,14.434385,608900,8.46766,1236515731,4.39
