Date,NetShares,NetValue_billion,BuyShares,BuyValue_billion,SellShares,SellValue_billion,RoomRemainingShares,ForeignHoldingPct
2026-07-10,168300,2.682405,302200,4.807335,133900,2.12493,1018277583,0.3
2026-07-09,-342300,-5.48998,56900,0.91796,399200,6.40794,1018281983,0.3
2026-07-08,113600,1.855005,231900,3.78703,118300,1.932025,1018401483,0.3
2026-07-07,495500,8.092205,547000,8.93145,51500,0.839245,1018903583,0.28
2026-07-06,412600,6.76486,565300,9.270415,152700,2.505555,1019316183,0.27
2026-07-03,321000,5.2703,370500,6.083305,49500,0.813005,1019639983,0.26
2026-07-02,221800,3.643965,507500,8.33383,285700,4.689865,1019861783,0.26
2026-07-01,351300,5.70203,604600,9.792905,253300,4.090875,1020213083,0.25
2026-06-30,141900,2.25397,497500,7.958085,355600,5.704115,1020354983,0.24
2026-06-29,325200,5.243365,428900,6.917385,103700,1.67402,1020680183,0.23
2026-06-26,826200,13.01528,1185300,18.677725,359100,5.662445,1021510876,0.21
2026-06-25,168900,2.544345,180600,2.720495,11700,0.17615,1021684533,0.2
2026-06-24,81700,1.22795,165400,2.48738,83700,1.25943,1021766233,0.2
2026-06-23,250600,3.76011,315300,4.72958,64700,0.96947,1022016833,0.19
2026-06-22,183400,2.72335,213200,3.165535,29800,0.442185,1021974733,0.19
2026-06-19,8500,0.12841,161700,2.389385,153200,2.260975,1021983233,0.19
2026-06-18,-225500,-3.33461,27400,0.40417,252900,3.73878,1021731933,0.2
2026-06-17,1300,0.02039,58400,0.865715,57100,0.845325,1021683333,0.2
2026-06-16,-250000,-3.693575,52200,0.769815,302200,4.46339,847896600,0.16
2026-06-15,-49900,-0.73573,203400,2.970985,253300,3.706715,847896600,0.2
