Date,NetShares,NetValue_billion,BuyShares,BuyValue_billion,SellShares,SellValue_billion,RoomRemainingShares,ForeignHoldingPct
2026-07-10,-1669100,-44.60355,56800,1.516035,1725900,46.119585,1722371513,31.19
2026-07-09,-730500,-19.75787,138800,3.747025,869300,23.504895,1722224914,31.2
2026-07-08,-287500,-7.84931,820300,22.551775,1107800,30.401085,1719789187,31.42
2026-07-07,-151000,-4.080895,589600,15.78589,740600,19.866785,1718767397,31.46
2026-07-06,-2441500,-66.60996,543100,14.55454,2984600,81.1645,1717683378,31.5
2026-07-03,-1028400,-27.5853,1888900,51.578645,2917300,79.163945,1717685878,31.5
2026-07-02,-1084000,-29.564015,778300,21.22362,1862300,50.787635,1708085878,31.49
2026-07-01,619600,16.73021,1144900,30.9863,525300,14.25609,1707757235,31.5
2026-06-30,1147400,30.841245,2061700,55.4499,914300,24.608655,1708086379,31.49
2026-06-29,-947900,-25.209735,26700,0.7111,974600,25.920835,1707274579,31.52
2026-06-26,-818100,-21.60451,1346200,35.590235,2164300,57.194745,1706159579,31.56
2026-06-25,-811800,-21.59183,420500,11.19368,1232300,32.78551,1703600208,31.67
2026-06-24,-1119300,-29.975565,467100,12.496745,1586400,42.47231,1703571321,31.67
2026-06-23,-2564000,-69.67707,517700,14.082805,3081700,83.759875,1702937326,31.69
2026-06-22,-28800,-0.74904,917700,24.953475,946500,25.702515,1702315411,31.72
2026-06-19,-634100,-17.21063,1611500,44.102665,2245600,61.313295,1702315411,31.72
2026-06-18,-621800,-17.151835,976500,27.075495,1598300,44.22733,1702314111,31.72
2026-06-17,1546300,42.840495,2637700,73.01973,1091400,30.179235,1703853715,31.66
2026-06-16,1817300,49.526725,3029300,82.76642,1212000,33.239695,1704954436,31.61
2026-06-15,-6500,-0.01327,3995700,107.855155,4002200,107.868425,1704606891,31.63
