Date,NetShares,NetValue_billion,BuyShares,BuyValue_billion,SellShares,SellValue_billion,RoomRemainingShares,ForeignHoldingPct
2026-07-10,-125800,-8.93753,82700,5.84904,208500,14.78657,350491423,11.41
2026-07-09,-19400,-1.38223,66800,4.76006,86200,6.14229,350384323,11.41
2026-07-08,-499200,-35.62653,105100,7.50539,604300,43.13192,349688223,11.45
2026-07-07,-111700,-7.94748,510300,36.37539,622000,44.32287,349456223,11.46
2026-07-06,-702300,-50.19826,195200,13.97385,897500,64.17211,349341023,11.47
2026-07-03,-238900,-17.25695,51600,3.73215,290500,20.9891,348889623,11.49
2026-07-02,-115200,-8.49265,354400,25.8113,469600,34.30395,348498463,11.51
2026-07-01,-453900,-33.38324,333100,24.46849,787000,57.85173,348498463,11.51
2026-06-30,-391200,-28.94337,81600,6.08478,472800,35.02815,348498463,11.51
2026-06-29,39300,2.84809,306600,22.96759,267300,20.1195,347607826,11.56
2026-06-26,182500,13.30144,541300,39.79093,358800,26.48949,347041222,11.59
2026-06-25,-929900,-67.47546,202900,14.66002,1132800,82.13548,346932922,11.6
2026-06-24,-753700,-53.98845,280200,20.22162,1033900,74.21007,346932922,11.6
2026-06-23,-113200,-7.16194,1706000,124.5726,1819200,131.73454,344399922,11.73
2026-06-22,99200,7.26461,303400,21.93619,204200,14.67158,343581422,11.77
2026-06-19,-2533000,-180.66125,1081000,77.80236,3614000,258.46361,343544078,11.78
2026-06-18,-917700,-65.44745,78000,5.59856,995700,71.04601,343542878,11.78
2026-06-17,-37300,-2.71255,171200,12.32463,208500,15.03718,343430678,11.78
2026-06-16,130700,9.30967,406900,29.26695,276200,19.95728,343323653,11.79
2026-06-15,-112200,-8.06783,320500,23.02284,432700,31.09067,343027053,11.8
