Date,NetShares,NetValue_billion,BuyShares,BuyValue_billion,SellShares,SellValue_billion,RoomRemainingShares,ForeignHoldingPct
2026-07-10,-1028600,-33.781385,1441200,46.922335,2469800,80.70372,70436637,21.54
2026-07-09,-2696300,-89.94724,770100,25.71184,3466400,115.65908,70411937,21.54
2026-07-08,-3316100,-112.31959,675000,22.98592,3991100,135.30551,70411937,21.54
2026-07-07,-24700,-0.78026,2097000,70.558865,2121700,71.339125,67722485,21.58
2026-07-06,331900,11.06658,994100,33.404945,662200,22.338365,65666395,21.61
2026-07-03,-2689700,-89.811395,493800,16.51495,3183500,106.326345,65151595,21.62
2026-07-02,-2388000,-81.62635,556200,18.871155,2944200,100.497505,64099095,21.63
2026-07-01,-514800,-17.68573,1181700,40.329035,1696500,58.014765,62882105,21.65
2026-06-30,-1052500,-35.36554,986400,33.131795,2038900,68.497335,62316106,21.66
2026-06-29,-1217000,-40.899555,822900,27.681335,2039900,68.58089,62316106,21.66
2026-06-26,-565900,-18.57247,1914600,63.532815,2480500,82.105285,60163645,21.69
2026-06-25,2651400,87.79385,4053800,133.98884,1402400,46.19499,55633786,21.75
2026-06-24,-1752500,-56.957545,3351400,108.878225,5103900,165.83577,54126964,21.77
2026-06-23,-4784900,-154.46246,2671100,85.76617,7456000,240.22863,49981907,21.83
2026-06-22,-1506800,-46.73866,512300,15.954835,2019100,62.693495,44885887,21.91
2026-06-19,-4145100,-128.538875,1216300,37.754005,5361400,166.29288,38817337,21.99
2026-06-18,-5096100,-159.30298,552600,17.255895,5648700,176.558875,35900276,22.03
2026-06-17,-6068600,-191.11232,294100,9.278995,6362700,200.391315,34516061,22.05
2026-06-16,-2917200,-92.365245,1234500,39.128755,4151700,131.494,34516061,22.05
2026-06-15,-1384300,-43.480095,670700,21.1938,2055000,64.673895,33420499,22.07
