Date,NetShares,NetValue_billion,BuyShares,BuyValue_billion,SellShares,SellValue_billion,RoomRemainingShares,ForeignHoldingPct
2026-07-10,-1075900,-17.348075,32700,0.528415,1108600,17.87649,182152787,23.43
2026-07-09,-710200,-11.55729,145900,2.37853,856100,13.93582,182017787,23.44
2026-07-08,1163800,19.004,1251100,20.427885,87300,1.423885,182793358,23.41
2026-07-07,-138800,-2.22551,130600,2.11693,269400,4.34244,182327552,23.43
2026-07-06,-393400,-6.46486,239300,3.89191,632700,10.35677,182004517,23.44
2026-07-03,-471400,-7.7275,144900,2.385075,616300,10.112575,181968142,23.44
2026-07-02,-322800,-5.322155,120800,2.020275,443600,7.34243,181968142,23.44
2026-07-01,-36500,-0.624,446300,7.422415,482800,8.046415,181968142,23.44
2026-06-30,144300,2.294505,624300,10.261245,480000,7.96674,181774402,23.45
2026-06-29,628000,10.215345,725800,11.80658,97800,1.591235,182402355,23.42
2026-06-26,-338000,-5.426425,256500,4.13088,594500,9.557305,180837087,23.48
2026-06-25,101600,1.63259,365800,5.888045,264200,4.255455,180809579,23.48
2026-06-24,-1569100,-25.10045,532500,8.57582,2101600,33.67627,180580165,23.49
2026-06-23,-132900,-2.287695,654200,10.647585,787100,12.93528,180537065,23.49
2026-06-22,-229300,-3.721085,249800,4.032235,479100,7.75332,178099749,23.58
2026-06-19,-44300,-0.7054,389100,6.282585,433400,6.987985,178099749,23.58
2026-06-18,-2437200,-39.65683,278500,4.53836,2715700,44.19519,176939601,23.62
2026-06-17,191200,3.181855,1214600,19.965405,1023400,16.78355,175574548,23.67
2026-06-16,-1159000,-19.036865,223200,3.67246,1382200,22.709325,175565948,23.67
2026-06-15,-1556200,-25.65646,825200,13.553085,2381400,39.209545,174946784,23.69
