Date,NetShares,NetValue_billion,BuyShares,BuyValue_billion,SellShares,SellValue_billion,RoomRemainingShares,ForeignHoldingPct
2026-07-10,-750600,-45.63229,180600,11.00599,931200,56.63828,818374393,20.21
2026-07-09,-639800,-39.14866,140700,8.61192,780500,47.76058,818259102,20.21
2026-07-08,32700,2.03133,126300,7.77875,93600,5.74742,818294964,20.21
2026-07-07,-117600,-7.18989,141600,8.65461,259200,15.8445,818155471,20.21
2026-07-06,261400,16.002,520600,32.00915,259200,16.00715,818354537,20.21
2026-07-03,-143000,-8.89345,185700,11.54782,328700,20.44127,818355937,20.21
2026-07-02,-62200,-3.83374,246700,15.42779,308900,19.26153,818355937,20.21
2026-07-01,335500,21.05853,440400,27.6276,104900,6.56907,818691494,20.2
2026-06-30,909800,56.6785,1104400,68.77128,194600,12.09278,819474334,20.19
2026-06-29,914000,56.72045,1527100,94.70908,613100,37.98863,819963837,20.19
2026-06-26,-123900,-7.49758,537700,32.91174,661600,40.40932,819829637,20.19
2026-06-25,-424200,-25.83885,68100,4.15558,492300,29.99443,819683182,20.19
2026-06-24,-136700,-8.36378,86800,5.30696,223500,13.67074,819066012,20.2
2026-06-23,-149000,-9.1859,245200,15.16186,394200,24.34776,819066012,20.2
2026-06-22,-617100,-37.88606,81300,4.99917,698400,42.88523,817017256,20.22
2026-06-19,462800,28.67512,1756800,108.3579,1294000,79.68278,814590649,20.25
2026-06-18,-2048600,-126.73195,339200,20.935,2387800,147.66695,813875783,20.26
2026-06-17,-2889300,-179.18638,204700,12.688,3094000,191.87438,812358392,20.28
2026-06-16,-713900,-44.13833,461900,28.60566,1175800,72.74399,812232391,20.28
2026-06-15,-1517300,-93.87245,259800,16.0947,1777100,109.96715,811903681,20.28
