Date,NetShares,NetValue_billion,BuyShares,BuyValue_billion,SellShares,SellValue_billion,RoomRemainingShares,ForeignHoldingPct
2026-07-10,-53200,-8.40159,644800,95.03076,698000,103.43235,1745431457,7.51
2026-07-09,-201300,-30.05078,352400,52.52389,553700,82.57467,1744087290,7.54
2026-07-08,-877700,-131.66899,143900,21.63154,1021600,153.30053,1743648641,7.55
2026-07-07,-1346400,-203.22251,123000,18.58893,1469400,221.81144,1743577811,7.55
2026-07-06,-441400,-67.8642,786100,121.52122,1227500,189.38542,1743429798,7.55
2026-07-03,-74100,-10.84927,720800,110.43509,794900,121.28436,1742713665,7.57
2026-07-02,-147800,-22.06971,227300,34.15603,375100,56.22574,1742328700,7.58
2026-07-01,-718300,-107.37769,427800,63.84935,1146100,171.22704,1739568486,7.65
2026-06-30,-385000,-56.86472,601300,90.10405,986300,146.96877,1739568486,7.65
2026-06-29,-2760200,-419.61365,412700,62.63379,3172900,482.24744,1738414647,7.68
2026-06-26,2361900,379.28213,3771300,605.32154,1409400,226.03941,1740778686,7.62
2026-06-25,-1153900,-180.78189,352700,55.1755,1506600,235.95739,1750123765,7.39
2026-06-24,55700,9.37216,1103000,174.26106,1047300,164.8889,1750179344,7.39
2026-06-23,-292700,-45.87794,735400,116.49661,1028100,162.37455,1744590539,7.53
2026-06-22,528700,80.88348,1395400,213.98913,866700,133.10565,1749451134,7.41
2026-06-19,-4844000,-709.52023,1314200,192.31498,6158200,901.83521,1747676554,7.45
2026-06-18,-1309000,-189.0196,17500,2.527,1326500,191.5466,1746573584,7.48
2026-06-17,-1774600,-235.82814,790100,105.13968,2564700,340.96782,1745171713,7.51
2026-06-16,-1102300,-149.87571,439100,59.82294,1541400,209.69865,1744625482,7.52
2026-06-15,-1401900,-190.80138,1628100,220.10177,3030000,410.90315,1744294930,7.53
