Date,NetShares,NetValue_billion,BuyShares,BuyValue_billion,SellShares,SellValue_billion,RoomRemainingShares,ForeignHoldingPct
2026-07-10,-1287000,-20.67396,232200,3.74128,1519200,24.41524,34500229,3.98
2026-07-09,-203700,-3.30818,160900,2.607475,364600,5.915655,34455021,3.98
2026-07-08,-1650500,-26.98842,294100,4.797005,1944600,31.785425,32301985,4.04
2026-07-07,-50800,-0.826455,303200,4.87844,354000,5.704895,28949629,4.14
2026-07-06,-2158600,-35.420835,571600,9.28149,2730200,44.702325,28949629,4.14
2026-07-03,-3280700,-54.121935,340500,5.614185,3621200,59.73612,27943029,4.17
2026-07-02,335200,5.54153,1505400,25.00298,1170200,19.46145,28228007,4.16
2026-07-01,-926600,-15.47896,381000,6.33964,1307600,21.8186,28097155,4.16
2026-06-30,500000,8.266505,669500,11.07083,169500,2.804325,28448055,4.15
2026-06-29,69200,0.97534,2394300,39.376595,2325100,38.401255,28372555,4.16
2026-06-26,-149100,-2.38482,350200,5.63285,499300,8.01767,27230644,4.19
2026-06-25,-75500,-1.210595,103700,1.661605,179200,2.8722,27232544,4.19
2026-06-24,-1147500,-18.288955,380900,6.10983,1528400,24.398785,26900398,4.2
2026-06-23,536000,8.583295,2089400,33.913625,1553400,25.33033,27064272,4.19
2026-06-22,-332100,-5.332345,35800,0.57468,367900,5.907025,24166405,4.28
2026-06-19,-272000,-4.40037,30900,0.50149,302900,4.90186,21880605,4.35
2026-06-18,-2847800,-46.468,151800,2.480495,2999600,48.948495,20712078,4.38
2026-06-17,-2080800,-34.082355,1376400,22.53722,3457200,56.619575,20343054,4.39
2026-06-16,-1132300,-18.37099,832500,13.517035,1964800,31.888025,19916454,4.4
2026-06-15,-314000,-5.14339,551400,8.95537,865400,14.09876,19757323,4.41
