Date,NetShares,NetValue_billion,BuyShares,BuyValue_billion,SellShares,SellValue_billion,RoomRemainingShares,ForeignHoldingPct
2026-07-10,2304900,512.40176,2481400,551.57018,176500,39.16842,3477320151,3.06
2026-07-09,150600,33.26374,301200,66.52164,150600,33.2579,3477473871,3.06
2026-07-08,302100,66.67802,420300,92.6913,118200,26.01328,3467552385,3.19
2026-07-07,93300,20.56614,349900,76.47328,256600,55.90714,3467361408,3.19
2026-07-06,-27900,-6.12769,217600,47.94202,245500,54.06971,3467361408,3.19
2026-07-03,-289000,-63.69602,67500,14.87413,356500,78.57015,3467363208,3.19
2026-07-02,945900,208.09411,1172300,257.57808,226400,49.48397,3468309273,3.18
2026-07-01,173300,37.52548,586000,127.66126,412700,90.13578,3468322786,3.18
2026-06-30,277900,61.1669,967200,211.4362,689300,150.2693,3468600942,3.18
2026-06-29,-359600,-80.6498,902800,198.34771,1262400,278.99751,3468177352,3.18
2026-06-26,530000,119.90355,1027500,232.0706,497500,112.16705,3468710444,3.18
2026-06-25,-423600,-94.86485,531200,119.27004,954800,214.13489,3468713844,3.18
2026-06-24,490000,114.57524,1352300,316.16349,862300,201.58825,3469203467,3.17
2026-06-23,2891700,657.78951,3464600,787.43609,572900,129.64658,3482380105,3.0
2026-06-22,1721900,375.36483,1939400,422.19435,217500,46.82952,3484102117,2.98
2026-06-19,544100,111.59296,1140600,234.04074,596500,122.44778,3472877992,3.12
2026-06-18,363800,73.90544,621200,125.98826,257400,52.08282,3473117506,3.12
2026-06-17,-701300,-132.57059,226700,43.0803,928000,175.65089,3473117506,3.12
2026-06-16,-213100,-41.18781,543200,105.11393,756300,146.30174,3472658402,3.12
2026-06-15,-1079200,-206.40794,384400,73.63783,1463600,280.04577,3495366426,2.83
