Date,NetShares,NetValue_billion,BuyShares,BuyValue_billion,SellShares,SellValue_billion,RoomRemainingShares,ForeignHoldingPct
2026-07-10,3484800,196.12357,4052000,228.07852,567200,31.95495,1075787149,48.53
2026-07-09,708600,39.51264,779900,43.48421,71300,3.97157,1076500594,48.49
2026-07-08,2231500,123.74515,2653600,147.09815,422100,23.353,1078738497,48.38
2026-07-07,380900,20.99427,500100,27.5655,119200,6.57123,1078301667,48.41
2026-07-06,979100,54.0129,1640900,90.42431,661800,36.41141,1079280747,48.36
2026-07-03,-760100,-41.74982,672900,37.02002,1433000,78.76984,1078396996,48.4
2026-07-02,855700,47.59771,1927100,107.22056,1071400,59.62285,1075734418,48.53
2026-07-01,-884300,-48.70262,383200,21.14226,1267500,69.84488,1075240736,48.55
2026-06-30,-3514500,-194.06286,912300,50.40677,4426800,244.46963,1074271120,48.6
2026-06-29,-488600,-27.44397,329500,18.50077,818100,45.94474,1073641873,48.63
2026-06-26,-969600,-54.52515,1156400,65.09219,2126000,119.61734,1073172708,48.65
2026-06-25,-629100,-36.71559,197800,11.55013,826900,48.26572,1072327938,48.69
2026-06-24,-473800,-27.6365,111600,6.51509,585400,34.15159,1071202297,48.75
2026-06-23,-848900,-49.76342,126600,7.41667,975500,57.18009,1070881479,48.76
2026-06-22,-1125300,-66.2143,127200,7.49715,1252500,73.71145,1070508671,48.78
2026-06-19,-320800,-19.02173,1788000,105.50391,2108800,124.52564,1070270405,48.79
2026-06-18,-372800,-22.11491,650800,38.61986,1023600,60.73477,1070057557,48.8
2026-06-17,-238000,-13.98702,866100,51.39846,1104100,65.38548,1070057557,48.8
2026-06-16,-211500,-12.5163,507700,30.15862,719200,42.67492,1070050357,48.8
2026-06-15,312400,18.60654,960400,57.24342,648000,38.63688,1070362591,48.79
