Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-07-10,396400,8.9921,1268500,28.707415,-872100,-19.715315
2026-07-09,630200,14.4297,1108400,25.441295,-478200,-11.011595
2026-07-08,350200,7.951285,1595600,36.171655,-1245400,-28.22037
2026-07-07,927200,20.762015,417600,9.33826,509600,11.423755
2026-07-06,25028665,19.85644,1124100,0.0,23904565,19.85644
2026-07-03,0,23.445605,154900,3.490295,-154900,19.95531
2026-07-02,593500,15.499105,972600,22.08577,-379100,-6.586665
2026-07-01,442500,11.999985,631700,14.28127,-189200,-2.281285
2026-06-30,522400,11.893541,567200,12.88381,-44800,-0.990269
2026-06-29,2975300,22.299932,999200,68.05124,1976100,-45.751308
2026-06-26,7599795,0.2968,2000000,64.98577,5599795,-64.68897
2026-06-25,2753700,61.948635,578900,13.00984,2174800,48.938795
2026-06-24,9830900,0.395508,0,21.569105,9830900,-21.173597
2026-06-23,2149200,48.401933,2030500,45.61733,118700,2.784603
2026-06-22,0,13.02947,381818,8.416893,-381818,4.612577
2026-06-19,0,12.095415,897800,20.3098,-897800,-8.214385
2026-06-18,0,9.803925,2393245,53.199384,-2393245,-43.395459
2026-06-17,2127400,47.0384,1103800,24.349825,1023600,22.688575
2026-06-16,1115000,25.090095,1198700,26.918135,-83700,-1.82804
2026-06-15,1268600,28.783565,1447000,32.885595,-178400,-4.10203
2026-06-12,394700,10.603168,3231500,70.81093,-2836800,-60.207762
2026-06-11,266600,7.011455,906516,23.962034,-639916,-16.950579
2026-06-10,2412800,64.32396,3453300,91.975925,-1040500,-27.651965
2026-06-09,1941500,50.80091,2023900,52.785495,-82400,-1.984585
2026-06-08,0,45.35541,1813224,46.17461,-1813224,-0.8192
2026-06-05,90400,2.3631,1573300,41.074785,-1482900,-38.711685
2026-06-04,1096700,28.848244,4208775,110.581183,-3112075,-81.732939
2026-06-03,1500400,4.8439,0,163.23536,1500400,-158.39146
2026-06-02,1325300,33.167985,1678529,42.074662,-353229,-8.906677
2026-06-01,0,0.0,28744435,25.04101,-28744435,-25.04101
2026-05-29,1102000,27.436365,1175800,29.25057,-73800,-1.814205
2026-05-28,1026600,25.54134,3190537,79.439578,-2163937,-53.898238
