Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-07-10,21500,0.883965,7300,0.300425,14200,0.58354
2026-07-09,33100,1.37279,0,0.0,33100,1.37279
2026-07-08,113200,4.71021,117300,4.893365,-4100,-0.183155
2026-07-07,40000,1.65687,311000,12.75095,-271000,-11.09408
2026-07-06,9976530,5.10673,240400,0.0,9736130,5.10673
2026-07-03,0,2.42744,5200,0.21959,-5200,2.20785
2026-07-02,256000,10.96742,48200,2.06273,207800,8.90469
2026-07-01,142800,6.13725,310400,13.34716,-167600,-7.20991
2026-06-30,148500,6.32033,271200,11.54421,-122700,-5.22388
2026-06-29,252300,10.666505,200600,8.4912,51700,2.175305
2026-06-26,6767305,0.1497,0,20.82945,6767305,-20.67975
2026-06-25,167100,7.017655,69000,2.89899,98100,4.118665
2026-06-24,6175855,0.1405,0,10.75101,6175855,-10.61051
2026-06-23,449000,19.392905,324300,13.97262,124700,5.420285
2026-06-22,0,9.34496,349600,14.8088,-349600,-5.46384
2026-06-19,0,5.112525,24600,1.041735,-24600,4.07079
2026-06-18,0,19.37213,493100,21.002215,-493100,-1.630085
2026-06-17,891300,38.106905,918300,39.286935,-27000,-1.18003
2026-06-16,203600,8.55343,163200,6.856765,40400,1.696665
2026-06-15,126200,5.258865,50900,2.12445,75300,3.134415
2026-06-12,32100,1.331575,85200,3.52214,-53100,-2.190565
2026-06-11,4200,0.17394,94100,3.89583,-89900,-3.72189
2026-06-10,605300,25.407455,228900,9.6362,376400,15.771255
2026-06-09,67100,2.75904,4700,0.193645,62400,2.565395
2026-06-08,0,10.176215,142600,5.91701,-142600,4.259205
2026-06-05,600,0.02523,35600,1.50576,-35000,-1.48053
2026-06-04,84700,3.58293,221500,9.382805,-136800,-5.799875
2026-06-03,30800,1.288815,174100,7.30619,-143300,-6.017375
2026-06-02,38000,1.571115,86400,3.59095,-48400,-2.019835
2026-06-01,0,0.0,1411980,12.653935,-1411980,-12.653935
2026-05-29,257500,10.866925,425400,17.878725,-167900,-7.0118
2026-05-28,7200,0.309715,12600,0.54021,-5400,-0.230495
2026-05-27,1852500,79.295645,52900,2.295835,1799600,76.99981
2026-05-26,301100,13.064535,286700,12.441445,14400,0.62309
2026-05-25,40200,1.714325,1864200,80.15218,-1824000,-78.437855
2026-05-22,409200,17.54581,400800,17.23122,8400,0.31459
2026-05-21,622400,27.41037,378500,16.700675,243900,10.709695
2026-05-20,830500,35.80136,377600,16.09665,452900,19.70471
2026-05-19,2001500,91.238665,1274700,57.433795,726800,33.80487
2026-05-18,498600,21.83713,500700,22.00903,-2100,-0.1719
2026-05-15,408600,17.66133,253600,11.006425,155000,6.654905
2026-05-14,496600,21.62531,314900,13.6327,181700,7.99261
2026-05-13,829000,34.893945,789600,33.350435,39400,1.54351
2026-05-12,177900,7.348095,66400,2.737705,111500,4.61039
2026-05-11,224600,9.378815,165200,6.90344,59400,2.475375
2026-05-08,756400,31.798715,888200,37.317525,-131800,-5.51881
2026-05-07,52900,2.166275,74900,3.07379,-22000,-0.907515
2026-05-06,111800,4.565545,67300,2.748985,44500,1.81656
2026-05-05,4500,0.18194,148000,5.93934,-143500,-5.7574
2026-05-04,205400,8.3382,251700,10.21665,-46300,-1.87845
2026-04-29,399200,15.940485,223900,8.93109,175300,7.009395
2026-04-28,81600,3.30356,65200,2.64539,16400,0.65817
2026-04-24,6700,0.27436,20900,0.86678,-14200,-0.59242
2026-04-23,918300,38.22423,966400,40.092945,-48100,-1.868715
2026-04-22,54300,2.193435,51600,2.0844,2700,0.109035
