Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-07-10,223400,5.80535,115200,2.94086,108200,2.86449
2026-07-09,944900,24.51725,1060600,27.444585,-115700,-2.927335
2026-07-08,813000,20.53587,459500,11.55981,353500,8.97606
2026-07-07,854800,20.41912,202300,4.82988,652500,15.58924
2026-07-06,45965840,10.23715,1902500,0.0,44063340,10.23715
2026-07-03,0,13.943585,183500,4.58454,-183500,9.359045
2026-07-02,233400,5.84283,102300,2.563135,131100,3.279695
2026-07-01,1269000,31.852795,336400,8.50095,932600,23.351845
2026-06-30,41700,1.017215,2400,0.0579,39300,0.959315
2026-06-29,236600,5.79214,322300,7.883605,-85700,-2.091465
2026-06-26,7610875,0.2894,0,12.16011,7610875,-11.87071
2026-06-25,249500,6.212155,263300,6.5582,-13800,-0.346045
2026-06-24,14091385,0.5467,0,9.474875,14091385,-8.928175
2026-06-23,532800,13.645075,489400,12.71104,43400,0.934035
2026-06-22,0,5.773705,332800,8.830145,-332800,-3.05644
2026-06-19,0,9.575935,469800,12.473475,-469800,-2.89754
2026-06-18,0,10.69115,349100,9.309465,-349100,1.381685
2026-06-17,198100,5.260445,173700,4.62315,24400,0.637295
2026-06-16,11400,0.30123,260800,6.99086,-249400,-6.68963
2026-06-15,1021600,27.23053,62800,1.672775,958800,25.557755
2026-06-12,444700,12.54364,114000,3.206915,330700,9.336725
2026-06-11,408400,11.51736,7200,0.20412,401200,11.31324
2026-06-10,9600,0.2691,18700,0.524185,-9100,-0.255085
2026-06-09,97700,2.763865,9500,0.269995,88200,2.49387
2026-06-08,0,1.6545,18700,0.53513,-18700,1.11937
2026-06-05,5200,0.15016,69800,1.99708,-64600,-1.84692
2026-06-04,16200,0.46602,20000,0.571335,-3800,-0.105315
2026-06-03,51200,1.432665,41100,1.153835,10100,0.27883
2026-06-02,25200,0.72409,22800,0.64884,2400,0.07525
2026-06-01,0,0.0,487420,0.37609,-487420,-0.37609
2026-05-29,44600,1.274505,86600,2.531835,-42000,-1.25733
2026-05-28,14600,0.4165,25400,0.72246,-10800,-0.30596
2026-05-27,18300,0.52491,72900,2.062895,-54600,-1.537985
2026-05-26,15600,0.44688,31700,0.908185,-16100,-0.461305
2026-05-25,10800,0.30666,6000,0.17034,4800,0.13632
2026-05-22,138200,4.140805,70000,2.102055,68200,2.03875
2026-05-21,17500,0.539935,24400,0.75047,-6900,-0.210535
2026-05-20,41500,1.23277,45400,1.408815,-3900,-0.176045
2026-05-19,9600,0.30384,366800,11.8296,-357200,-11.52576
2026-05-18,18000,0.59849,10400,0.33796,7600,0.26053
2026-05-15,359600,11.0328,415400,13.04459,-55800,-2.01179
2026-05-14,8400,0.25464,326200,9.94451,-317800,-9.68987
2026-05-13,428900,12.54126,616800,18.877205,-187900,-6.335945
2026-05-12,387700,10.939495,503000,14.43752,-115300,-3.498025
2026-05-11,602000,16.08474,788600,21.87422,-186600,-5.78948
2026-05-08,200000,5.20345,400000,10.471495,-200000,-5.268045
2026-05-07,700000,18.155365,200000,5.1,500000,13.055365
2026-05-06,400000,10.758115,400000,10.81445,0,-0.056335
2026-05-05,600000,15.61098,300000,7.88,300000,7.73098
2026-05-04,200000,5.05,0,0.0,200000,5.05
2026-04-29,85300,1.99602,85300,2.017345,0,-0.021325
2026-04-28,400000,9.464115,400000,9.474505,0,-0.01039
