Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-07-10,232300,7.89711,442700,15.017605,-210400,-7.120495
2026-07-09,298900,10.240519,89000,3.03045,209900,7.210069
2026-07-08,405200,13.976,301900,10.41958,103300,3.55642
2026-07-07,116300,3.957,53000,1.81115,63300,2.14585
2026-07-06,4502265,2.66345,131000,0.0,4371265,2.66345
2026-07-03,0,12.023625,184400,6.30172,-184400,5.721905
2026-07-02,77000,2.638375,134100,4.59513,-57100,-1.956755
2026-07-01,14300,0.489515,603700,20.67288,-589400,-20.183365
2026-06-30,1220300,41.663135,830200,28.309265,390100,13.35387
2026-06-29,285600,9.68953,151500,5.14585,134100,4.54368
2026-06-26,21016895,0.6246,0,3.151155,21016895,-2.526555
2026-06-25,570800,19.168855,753200,25.31465,-182400,-6.145795
2026-06-24,372900,12.56186,708300,23.837005,-335400,-11.275145
2026-06-23,805500,27.55286,1571700,53.736965,-766200,-26.184105
2026-06-22,0,10.23289,197800,6.720015,-197800,3.512875
2026-06-19,0,17.31967,250900,8.660505,-250900,8.659165
2026-06-18,0,17.58624,158100,5.38521,-158100,12.20103
2026-06-17,507000,17.32474,348500,11.917205,158500,5.407535
2026-06-16,47700,1.608235,67200,2.26989,-19500,-0.661655
2026-06-15,95300,3.20799,179200,6.05203,-83900,-2.84404
2026-06-12,89300,2.994425,263200,8.808545,-173900,-5.81412
2026-06-11,15500,0.51689,715600,23.832,-700100,-23.31511
2026-06-10,51900,1.74651,393700,13.23033,-341800,-11.48382
2026-06-09,232100,7.752315,321920,10.74409,-89820,-2.991775
2026-06-08,0,4.19779,289900,9.684855,-289900,-5.487065
2026-06-05,6500,0.220425,137500,4.680285,-131000,-4.45986
2026-06-04,70300,2.404725,561500,19.119305,-491200,-16.71458
2026-06-03,195800,6.637775,1209900,41.04237,-1014100,-34.404595
2026-06-02,875700,29.78416,957800,32.58284,-82100,-2.79868
2026-06-01,0,0.0,2562320,2.220075,-2562320,-2.220075
2026-05-29,194200,6.76499,355900,12.384535,-161700,-5.619545
2026-05-28,459500,16.100725,160000,5.602695,299500,10.49803
2026-05-27,4346200,151.708,517700,18.31089,3828500,133.39711
2026-05-26,169700,5.940315,233900,8.21321,-64200,-2.272895
2026-05-25,113500,3.969625,2743700,95.505885,-2630200,-91.53626
2026-05-22,1414000,49.257385,494000,17.193865,920000,32.06352
2026-05-21,1295200,45.314815,125000,4.39951,1170200,40.915305
2026-05-20,466700,16.48484,728000,25.67517,-261300,-9.19033
2026-05-19,12000,0.4308,294400,10.733495,-282400,-10.302695
2026-05-18,877000,31.323065,3816504,136.564005,-2939504,-105.24094
2026-05-15,680600,24.401395,2557000,91.179695,-1876400,-66.7783
2026-05-14,867100,31.21013,419524,15.049672,447576,16.160458
2026-05-13,183100,6.484595,58776,2.082031,124324,4.402564
2026-05-12,513900,18.109625,166900,5.890955,347000,12.21867
2026-05-11,298300,10.738105,122900,4.42196,175400,6.316145
