Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-07-10,974300,69.6522,935200,66.48456,39100,3.16764
2026-07-09,910200,65.76336,494100,35.72363,416100,30.03973
2026-07-08,1070400,77.32378,1153500,83.24766,-83100,-5.92388
2026-07-07,589000,43.00307,343500,25.04623,245500,17.95684
2026-07-06,83623520,143.21198,1143300,0.0,82480220,143.21198
2026-07-03,0,65.74312,566200,41.05113,-566200,24.69199
2026-07-02,1015500,74.73154,456300,33.22598,559200,41.50556
2026-07-01,2530400,182.11245,960400,68.94847,1570000,113.16398
2026-06-30,1394700,98.19216,370000,26.07461,1024700,72.11755
2026-06-29,1252000,38.86009,292600,70.17573,959400,-31.31564
2026-06-26,1405100,99.50078,429600,30.40463,975500,69.09615
2026-06-25,1482600,105.24292,931900,66.25817,550700,38.98475
2026-06-24,376300,26.51052,700200,49.35774,-323900,-22.84722
2026-06-23,238900,16.99323,501500,35.64229,-262600,-18.64906
2026-06-22,0,40.23095,989300,69.99563,-989300,-29.76468
2026-06-19,0,59.51742,1322700,95.21652,-1322700,-35.6991
2026-06-18,0,52.39418,980700,70.37569,-980700,-17.98151
2026-06-17,670700,48.836,306300,22.25874,364400,26.57726
2026-06-16,392600,28.83794,377300,27.76318,15300,1.07476
2026-06-15,612800,45.39872,515700,38.29575,97100,7.10297
2026-06-12,486800,35.98249,695400,51.34432,-208600,-15.36183
2026-06-11,249900,18.34985,431700,31.65212,-181800,-13.30227
2026-06-10,258100,19.15003,618700,45.67657,-360600,-26.52654
2026-06-09,1073100,78.80997,1452400,106.78729,-379300,-27.97732
2026-06-08,0,67.1598,923400,67.81122,-923400,-0.65142
2026-06-05,603100,45.12701,1619000,121.15101,-1015900,-76.024
2026-06-04,900800,68.79794,1888200,144.23341,-987400,-75.43547
2026-06-03,1504100,115.51668,1846600,142.10836,-342500,-26.59168
2026-06-02,1013800,75.81084,1144900,85.6012,-131100,-9.79036
2026-06-01,0,0.0,62337150,27.4231,-62337150,-27.4231
2026-05-29,1008200,72.61726,500900,35.89424,507300,36.72302
2026-05-28,1072300,77.09734,1048200,75.37365,24100,1.72369
2026-05-27,1425300,105.64355,649000,47.95725,776300,57.6863
2026-05-26,838500,62.12996,469000,34.956294,369500,27.173666
2026-05-25,1102300,81.66258,799100,59.07024,303200,22.59234
2026-05-22,899900,68.84831,798100,60.9686,101800,7.87971
2026-05-21,1297900,99.57852,866400,66.62514,431500,32.95338
2026-05-20,1376300,103.67097,1703500,129.20917,-327200,-25.5382
2026-05-19,774800,58.19142,881800,66.24757,-107000,-8.05615
2026-05-18,1180600,87.16493,975000,71.95945,205600,15.20548
2026-05-15,436400,31.86818,838100,61.19577,-401700,-29.32759
2026-05-14,1514400,111.60021,2108200,154.9206,-593800,-43.32039
2026-05-13,853200,60.58845,579500,41.04147,273700,19.54698
2026-05-12,835000,58.18956,1100100,77.84422,-265100,-19.65466
2026-05-11,538600,38.07153,2503800,176.60009,-1965200,-138.52856
2026-05-08,773000,55.89713,736700,53.33794,36300,2.55919
2026-05-07,1009400,73.37857,926400,68.0772,83000,5.30137
2026-05-06,1014200,74.50538,680000,49.90488,334200,24.6005
2026-05-05,1042000,76.41068,6139600,461.523292,-5097600,-385.112612
2026-05-04,681000,50.50468,472200,35.09737,208800,15.40731
2026-04-29,3545400,267.69691,432000,32.119,3113400,235.57791
2026-04-28,2346800,173.4172,503200,36.9379,1843600,136.4793
2026-04-24,622000,45.79687,203100,14.93607,418900,30.8608
2026-04-23,407600,30.39782,476300,35.58672,-68700,-5.1889
2026-04-22,480700,35.84945,1306700,97.38721,-826000,-61.53776
2026-04-21,816900,61.966985,395500,29.97109,421400,31.995895
2026-04-20,673600,51.62164,134000,10.2373,539600,41.38434
2026-04-17,1577300,120.87875,737300,56.41174,840000,64.46701
2026-04-16,824300,61.31372,714600,53.2597,109700,8.05402
2026-04-15,182000,13.75588,386800,29.26672,-204800,-15.51084
2026-04-14,551600,42.24539,790500,60.43429,-238900,-18.1889
2026-04-13,586500,44.77033,1124500,85.87958,-538000,-41.10925
2026-04-10,758700,59.22407,597400,46.53265,161300,12.69142
2026-04-09,222200,17.4322,468100,36.74402,-245900,-19.31182
2026-04-08,1201000,93.27731,879200,67.65474,321800,25.62257
2026-04-07,540400,40.05288,307800,22.81023,232600,17.24265
2026-04-06,588000,43.50126,300600,22.21516,287400,21.2861
2026-04-03,623800,46.61994,591600,44.00167,32200,2.61827
2026-04-02,409500,30.55096,1528400,114.07931,-1118900,-83.52835
2026-04-01,628200,47.38242,624500,47.11447,3700,0.26795
2026-03-31,453000,34.06592,966800,72.55969,-513800,-38.49377
2026-03-30,938000,69.60055,803200,59.55918,134800,10.04137
2026-03-27,1159700,86.83348,1298700,97.28811,-139000,-10.45463
2026-03-26,995200,74.8413,2102000,157.36898,-1106800,-82.52768
2026-03-25,707000,54.00199,579200,44.29344,127800,9.70855
2026-03-24,1131100,84.82428,873300,65.4493,257800,19.37498
2026-03-23,817000,60.04085,898600,65.6997,-81600,-5.65885
2026-03-20,1124400,83.67192,3133900,233.121248,-2009500,-149.449328
2026-03-19,1386700,107.20135,2768800,213.26002,-1382100,-106.05867
2026-03-18,1294900,102.4405,469300,37.01794,825600,65.42256
2026-03-17,1805300,144.57627,1050000,84.11532,755300,60.46095
2026-03-16,1535000,120.28522,915100,71.64515,619900,48.64007
2026-03-13,1582600,122.41359,1472900,113.57863,109700,8.83496
2026-03-12,1184500,92.53142,1723900,134.85536,-539400,-42.32394
2026-03-11,1245700,98.91526,1176100,93.84821,69600,5.06705
2026-03-10,1500100,117.35413,2472740,193.402904,-972640,-76.048774
2026-03-09,952100,72.35299,291200,22.12759,660900,50.2254
2026-03-06,1450000,119.85341,1690800,139.70582,-240800,-19.85241
2026-03-05,557000,47.62315,1647700,140.63644,-1090700,-93.01329
2026-03-04,1181200,100.49158,2270300,193.98055,-1089100,-93.48897
2026-03-03,847800,75.50152,1689500,149.17763,-841700,-73.67611
2026-03-02,1172000,106.18621,1478300,133.27478,-306300,-27.08857
2026-02-27,1061700,97.51253,1551500,142.22536,-489800,-44.71283
2026-02-26,1596900,144.98343,1199400,108.86057,397500,36.12286
2026-02-25,2122100,190.67454,1628500,146.41049,493600,44.26405
2026-02-24,2154300,199.96091,2065600,192.35521,88700,7.6057
2026-02-23,1101200,103.93992,1394700,131.43134,-293500,-27.49142
